symbol,exchange,security_name,source
A,N,"Agilent Technologies, Inc. Common Stock",nasdaq
AA,N,Alcoa Corporation Common Stock ,nasdaq
AACB,Q,Artius II Acquisition Inc. - Class A Ordinary Shares,nasdaq
AACBR,Q,Artius II Acquisition Inc. - Rights,nasdaq
AACG,Q,"ATA Creativity Global - American Depositary Shares, each representing two common shares",nasdaq
AACI,Q,Armada Acquisition Corp. III - Class A Ordinary Share,nasdaq
AACO,Q,Abony Acquisition Corp. I - Class A Ordinary Share,nasdaq
AACP,Q,Apogee Acquisition Corp - Class A Ordinary Shares,nasdaq
AACPR,Q,Apogee Acquisition Corp - Rights,nasdaq
AADX,N,"Applied Aerospace & Defense, Inc. Common Stock",nasdaq
AAL,Q,"American Airlines Group, Inc. - Common Stock",nasdaq
AAME,Q,Atlantic American Corporation - Common Stock,nasdaq
AAMI,N,Acadian Asset Management Inc. Common Stock,nasdaq
AAOI,Q,"Applied Optoelectronics, Inc. - Common Stock",nasdaq
AAON,Q,"AAON, Inc. - Common Stock",nasdaq
AAP,N,Advance Auto Parts Inc.,nasdaq
AAPG,Q,Ascentage Pharma Group International - American Depository Shares,nasdaq
AAPL,Q,Apple Inc. - Common Stock,nasdaq
AARD,Q,"Aardvark Therapeutics, Inc. - Common Stock",nasdaq
AAT,N,"American Assets Trust, Inc. Common Stock",nasdaq
AAUC,N,Allied Gold Corporation Common Shares,nasdaq
ABAT,Q,American Battery Technology Company - Common Stock,nasdaq
ABBV,N,AbbVie Inc. Common Stock,nasdaq
ABCB,N,Ameris Bancorp Common Stock,nasdaq
ABCL,Q,AbCellera Biologics Inc. - Common Shares,nasdaq
ABEO,Q,Abeona Therapeutics Inc. - Common Stock,nasdaq
ABEV,N,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),nasdaq
ABG,N,Asbury Automotive Group Inc Common Stock,nasdaq
ABLV,Q,Able View Global Inc. - Class B Ordinary Shares,nasdaq
ABM,N,ABM Industries Incorporated Common Stock,nasdaq
ABNB,Q,"Airbnb, Inc. - Class A Common Stock",nasdaq
ABOS,Q,"Acumen Pharmaceuticals, Inc. - Common Stock",nasdaq
ABR,N,Arbor Realty Trust Common Stock,nasdaq
ABSI,Q,Absci Corporation - Common Stock,nasdaq
ABT,N,Abbott Laboratories Common Stock,nasdaq
ABTC,Q,American Bitcoin Corp. - Class A Common Stock,nasdaq
ABTS,Q,Abits Group Inc - Ordinary Shares,nasdaq
ABUS,Q,Arbutus Biopharma Corporation - Common Stock,nasdaq
ABVC,Q,"ABVC BioPharma, Inc. - Common Stock",nasdaq
ABVX,Q,Abivax SA - American Depositary Shares,nasdaq
ABX,N,"Abacus Global Management, Inc. Class A Common Stock",nasdaq
ABXL,N,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",nasdaq
ACA,N,"Arcosa, Inc. Common Stock ",nasdaq
ACAA,Q,Averin Capital Acquisition Corp. - Class A Ordinary Shares,nasdaq
ACAD,Q,ACADIA Pharmaceuticals Inc. - Common Stock,nasdaq
ACB,Q,Aurora Cannabis Inc. - Common Shares,nasdaq
ACCL,Q,Acco Group Holdings Limited - Class A Ordinary Shares,nasdaq
ACCO,N,Acco Brands Corporation Common Stock,nasdaq
