fact_unit,2014-11-14,2015-03-03,2015-05-08,2015-08-07,2015-11-06,2016-02-26,2016-05-09,2016-08-05,2016-11-04,2017-02-24,2017-05-04,2017-08-03,2017-11-03,2018-02-22,2018-05-09,2018-08-06,2018-11-07,2019-02-21,2019-05-08,2019-08-06,2019-11-06,2020-02-24,2020-05-07,2020-08-06,2020-11-04,2021-02-23,2021-05-05,2021-08-03,2021-11-03,2022-02-23,2022-05-04,2022-08-03,2022-11-04,2023-02-17,2023-05-10,2023-08-08,2023-11-06,2024-02-16,2024-05-06,2024-08-06,2024-11-04,2025-02-13,2025-05-01,2025-08-04,2025-11-03
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,3032000000.0,3032000000.0,3032000000.0,3704000000.0,4074000000.0,4074000000.0,4074000000.0,3032000000.0,3386000000.0,3386000000.0,3386000000.0,4074000000.0,12733000000.0,12733000000.0,12733000000.0,3386000000.0,9158000000.0,9158000000.0,9158000000.0,12733000000.0,10547000000.0,10547000000.0,10547000000.0,9158000000.0,11628000000.0,11628000000.0,11628000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,827000000.0,833000000.0,959000000.0,-672000000.0,-1638000000.0,-1039000000.0,-232000000.0,1042000000.0,672000000.0,4060000000.0,5830000000.0,-688000000.0,1927000000.0,-92000000.0,983000000.0,9347000000.0,778000000.0,-2644000000.0,-998000000.0,-3575000000.0,-2573000000.0,1020000000.0,4853000000.0,1389000000.0,-29000000.0,143000000.0,-713000000.0
CommonEquityTierOneCapital / USD,,,,,,,,,,,,,13822000000.0,13822000000.0,14309000000.0,14309000000.0,14309000000.0,14309000000.0,,,,14485000000.0,,,,14304000000.0,,,,14607000000.0,,,,15656000000.0,,,,18574000000.0,,,,18358000000.0,,,
CommonEquityTierOneCapitalRatio / pure,,,,,,,,,,,,,0.112,0.112,0.112,0.112,0.112,0.112,,,,0.106,,,,0.1,,,,0.1,,,,0.099,,,,0.1,,,,0.106,,,
CommonEquityTierOneCapitalRequiredForCapitalAdequacy / USD,,,,,,,,,,,,,6348000000.0,6348000000.0,7342000000.0,7342000000.0,7342000000.0,7342000000.0,,,,8683000000.0,,,,10004000000.0,,,,11596000000.0,,,,12548000000.0,,,,14633000000.0,,,,14671000000.0,,,
CommonStockDividendsPerShareDeclared / USD/shares,,,,,,,,,,0.12,,,,0.18,,,,,,,0.71,0.64,0.32,0.64,1.0,0.98,0.39,0.78,1.17,1.36,0.39,0.78,1.17,1.56,0.39,0.78,1.2,1.56,0.42,0.84,1.26,1.62,0.42,0.84,1.26
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
CommonStockSharesIssued / shares,559998324.0,559998324.0,560262638.0,560262638.0,560262638.0,560262638.0,563117415.0,563117415.0,563117415.0,563117415.0,564630542.0,564630542.0,564630542.0,564630542.0,565850984.0,565850984.0,565850984.0,565850984.0,566819863.0,566819863.0,566819863.0,566819863.0,568238730.0,568238730.0,568238730.0,568238730.0,569876133.0,569876133.0,569876133.0,569876133.0,571259135.0,571259135.0,571259135.0,571259135.0,645220018.0,645220018.0,645220018.0,645220018.0,647829720.0,647829720.0,647829720.0,647829720.0,650068324.0,650068324.0,650068324.0
CommonStockSharesOutstanding / shares,559998324.0,559998324.0,545884519.0,545884519.0,545884519.0,545884519.0,527774428.0,527774428.0,527774428.0,527774428.0,511954871.0,511954871.0,511954871.0,511954871.0,490812912.0,490812912.0,490812912.0,490812912.0,466007984.0,466007984.0,466007984.0,466007984.0,433121083.0,433121083.0,433121083.0,433121083.0,427209831.0,427209831.0,427209831.0,427209831.0,422137197.0,422137197.0,422137197.0,422137197.0,492282158.0,492282158.0,492282158.0,492282158.0,466418055.0,466418055.0,466418055.0,466418055.0,440543381.0,440543381.0,440543381.0
