fact_unit,2011-08-05,2011-11-08,2012-02-27,2012-05-04,2012-08-03,2012-11-02,2013-02-22,2013-05-02,2013-08-08,2013-11-01,2014-02-24,2014-05-07,2014-08-07,2014-11-06,2015-02-27,2015-05-07,2015-08-07,2015-11-05,2016-02-26,2016-05-06,2016-08-04,2016-11-04,2017-02-24,2017-05-08,2017-08-04,2017-11-03,2018-02-23,2018-05-08,2018-08-03,2018-11-02,2019-02-15,2019-05-03,2019-08-02,2019-11-05,2020-02-18,2020-05-11,2020-08-07,2020-11-06,2021-02-19,2021-05-10,2021-08-06,2021-11-05,2022-02-28,2022-05-06,2022-08-05,2022-11-08,2023-02-27,2023-05-10,2023-08-08,2023-11-09,2024-02-29,2024-05-09,2024-08-09,2024-11-05,2025-02-28,2025-05-09,2025-08-08,2025-11-07
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,1963000.0,1963000.0,1963000.0,-2189000.0,-2189000.0,-2189000.0,-2189000.0,-4606000.0,-4606000.0,-4606000.0,-4606000.0,-5899000.0,-5899000.0,-5899000.0,-5899000.0,-20404000.0,-20404000.0,-20404000.0,-20404000.0,-28799000.0,,,,,,,,,,-19481000.0,-19481000.0,-39645000.0,-39645000.0,-39645000.0,-39645000.0,-41639000.0,-41639000.0,-41639000.0,-41639000.0,-18612000.0,-18612000.0,-18612000.0,-18612000.0,-209789000.0,-209789000.0,,,,,-5301800000.0,-5301800000.0,-4517649000.0,-4517649000.0,-4517649000.0,-4517649000.0,-7046545000.0,-7046545000.0,-7046545000.0
AdditionalLiabilityLongDurationInsuranceAfterReinsurance / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4814697000.0,4869234000.0,4912301000.0,4970969000.0,4998425000.0,5062377000.0,5138514000.0,5695655000.0,5753043000.0,5802920000.0,5879223000.0
AdditionalLiabilityLongDurationInsuranceBeforeReinsuranceAfterDiscountRateChange / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4832678000.0,4832678000.0,4832678000.0,4832678000.0,5104810000.0,5104810000.0,5104810000.0,5104810000.0,7251266000.0,7251266000.0,7251266000.0
AdditionalLiabilityLongDurationInsuranceBenefitPayment / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115920000.0,215236000.0,306035000.0,406062000.0,84913000.0,193836000.0,292067000.0,399201000.0,136605000.0,264671000.0,383297000.0
AdditionalLiabilityLongDurationInsuranceCumulativeIncreaseDecreaseFromCashFlowChange / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18160000.0,18346000.0,0.0,,13773000.0,13773000.0,,,-7760000.0
AdditionalLiabilityLongDurationInsuranceCumulativeIncreaseDecreaseOfActualVarianceFromExpectedExperience / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18338000.0,18972000.0,-33396000.0,-18298000.0,-21177000.0,-28486000.0,-26485000.0,-43775000.0,-29667000.0,-23569000.0,-30523000.0
AdditionalLiabilityLongDurationInsuranceCurrentWeightedAverageDiscountRate / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,0.0309,0.0309,0.0309,0.0309,0.0329,0.0329,0.0329
AdditionalLiabilityLongDurationInsuranceGrossPremiumIncome / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140571000.0,290642000.0,423037000.0,562955000.0,146376000.0,205414000.0,342419000.0,586269000.0,168504000.0,349862000.0,530138000.0
AdditionalLiabilityLongDurationInsuranceIncreaseDecreaseFromDiscountRateChange / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86032000.0,-95076000.0,-99149000.0,-133841000.0,-117958000.0,-116633000.0,-138587000.0,-121481000.0,-112509000.0,-140804000.0,-125689000.0
AdditionalLiabilityLongDurationInsuranceInterestIncomeExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36585000.0,73630000.0,111040000.0,148991000.0,26296000.0,64982000.0,104393000.0,150529000.0,59363000.0,119401000.0,179790000.0
AdditionalLiabilityLongDurationInsuranceIssuance / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5356000.0,11648000.0,17971000.0,23790000.0,5684000.0,13006000.0,20054000.0,1929571000.0,6079000.0,11579000.0,17695000.0
AdditionalLiabilityLongDurationInsuranceNetPremiumCollected / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123692000.0,242618000.0,371032000.0,505365000.0,85683000.0,218534000.0,352623000.0,495559000.0,175430000.0,350460000.0,517859000.0
AdditionalLiabilityLongDurationInsuranceOriginalDiscountRateBeforeReinsuranceAfterCashFlowChange / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4851016000.0,4851650000.0,4817442000.0,4832726000.0,5083633000.0,5076324000.0,5092098000.0,5074808000.0,7221599000.0,7227697000.0,7212983000.0
AdditionalLiabilityLongDurationInsuranceReinsuranceRecoverableAfterAllowance / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,1434130000.0,1460314000.0,1500742000.0,1540118000.0
AdditionalPaidInCapital / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8106408000.0,8106408000.0,8106408000.0,8106408000.0,8565919000.0,8565919000.0,8565919000.0,8565919000.0,8687817000.0,8687817000.0,8687817000.0,8687817000.0,8997435000.0,8997435000.0,,,,,16284057000.0,16284057000.0,17549157000.0,17549157000.0,17549157000.0,17549157000.0,18406718000.0,18406718000.0,18406718000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,,,,,400207000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326402000.0,,,,433716000.0,,329993000.0,475936000.0,730236000.0,183411000.0,368318000.0,552987000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,,,,,,,,429187360.0,423248345.0,417990571.0,445895283.0,399474991.0,394996735.0,391269962.0,414581851.0,375836317.0,372639228.0,370306583.0,388198713.0,360317628.0,359522981.0,358853469.0,368399872.0,352586584.0,349513066.0,346716489.0,357873788.0,335016218.0,326984091.0,319080563.0,344422095.0,298858418.0,298323364.0,297624035.0,314458757.0,288322053.0,287306484.0,285757397.0,296445196.0,274748078.0,274591760.0,273802676.0,283633220.0,260102818.0,217728054.0,145185466.0,272910566.0,,,,109268211.0,,,
Assets / USD,38391157000.0,38391157000.0,30221111000.0,39871530000.0,40588171000.0,38633762000.0,38391157000.0,43520412000.0,42610275000.0,43648620000.0,40377645000.0,45542791000.0,44807645000.0,51427201000.0,51427201000.0,65872745000.0,65634317000.0,66332985000.0,65872745000.0,67286990000.0,71693697000.0,69056926000.0,71042339000.0,34428583000.0,37506871000.0,37984599000.0,39002897000.0,41635712000.0,42868081000.0,44305639000.0,39002897000.0,47579153000.0,48572664000.0,50743375000.0,50743375000.0,60899319000.0,60899319000.0,60899319000.0,60899319000.0,55601075000.0,62110382000.0,70655333000.0,,,229234863000.0,,,,,275346636000.0,275346636000.0,282610589000.0,287694799000.0,288732956000.0,317294194000.0,339773927000.0,348469179000.0,360655876000.0
AssumedPremiumsEarned / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4573925000.0,,,,4573925000.0,,,,4573925000.0,,,,4138758000.0,,,
