fact_unit,2010-04-29,2010-07-29,2010-10-28,2011-02-23,2011-04-28,2011-07-28,2011-10-27,2012-02-23,2012-04-26,2012-07-26,2012-10-25,2013-02-22,2013-04-25,2013-07-25,2013-07-26,2013-11-06,2014-02-28,2014-04-24,2014-07-24,2014-10-23,2015-02-25,2015-04-23,2015-07-23,2015-10-22,2016-02-24,2016-04-29,2016-07-28,2016-10-27,2017-02-22,2017-04-27,2017-07-27,2017-11-09,2018-03-01,2018-04-26,2018-07-26,2018-10-25,2019-02-21,2019-05-10,2019-07-25,2019-10-25,2020-02-20,2020-04-21,2020-07-23,2020-10-22,2021-02-25,2021-04-22,2021-07-22,2021-10-21,2022-02-24,2022-04-21,2022-07-21,2022-10-20,2023-02-23,2023-04-20,2023-07-25,2023-10-23,2024-02-22,2024-04-22,2024-07-22,2024-10-21,2025-02-20,2025-04-22,2025-07-22,2025-10-21
AccountsPayableCurrent / USD,35900000.0,35900000.0,35900000.0,35900000.0,24600000.0,24600000.0,24600000.0,24600000.0,27500000.0,27500000.0,27500000.0,27500000.0,25100000.0,25100000.0,27500000.0,25100000.0,25100000.0,19900000.0,19900000.0,19900000.0,19900000.0,20300000.0,20300000.0,20300000.0,20300000.0,40600000.0,40600000.0,40600000.0,40600000.0,81000000.0,81000000.0,81000000.0,81000000.0,110300000.0,110300000.0,110300000.0,110300000.0,175700000.0,175700000.0,175700000.0,175700000.0,148300000.0,148300000.0,148300000.0,148300000.0,159100000.0,159100000.0,159100000.0,159100000.0,211600000.0,211600000.0,211600000.0,211600000.0,250800000.0,250800000.0,250800000.0,250800000.0,197600000.0,197600000.0,197600000.0,197600000.0,138200000.0,138200000.0,138200000.0
AccountsReceivableNetCurrent / USD,258700000.0,258700000.0,258700000.0,258700000.0,262600000.0,262600000.0,262600000.0,262600000.0,284400000.0,284400000.0,284400000.0,284400000.0,317000000.0,317000000.0,284400000.0,317000000.0,317000000.0,309700000.0,309700000.0,309700000.0,309700000.0,337200000.0,337200000.0,337200000.0,337200000.0,349800000.0,349800000.0,349800000.0,349800000.0,433300000.0,433300000.0,433300000.0,433300000.0,444800000.0,444800000.0,444800000.0,444800000.0,469100000.0,469100000.0,469100000.0,469100000.0,532100000.0,532100000.0,532100000.0,532100000.0,630600000.0,630600000.0,630600000.0,630600000.0,727600000.0,727600000.0,727600000.0,727600000.0,857700000.0,857700000.0,857700000.0,857700000.0,908200000.0,908200000.0,908200000.0,908200000.0,957600000.0,957600000.0,957600000.0
AccruedEmployeeBenefitsCurrent / USD,,,,,,,,61900000.0,,,,66500000.0,,,66500000.0,,70000000.0,,,,51800000.0,,,,60700000.0,,,,83100000.0,,,,90000000.0,,,,44900000.0,,,,61700000.0,,,,77700000.0,,,,149000000.0,,,,147300000.0,,,,45500000.0,,,,88000000.0,,,
AccruedLiabilitiesCurrent / USD,67700000.0,67700000.0,67700000.0,67700000.0,61900000.0,61900000.0,61900000.0,61900000.0,56300000.0,56300000.0,56300000.0,56300000.0,84900000.0,84900000.0,56300000.0,84900000.0,84900000.0,95400000.0,95400000.0,95400000.0,95400000.0,85500000.0,85500000.0,85500000.0,85500000.0,112700000.0,112700000.0,112700000.0,112700000.0,149300000.0,149300000.0,149300000.0,149300000.0,160900000.0,160900000.0,160900000.0,160900000.0,213200000.0,213200000.0,213200000.0,213200000.0,163500000.0,163500000.0,163500000.0,163500000.0,251800000.0,251800000.0,251800000.0,251800000.0,237500000.0,237500000.0,237500000.0,237500000.0,229000000.0,229000000.0,229000000.0,229000000.0,245100000.0,245100000.0,245100000.0,245100000.0,251100000.0,251100000.0,251100000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,346000000.0,346000000.0,346000000.0,346000000.0,368000000.0,368000000.0,368000000.0,368000000.0,400800000.0,400800000.0,400800000.0,400800000.0,461600000.0,461600000.0,400800000.0,461600000.0,461600000.0,472300000.0,472300000.0,472300000.0,472300000.0,354800000.0,354800000.0,354800000.0,354800000.0,288100000.0,288100000.0,288100000.0,288100000.0,317100000.0,317100000.0,317100000.0,317100000.0,380000000.0,380000000.0,380000000.0,380000000.0,480000000.0,480000000.0,480000000.0,480000000.0,593200000.0,593200000.0,593200000.0,593200000.0,774100000.0,774100000.0,774100000.0,774100000.0,961300000.0,961300000.0,961300000.0,961300000.0,1095100000.0,1095100000.0,1095100000.0,1095100000.0,1227800000.0,1227800000.0,1227800000.0,1227800000.0,1440200000.0,1440200000.0,1440200000.0
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,216200000.0,216200000.0,216200000.0,208500000.0,241300000.0,241300000.0,241300000.0,216200000.0,300300000.0,300300000.0,300300000.0,241300000.0,276400000.0,276400000.0,241300000.0,276400000.0,300300000.0,202200000.0,202200000.0,202200000.0,276400000.0,263300000.0,263300000.0,263300000.0,202200000.0,245800000.0,245800000.0,245800000.0,,265900000.0,265900000.0,265900000.0,245800000.0,257500000.0,257500000.0,257500000.0,,,,,,,278100000.0,278100000.0,5200000.0,2000000.0,2000000.0,2000000.0,900000.0,1900000.0,1900000.0,1900000.0,2000000.0,3400000.0,3400000.0,3400000.0,1900000.0,3600000.0,3600000.0,3600000.0,3400000.0,3500000.0,3500000.0,3500000.0
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,-99900000.0,-99900000.0,-99900000.0,-178400000.0,-100800000.0,-100800000.0,-100800000.0,-99900000.0,-89300000.0,-89300000.0,-89300000.0,-100800000.0,-83600000.0,-83600000.0,-100800000.0,-83600000.0,-89300000.0,-108500000.0,-108500000.0,-108500000.0,-83600000.0,-170300000.0,-170300000.0,-170300000.0,-108500000.0,-237400000.0,-237400000.0,-237400000.0,,-262000000.0,-262000000.0,-262000000.0,-237400000.0,-103300000.0,-103300000.0,-103300000.0,,-328000000.0,-328000000.0,-328000000.0,-103300000.0,-352400000.0,-352400000.0,-352400000.0,-328100000.0,-168400000.0,-168400000.0,-168400000.0,-352400000.0,-292500000.0,-292500000.0,-292500000.0,-168400000.0,-469300000.0,-469300000.0,-469300000.0,-292500000.0,-426700000.0,-426700000.0,-426700000.0,-469300000.0,-718400000.0,-718400000.0,-718400000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-318700000.0,-318700000.0,-318700000.0,-390600000.0,-344500000.0,-344500000.0,-344500000.0,-318700000.0,-391800000.0,-391800000.0,-391800000.0,-344500000.0,-362000000.0,-362000000.0,-344500000.0,-362000000.0,-391800000.0,-312600000.0,-312600000.0,-312600000.0,-362000000.0,-435400000.0,-435400000.0,-435400000.0,-312600000.0,-484800000.0,-484800000.0,-484800000.0,-484800000.0,-528900000.0,-528900000.0,-528900000.0,-484800000.0,-412000000.0,-412000000.0,-412000000.0,-412000000.0,-626300000.0,-626300000.0,-626300000.0,-626300000.0,-631600000.0,-631600000.0,-631600000.0,-334500000.0,-171400000.0,-171400000.0,-171400000.0,-354400000.0,-295400000.0,-295400000.0,-295400000.0,-171400000.0,-473700000.0,-473700000.0,-473700000.0,-295400000.0,-431200000.0,-431200000.0,-431200000.0,-473700000.0,-722700000.0,-722700000.0,-722700000.0
AdditionalPaidInCapitalCommonStock / USD,1102000000.0,1102000000.0,1102000000.0,1102000000.0,1105800000.0,1105800000.0,1105800000.0,1105800000.0,1118000000.0,1118000000.0,1118000000.0,1118000000.0,1139600000.0,1139600000.0,1118000000.0,1139600000.0,1139600000.0,1174600000.0,1174600000.0,1174600000.0,1174600000.0,1201700000.0,1201700000.0,1201700000.0,1201700000.0,1260500000.0,1260500000.0,1260500000.0,1260500000.0,1313300000.0,1313300000.0,1313300000.0,1313300000.0,1332700000.0,1332700000.0,1332700000.0,1332700000.0,1356600000.0,1356600000.0,1356600000.0,1356600000.0,1405100000.0,1405100000.0,1405100000.0,1405100000.0,1470700000.0,1470700000.0,1470700000.0,1470700000.0,1536700000.0,1536700000.0,1536700000.0,1536700000.0,1594200000.0,1594200000.0,1594200000.0,1594200000.0,1761300000.0,1761300000.0,1761300000.0,1761300000.0,1915200000.0,1915200000.0,1915200000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,4400000.0,10900000.0,15000000.0,19900000.0,4700000.0,11800000.0,17300000.0,19600000.0,9300000.0,15000000.0,20000000.0,21800000.0,10400000.0,16700000.0,21800000.0,23100000.0,24400000.0,11100000.0,19600000.0,29000000.0,28000000.0,18200000.0,24500000.0,32200000.0,32200000.0,16300000.0,22200000.0,30200000.0,38100000.0,18700000.0,25300000.0,34600000.0,38400000.0,12800000.0,20700000.0,32800000.0,37100000.0,12800000.0,20700000.0,32800000.0,38300000.0,18100000.0,29800000.0,40600000.0,42500000.0,18800000.0,31700000.0,43900000.0,49700000.0,20700000.0,33900000.0,44800000.0,54700000.0,22300000.0,36700000.0,50400000.0,54900000.0,39700000.0,52200000.0,61300000.0,62600000.0,41200000.0,60300000.0,71900000.0
