fact_unit,2023-11-09,2024-02-08,2024-05-29,2024-08-01,2024-11-07,2025-02-05,2025-05-28,2025-07-30,2025-11-05
ContractWithCustomerAssetNetCurrent / USD,154000000.0,154000000.0,154000000.0,336000000.0,336000000.0,336000000.0,336000000.0,642000000.0,642000000.0
ContractWithCustomerAssetNetNoncurrent / USD,116000000.0,116000000.0,116000000.0,240000000.0,240000000.0,240000000.0,240000000.0,346000000.0,346000000.0
ContractWithCustomerAssetReclassifiedToReceivable / USD,-250700000.0,-250700000.0,250700000.0,357400000.0,357400000.0,357400000.0,357400000.0,709800000.0,709800000.0
ContractWithCustomerLiability / USD,1100000000.0,1100000000.0,1126000000.0,915000000.0,915000000.0,915000000.0,1100000000.0,915000000.0,915000000.0
ContractWithCustomerLiabilityCurrent / USD,293000000.0,293000000.0,293000000.0,198000000.0,198000000.0,198000000.0,198000000.0,209000000.0,209000000.0
ContractWithCustomerLiabilityNoncurrent / USD,807000000.0,807000000.0,807000000.0,717000000.0,717000000.0,717000000.0,717000000.0,702000000.0,702000000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,116000000.0,213000000.0,128000000.0,39000000.0,98000000.0,128000000.0,226000000.0,39000000.0,131000000.0
ContractWithCustomerPerformanceObligationSatisfiedInPreviousPeriod / USD,894500000.0,1329000000.0,1562000000.0,400500000.0,820800000.0,1349900000.0,1705000000.0,471100000.0,987300000.0
ContractWithCustomerRefundLiability / USD,,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0
CostOfRevenue / USD,50000000.0,79000000.0,131000000.0,31000000.0,77000000.0,113000000.0,106000000.0,33000000.0,65000000.0
CurrentFederalTaxExpenseBenefit / USD,,,44000000.0,,,,87000000.0,,
CurrentForeignTaxExpenseBenefit / USD,,,146000000.0,,,,94000000.0,,
CurrentIncomeTaxExpenseBenefit / USD,,,190000000.0,,,,181000000.0,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,53000000.0,,,,-25000000.0,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,-133000000.0,,,,-9000000.0,,
DeferredIncomeTaxAssetsNet / USD,139000000.0,139000000.0,139000000.0,282000000.0,282000000.0,282000000.0,282000000.0,401000000.0,401000000.0
DeferredIncomeTaxExpenseBenefit / USD,,,-80000000.0,,,,-34000000.0,,
DeferredIncomeTaxLiabilities / USD,,,349000000.0,,,,342000000.0,,
DeferredIncomeTaxLiabilitiesNet / USD,262000000.0,262000000.0,262000000.0,135000000.0,135000000.0,135000000.0,135000000.0,41000000.0,41000000.0
DeferredIncomeTaxesAndTaxCredits / USD,-9000000.0,-26000000.0,-76000000.0,-13000000.0,-17000000.0,-26000000.0,-34000000.0,2000000.0,-11000000.0
DeferredTaxAssetsEquityMethodInvestments / USD,,,7000000.0,,,,9000000.0,,
DeferredTaxAssetsGross / USD,,,247000000.0,,,,514000000.0,,
DeferredTaxAssetsInProcessResearchAndDevelopment / USD,,,147000000.0,,,,408000000.0,,
DeferredTaxAssetsLiabilitiesNet / USD,,,147000000.0,,,,147000000.0,,
DeferredTaxAssetsNet / USD,,,226000000.0,,,,489000000.0,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic / USD,,,94200000.0,,,,97200000.0,,
DeferredTaxAssetsPropertyPlantAndEquipment / USD,,,23000000.0,,,,27000000.0,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,30000000.0,,,,28000000.0,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals / USD,,,27000000.0,,,,23000000.0,,
DeferredTaxAssetsValuationAllowance / USD,,,21000000.0,,,,25000000.0,,
DeferredTaxLiabilitiesDeferredExpenseCapitalizedResearchAndDevelopmentCosts / USD,,,70600000.0,,,,101300000.0,,
DeferredTaxLiabilitiesDerivatives / USD,,,3000000.0,,,,0.0,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,,6000000.0,,,,5000000.0,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,12000000.0,,,,18000000.0,,
DefinedContributionPlanCostRecognized / USD,,,77000000.0,,,,78400000.0,,
Depreciation / USD,,,82500000.0,,,,77200000.0,,
DepreciationDepletionAndAmortization / USD,87000000.0,130000000.0,185000000.0,41000000.0,82000000.0,124000000.0,170000000.0,43000000.0,87000000.0
DerivativeFairValueOfDerivativeNet / USD,9300000.0,9300000.0,9300000.0,100000.0,100000.0,100000.0,,,4700000.0
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet / USD,-30000000.0,-30000000.0,-17000000.0,,,,-30000000.0,,
DerivativeNotionalAmount / GBP,340000000.0,340000000.0,340000000.0,728000000.0,728000000.0,728000000.0,,,335000000.0
EarningsPerShareBasic / USD/shares,0.33,0.51,0.54,0.1,0.0,0.08,0.51,0.21,0.32
EarningsPerShareDiluted / USD/shares,0.33,0.51,0.54,0.1,0.0,0.08,0.51,0.21,0.31
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,-21000000.0,-10000000.0,-17000000.0,0.0,1000000.0,7000000.0,-9000000.0,2000000.0,7000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,0.226,0.218,-0.14,0.173,1.625,-0.468,0.22,,
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount / USD,,,0.0,,,,0.0,,
EmployeeRelatedLiabilitiesCurrent / USD,589000000.0,589000000.0,589000000.0,298000000.0,298000000.0,298000000.0,298000000.0,140000000.0,140000000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,0.0,0.0,,29000000.0,70000000.0,96000000.0,48000000.0,12000000.0,42000000.0
EntityCommonStockSharesOutstanding / shares,,,1040330497.0,,,,1056513738.0,,
EquityMethodInvestmentDividendsOrDistributions / USD,300000.0,300000.0,2400000.0,300000.0,2100000.0,4300000.0,1000000.0,100000.0,1100000.0
