fact_unit,2010-12-03,2011-03-07,2011-06-09,2011-10-28,2011-12-12,2012-03-09,2012-06-11,2012-10-01,2012-12-07,2013-03-12,2013-06-05,2013-09-30,2013-12-10,2014-03-05,2014-06-09,2014-09-29,2014-11-26,2015-03-04,2015-05-28,2015-09-25,2015-11-24,2016-02-25,2016-05-26,2016-09-28,2016-11-30,2017-02-28,2017-05-25,2017-09-28,2017-11-28,2018-02-27,2018-05-25,2018-10-01,2018-11-29,2019-02-28,2019-05-29,2019-09-30,2019-11-25,2020-02-27,2020-05-28,2020-09-28,2020-11-20,2021-02-24,2021-05-24,2021-09-27,2021-11-19,2022-03-03,2022-05-25,2022-09-27,2022-11-18,2023-02-24,2023-05-25,2023-09-28,2023-11-21,2024-02-27,2024-05-23,2024-09-30,2024-11-26,2025-02-26,2025-06-03,2025-09-26,2025-11-24
AccountsPayableAndAccruedLiabilitiesCurrent / USD,93740000.0,93740000.0,93740000.0,93740000.0,101708000.0,101708000.0,101708000.0,101708000.0,102958000.0,102958000.0,102958000.0,102677000.0,136648000.0,136648000.0,136648000.0,136648000.0,152156000.0,152156000.0,152156000.0,152156000.0,147452000.0,147452000.0,147452000.0,147452000.0,192379000.0,192379000.0,192379000.0,192379000.0,208415000.0,208415000.0,208415000.0,208415000.0,270944000.0,270944000.0,270944000.0,270944000.0,270918000.0,270918000.0,270918000.0,270918000.0,318530000.0,318530000.0,318530000.0,318530000.0,369826000.0,369826000.0,369826000.0,369826000.0,399034000.0,399034000.0,399034000.0,399034000.0,440810000.0,440810000.0,440810000.0,440810000.0,518148000.0,518148000.0,518148000.0,518148000.0,591831000.0
AccountsPayableOtherCurrent / USD,,,,40370000.0,,,,42190000.0,,,,36153000.0,,,,36073000.0,,,,40105000.0,,,,42230000.0,,,,46866000.0,,,,50534000.0,,,,68660000.0,,,,68427000.0,,,,92013000.0,,,,123642000.0,,,,132294000.0,,,,143724000.0,,,,169413000.0,
AccountsPayableTradeCurrent / USD,,,,14923000.0,,,,12365000.0,,,,16353000.0,,,,34488000.0,,,,22108000.0,,,,15287000.0,,,,30087000.0,,,,20626000.0,,,,65057000.0,,,,45520000.0,,,,40906000.0,,,,39595000.0,,,,54876000.0,,,,36292000.0,,,,23920000.0,
AccountsReceivableGrossCurrent / USD,,,,111902000.0,,,,125981000.0,,,,140820000.0,,,,185397000.0,,,,200569000.0,,,,218684000.0,,,,270390000.0,,,,316157000.0,357045000.0,357045000.0,357045000.0,357045000.0,372207000.0,372207000.0,372207000.0,372207000.0,356597000.0,356597000.0,356597000.0,356597000.0,486264000.0,486264000.0,486264000.0,486264000.0,585150000.0,585150000.0,585150000.0,585150000.0,710678000.0,710678000.0,710678000.0,710678000.0,798410000.0,798410000.0,798410000.0,798410000.0,
AccountsReceivableNetCurrent / USD,109061000.0,109061000.0,109061000.0,109061000.0,122859000.0,122859000.0,122859000.0,122859000.0,138966000.0,138966000.0,138966000.0,137900000.0,182714000.0,182714000.0,182714000.0,182714000.0,196985000.0,196985000.0,196985000.0,196985000.0,215696000.0,215696000.0,215696000.0,215696000.0,266270000.0,266270000.0,266270000.0,266270000.0,311846000.0,311846000.0,311846000.0,311846000.0,351601000.0,351601000.0,351601000.0,351601000.0,367265000.0,367265000.0,367265000.0,367265000.0,350207000.0,350207000.0,350207000.0,350207000.0,480628000.0,480628000.0,480628000.0,480628000.0,578573000.0,578573000.0,578573000.0,578573000.0,702038000.0,702038000.0,702038000.0,702038000.0,785877000.0,785877000.0,785877000.0,785877000.0,762811000.0
AccruedEmployeeBenefitsCurrent / USD,,,,14298000.0,,,,15605000.0,,,,16791000.0,,,,21978000.0,,,,25721000.0,,,,25647000.0,,,,33382000.0,,,,31173000.0,,,,37218000.0,,,,41400000.0,,,,42053000.0,,,,50688000.0,,,,47206000.0,,,,50914000.0,,,,64036000.0,
AccruedIncomeTaxesCurrent / USD,1314000.0,1314000.0,1314000.0,1314000.0,3543000.0,3543000.0,3543000.0,3543000.0,3082000.0,3082000.0,3082000.0,3082000.0,4741000.0,4741000.0,4741000.0,4741000.0,8284000.0,8284000.0,8284000.0,8284000.0,8279000.0,8279000.0,8279000.0,8279000.0,5625000.0,5625000.0,5625000.0,5625000.0,6472000.0,6472000.0,6472000.0,6472000.0,673000.0,673000.0,673000.0,673000.0,3482000.0,3482000.0,3482000.0,3482000.0,3709000.0,3709000.0,3709000.0,3709000.0,7760000.0,7760000.0,7760000.0,7760000.0,0.0,0.0,0.0,0.0,4374000.0,4374000.0,4374000.0,4374000.0,60994000.0,60994000.0,60994000.0,60994000.0,41141000.0
AccruedIncomeTaxesNoncurrent / USD,23369000.0,23369000.0,23369000.0,23369000.0,24773000.0,24773000.0,24773000.0,24773000.0,22531000.0,22531000.0,22531000.0,22531000.0,23091000.0,23091000.0,23091000.0,23091000.0,23771000.0,23771000.0,23771000.0,23771000.0,21157000.0,21157000.0,21157000.0,21157000.0,25641000.0,25641000.0,25641000.0,25641000.0,24573000.0,24573000.0,24573000.0,24573000.0,27277000.0,27277000.0,27277000.0,27277000.0,35116000.0,35116000.0,35116000.0,35116000.0,44965000.0,44965000.0,44965000.0,44965000.0,52345000.0,52345000.0,52345000.0,52345000.0,64637000.0,64637000.0,64637000.0,64637000.0,69193000.0,69193000.0,69193000.0,69193000.0,59560000.0,59560000.0,59560000.0,59560000.0,35635000.0
AccruedInsuranceCurrent / USD,,,,4831000.0,,,,5494000.0,,,,5686000.0,,,,6048000.0,,,,5703000.0,,,,5796000.0,,,,5753000.0,,,,5263000.0,,,,4376000.0,,,,8507000.0,,,,9315000.0,,,,8328000.0,,,,6658000.0,,,,4850000.0,,,,11065000.0,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,259554000.0,,,,292329000.0,,,,323430000.0,,,,372106000.0,,,,385234000.0,,,,415353000.0,,,,415537000.0,,,,451994000.0,,,,490120000.0,,537622000.0,537622000.0,537622000.0,624541000.0,624541000.0,624541000.0,624541000.0,730772000.0,730772000.0,730772000.0,730772000.0,842362000.0,842362000.0,842362000.0,842362000.0,978224000.0,978224000.0,978224000.0,978224000.0,1142246000.0,1142246000.0,1142246000.0,1142246000.0,
