fact_unit,2009-08-06,2009-11-06,2010-02-26,2010-04-28,2010-08-03,2010-10-29,2011-02-24,2011-04-29,2011-07-29,2011-10-28,2012-02-24,2012-04-27,2012-07-27,2012-10-25,2013-02-28,2013-04-25,2013-07-25,2013-10-24,2014-02-21,2014-04-24,2014-07-24,2014-10-23,2015-02-13,2015-04-23,2015-07-23,2015-10-22,2016-02-19,2016-04-28,2016-07-28,2016-10-27,2017-02-17,2017-04-27,2017-07-27,2017-10-26,2018-02-16,2018-04-26,2018-07-26,2018-10-25,2019-02-15,2019-04-25,2019-07-25,2019-10-24,2020-02-14,2020-04-23,2020-07-23,2020-10-22,2021-02-19,2021-04-22,2021-07-22,2021-10-28,2022-02-18,2022-04-28,2022-07-28,2022-10-27,2023-02-17,2023-04-27,2023-07-27,2023-10-26,2024-02-15,2024-04-25,2024-07-25,2024-10-24,2025-02-13,2025-04-24,2025-07-24,2025-10-23
CapitalizedComputerSoftwareAdditions / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000000.0,,,,17700000.0,,,,14700000.0,,,,11900000.0,,,,12800000.0,,,,12100000.0,,,,10600000.0,,,,7200000.0,,,
CapitalizedComputerSoftwareNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441732000.0,,,,462469000.0,,,,461829000.0,,,,470237000.0,,,,415086000.0,,,,400600000.0,,,402700000.0,402700000.0,,,,409000000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,1376722000.0,1376722000.0,501784000.0,789068000.0,789068000.0,789068000.0,1376722000.0,1477166000.0,1477166000.0,1477166000.0,789068000.0,1559628000.0,1559628000.0,1559628000.0,1477166000.0,1313349000.0,1313349000.0,1313349000.0,1559628000.0,130736000.0,130736000.0,130736000.0,1313349000.0,339223000.0,339223000.0,339223000.0,130736000.0,191608000.0,191608000.0,191608000.0,339223000.0,228659000.0,228659000.0,228659000.0,191608000.0,465851000.0,465851000.0,465851000.0,465851000.0,357415000.0,357415000.0,357415000.0,357415000.0,508196000.0,508196000.0,508196000.0,508196000.0,401194000.0,401194000.0,401194000.0,401194000.0,223500000.0,223500000.0,223500000.0,223500000.0,373600000.0,373600000.0,373600000.0,373600000.0,240100000.0,240100000.0,240100000.0,240100000.0,206700000.0,206700000.0,206700000.0
CashCashEquivalentsAndShortTermInvestments / USD,,,,,,,,,2063659000.0,2063659000.0,2063659000.0,1350131000.0,1350131000.0,1350131000.0,1350131000.0,1560945000.0,1560945000.0,1560945000.0,1560945000.0,1731764000.0,1731764000.0,1731764000.0,1731764000.0,1432712000.0,1432712000.0,1432712000.0,1432712000.0,1927399000.0,1927399000.0,1927399000.0,1927399000.0,1807543000.0,1807543000.0,1807543000.0,1807543000.0,2424039000.0,2424039000.0,2424039000.0,2424039000.0,1279007000.0,1279007000.0,1279007000.0,1279007000.0,1227464000.0,1227464000.0,1227464000.0,1227464000.0,1176314000.0,1176314000.0,1176314000.0,1176314000.0,1211100000.0,1211100000.0,1211100000.0,1211100000.0,985800000.0,985800000.0,985800000.0,985800000.0,931800000.0,931800000.0,931800000.0,931800000.0,605300000.0,605300000.0,605300000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241581000.0,241581000.0,241581000.0,240628000.0,475139000.0,475139000.0,475139000.0,241581000.0,366753000.0,366753000.0,366753000.0,475139000.0,517601000.0,517601000.0,517601000.0,366753000.0,410600000.0,410600000.0,410600000.0,517600000.0,228800000.0,228800000.0,228800000.0,410600000.0,379000000.0,379000000.0,379000000.0,228800000.0,245500000.0,245500000.0,245500000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222303000.0,10121000.0,54523000.0,953000.0,1237878000.0,-209435000.0,-234247000.0,233558000.0,422227000.0,394201000.0,-248074000.0,-108386000.0,-9499000.0,-201491000.0,-362492000.0,150848000.0,-154400000.0,-185200000.0,-148100000.0,-107000000.0,535100000.0,382800000.0,337100000.0,-181800000.0,446100000.0,-29800000.0,-216000000.0,150200000.0,491700000.0,12000000.0,27200000.0
CashEquivalentsAtCarryingValue / USD,,,,,,,,,106270000.0,106270000.0,106270000.0,1127196000.0,1127196000.0,1127196000.0,1127196000.0,63578000.0,63578000.0,63578000.0,63578000.0,72232000.0,72232000.0,72232000.0,72232000.0,110799000.0,110799000.0,110799000.0,110799000.0,99027000.0,99027000.0,99027000.0,99027000.0,39183000.0,39183000.0,39183000.0,39183000.0,135092000.0,135092000.0,135092000.0,135092000.0,37190000.0,37190000.0,37190000.0,37190000.0,33238000.0,33238000.0,33238000.0,33238000.0,28832000.0,28832000.0,28832000.0,28832000.0,25800000.0,25800000.0,25800000.0,25800000.0,27000000.0,27000000.0,27000000.0,27000000.0,25600000.0,25600000.0,25600000.0,25600000.0,21700000.0,21700000.0,21700000.0
CommonStockDividendsPerShareCashPaid / USD/shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
CommonStockParOrStatedValuePerShare / USD/shares,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized / shares,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
