fact_unit,2011-05-05,2011-07-26,2011-10-18,2012-02-28,2012-05-01,2012-07-24,2012-10-16,2013-02-28,2013-04-30,2013-07-23,2013-10-15,2014-02-25,2014-05-01,2014-07-22,2014-10-14,2015-02-24,2015-04-23,2015-07-16,2015-10-08,2016-02-25,2016-04-28,2016-07-21,2016-10-18,2017-02-28,2017-04-27,2017-07-25,2017-10-12,2018-02-20,2018-04-26,2018-07-19,2018-10-16,2019-02-21,2019-04-24,2019-07-16,2019-10-08,2020-02-20,2020-04-23,2020-07-16,2020-10-08,2021-02-25,2021-04-29,2021-07-22,2021-10-14,2022-03-01,2022-04-28,2022-07-21,2022-10-13,2023-02-23,2023-04-27,2023-07-24,2023-10-12,2024-02-26,2024-04-29,2024-07-18,2024-10-10,2025-02-24,2025-04-28,2025-07-21,2025-10-14
AccountsPayableCurrent / USD,56602000.0,56602000.0,56602000.0,56602000.0,69714000.0,69714000.0,69714000.0,69714000.0,77414000.0,77414000.0,77414000.0,77414000.0,83408000.0,83408000.0,83408000.0,83408000.0,86552000.0,86552000.0,86552000.0,86552000.0,106927000.0,106927000.0,106927000.0,106927000.0,111510000.0,111510000.0,111510000.0,111510000.0,106894000.0,106894000.0,106894000.0,106894000.0,92546000.0,92546000.0,92546000.0,92546000.0,111101000.0,111101000.0,111101000.0,111101000.0,94499000.0,94499000.0,94499000.0,94499000.0,91547000.0,91547000.0,91547000.0,91547000.0,89715000.0,89715000.0,89715000.0,89715000.0,106267000.0,106267000.0,106267000.0,106267000.0,85898000.0,85898000.0,85898000.0
AccountsReceivableNetCurrent / USD,80410000.0,80410000.0,80410000.0,80410000.0,87200000.0,87200000.0,87200000.0,87200000.0,94103000.0,94103000.0,94103000.0,94103000.0,105779000.0,105779000.0,105779000.0,105779000.0,118395000.0,118395000.0,118395000.0,118395000.0,131582000.0,131582000.0,131582000.0,131582000.0,150369000.0,150369000.0,150369000.0,150369000.0,173677000.0,173677000.0,173677000.0,173677000.0,190091000.0,190091000.0,190091000.0,190091000.0,210260000.0,210260000.0,210260000.0,210260000.0,244560000.0,244560000.0,244560000.0,244560000.0,255327000.0,255327000.0,255327000.0,255327000.0,257492000.0,257492000.0,257492000.0,257492000.0,282809000.0,282809000.0,282809000.0,282809000.0,309104000.0,309104000.0,309104000.0
AccruedInsuranceCurrent / USD,,,,,,,13023000.0,13023000.0,12964000.0,12964000.0,12964000.0,12964000.0,13297000.0,13297000.0,13297000.0,13297000.0,14465000.0,14465000.0,14465000.0,14465000.0,17597000.0,17597000.0,17597000.0,17597000.0,16742000.0,16742000.0,16742000.0,16742000.0,20754000.0,20754000.0,20754000.0,20754000.0,22210000.0,22210000.0,22210000.0,22210000.0,23735000.0,23735000.0,23735000.0,23735000.0,26377000.0,26377000.0,26377000.0,26377000.0,32588000.0,32588000.0,32588000.0,32588000.0,31435000.0,31435000.0,31435000.0,31435000.0,28135000.0,28135000.0,28135000.0,28135000.0,25658000.0,25658000.0,25658000.0
AccruedInsuranceCurrentAndNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45900000.0,,,,50300000.0,,,,54600000.0,,,,56500000.0,,,,57600000.0,,,,56300000.0,,,
AccruedInsuranceNoncurrent / USD,,,,,,,21334000.0,21334000.0,24195000.0,24195000.0,24195000.0,24195000.0,25528000.0,25528000.0,25528000.0,25528000.0,26951000.0,26951000.0,26951000.0,26951000.0,23314000.0,23314000.0,23314000.0,23314000.0,27141000.0,27141000.0,27141000.0,27141000.0,30611000.0,30611000.0,30611000.0,30611000.0,31065000.0,31065000.0,31065000.0,31065000.0,34675000.0,34675000.0,34675000.0,34675000.0,37125000.0,37125000.0,37125000.0,37125000.0,36913000.0,36913000.0,36913000.0,36913000.0,40179000.0,40179000.0,40179000.0,40179000.0,38559000.0,38559000.0,38559000.0,38559000.0,33229000.0,33229000.0,33229000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,188431000.0,188431000.0,188431000.0,188431000.0,188610000.0,188610000.0,188610000.0,188610000.0,191713000.0,191713000.0,191713000.0,191713000.0,199914000.0,199914000.0,199914000.0,199914000.0,196174000.0,196174000.0,196174000.0,196174000.0,204283000.0,204283000.0,204283000.0,204283000.0,220964000.0,220964000.0,220964000.0,220964000.0,237279000.0,237279000.0,237279000.0,237279000.0,252182000.0,252182000.0,252182000.0,252182000.0,252448000.0,252448000.0,252448000.0,252448000.0,282625000.0,282625000.0,282625000.0,282625000.0,318466000.0,318466000.0,318466000.0,318466000.0,332472000.0,332472000.0,332472000.0,332472000.0,370368000.0,370368000.0,370368000.0,370368000.0,408591000.0,408591000.0,408591000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-2740000.0,-2740000.0,-2740000.0,-2740000.0,-2401000.0,-2401000.0,-2401000.0,-2401000.0,-2386000.0,-2386000.0,-2386000.0,-2386000.0,-1984000.0,-1984000.0,-1984000.0,-1984000.0,-2661000.0,-2661000.0,-2661000.0,-2661000.0,-3548000.0,-3548000.0,-3548000.0,-3548000.0,-3110000.0,-3110000.0,-3110000.0,-3110000.0,-2030000.0,-2030000.0,-2030000.0,-2030000.0,-4429000.0,-4429000.0,-4429000.0,-4429000.0,-3742000.0,-3742000.0,-3742000.0,-3742000.0,-2424000.0,-2424000.0,-2424000.0,-2424000.0,-2820000.0,-2820000.0,-2820000.0,-2820000.0,-4694000.0,-4694000.0,-4694000.0,-4694000.0,-3867000.0,-3867000.0,-3867000.0,-3867000.0,-7432000.0,-7432000.0,-7432000.0
AdditionalPaidInCapitalCommonStock / USD,,,,,,,,,,,,,,,,,29561000.0,29561000.0,29561000.0,29561000.0,6942000.0,6942000.0,6942000.0,6942000.0,1006000.0,1006000.0,1006000.0,1006000.0,5654000.0,5654000.0,5654000.0,5654000.0,569000.0,569000.0,569000.0,569000.0,243000.0,243000.0,243000.0,243000.0,5122000.0,5122000.0,5122000.0,5122000.0,840000.0,840000.0,840000.0,840000.0,9693000.0,9693000.0,9693000.0,9693000.0,2801000.0,2801000.0,2801000.0,2801000.0,1272000.0,1272000.0,1272000.0
AdvertisingExpense / USD,,,,33000000.0,,,,30200000.0,,,,28500000.0,,,,27600000.0,,,,29600000.0,,,,29000000.0,,,,32000000.0,,,,0.0,82211000.0,163140000.0,245618000.0,358526000.0,89121000.0,177621000.0,267115000.0,358526000.0,95834000.0,201274000.0,309422000.0,390799000.0,111360000.0,227700000.0,336278000.0,462238000.0,106589000.0,217670000.0,331863000.0,479501000.0,112726000.0,224185000.0,335719000.0,485330000.0,110300000.0,235256000.0,356181000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,6436000.0,,,,5446000.0,,,,5906000.0,,,,5107000.0,,,,3361000.0,,,,2662000.0,,,,2342000.0,,,,1424000.0,,,,1879000.0,,,,2856000.0,,,,1793000.0,,,,1869000.0,,,,4762000.0,,,,5885000.0,,,
