fact_unit,2019-06-04,2019-08-09,2019-11-05,2020-03-02,2020-05-08,2020-08-07,2020-11-06,2021-01-14,2021-03-01,2021-05-06,2021-08-05,2021-11-09,2022-02-24,2022-05-05,2022-08-04,2022-11-02,2023-02-21,2023-05-03,2023-08-02,2023-11-07,2024-02-15,2024-05-08,2024-08-06,2024-10-31,2025-02-14,2025-05-07,2025-08-06,2025-11-04
AccountsPayableCurrent / USD,150000000.0,150000000.0,150000000.0,150000000.0,272000000.0,272000000.0,272000000.0,,272000000.0,235000000.0,235000000.0,235000000.0,235000000.0,860000000.0,860000000.0,860000000.0,860000000.0,728000000.0,728000000.0,728000000.0,728000000.0,790000000.0,790000000.0,790000000.0,790000000.0,858000000.0,858000000.0,858000000.0
AccountsReceivableNetCurrent / USD,919000000.0,919000000.0,919000000.0,919000000.0,1214000000.0,1214000000.0,1214000000.0,,1214000000.0,1073000000.0,1073000000.0,1073000000.0,1073000000.0,2439000000.0,2439000000.0,2439000000.0,2439000000.0,2779000000.0,2779000000.0,2779000000.0,2779000000.0,3404000000.0,3404000000.0,3404000000.0,3404000000.0,3333000000.0,3333000000.0,3333000000.0
AccretionAmortizationOfDiscountsAndPremiumsInvestments / USD,,,,,,,,,,,,,,,,,,,,,,,,,9000000.0,,,
AccruedEmployeeBenefitsCurrent / USD,,,,,,,,,,,,,,,,,442000000.0,587000000.0,587000000.0,587000000.0,587000000.0,710000000.0,710000000.0,710000000.0,710000000.0,649000000.0,649000000.0,649000000.0
AccruedLiabilitiesCurrent / USD,3157000000.0,3157000000.0,3157000000.0,3157000000.0,4050000000.0,4050000000.0,4050000000.0,,4050000000.0,5112000000.0,5112000000.0,5112000000.0,5112000000.0,6537000000.0,6537000000.0,6537000000.0,6537000000.0,6232000000.0,6232000000.0,6232000000.0,6232000000.0,6458000000.0,6458000000.0,6397000000.0,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-188000000.0,-188000000.0,-188000000.0,-188000000.0,-187000000.0,-187000000.0,-187000000.0,,-187000000.0,-535000000.0,-535000000.0,-535000000.0,-535000000.0,-524000000.0,-524000000.0,-524000000.0,-524000000.0,-443000000.0,-443000000.0,-443000000.0,-443000000.0,-421000000.0,-421000000.0,-421000000.0,-421000000.0,-517000000.0,-517000000.0,-517000000.0
AdditionalPaidInCapital / USD,668000000.0,668000000.0,668000000.0,668000000.0,30739000000.0,30739000000.0,30739000000.0,,30739000000.0,35931000000.0,35931000000.0,35931000000.0,35931000000.0,38608000000.0,38608000000.0,38608000000.0,38608000000.0,40550000000.0,40550000000.0,40550000000.0,40550000000.0,42264000000.0,42264000000.0,42264000000.0,42264000000.0,42801000000.0,42801000000.0,42801000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,3000000.0,1368000000.0,1368000000.0,,1573000000.0,3000000.0,3000000.0,3000000.0,1573000000.0,14000000.0,14000000.0,14000000.0,17000000.0,11000000.0,11000000.0,11000000.0,28000000.0,7000000.0,7000000.0,7000000.0,17000000.0,36000000.0,36000000.0,36000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,17000000.0,17000000.0,17000000.0,97000000.0,10000000.0,10000000.0,10000000.0,,125000000.0,285000000.0,285000000.0,285000000.0,4634000000.0,287000000.0,287000000.0,287000000.0,861000000.0,369000000.0,369000000.0,369000000.0,1204000000.0,482000000.0,482000000.0,482000000.0,1843000000.0,493000000.0,493000000.0,493000000.0
AdvertisingExpense / USD,,,,1100000000.0,,,,,1300000000.0,,,,1300000000.0,,,,1000000000.0,,,,1700000000.0,,,,1700000000.0,,,
