fact_unit,2019-05-30,2019-08-07,2019-11-07,2020-02-10,2020-05-29,2020-08-07,2020-11-06,2021-02-09,2021-05-28,2021-08-09,2021-11-08,2022-02-09,2022-05-31,2022-08-08,2022-11-09,2023-02-08,2023-05-26,2023-08-08,2023-11-07,2024-02-08,2024-05-29,2024-08-08,2024-11-07,2025-02-07,2025-05-29,2025-08-07,2025-11-06
AccountsPayableCurrent / USD,135866000.0,152913000.0,152913000.0,152913000.0,152913000.0,149341000.0,149341000.0,152913000.0,149341000.0,156950000.0,156950000.0,156950000.0,156950000.0,225737000.0,225737000.0,225737000.0,225737000.0,279620000.0,279620000.0,279620000.0,264165000.0,251723000.0,251723000.0,251723000.0,251723000.0,280800000.0,280800000.0
AccountsReceivableNetCurrent / USD,528066000.0,564830000.0,564830000.0,564830000.0,564830000.0,586481000.0,586481000.0,564830000.0,586481000.0,609406000.0,609406000.0,609406000.0,609406000.0,799041000.0,799041000.0,799041000.0,799041000.0,928315000.0,928315000.0,928315000.0,864988000.0,1008315000.0,1008315000.0,1008315000.0,1008315000.0,1044000000.0,1044000000.0
AccruedBonusesCurrentAndNoncurrent / USD,31716000.0,40194000.0,40194000.0,40194000.0,40194000.0,53041000.0,53041000.0,40194000.0,53041000.0,62530000.0,62530000.0,62530000.0,62530000.0,64702000.0,64702000.0,64702000.0,64702000.0,33605000.0,33605000.0,33605000.0,31096000.0,61669000.0,61669000.0,61669000.0,61669000.0,66500000.0,66500000.0
AccruedIncomeTaxesCurrent / USD,379000.0,15460000.0,15460000.0,15460000.0,15460000.0,14013000.0,14013000.0,15460000.0,14013000.0,27561000.0,27561000.0,27561000.0,27561000.0,26873000.0,26873000.0,26873000.0,26873000.0,43804000.0,43804000.0,43804000.0,40477000.0,13640000.0,13640000.0,13640000.0,13640000.0,21400000.0,21400000.0
AccruedIncomeTaxesNoncurrent / USD,18922000.0,13515000.0,13515000.0,13515000.0,13515000.0,11959000.0,11959000.0,13515000.0,11959000.0,13241000.0,13241000.0,13241000.0,13241000.0,12225000.0,12225000.0,12225000.0,12225000.0,10082000.0,10082000.0,10082000.0,10082000.0,6508000.0,6508000.0,6508000.0,6508000.0,1900000.0,1900000.0
AccruedLiabilitiesCurrent / USD,168217000.0,187765000.0,187765000.0,187765000.0,187765000.0,192183000.0,192183000.0,187765000.0,192183000.0,220557000.0,220557000.0,220557000.0,220557000.0,306544000.0,306544000.0,306544000.0,306544000.0,317817000.0,317817000.0,317817000.0,298032000.0,319744000.0,319744000.0,319744000.0,319744000.0,368100000.0,368100000.0
AccruedLiabilitiesCurrentAndNoncurrent / USD,168217000.0,187765000.0,187765000.0,187765000.0,187765000.0,192183000.0,192183000.0,187765000.0,192183000.0,220557000.0,220557000.0,220557000.0,220557000.0,306544000.0,306544000.0,306544000.0,306544000.0,317817000.0,,,298032000.0,,,,319744000.0,,
AccruedLiabilitiesForCommissionsExpenseAndTaxes / USD,17168000.0,17854000.0,17854000.0,17854000.0,17854000.0,19298000.0,19298000.0,17854000.0,19298000.0,24022000.0,24022000.0,24022000.0,24022000.0,30171000.0,30171000.0,30171000.0,30171000.0,29257000.0,29257000.0,29257000.0,26924000.0,35980000.0,35980000.0,35980000.0,35980000.0,37400000.0,37400000.0
AccruedSalesCommissionCurrentAndNoncurrent / USD,,15283000.0,15283000.0,15283000.0,,15827000.0,15827000.0,15827000.0,,27348000.0,27348000.0,27348000.0,,31700000.0,31700000.0,31700000.0,,31096000.0,31096000.0,31096000.0,,33277000.0,33277000.0,33277000.0,,32100000.0,32100000.0
AccruedVacationCurrent / USD,,,,,,,9917000.0,9917000.0,,,12389000.0,12389000.0,,,13669000.0,13669000.0,,11080000.0,11080000.0,11080000.0,,16140000.0,16140000.0,16140000.0,,16200000.0,16200000.0
