fact_unit,2009-07-30,2009-10-29,2010-02-26,2010-04-30,2010-07-30,2010-10-29,2011-02-28,2011-04-29,2011-07-29,2011-10-28,2012-02-28,2012-04-27,2012-07-27,2012-10-26,2013-02-28,2013-04-26,2013-07-26,2013-10-25,2014-02-28,2014-04-25,2014-07-25,2014-10-24,2015-02-27,2015-04-24,2015-07-24,2015-10-23,2016-02-22,2016-05-03,2016-07-29,2016-10-28,2017-02-27,2017-04-28,2017-07-28,2017-10-30,2018-03-01,2018-03-02,2018-04-27,2018-07-27,2018-10-26,2019-02-26,2019-04-26,2019-07-26,2019-10-25,2020-02-25,2020-05-01,2020-07-31,2020-10-30,2021-02-26,2021-04-30,2021-07-30,2021-11-03,2022-03-01,2022-05-03,2022-08-03,2022-11-04,2023-02-27,2023-05-05,2023-08-08,2023-11-07,2024-02-23,2024-05-03,2024-08-02,2024-11-01,2025-02-25,2025-05-06,2025-08-05,2025-11-04
AccountsPayableCurrent / USD,222985000.0,222985000.0,222985000.0,215588000.0,215588000.0,215588000.0,215588000.0,229981000.0,229981000.0,229981000.0,229981000.0,217294000.0,217294000.0,217294000.0,217294000.0,312480000.0,312480000.0,312480000.0,312480000.0,288801000.0,288801000.0,288801000.0,288801000.0,400076000.0,400076000.0,400076000.0,400076000.0,160407000.0,160407000.0,160407000.0,160407000.0,168411000.0,168411000.0,168411000.0,168411000.0,168411000.0,238045000.0,238045000.0,238045000.0,238045000.0,241939000.0,241939000.0,241939000.0,241939000.0,189811000.0,189811000.0,189811000.0,189811000.0,162081000.0,162081000.0,162081000.0,162000000.0,747000000.0,747000000.0,747000000.0,747000000.0,844000000.0,844000000.0,844000000.0,844000000.0,803000000.0,803000000.0,803000000.0,803000000.0,833000000.0,833000000.0,833000000.0
AccountsPayableOtherCurrent / USD,,,,,,,,,7806000.0,8329000.0,7806000.0,3917000.0,3917000.0,3917000.0,3917000.0,6339000.0,6339000.0,6339000.0,6339000.0,6838000.0,6838000.0,6907000.0,6907000.0,6102000.0,6102000.0,6102000.0,6190000.0,10925000.0,10925000.0,10925000.0,10925000.0,4902000.0,4902000.0,4902000.0,4902000.0,4902000.0,5860000.0,5860000.0,5860000.0,5860000.0,35694000.0,35694000.0,35694000.0,35694000.0,19063000.0,19063000.0,19063000.0,19063000.0,8096000.0,8096000.0,8096000.0,8000000.0,65000000.0,65000000.0,65000000.0,65000000.0,41000000.0,41000000.0,41000000.0,41000000.0,40000000.0,40000000.0,40000000.0,40000000.0,25000000.0,25000000.0,25000000.0
AccountsPayableTradeCurrent / USD,,,,,,,,,27401000.0,27401000.0,27401000.0,18253000.0,18253000.0,18253000.0,18253000.0,14037000.0,14037000.0,5097000.0,14037000.0,26023000.0,26023000.0,26023000.0,26023000.0,54949000.0,54949000.0,54949000.0,54949000.0,30038000.0,30038000.0,30038000.0,30038000.0,27355000.0,27355000.0,27355000.0,27355000.0,27355000.0,7815000.0,7815000.0,7815000.0,7815000.0,30033000.0,30033000.0,30033000.0,30033000.0,21663000.0,21663000.0,21663000.0,21663000.0,12896000.0,12896000.0,12896000.0,11000000.0,94000000.0,94000000.0,94000000.0,94000000.0,27000000.0,27000000.0,27000000.0,27000000.0,60000000.0,60000000.0,60000000.0,60000000.0,59000000.0,59000000.0,59000000.0
AccountsReceivableGrossCurrent / USD,,,,,,,,,91077000.0,91077000.0,91077000.0,111306000.0,111306000.0,111306000.0,111306000.0,165070000.0,165070000.0,165070000.0,165070000.0,215361000.0,215361000.0,215361000.0,215361000.0,227835000.0,227835000.0,227835000.0,227835000.0,116772000.0,116772000.0,116772000.0,116772000.0,185594000.0,185594000.0,185594000.0,185594000.0,185594000.0,215511000.0,215511000.0,215511000.0,215511000.0,362973000.0,362973000.0,362973000.0,362973000.0,209200000.0,209200000.0,209200000.0,209200000.0,215301000.0,215301000.0,215301000.0,216000000.0,922000000.0,922000000.0,922000000.0,922000000.0,1067000000.0,1067000000.0,1067000000.0,1067000000.0,723000000.0,723000000.0,723000000.0,723000000.0,820000000.0,820000000.0,820000000.0
AccountsReceivableNetCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209023000.0,209023000.0,209023000.0,209023000.0,214724000.0,214724000.0,214724000.0,215000000.0,1037000000.0,1037000000.0,1037000000.0,1037000000.0,1221000000.0,1221000000.0,1221000000.0,1221000000.0,843000000.0,843000000.0,843000000.0,843000000.0,951000000.0,951000000.0,951000000.0
AccrualForTaxesOtherThanIncomeTaxesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,16806000.0,,14628000.0,14628000.0,14628000.0,,13827000.0,13827000.0,13827000.0,,,16801000.0,16801000.0,16801000.0,,19824000.0,19824000.0,19824000.0,,16971000.0,16971000.0,16971000.0,,13736000.0,13736000.0,13736000.0,,60000000.0,60000000.0,60000000.0,60000000.0,73000000.0,73000000.0,73000000.0,73000000.0,33000000.0,33000000.0,33000000.0,33000000.0,37000000.0,37000000.0,37000000.0
AccruedEmployeeBenefitsCurrent / USD,,,,,,,,,10790000.0,10790000.0,10790000.0,26035000.0,26035000.0,26035000.0,26035000.0,16011000.0,16011000.0,16011000.0,17315000.0,43599000.0,43599000.0,43599000.0,43599000.0,22815000.0,22815000.0,22815000.0,22815000.0,13870000.0,13870000.0,13870000.0,13870000.0,14153000.0,14153000.0,14153000.0,14153000.0,14153000.0,20645000.0,20645000.0,20645000.0,20645000.0,21761000.0,21761000.0,21761000.0,21761000.0,22727000.0,22727000.0,22727000.0,22727000.0,14270000.0,14270000.0,14270000.0,14000000.0,124000000.0,124000000.0,81000000.0,81000000.0,74000000.0,74000000.0,74000000.0,74000000.0,70000000.0,70000000.0,70000000.0,70000000.0,76000000.0,76000000.0,76000000.0
AccruedLiabilitiesCurrent / USD,50551000.0,50551000.0,50551000.0,58049000.0,58049000.0,58049000.0,58049000.0,47897000.0,47897000.0,47897000.0,47897000.0,70918000.0,70918000.0,70918000.0,70918000.0,49597000.0,49789000.0,49789000.0,49597000.0,73601000.0,73601000.0,87513000.0,73601000.0,63669000.0,63669000.0,63669000.0,32992000.0,24923000.0,24923000.0,24923000.0,24923000.0,21492000.0,21492000.0,21492000.0,21492000.0,21492000.0,27441000.0,27441000.0,27441000.0,27441000.0,25227000.0,25227000.0,25227000.0,25227000.0,31290000.0,31290000.0,31290000.0,31290000.0,22374000.0,22374000.0,22374000.0,22000000.0,260000000.0,260000000.0,260000000.0,260000000.0,328000000.0,328000000.0,328000000.0,328000000.0,261000000.0,261000000.0,261000000.0,261000000.0,276000000.0,276000000.0,276000000.0
AccruedRoyaltiesCurrent / USD,,,,,,,,,36034000.0,36034000.0,36034000.0,48113000.0,48113000.0,48113000.0,48113000.0,66321000.0,66321000.0,66321000.0,66321000.0,79150000.0,79150000.0,79150000.0,79150000.0,97298000.0,97298000.0,97298000.0,97298000.0,75106000.0,75106000.0,75106000.0,75106000.0,85449000.0,85449000.0,36472000.0,36472000.0,36472000.0,39207000.0,39207000.0,39207000.0,39207000.0,61507000.0,61507000.0,61507000.0,61507000.0,36191000.0,36191000.0,36191000.0,36191000.0,37243000.0,37243000.0,37243000.0,37000000.0,315000000.0,315000000.0,315000000.0,315000000.0,438000000.0,438000000.0,438000000.0,438000000.0,386000000.0,386000000.0,386000000.0,386000000.0,402000000.0,402000000.0,402000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,186426000.0,186426000.0,186426000.0,42436000.0,42436000.0,42436000.0,42436000.0,-3683000.0,-3683000.0,-3683000.0,186426000.0,104547000.0,104547000.0,104547000.0,42436000.0,23880000.0,23880000.0,23880000.0,-3683000.0,-8361000.0,-8361000.0,-8361000.0,104547000.0,-2151000.0,-2151000.0,-2151000.0,-2151000.0,-365000.0,-365000.0,-365000.0,-365000.0,985000.0,985000.0,985000.0,985000.0,985000.0,2077000.0,2077000.0,2077000.0,2077000.0,4437000.0,4437000.0,4437000.0,4437000.0,1360000.0,1360000.0,1360000.0,1360000.0,2419000.0,2419000.0,2419000.0,2000000.0,1000000.0,1000000.0,1000000.0,1000000.0,13000000.0,13000000.0,13000000.0,13000000.0,11000000.0,11000000.0,11000000.0,11000000.0,12000000.0,12000000.0,12000000.0
AdditionalPaidInCapitalCommonStock / USD,675568000.0,675568000.0,675568000.0,705569000.0,705569000.0,705569000.0,705569000.0,720920000.0,720920000.0,720920000.0,710499000.0,724377000.0,724377000.0,724377000.0,724377000.0,716609000.0,716609000.0,695566000.0,695566000.0,710940000.0,710940000.0,710940000.0,710940000.0,710432000.0,710432000.0,710432000.0,710432000.0,721997000.0,721997000.0,721997000.0,721997000.0,1727310000.0,1727310000.0,1727310000.0,1727310000.0,1727310000.0,1742419000.0,1742419000.0,1742419000.0,1742419000.0,1763142000.0,1763142000.0,1763142000.0,1763142000.0,1782427000.0,1782427000.0,1782427000.0,1782427000.0,1804354000.0,1804354000.0,1804354000.0,1804000000.0,10911000000.0,10911000000.0,10911000000.0,10911000000.0,7933000000.0,7933000000.0,7933000000.0,7933000000.0,7587000000.0,7587000000.0,7587000000.0,7587000000.0,7179000000.0,7179000000.0,7179000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,,,,3000000.0,,,,3000000.0,,,,9000000.0,,,
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,5100000.0,8900000.0,25100000.0,8100000.0,19300000.0,29300000.0,14400000.0,1700000.0,13100000.0,23400000.0,39500000.0,18700000.0,28700000.0,41000000.0,33500000.0,3200000.0,9400000.0,15100000.0,51800000.0,5900000.0,14500000.0,11600000.0,21500000.0,10600000.0,17900000.0,23000000.0,13700000.0,13700000.0,8300000.0,18300000.0,26200000.0,26000000.0,5400000.0,11100000.0,17600000.0,34000000.0,15100000.0,21900000.0,24000000.0,33100000.0,16300000.0,24600000.0,36000000.0,31000000.0,12000000.0,16000000.0,26000000.0,43000000.0,23000000.0,44000000.0,70000000.0,57000000.0,16000000.0,23000000.0,44000000.0,86000000.0,13000000.0,29000000.0,43000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,,,,,,4093000.0,4093000.0,4093000.0,3345000.0,3345000.0,3345000.0,3345000.0,1127000.0,1127000.0,1127000.0,1127000.0,1814000.0,1814000.0,1814000.0,1814000.0,1198000.0,1198000.0,1198000.0,1198000.0,1113000.0,1113000.0,1113000.0,1113000.0,1243000.0,1243000.0,1243000.0,1243000.0,1243000.0,1286000.0,1286000.0,1286000.0,1286000.0,1238000.0,1238000.0,1238000.0,1238000.0,1184000.0,1184000.0,1184000.0,1184000.0,1039000.0,1039000.0,1039000.0,1000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
AmortizationOfDebtDiscountPremium / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000.0,1000000.0,1000000.0,0.0,0.0,-11000000.0,-19000000.0,-32000000.0,-10000000.0,-5000000.0,-11000000.0,-15000000.0,-37000000.0,-5000000.0,-11000000.0,-16000000.0
AmortizationOfFinancingCosts / USD,,,,,,,634000.0,1068000.0,2136000.0,8298000.0,3635000.0,1120000.0,2253000.0,3317000.0,3381000.0,1064000.0,3334000.0,4300000.0,4381000.0,897000.0,1842000.0,2767000.0,5265000.0,1126000.0,2252000.0,3378000.0,3693000.0,1267000.0,2337000.0,3395000.0,4754000.0,1191000.0,2692000.0,3888000.0,4454000.0,4454000.0,1189000.0,2384000.0,3579000.0,5083000.0,1195000.0,2390000.0,3521000.0,4774000.0,1089000.0,2464000.0,3219000.0,4631000.0,750000.0,1501000.0,2234000.0,,,,2000000.0,3000000.0,1000000.0,2000000.0,3000000.0,3000000.0,1000000.0,2000000.0,3000000.0,4000000.0,1000000.0,2000000.0,3000000.0
AmortizationOfFinancingCostsAndDiscounts / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,3000000.0,-10000000.0,-19000000.0,-35000000.0,-10000000.0,-4000000.0,-10000000.0,-13000000.0,-40000000.0,-4000000.0,-9000000.0,-13000000.0
AssetAcquisitionConsiderationTransferredTransactionCost / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000000.0,,
AssetRetirementObligation / USD,,,,,,,,,72311000.0,72311000.0,72311000.0,60142000.0,60142000.0,60142000.0,60142000.0,67016000.0,67016000.0,67016000.0,67016000.0,75853000.0,75853000.0,75853000.0,75853000.0,126655000.0,126655000.0,126655000.0,126655000.0,145606000.0,145606000.0,145606000.0,145606000.0,133733000.0,133733000.0,133733000.0,133733000.0,133733000.0,48553000.0,48553000.0,48553000.0,48553000.0,51622000.0,51622000.0,51622000.0,48553000.0,72098000.0,72098000.0,72098000.0,51622000.0,85989000.0,85989000.0,85989000.0,72000000.0,263000000.0,263000000.0,263000000.0,72000000.0,277000000.0,277000000.0,277000000.0,86000000.0,289000000.0,289000000.0,289000000.0,263000000.0,302000000.0,289000000.0,289000000.0
AssetRetirementObligationAccretionExpense / USD,,,,,,,,,1730000.0,-2616000.0,1300000.0,744000.0,1504000.0,2283000.0,-3165000.0,876000.0,1777000.0,2705000.0,3691000.0,1003000.0,2024000.0,3528000.0,5110000.0,1644000.0,3342000.0,5087000.0,6891000.0,1849000.0,3559000.0,5295000.0,8065000.0,1787000.0,3594000.0,4396000.0,5173000.0,5173000.0,603000.0,1223000.0,1867000.0,2541000.0,995000.0,1733000.0,2489000.0,2541000.0,1001000.0,2028000.0,3104000.0,3430000.0,1125000.0,2274000.0,3454000.0,4000000.0,2000000.0,5000000.0,7000000.0,4000000.0,3000000.0,5000000.0,8000000.0,6000000.0,3000000.0,6000000.0,8000000.0,9000000.0,3000000.0,6000000.0,8000000.0
AssetRetirementObligationCurrent / USD,,,,,,,,,,,,,,,,,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,,2000000.0,,,2000000.0,2000000.0,2000000.0,4952000.0,4952000.0,4952000.0,5000000.0,1000000.0,1000000.0,1000000.0,1000000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,1000000.0,3000000.0,4000000.0,5000000.0,1000000.0,6000000.0,5000000.0,7000000.0,4000000.0,11000000.0,12000000.0,13000000.0,6000000.0,13000000.0,12000000.0,13000000.0
AssetRetirementObligationLiabilitiesIncurred / USD,,,,,,,,,617000.0,897000.0,1480000.0,560000.0,1054000.0,1731000.0,2685000.0,1396000.0,2354000.0,3945000.0,5295000.0,1647000.0,2517000.0,4360000.0,7220000.0,4355000.0,6969000.0,9230000.0,12235000.0,1746000.0,2389000.0,2861000.0,3522000.0,702000.0,796000.0,3788000.0,4653000.0,4653000.0,1546000.0,2322000.0,3592000.0,5152000.0,2350000.0,3159000.0,4776000.0,5152000.0,4430000.0,5725000.0,8976000.0,7646000.0,796000.0,1544000.0,2924000.0,10000000.0,3000000.0,6000000.0,9000000.0,10000000.0,1000000.0,3000000.0,4000000.0,6000000.0,2000000.0,4000000.0,6000000.0,10000000.0,3000000.0,4000000.0,6000000.0
AssetRetirementObligationLiabilitiesSettled / USD,,,,,,,,,-610000.0,1040000.0,1236000.0,162000.0,748000.0,1050000.0,1259000.0,195000.0,757000.0,800000.0,762000.0,,36000.0,411000.0,1474000.0,113000.0,203000.0,83000.0,175000.0,53000.0,135000.0,708000.0,1148000.0,696000.0,1140000.0,1225000.0,1293000.0,1293000.0,413000.0,789000.0,1025000.0,1035000.0,79000.0,970000.0,1232000.0,1035000.0,,,8000.0,1467000.0,,,135000.0,0.0,1000000.0,2000000.0,1000000.0,0.0,2000000.0,1000000.0,,10000000.0,,1000000.0,2000000.0,3000000.0,,1000000.0,2000000.0
AssetRetirementObligationsNoncurrent / USD,,,,,,,29676000.0,72311000.0,72311000.0,72311000.0,72311000.0,60142000.0,60142000.0,60142000.0,60142000.0,67016000.0,67016000.0,67016000.0,67016000.0,73853000.0,73853000.0,73853000.0,73853000.0,124655000.0,124655000.0,124655000.0,124655000.0,143606000.0,143606000.0,143606000.0,143606000.0,131733000.0,131733000.0,131733000.0,131733000.0,131733000.0,43601000.0,43601000.0,43601000.0,43601000.0,50622000.0,50622000.0,50622000.0,50622000.0,71598000.0,71598000.0,71598000.0,71598000.0,85489000.0,85489000.0,85489000.0,85000000.0,259000000.0,259000000.0,259000000.0,85000000.0,271000000.0,271000000.0,271000000.0,259000000.0,280000000.0,280000000.0,280000000.0,271000000.0,291000000.0,286000000.0,288000000.0
