fact_unit,2011-09-12,2011-11-01,2012-02-29,2012-04-30,2012-07-27,2012-10-26,2013-02-12,2013-04-26,2013-06-17,2013-07-26,2013-10-29,2014-02-20,2014-04-29,2014-07-25,2014-10-24,2015-02-17,2015-04-24,2015-07-28,2015-10-23,2016-02-16,2016-04-22,2016-07-29,2016-11-01,2017-02-17,2017-04-28,2017-07-28,2017-10-27,2018-02-22,2018-04-27,2018-08-03,2018-10-30,2019-02-21,2019-04-26,2019-08-02,2019-11-01,2020-02-20,2020-05-01,2020-07-31,2020-10-30,2021-02-25,2021-04-30,2021-07-30,2021-10-29,2022-02-24,2022-04-29,2022-07-29,2022-10-28,2023-02-23,2023-04-28,2023-05-12,2023-08-04,2023-10-27,2024-02-22,2024-04-26,2024-08-02,2024-11-01,2025-02-27,2025-04-25,2025-08-01,2025-10-31
AccrualForEnvironmentalLossContingencies / USD,,,,107000000.0,107000000.0,107000000.0,107000000.0,120000000.0,107000000.0,120000000.0,120000000.0,120000000.0,126000000.0,126000000.0,126000000.0,126000000.0,120000000.0,120000000.0,120000000.0,120000000.0,106000000.0,106000000.0,106000000.0,106000000.0,106000000.0,106000000.0,106000000.0,106000000.0,95000000.0,95000000.0,95000000.0,95000000.0,102000000.0,90000000.0,90000000.0,102000000.0,132000000.0,132000000.0,132000000.0,90000000.0,133000000.0,133000000.0,133000000.0,132000000.0,138000000.0,138000000.0,138000000.0,133000000.0,127000000.0,133000000.0,127000000.0,127000000.0,138000000.0,124000000.0,124000000.0,124000000.0,127000000.0,140000000.0,140000000.0,140000000.0
AccrualForEnvironmentalLossContingenciesForeignCurrencyTranslationGainLoss / USD,,,,,,,,,,,,,,,,,,,,,,,-6000000.0,-8000000.0,3000000.0,2000000.0,2000000.0,-2000000.0,1000000.0,5000000.0,8000000.0,9000000.0,2000000.0,,,-3000000.0,,,,-1000000.0,,,,6000000.0,,,,-5000000.0,,-5000000.0,,,-4000000.0,,,,1000000.0,,,
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForRevisionInEstimates / USD,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3000000.0,-3000000.0,2000000.0,-1000000.0,10000000.0,10000000.0,15000000.0,,3000000.0,3000000.0,11000000.0,,,,4000000.0,,,,15000000.0,,,,3000000.0,,,,25000000.0,,25000000.0,,,5000000.0,,,,5000000.0,,,
AccrualForEnvironmentalLossContingenciesPayments1 / USD,,,,,,,,,,,,,,,,,,,,,,,6000000.0,14000000.0,2000000.0,8000000.0,16000000.0,29000000.0,2000000.0,4000000.0,7000000.0,13000000.0,2000000.0,,,13000000.0,,,,16000000.0,,,,8000000.0,,,,14000000.0,,14000000.0,,,12000000.0,,,,9000000.0,,,
AccrualForTaxesOtherThanIncomeTaxesCurrent / USD,,,,,,,211000000.0,,211000000.0,,,201000000.0,,,,207000000.0,,,,172000000.0,,,,217000000.0,,,,177000000.0,,,,199000000.0,,,,186000000.0,,,,202000000.0,,,,232000000.0,,,,211000000.0,,211000000.0,,,208000000.0,,,,183000000.0,,,
AccruedIncomeTaxesCurrent / USD,,,,,,,36000000.0,,36000000.0,,,37000000.0,,,,5000000.0,,,,153000000.0,,,,319000000.0,,,,311000000.0,,,,386000000.0,,,,16000000.0,,,,66000000.0,,67000000.0,67000000.0,67000000.0,,,,402000000.0,,402000000.0,,,242000000.0,,,,143000000.0,,,
AccruedLiabilitiesCurrent / USD,1705000000.0,1705000000.0,,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1157000000.0,1242000000.0,1157000000.0,1157000000.0,1157000000.0,1299000000.0,1299000000.0,1299000000.0,1299000000.0,1554000000.0,1554000000.0,1554000000.0,1554000000.0,1810000000.0,1810000000.0,1810000000.0,1810000000.0,1415000000.0,1415000000.0,1415000000.0,1415000000.0,1812000000.0,1812000000.0,1812000000.0,1812000000.0,1536000000.0,1536000000.0,1536000000.0,1536000000.0,1822000000.0,1822000000.0,1822000000.0,1822000000.0,1883000000.0,1883000000.0,1883000000.0,1883000000.0,2571000000.0,2571000000.0,2571000000.0,2571000000.0,2396000000.0,2571000000.0,2396000000.0,2396000000.0,2396000000.0,2436000000.0,2436000000.0,2436000000.0,2436000000.0,2356000000.0,2356000000.0,2356000000.0
AccruedMarketingCostsCurrent / USD,,,,,,,220000000.0,,220000000.0,,,221000000.0,,,,211000000.0,,,,187000000.0,,,,165000000.0,,,,147000000.0,,,,166000000.0,,,,163000000.0,,,,142000000.0,,,,149000000.0,,,,178000000.0,,178000000.0,,,163000000.0,,,,140000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,1111000000.0,1111000000.0,1111000000.0,1111000000.0,1930000000.0,1111000000.0,1930000000.0,1930000000.0,1930000000.0,2694000000.0,2694000000.0,2694000000.0,2694000000.0,3292000000.0,3292000000.0,3292000000.0,3292000000.0,3919000000.0,3919000000.0,3919000000.0,3919000000.0,4498000000.0,4498000000.0,4498000000.0,4498000000.0,5573000000.0,5573000000.0,5573000000.0,5573000000.0,6224000000.0,6224000000.0,6224000000.0,6224000000.0,7130000000.0,7130000000.0,7130000000.0,7130000000.0,7098000000.0,7098000000.0,7098000000.0,7098000000.0,7826000000.0,7826000000.0,7826000000.0,7826000000.0,8337000000.0,7826000000.0,8337000000.0,8337000000.0,8337000000.0,9359000000.0,9359000000.0,9359000000.0,9359000000.0,9108000000.0,9108000000.0,9108000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,81000000.0,81000000.0,81000000.0,-427000000.0,-427000000.0,-427000000.0,-427000000.0,-427000000.0,-427000000.0,-411000000.0,-411000000.0,-427000000.0,96000000.0,-411000000.0,-411000000.0,-411000000.0,96000000.0,96000000.0,96000000.0,96000000.0,-1026000000.0,-1026000000.0,-1026000000.0,-1026000000.0,-1438000000.0,-1438000000.0,-1438000000.0,-1026000000.0,-1511000000.0,-1511000000.0,-1511000000.0,-1438000000.0,-1285000000.0,-1285000000.0,-1285000000.0,-1511000000.0,-1363000000.0,-1363000000.0,-1363000000.0,-1285000000.0,-1784000000.0,-1784000000.0,-1784000000.0,-1363000000.0,-1943000000.0,-1943000000.0,-1943000000.0,-1784000000.0,-1803000000.0,-1784000000.0,-1803000000.0,-1803000000.0,-1372000000.0,-1476000000.0,-1476000000.0,-1476000000.0,-1476000000.0,-1532000000.0,-1532000000.0,-1532000000.0
