fact_unit,2009-07-30,2009-11-17,2010-01-28,2010-04-27,2010-07-29,2010-11-12,2011-01-27,2011-04-28,2011-07-28,2011-11-16,2012-01-31,2012-04-26,2012-07-31,2012-11-16,2013-01-29,2013-04-26,2013-07-26,2013-11-14,2014-01-31,2014-04-25,2014-05-16,2014-07-25,2014-11-14,2015-01-30,2015-04-24,2015-07-31,2015-11-13,2016-01-29,2016-03-11,2016-04-29,2016-07-29,2016-11-23,2017-02-08,2017-02-23,2017-05-04,2017-08-03,2017-11-21,2018-02-02,2018-05-03,2018-08-02,2018-11-20,2019-02-01,2019-05-03,2019-08-01,2019-11-21,2020-01-31,2020-05-01,2020-07-31,2020-11-16,2021-01-29,2021-04-30,2021-07-30,2021-11-15,2022-02-02,2022-05-04,2022-08-04,2022-11-15,2023-02-01,2023-05-05,2023-08-02,2023-12-14,2024-01-30,2024-05-01,2024-07-31,2024-11-19,2025-02-05,2025-05-07,2025-08-06,2025-11-14
AccountsPayableCurrent / USD,,1608000000.0,1244000000.0,1244000000.0,1198000000.0,1198000000.0,1340000000.0,1340000000.0,1340000000.0,1340000000.0,1278000000.0,1278000000.0,1278000000.0,782000000.0,897000000.0,897000000.0,897000000.0,897000000.0,899000000.0,851000000.0,847000000.0,848000000.0,848000000.0,871000000.0,825000000.0,825000000.0,825000000.0,774000000.0,825000000.0,774000000.0,764000000.0,5174000000.0,4000000000.0,2580000000.0,4000000000.0,4000000000.0,4000000000.0,4271000000.0,4271000000.0,4271000000.0,4271000000.0,3407000000.0,3407000000.0,3407000000.0,3407000000.0,3582000000.0,3582000000.0,3582000000.0,3582000000.0,3120000000.0,3120000000.0,3120000000.0,3120000000.0,3746000000.0,3746000000.0,3746000000.0,3746000000.0,4241000000.0,4241000000.0,4368000000.0,4368000000.0,4268000000.0,4268000000.0,4268000000.0,3498000000.0,3389000000.0,3389000000.0,3389000000.0,3389000000.0
AccountsReceivableNetCurrent / USD,3024000000.0,2986000000.0,2629000000.0,2629000000.0,2544000000.0,2544000000.0,2493000000.0,2493000000.0,2493000000.0,2493000000.0,2401000000.0,2400000000.0,2400000000.0,1547000000.0,1711000000.0,1696000000.0,1696000000.0,1696000000.0,1738000000.0,1718000000.0,1679000000.0,1704000000.0,1704000000.0,1750000000.0,1734000000.0,1734000000.0,1734000000.0,1732000000.0,1734000000.0,1732000000.0,1722000000.0,5751000000.0,6394000000.0,3617000000.0,6394000000.0,6394000000.0,6394000000.0,6666000000.0,6666000000.0,6666000000.0,6666000000.0,5622000000.0,5622000000.0,5622000000.0,5622000000.0,5770000000.0,5770000000.0,5770000000.0,5770000000.0,5294000000.0,5294000000.0,5294000000.0,5294000000.0,5613000000.0,5613000000.0,5613000000.0,5613000000.0,5528000000.0,5528000000.0,5727000000.0,5727000000.0,6006000000.0,6006000000.0,6006000000.0,5494000000.0,6051000000.0,6051000000.0,6051000000.0,6051000000.0
AccountsReceivableSale / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,129000000.0,134000000.0,368000000.0,612000000.0,1115000000.0,409000000.0,836000000.0,1300000000.0,1717000000.0,,,,
AccrualForEnvironmentalLossContingencies / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23000000.0,51000000.0,20000000.0,51000000.0,51000000.0,51000000.0,51000000.0,51000000.0,51000000.0,51000000.0,37000000.0,37000000.0,37000000.0,37000000.0,159000000.0,159000000.0,159000000.0,159000000.0,130000000.0,130000000.0,130000000.0,130000000.0,102000000.0,102000000.0,102000000.0,102000000.0,286000000.0,286000000.0,286000000.0,286000000.0,242000000.0,242000000.0,242000000.0,239000000.0,211000000.0,211000000.0,211000000.0,211000000.0
AccruedEnvironmentalLossContingenciesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,58000000.0,,,,346000000.0,,346000000.0,,,15000000.0,9000000.0,11000000.0,9000000.0,12000000.0,10000000.0,10000000.0,12000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,52000000.0,52000000.0,52000000.0,52000000.0,61000000.0,61000000.0,61000000.0,61000000.0,48000000.0,48000000.0,48000000.0,48000000.0,66000000.0,66000000.0,66000000.0,66000000.0,31000000.0,31000000.0,31000000.0,28000000.0,32000000.0,32000000.0,32000000.0,32000000.0
AccruedEnvironmentalLossContingenciesNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,250000000.0,,,,,,,,,40000000.0,36000000.0,40000000.0,37000000.0,36000000.0,41000000.0,38000000.0,35000000.0,41000000.0,41000000.0,27000000.0,27000000.0,27000000.0,27000000.0,107000000.0,107000000.0,107000000.0,107000000.0,69000000.0,69000000.0,69000000.0,69000000.0,54000000.0,54000000.0,54000000.0,54000000.0,220000000.0,220000000.0,220000000.0,220000000.0,211000000.0,211000000.0,211000000.0,211000000.0,179000000.0,179000000.0,179000000.0,179000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,5311000000.0,5311000000.0,5572000000.0,-5572000000.0,5572000000.0,5572000000.0,5792000000.0,5792000000.0,5792000000.0,2971000000.0,3073000000.0,3055000000.0,3055000000.0,3055000000.0,3025000000.0,2813000000.0,2878000000.0,2811000000.0,2811000000.0,2758000000.0,2750000000.0,2750000000.0,2750000000.0,2527000000.0,2750000000.0,2527000000.0,2501000000.0,7131000000.0,,3071000000.0,,,3417000000.0,,,,4092000000.0,,,,2163000000.0,,,,2496000000.0,,,,2871000000.0,,,,3287000000.0,,,,3407000000.0,,,,3292000000.0,,,,3443000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,232000000.0,232000000.0,-87000000.0,-87000000.0,-87000000.0,-87000000.0,-321000000.0,-321000000.0,-321000000.0,-321000000.0,-434000000.0,-434000000.0,-434000000.0,-436000000.0,-966000000.0,-966000000.0,-966000000.0,-966000000.0,-987000000.0,-987000000.0,-966000000.0,-987000000.0,-987000000.0,-1225000000.0,-1225000000.0,-1225000000.0,-1225000000.0,-1841000000.0,-1225000000.0,-1841000000.0,-1841000000.0,-237000000.0,-1218000000.0,-237000000.0,-1039000000.0,-1174000000.0,-1057000000.0,-1233000000.0,-987000000.0,-729000000.0,-1153000000.0,-414000000.0,-254000000.0,-808000000.0,-473000000.0,-1080000000.0,-952000000.0,-564000000.0,-946000000.0,-540000000.0,-1021000000.0,-943000000.0,-795000000.0,-504000000.0,-410000000.0,-351000000.0,-776000000.0,-911000000.0,-911000000.0,-911000000.0,-911000000.0,-955000000.0,-955000000.0,-955000000.0,-955000000.0,-964000000.0,-964000000.0,-964000000.0,-964000000.0
AdditionalPaidInCapitalCommonStock / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3740000000.0,16105000000.0,3740000000.0,16105000000.0,16105000000.0,16105000000.0,16390000000.0,16390000000.0,16390000000.0,16390000000.0,16549000000.0,16549000000.0,16549000000.0,16549000000.0,16812000000.0,16812000000.0,16812000000.0,16812000000.0,16865000000.0,16865000000.0,16865000000.0,16865000000.0,17116000000.0,17116000000.0,17116000000.0,17116000000.0,17224000000.0,17224000000.0,17224000000.0,17224000000.0,17349000000.0,17349000000.0,17349000000.0,17349000000.0,17475000000.0,17475000000.0,17475000000.0,17475000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,104000000.0,,,,99000000.0,,,,120000000.0,,,,110.0,,,110.0,,140000000.0,,,,,,,,,81000000.0,,67000000.0,,,160000000.0,,,,160000000.0,,,,122000000.0,,,,89000000.0,,,,103000000.0,,,,66000000.0,,,,97000000.0,,,,104000000.0,,,,101000000.0
