fact_unit,2021-05-14,2021-08-13,2021-11-05,2022-02-25,2022-05-09,2022-08-03,2022-11-03,2023-02-17,2023-05-09,2023-08-03,2023-11-01,2024-02-16,2024-05-08,2024-08-06,2024-11-07,2025-02-13,2025-05-01,2025-08-06,2025-11-06
AccountsPayableAndAccruedLiabilitiesCurrent / USD,,,,,,,,,,,,2013000000.0,2654000000.0,2654000000.0,2654000000.0,2654000000.0,2614000000.0,2614000000.0,2614000000.0
AccountsPayableCurrent / USD,79898000.0,79898000.0,79898000.0,79898000.0,118361000.0,118361000.0,118361000.0,118000000.0,137000000.0,137000000.0,137000000.0,137000000.0,141000000.0,141000000.0,141000000.0,141000000.0,142000000.0,142000000.0,142000000.0
AccountsReceivableGrossCurrent / USD,189753000.0,189753000.0,189753000.0,189753000.0,142519000.0,142519000.0,142519000.0,143000000.0,200000000.0,200000000.0,200000000.0,200000000.0,249000000.0,249000000.0,249000000.0,249000000.0,175000000.0,175000000.0,175000000.0
AccruedIncomeTaxes / USD,,,,,,,,,,,,,,,79000000.0,55000000.0,55000000.0,55000000.0,55000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,267851000.0,,,,379000000.0,,,,312000000.0,,,,110000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,2639000.0,2639000.0,2639000.0,2639000.0,-6893000.0,-6893000.0,-6893000.0,-7000000.0,-32000000.0,-32000000.0,-32000000.0,-32000000.0,-49000000.0,-49000000.0,-49000000.0,-49000000.0,35000000.0,35000000.0,35000000.0
AdditionalPaidInCapital / USD,8904791000.0,8904791000.0,8904791000.0,8904791000.0,11140284000.0,11140284000.0,11140284000.0,11140000000.0,11557000000.0,11557000000.0,11557000000.0,11557000000.0,11639000000.0,11639000000.0,11639000000.0,11639000000.0,12602000000.0,12602000000.0,12602000000.0
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition / USD,,,,,224983000.0,470983000.0,685171000.0,3003000000.0,198000000.0,198000000.0,198000000.0,914000000.0,243000000.0,243000000.0,243000000.0,941000000.0,302000000.0,302000000.0,302000000.0
AdvertisingExpense / USD,,,,712600000.0,,,,176000000.0,,,,542000000.0,,,,786000000.0,,,
AllocatedShareBasedCompensationExpense / USD,41626000.0,79416000.0,108776000.0,97547000.0,229474000.0,462337000.0,673126000.0,3003000000.0,195000000.0,442000000.0,676000000.0,899000000.0,240000000.0,544000000.0,830000000.0,930000000.0,295000000.0,677000000.0,1000000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,90547000.0,90547000.0,90547000.0,90547000.0,30870000.0,30870000.0,30870000.0,31000000.0,39000000.0,39000000.0,39000000.0,39000000.0,44000000.0,44000000.0,44000000.0,44000000.0,28000000.0,28000000.0,28000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,296039000.0,301558000.0,300738000.0,294352000.0,106361000.0,94670000.0,77426000.0,87000000.0,71000000.0,8000000.0,9000000.0,70000000.0,9000000.0,9000000.0,7000000.0,10000000.0,6000000.0,11000000.0,13000000.0
AssetImpairmentCharges / USD,0.0,0.0,25271000.0,0.0,112545000.0,112545000.0,112545000.0,36000000.0,,89000000.0,89000000.0,113000000.0,,,,91000000.0,,,
Assets / USD,10491499000.0,10491499000.0,10491499000.0,10491499000.0,13708474000.0,13708474000.0,13708474000.0,13708000000.0,16038000000.0,16038000000.0,16038000000.0,16038000000.0,20645000000.0,20645000000.0,20645000000.0,20645000000.0,20959000000.0,20959000000.0,20959000000.0
AssetsCurrent / USD,8916386000.0,8916386000.0,8916386000.0,8916386000.0,12386380000.0,12386380000.0,12386380000.0,12386000000.0,14861000000.0,14861000000.0,14861000000.0,14861000000.0,16509000000.0,16509000000.0,16509000000.0,16509000000.0,17180000000.0,17180000000.0,17180000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost / USD,,,,,,,,,601000000.0,650000000.0,877000000.0,,957000000.0,740000000.0,875000000.0,,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue / USD,,,,,,,,,590000000.0,633000000.0,859000000.0,,947000000.0,729000000.0,874000000.0,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost / USD,,,,,,,,,1789000000.0,1277000000.0,1377000000.0,1406000000.0,1489000000.0,1813000000.0,1860000000.0,1790000000.0,1806000000.0,1734000000.0,1570000000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue / USD,,,,,,,,,1788000000.0,1276000000.0,1376000000.0,1406000000.0,1489000000.0,1811000000.0,1863000000.0,1792000000.0,1807000000.0,1735000000.0,1574000000.0
CashAndCashEquivalentsAtCarryingValue / USD,5480557000.0,5480557000.0,5480557000.0,2013547000.0,6067438000.0,6067438000.0,6067438000.0,6067000000.0,7378000000.0,7378000000.0,7378000000.0,7378000000.0,6874000000.0,6874000000.0,6874000000.0,6874000000.0,6864000000.0,6864000000.0,6864000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,5143443000.0,5143443000.0,5143443000.0,4438576000.0,7668252000.0,7668252000.0,7668252000.0,5143000000.0,9727000000.0,9727000000.0,9727000000.0,7668000000.0,12103000000.0,12103000000.0,12103000000.0,9727000000.0,12667000000.0,12667000000.0,12667000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,-1003890000.0,729522000.0,-97309000.0,704867000.0,817329000.0,4276738000.0,2204966000.0,2525000000.0,3212000000.0,5515000000.0,2532000000.0,2059000000.0,3769000000.0,4878000000.0,1985000000.0,2376000000.0,3862000000.0,5523000000.0,1531000000.0
ClassOfWarrantOrRightOutstanding / shares,,,,,,,,,,,,,,,,0.0,,,
