fact_unit,2011-07-28,2011-10-27,2012-02-23,2012-04-27,2012-07-26,2012-10-25,2013-03-01,2013-04-25,2013-07-24,2013-10-24,2014-02-20,2014-04-24,2014-07-25,2014-10-30,2015-02-26,2015-04-30,2015-07-30,2015-10-29,2016-02-26,2016-04-28,2016-07-28,2016-10-27,2017-02-24,2017-04-27,2017-07-27,2017-10-26,2018-02-23,2018-04-25,2018-07-25,2018-10-24,2019-02-28,2019-04-24,2019-07-24,2019-10-23,2020-02-26,2020-04-29,2020-07-29,2020-10-28,2021-02-24,2021-04-28,2021-07-28,2021-10-27,2022-02-23,2022-04-28,2022-07-27,2022-10-26,2023-02-22,2023-04-26,2023-07-26,2023-10-25,2024-02-22,2024-04-24,2024-07-25,2024-10-23,2025-02-20,2025-05-01,2025-07-23,2025-10-29
AccountsPayableCurrent / USD,3123000.0,3123000.0,3123000.0,6010000.0,6010000.0,6010000.0,6010000.0,6234000.0,6234000.0,6234000.0,6234000.0,4939000.0,4939000.0,4939000.0,4939000.0,8608000.0,8608000.0,8608000.0,8608000.0,9673000.0,9673000.0,9673000.0,9673000.0,11478000.0,11478000.0,11478000.0,11478000.0,9262000.0,9262000.0,9262000.0,9262000.0,6327000.0,6327000.0,6327000.0,6327000.0,7640000.0,7640000.0,7640000.0,7640000.0,15732000.0,15732000.0,15732000.0,15732000.0,22244000.0,22244000.0,22244000.0,22244000.0,28460000.0,28460000.0,28460000.0,28600000.0,23100000.0,23100000.0,23100000.0,23100000.0,47000000.0,47000000.0,47000000.0
AccountsReceivableGrossCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96788000.0,96788000.0,96788000.0,96788000.0,119059000.0,119059000.0,119059000.0,119059000.0,138191000.0,138191000.0,138191000.0,138191000.0,166140000.0,166140000.0,166140000.0,166100000.0,213200000.0,213200000.0,213200000.0,213200000.0,210700000.0,210700000.0,210700000.0
AccountsReceivableNetCurrent / USD,13094000.0,13094000.0,13094000.0,16589000.0,16589000.0,16589000.0,16589000.0,16392000.0,16392000.0,16392000.0,16392000.0,20761000.0,20761000.0,20761000.0,20761000.0,38694000.0,38694000.0,38694000.0,38694000.0,40276000.0,40276000.0,40276000.0,40276000.0,48537000.0,48537000.0,48537000.0,48537000.0,60900000.0,60900000.0,60900000.0,60900000.0,89192000.0,89192000.0,89192000.0,89192000.0,92240000.0,92240000.0,92240000.0,92240000.0,103949000.0,103949000.0,103949000.0,103949000.0,124817000.0,124817000.0,124817000.0,124817000.0,153945000.0,153945000.0,153945000.0,153900000.0,190000000.0,190000000.0,190000000.0,190000000.0,187900000.0,187900000.0,187900000.0
AccruedIncomeTaxesCurrent / USD,0.0,1770000.0,0.0,978000.0,978000.0,978000.0,978000.0,,,,0.0,2362000.0,2362000.0,2362000.0,2362000.0,,,0.0,,46000.0,,46000.0,46000.0,3814000.0,3814000.0,3814000.0,3814000.0,8166000.0,8166000.0,8166000.0,8166000.0,14288000.0,14288000.0,14288000.0,14288000.0,10705000.0,10705000.0,10705000.0,10705000.0,16316000.0,16316000.0,16316000.0,16316000.0,31236000.0,31236000.0,31236000.0,31236000.0,10438000.0,10438000.0,10438000.0,10400000.0,7700000.0,7700000.0,7700000.0,7700000.0,23200000.0,23200000.0,23200000.0
AccruedIncomeTaxesNoncurrent / USD,1770000.0,0.0,1770000.0,2151000.0,2151000.0,2151000.0,2151000.0,2818000.0,2818000.0,2818000.0,2818000.0,4809000.0,4809000.0,4809000.0,4809000.0,4703000.0,4703000.0,4703000.0,4703000.0,6692000.0,6692000.0,6692000.0,6692000.0,741000.0,741000.0,741000.0,741000.0,13354000.0,13354000.0,13354000.0,13354000.0,17386000.0,17386000.0,17386000.0,17386000.0,20521000.0,20521000.0,20521000.0,20521000.0,25282000.0,25282000.0,25282000.0,25282000.0,12496000.0,12496000.0,12496000.0,12496000.0,14001000.0,14001000.0,14001000.0,14000000.0,18200000.0,18200000.0,18200000.0,18200000.0,25000000.0,25000000.0,25000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,34759000.0,,,,38759000.0,,,,44744000.0,,,,43000000.0,,,,48944000.0,,,,56226000.0,,,,75117000.0,,,,98395000.0,,,,109791000.0,,,,135761000.0,,,,166153000.0,,,,85862000.0,,,,85500000.0,,,,105500000.0,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,,,-5915000.0,-5890000.0,-5890000.0,-5890000.0,-5890000.0,-4613000.0,-4613000.0,-4613000.0,-4613000.0,-4003000.0,-4003000.0,-4003000.0,-4003000.0,-5693000.0,-5693000.0,-5693000.0,-5693000.0,-7159000.0,-7159000.0,-7159000.0,-7159000.0,-12191000.0,-12191000.0,-12191000.0,-12191000.0,-8290000.0,-8290000.0,-8290000.0,-8290000.0,-10958000.0,-10958000.0,-10958000.0,-10958000.0,-7855000.0,-7855000.0,-7855000.0,-7855000.0,-889000.0,-889000.0,-889000.0,-889000.0,-5758000.0,-5758000.0,-5758000.0,-5758000.0,-29075000.0,-29075000.0,-29075000.0,-29100000.0,-17600000.0,-17600000.0,-17600000.0,-17600000.0,-25500000.0,-25500000.0,-25500000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,,-8706000.0,-8568000.0,-8568000.0,-8568000.0,-8568000.0,-6518000.0,-6518000.0,-6518000.0,-6518000.0,-5530000.0,-5530000.0,-5530000.0,-5530000.0,-6384000.0,-6384000.0,-6384000.0,-6384000.0,-7594000.0,-7594000.0,-7594000.0,-7594000.0,-13039000.0,-13039000.0,-13039000.0,-13039000.0,-9020000.0,-9020000.0,-9020000.0,-9020000.0,-11688000.0,-11688000.0,-11688000.0,-11688000.0,-8585000.0,-8585000.0,-8585000.0,-8585000.0,-889000.0,-889000.0,-889000.0,-889000.0,-5758000.0,-5758000.0,-5758000.0,-5758000.0,-29075000.0,-29075000.0,-29075000.0,-29100000.0,-17600000.0,-17600000.0,-17600000.0,-17600000.0,-25500000.0,-25500000.0,-25500000.0
AdditionalPaidInCapital / USD,,,374981000.0,,,,637816000.0,,,,792988000.0,,,,863780000.0,,,,1405414000.0,,,,1440321000.0,,,,1471127000.0,,,,2339253000.0,,,,2419812000.0,,,,2473338000.0,,,,4204703000.0,,,,4253318000.0,,,,5065400000.0,,,,5147800000.0,,,
AdjustmentForAmortization / USD,2670000.0,3849000.0,7093000.0,1123000.0,2199000.0,3253000.0,5042000.0,1176000.0,7032000.0,14996000.0,4417000.0,7257000.0,14298000.0,21063000.0,22699000.0,6311000.0,23360000.0,39644000.0,27563000.0,13625000.0,27303000.0,44562000.0,55000000.0,,,,59000000.0,,,,46000000.0,,,,37000000.0,,,,52000000.0,,,,55000000.0,,,,88100000.0,,,,103600000.0,,,,102600000.0,,,
