fact_unit,2010-07-29,2010-10-29,2011-03-01,2011-05-06,2011-08-05,2011-11-09,2012-02-01,2012-02-29,2012-05-09,2012-08-02,2012-11-08,2012-12-17,2013-03-01,2013-05-03,2013-05-08,2013-08-08,2013-11-08,2014-02-26,2014-05-02,2014-07-02,2014-07-31,2014-11-03,2015-02-27,2015-05-01,2015-07-31,2015-11-09,2016-02-29,2016-05-10,2016-08-09,2016-11-09,2017-02-28,2017-05-08,2017-07-18,2017-08-04,2017-11-09,2018-03-01,2018-05-10,2018-08-09,2018-11-09,2019-03-01,2019-05-09,2019-08-09,2019-11-07,2020-02-28,2020-04-29,2020-05-08,2020-08-10,2020-11-06,2021-02-25,2021-05-07,2021-06-17,2021-08-06,2021-11-08,2022-02-24,2022-05-06,2022-08-05,2022-11-04,2023-02-24,2023-05-05,2023-08-03,2023-11-02,2024-02-23,2024-05-08,2024-08-01,2024-11-12,2025-02-27,2025-05-08,2025-08-06,2025-11-05
AccountsPayableTradeCurrent / USD,39173000.0,39173000.0,38212000.0,56375000.0,56375000.0,56375000.0,38212000.0,56375000.0,64398000.0,64398000.0,64398000.0,56375000.0,64398000.0,64398000.0,98314000.0,98314000.0,98314000.0,98314000.0,77653000.0,98314000.0,77653000.0,77653000.0,77653000.0,81163000.0,81163000.0,81163000.0,81163000.0,86883000.0,86883000.0,86883000.0,86883000.0,62863000.0,86883000.0,62863000.0,62863000.0,62863000.0,76571000.0,76571000.0,76571000.0,76571000.0,74907000.0,74907000.0,74907000.0,74907000.0,,94356000.0,20191000.0,20191000.0,20191000.0,29200000.0,20191000.0,29200000.0,29200000.0,29200000.0,37871000.0,37871000.0,37871000.0,37871000.0,13699000.0,13699000.0,13699000.0,13699000.0,13187000.0,13187000.0,13187000.0,13187000.0,18262000.0,18262000.0,18262000.0
AccountsReceivableNetCurrent / USD,101834000.0,101834000.0,93474000.0,119581000.0,119581000.0,119581000.0,93474000.0,119581000.0,177030000.0,177030000.0,177030000.0,119581000.0,177030000.0,177030000.0,229830000.0,229830000.0,229830000.0,229830000.0,207408000.0,229830000.0,207408000.0,207408000.0,207408000.0,236086000.0,236086000.0,236086000.0,236086000.0,250077000.0,250077000.0,250077000.0,250077000.0,220138000.0,250077000.0,220138000.0,220138000.0,220138000.0,304027000.0,304027000.0,304027000.0,304027000.0,279189000.0,279189000.0,279189000.0,279189000.0,,298334000.0,116459000.0,116459000.0,116459000.0,137023000.0,116459000.0,137023000.0,137023000.0,137023000.0,188482000.0,188482000.0,188482000.0,188482000.0,191940000.0,191940000.0,191940000.0,191940000.0,298648000.0,298648000.0,298648000.0,298648000.0,324963000.0,324963000.0,324963000.0
AccruedAdvertisingCurrent / USD,,,,,,,,43418000.0,,,,43418000.0,68782000.0,68782000.0,,,,73381000.0,,73381000.0,,,63406000.0,,,,87485000.0,,,,87064000.0,,87064000.0,,,68916000.0,,,,96445000.0,,,,105520000.0,,,,,32201000.0,,32201000.0,,,57140000.0,,,,47686000.0,,,,49509000.0,,,,59639000.0,,,
AccruedIncomeTaxesNoncurrent / USD,450129000.0,450129000.0,450129000.0,475685000.0,475685000.0,475685000.0,450129000.0,475685000.0,450533000.0,450533000.0,450533000.0,475685000.0,450533000.0,450533000.0,479945000.0,479945000.0,479945000.0,479945000.0,416384000.0,479945000.0,416384000.0,416384000.0,416384000.0,32635000.0,32635000.0,32635000.0,32635000.0,33692000.0,33692000.0,33692000.0,33692000.0,33528000.0,33692000.0,33528000.0,33528000.0,33528000.0,25624000.0,25624000.0,25624000.0,25624000.0,37584000.0,37584000.0,37584000.0,37584000.0,,36489000.0,30295000.0,30295000.0,30295000.0,14582000.0,30295000.0,14582000.0,14582000.0,14582000.0,13842000.0,13842000.0,13842000.0,13842000.0,13282000.0,13282000.0,13282000.0,13282000.0,24860000.0,24860000.0,24860000.0,24860000.0,33332000.0,33332000.0,33332000.0
AccruedLiabilitiesCurrent / USD,,,,,,,,,,,,,,,,,355232000.0,355232000.0,351038000.0,355232000.0,351038000.0,351038000.0,351038000.0,397803000.0,397803000.0,397803000.0,397549000.0,383251000.0,383251000.0,383251000.0,383251000.0,344910000.0,383251000.0,344910000.0,344910000.0,344910000.0,366924000.0,366924000.0,366924000.0,366924000.0,434886000.0,434886000.0,434886000.0,434886000.0,,502003000.0,182250000.0,182250000.0,182250000.0,231748000.0,182250000.0,231748000.0,231748000.0,231748000.0,768366000.0,768366000.0,768366000.0,768366000.0,289937000.0,289937000.0,289937000.0,289937000.0,307299000.0,307299000.0,307299000.0,307299000.0,365057000.0,365057000.0,365057000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,199446000.0,199446000.0,199446000.0,199446000.0,218081000.0,218081000.0,218081000.0,199446000.0,218081000.0,218081000.0,232911000.0,232911000.0,232911000.0,232911000.0,265298000.0,232911000.0,265298000.0,265298000.0,265298000.0,279534000.0,279534000.0,279534000.0,279534000.0,284494000.0,284494000.0,284494000.0,284494000.0,311834000.0,284494000.0,311834000.0,311834000.0,329490000.0,271811000.0,271811000.0,271811000.0,271811000.0,286798000.0,286798000.0,286798000.0,286798000.0,,324359000.0,147669000.0,147669000.0,147669000.0,169321000.0,147669000.0,169321000.0,169321000.0,169321000.0,181742000.0,181742000.0,181742000.0,181742000.0,198409000.0,198409000.0,198409000.0,198409000.0,249223000.0,249223000.0,249223000.0,249223000.0,307178000.0,307178000.0,307178000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,24503000.0,24503000.0,24503000.0,17546000.0,17546000.0,17546000.0,24503000.0,17546000.0,-12443000.0,-12443000.0,-12443000.0,17546000.0,-12443000.0,-12443000.0,-32169000.0,-32169000.0,-32169000.0,-32169000.0,-13046000.0,-32169000.0,-13046000.0,-13046000.0,-13046000.0,-87700000.0,-87700000.0,-87700000.0,-87700000.0,-152103000.0,-152103000.0,-152103000.0,-152103000.0,-166123000.0,-152103000.0,-166123000.0,-166123000.0,-166123000.0,-103568000.0,-103568000.0,-103568000.0,-103568000.0,-128722000.0,-128722000.0,-128722000.0,-128722000.0,,-136349000.0,-136349000.0,-136349000.0,-136349000.0,-81454000.0,-136349000.0,-81454000.0,-81454000.0,-81454000.0,-223754000.0,-223754000.0,-223754000.0,-223754000.0,-369182000.0,-369182000.0,-369182000.0,-369182000.0,-385471000.0,-385471000.0,-385471000.0,-385471000.0,-449611000.0,-449611000.0,-449611000.0
AdditionalPaidInCapitalCommonStock / USD,11322993000.0,11322993000.0,11322993000.0,11428749000.0,11428749000.0,11428749000.0,10942128000.0,11047884000.0,11280173000.0,11280173000.0,11280173000.0,11047884000.0,11280173000.0,11280173000.0,11607367000.0,11607367000.0,11607367000.0,11607367000.0,11562567000.0,11607367000.0,11562567000.0,11562567000.0,11562567000.0,11415617000.0,11415617000.0,11415617000.0,11415617000.0,11486315000.0,11486315000.0,11486315000.0,11486315000.0,11921559000.0,11486315000.0,11921559000.0,11921559000.0,11921559000.0,12165002000.0,12165002000.0,12165002000.0,12165002000.0,12022387000.0,12022387000.0,12022387000.0,12022387000.0,,11683799000.0,-11683799000.0,11683799000.0,11683799000.0,7089007000.0,11378160000.0,7089007000.0,7089007000.0,7089007000.0,8164216000.0,8164216000.0,8164216000.0,8164216000.0,8273637000.0,8273637000.0,8273637000.0,8273637000.0,8529200000.0,8529200000.0,8529200000.0,8529200000.0,8756482000.0,8756482000.0,8756482000.0
AdjustmentsToAdditionalPaidInCapitalDividendsInExcessOfRetainedEarnings / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48892000.0,50057000.0,97401000.0,144072000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,134052000.0,,,65824000.0,134052000.0,69629000.0,,,,69629000.0,85048000.0,85048000.0,12663000.0,24483000.0,38848000.0,87774000.0,9613000.0,87774000.0,26165000.0,43359000.0,85625000.0,17878000.0,38189000.0,62611000.0,53005000.0,28885000.0,54447000.0,75327000.0,59076000.0,28830000.0,59076000.0,62295000.0,189570000.0,92493000.0,58672000.0,115843000.0,170922000.0,94724000.0,58672000.0,115843000.0,170922000.0,246388000.0,,67402000.0,129786000.0,179639000.0,237282000.0,56085000.0,237282000.0,159422000.0,198179000.0,238076000.0,31431000.0,76087000.0,117735000.0,220891000.0,45105000.0,103120000.0,159082000.0,153692000.0,44400000.0,108193000.0,173208000.0,214437000.0,65726000.0,137823000.0,203678000.0
