fact_unit,2019-05-09,2019-09-03,2019-11-07,2020-02-11,2020-05-11,2020-08-27,2020-11-06,2021-02-04,2021-05-06,2021-08-24,2021-11-04,2022-02-03,2022-05-04,2022-08-18,2022-11-02,2023-02-08,2023-05-03,2023-08-17,2023-11-01,2024-02-07,2024-05-01,2024-08-16,2024-11-01,2025-02-05,2025-04-29,2025-05-01,2025-08-15,2025-11-06
AccountsPayableCurrent / USD,,1861000000.0,2303400000.0,2303400000.0,2303400000.0,2303400000.0,2171000000.0,2171000000.0,2171000000.0,2171000000.0,2574000000.0,2574000000.0,2574000000.0,2574000000.0,3073000000.0,3073000000.0,3073000000.0,3073000000.0,2690000000.0,2690000000.0,2690000000.0,2690000000.0,2580000000.0,2580000000.0,1262000000.0,2580000000.0,2580000000.0,3490000000.0
AccountsReceivableNetCurrent / USD,,1379000000.0,1864300000.0,1864300000.0,1864300000.0,1864300000.0,1616000000.0,1616000000.0,1616000000.0,1616000000.0,1864000000.0,1864000000.0,1864000000.0,1864000000.0,1935000000.0,1935000000.0,1935000000.0,1935000000.0,1875000000.0,1875000000.0,1875000000.0,1875000000.0,1846000000.0,1846000000.0,1257000000.0,1846000000.0,1846000000.0,3426000000.0
AccrualForEnvironmentalLossContingenciesComponentAmount / USD,,,,,,46600000.0,46000000.0,47000000.0,50000000.0,47000000.0,48000000.0,48000000.0,47000000.0,43000000.0,40000000.0,42000000.0,42000000.0,54000000.0,53000000.0,52000000.0,,44000000.0,,,,,58000000.0,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,,,,,,,,,,,,,,,,,,,3828000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,-708500000.0,-722400000.0,-722400000.0,-722400000.0,-722400000.0,-1049000000.0,-1049000000.0,-1049000000.0,-1049000000.0,-766000000.0,-766000000.0,-766000000.0,-766000000.0,-880000000.0,-880000000.0,-880000000.0,-880000000.0,-862000000.0,-862000000.0,-862000000.0,-862000000.0,-1020000000.0,-1020000000.0,-336000000.0,-1020000000.0,-1020000000.0,-1063000000.0
AdditionalPaidInCapitalCommonStock / USD,,784400000.0,6007500000.0,6007500000.0,6007500000.0,6007500000.0,5480000000.0,5480000000.0,5480000000.0,5480000000.0,5092000000.0,5092000000.0,5092000000.0,5092000000.0,4431000000.0,4431000000.0,4431000000.0,4431000000.0,4021000000.0,4021000000.0,4021000000.0,4021000000.0,4019000000.0,4019000000.0,1231000000.0,4019000000.0,4019000000.0,12226000000.0
AdjustmentsToAdditionalPaidInCapitalOther / USD,,,,,,,,,,,59000000.0,59000000.0,59000000.0,,59000000.0,-59000000.0,-59000000.0,,40000000.0,-60000000.0,-60000000.0,-83000000.0,45000000.0,48000000.0,,48000000.0,60000000.0,43000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,26500000.0,4500000.0,8300000.0,11900000.0,18400000.0,6000000.0,13000000.0,24000000.0,16000000.0,14000000.0,28000000.0,44000000.0,34000000.0,15000000.0,31000000.0,47000000.0,58000000.0,16000000.0,29000000.0,42000000.0,63000000.0,-5000000.0,6000000.0,42000000.0,20000000.0,54000000.0,5000000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,34000000.0,34000000.0,34000000.0,34000000.0,28000000.0,28000000.0,28000000.0,28000000.0,25000000.0,25000000.0,25000000.0,25000000.0,21000000.0,21000000.0,21000000.0,21000000.0,24000000.0,24000000.0,,24000000.0,24000000.0,34000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,16900000.0,,,,34400000.0,,,,,,,,,,,,,,,,,,,17000000.0,,,
