fact_unit,2024-02-22,2024-04-24,2024-08-01,2024-10-30,2025-02-20,2025-05-07,2025-08-05,2025-11-05
AccountsPayableCurrent / USD,4386000000.0,3664000000.0,3664000000.0,3664000000.0,3664000000.0,2777000000.0,2777000000.0,2777000000.0
AccountsPayableFairValueDisclosure / USD,643000000.0,823000000.0,823000000.0,823000000.0,823000000.0,388000000.0,388000000.0,388000000.0
AccountsReceivableNetCurrent / USD,2829000000.0,2592000000.0,2592000000.0,2592000000.0,2592000000.0,2148000000.0,2148000000.0,2148000000.0
AccruedLiabilitiesCurrent / USD,755000000.0,865000000.0,865000000.0,865000000.0,865000000.0,840000000.0,840000000.0,840000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,4219000000.0,,,,4686000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-6371000000.0,-6054000000.0,-6054000000.0,-6054000000.0,-6054000000.0,-6702000000.0,-6702000000.0,-6702000000.0
AdditionalPaidInCapital / USD,6692000000.0,5900000000.0,5900000000.0,5900000000.0,5900000000.0,5325000000.0,5325000000.0,5325000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,61000000.0,17000000.0,34000000.0,51000000.0,65000000.0,17000000.0,34000000.0,49000000.0
AdvancesOnInventoryPurchases / USD,254000000.0,320000000.0,320000000.0,320000000.0,320000000.0,216000000.0,216000000.0,216000000.0
AllocatedShareBasedCompensationExpense / USD,61000000.0,,,,65000000.0,17000000.0,34000000.0,49000000.0
AllowanceForDoubtfulAccountsReceivable / USD,132000000.0,136000000.0,136000000.0,136000000.0,136000000.0,136000000.0,136000000.0,136000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,90000000.0,104000000.0,104000000.0,104000000.0,104000000.0,89000000.0,89000000.0,89000000.0
AllowanceForDoubtfulAccountsReceivableRecoveries / USD,40000000.0,17000000.0,34000000.0,46000000.0,59000000.0,12000000.0,26000000.0,42000000.0
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,27000000.0,12000000.0,13000000.0,14000000.0,15000000.0,5000000.0,8000000.0,9000000.0
AllowanceForNotesAndLoansReceivableCurrent / USD,7000000.0,8000000.0,8000000.0,8000000.0,8000000.0,5000000.0,5000000.0,5000000.0
AmortizationOfIntangibleAssets / USD,48000000.0,,,,41000000.0,,,
AssetImpairmentCharges / USD,226000000.0,,22000000.0,56000000.0,162000000.0,,,
Assets / USD,23819000000.0,27110000000.0,25712000000.0,25133000000.0,24580000000.0,25821000000.0,24428000000.0,25267000000.0
AssetsCurrent / USD,16758000000.0,16350000000.0,16350000000.0,16350000000.0,16350000000.0,15958000000.0,15958000000.0,15958000000.0
