fact_unit,2010-07-30,2010-10-29,2011-02-11,2011-04-29,2011-07-29,2011-11-07,2012-02-10,2012-04-27,2012-07-27,2012-10-26,2013-02-06,2013-04-26,2013-07-26,2013-10-31,2014-02-07,2014-05-02,2014-08-01,2014-10-31,2015-02-06,2015-05-01,2015-07-31,2015-10-30,2015-11-16,2016-02-11,2016-04-29,2016-07-29,2016-10-28,2017-02-10,2017-04-28,2017-07-28,2017-10-27,2018-02-09,2018-04-27,2018-07-27,2018-10-26,2019-02-08,2019-05-03,2019-07-25,2019-11-07,2020-02-14,2020-04-29,2020-05-21,2020-07-31,2020-11-05,2021-02-12,2021-05-07,2021-08-06,2021-11-05,2022-02-11,2022-05-03,2022-08-05,2022-11-04,2023-02-10,2023-05-05,2023-08-03,2023-11-03,2024-02-09,2024-05-03,2024-08-09,2024-11-08,2025-02-07,2025-05-09,2025-08-08,2025-11-07
AccountsPayableOtherCurrent / USD,,,,,,,,,,,,,,283029000.0,283029000.0,261288000.0,261288000.0,261288000.0,261288000.0,361382000.0,361382000.0,361382000.0,261288000.0,361382000.0,485557000.0,485557000.0,485557000.0,485557000.0,577012000.0,577012000.0,577012000.0,577012000.0,698000000.0,698000000.0,698000000.0,698000000.0,788000000.0,788000000.0,788000000.0,788000000.0,,906000000.0,906000000.0,906000000.0,906000000.0,496000000.0,496000000.0,496000000.0,496000000.0,688000000.0,688000000.0,688000000.0,688000000.0,947000000.0,947000000.0,947000000.0,947000000.0,1077000000.0,1077000000.0,1077000000.0,1077000000.0,1039000000.0,1039000000.0,1039000000.0
AccountsReceivableNetCurrent / USD,307817000.0,307817000.0,307817000.0,328468000.0,328468000.0,328468000.0,275846000.0,339427000.0,339427000.0,339427000.0,339427000.0,461531000.0,461531000.0,461531000.0,461531000.0,614735000.0,614735000.0,614735000.0,614735000.0,778334000.0,778334000.0,778334000.0,614735000.0,778334000.0,1082406000.0,1082406000.0,1082406000.0,1082406000.0,1343247000.0,1343247000.0,1343247000.0,1343247000.0,1866000000.0,1866000000.0,1866000000.0,1866000000.0,2151000000.0,2151000000.0,2151000000.0,2151000000.0,,2524000000.0,2524000000.0,2524000000.0,2524000000.0,701000000.0,701000000.0,701000000.0,701000000.0,1264000000.0,1264000000.0,1264000000.0,1264000000.0,2078000000.0,2078000000.0,2078000000.0,2078000000.0,2786000000.0,2786000000.0,2786000000.0,2786000000.0,3213000000.0,3213000000.0,3213000000.0
AccruedIncomeTaxesCurrent / USD,,,,,,,,,,,,,,,62025000.0,61874000.0,61874000.0,61874000.0,61874000.0,59661000.0,59661000.0,59661000.0,61874000.0,59661000.0,68019000.0,68019000.0,68019000.0,68019000.0,49739000.0,49739000.0,49739000.0,49739000.0,33000000.0,33000000.0,33000000.0,33000000.0,74000000.0,74000000.0,74000000.0,74000000.0,,88000000.0,88000000.0,88000000.0,88000000.0,50000000.0,50000000.0,50000000.0,50000000.0,16000000.0,16000000.0,16000000.0,16000000.0,21000000.0,21000000.0,21000000.0,21000000.0,26000000.0,26000000.0,26000000.0,26000000.0,51000000.0,51000000.0,51000000.0
AccruedLiabilitiesCurrent / USD,325184000.0,325184000.0,325184000.0,322827000.0,322827000.0,322827000.0,272770000.0,333237000.0,333237000.0,333237000.0,333237000.0,590505000.0,590505000.0,590505000.0,556244000.0,536895000.0,536895000.0,536895000.0,536895000.0,753625000.0,753625000.0,753625000.0,536895000.0,753625000.0,1469725000.0,1469725000.0,1469725000.0,1469725000.0,1090826000.0,1090826000.0,1090826000.0,1090826000.0,1265000000.0,1265000000.0,1265000000.0,1265000000.0,808000000.0,808000000.0,808000000.0,808000000.0,,1050000000.0,1050000000.0,1050000000.0,1050000000.0,979000000.0,979000000.0,979000000.0,979000000.0,824000000.0,824000000.0,824000000.0,824000000.0,787000000.0,787000000.0,787000000.0,787000000.0,752000000.0,752000000.0,752000000.0,752000000.0,766000000.0,766000000.0,766000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,434296000.0,,,,552241000.0,,,,655301000.0,,,,781477000.0,,,,781477000.0,1011085000.0,,,,1201744000.0,,,,1575879000.0,,,,2056000000.0,,,,2552000000.0,,,,,2833000000.0,,,,3289000000.0,,,,2568000000.0,,,,2744000000.0,,,,2765000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,3379000.0,3379000.0,3379000.0,-8803000.0,-8803000.0,-8803000.0,-8803000.0,-17350000.0,-17350000.0,-17350000.0,-17350000.0,22000.0,22000.0,22000.0,22000.0,18197000.0,18197000.0,18197000.0,18197000.0,-138774000.0,-138774000.0,-138774000.0,18197000.0,-138774000.0,-284894000.0,-284894000.0,-284894000.0,-284894000.0,-280399000.0,-280399000.0,-280399000.0,-280399000.0,-149000000.0,-149000000.0,-149000000.0,-149000000.0,-220000000.0,-220000000.0,-220000000.0,-220000000.0,,-217000000.0,-217000000.0,-217000000.0,-217000000.0,-178000000.0,-178000000.0,-178000000.0,-178000000.0,-149000000.0,-149000000.0,-149000000.0,-149000000.0,-234000000.0,-234000000.0,-234000000.0,-234000000.0,-209000000.0,-209000000.0,-209000000.0,-209000000.0,-232000000.0,-232000000.0,-232000000.0
AdditionalPaidInCapitalCommonStock / USD,,,,,,,,,,,,,,,,,,,,,,,,5921140000.0,8696508000.0,8696508000.0,8696508000.0,8696508000.0,8794298000.0,8794298000.0,8794298000.0,8794298000.0,9163000000.0,9163000000.0,9163000000.0,9163000000.0,9549000000.0,9549000000.0,9549000000.0,9549000000.0,,12978000000.0,12978000000.0,12978000000.0,12978000000.0,13566000000.0,13566000000.0,13566000000.0,13566000000.0,14229000000.0,14229000000.0,14229000000.0,14229000000.0,14795000000.0,14795000000.0,14795000000.0,14795000000.0,15398000000.0,15398000000.0,15398000000.0,15398000000.0,16043000000.0,16043000000.0,16043000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,,,,85033000.0,,,,85033000.0,,,,85033000.0,,,,1000000.0,2000000.0,2000000.0,2000000.0,9000000.0,,,2000000.0,2000000.0,2000000.0,7000000.0,7000000.0,7000000.0,2000000.0,7000000.0,7000000.0,7000000.0,20000000.0,,4000000.0,5000000.0,20000000.0,2000000.0,4000000.0,5000000.0,7000000.0,2000000.0,2000000.0,2000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,60094000.0,,,,59805000.0,,,,56427000.0,,,,77075000.0,,,,57545000.0,,,,57545000.0,116735000.0,,,,69620000.0,,,,147988000.0,,,,196000000.0,49000000.0,103000000.0,157000000.0,148000000.0,,56000000.0,119000000.0,177000000.0,208000000.0,59000000.0,118000000.0,173000000.0,246000000.0,91000000.0,225000000.0,355000000.0,225000000.0,97000000.0,201000000.0,307000000.0,465000000.0,114000000.0,236000000.0,357000000.0,411000000.0,118000000.0,251000000.0,416000000.0
AdvertisingExpense / USD,,,,,,,622000000.0,,,,694000000.0,,,,797000000.0,,,,890000000.0,,,,890000000.0,1200000000.0,,,,1600000000.0,,,,2100000000.0,,,,,,,,3300000000.0,,,,,3400000000.0,,,,3500000000.0,,,,1200000000.0,,,,2700000000.0,,,,3900000000.0,,,
