fact_unit,2024-05-10,2024-08-09,2024-11-08,2025-02-28,2025-05-09,2025-08-08,2025-11-06
AccountsPayableCurrent / USD,477000000.0,477000000.0,477000000.0,477000000.0,618000000.0,618000000.0,618000000.0
AccountsReceivableNetCurrent / USD,1313000000.0,1313000000.0,1313000000.0,1313000000.0,1044000000.0,1044000000.0,1044000000.0
AccruedLiabilitiesCurrent / USD,,0.0,0.0,0.0,272000000.0,272000000.0,272000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,1881000000.0,1881000000.0,1881000000.0,1988000000.0,1988000000.0,1988000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-337000000.0,-337000000.0,-337000000.0,-337000000.0,-1056000000.0,-1056000000.0,-1056000000.0
AdditionalPaidInCapital / USD,,0.0,0.0,0.0,3771000000.0,3771000000.0,3771000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,2000000.0,4000000.0,8000000.0,18000000.0,2000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,52000000.0,83000000.0,108000000.0,49000000.0,52000000.0,83000000.0
AllocatedShareBasedCompensationExpense / USD,,26000000.0,32000000.0,37000000.0,4000000.0,60000000.0,87000000.0
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,20000000.0,24000000.0,28000000.0,6000000.0,52000000.0,74000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,82000000.0,82000000.0,82000000.0,82000000.0,86000000.0,86000000.0,86000000.0
AmortizationOfIntangibleAssets / USD,92000000.0,184000000.0,276000000.0,373000000.0,87000000.0,173000000.0,261000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,4000000.0,4100000.0,6000000.0,5000000.0
Assets / USD,13943000000.0,13943000000.0,13943000000.0,13943000000.0,14457000000.0,14457000000.0,14457000000.0
AssetsCurrent / USD,2519000000.0,2519000000.0,2519000000.0,2519000000.0,3249000000.0,3249000000.0,3249000000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent / USD,,,,,0.0,0.0,
CashAndCashEquivalentsAtCarryingValue / USD,194000000.0,194000000.0,194000000.0,194000000.0,762000000.0,762000000.0,762000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,61000000.0,61000000.0,61000000.0,91000000.0,194000000.0,194000000.0,194000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsDisposalGroupIncludingDiscontinuedOperations / USD,,,,,0.0,0.0,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,-18000000.0,-22000000.0,-19000000.0,-30000000.0,802000000.0,703000000.0,578000000.0
