fact_unit,2010-08-04,2010-10-29,2011-02-24,2011-04-29,2011-07-29,2011-10-28,2012-02-24,2012-04-27,2012-07-26,2012-10-25,2013-02-21,2013-04-25,2013-07-25,2013-10-24,2014-02-20,2014-04-21,2014-07-21,2014-10-20,2015-02-20,2015-04-27,2015-07-27,2015-10-27,2016-02-18,2016-04-25,2016-07-25,2016-10-24,2017-02-10,2017-04-25,2017-07-24,2017-10-26,2018-02-20,2018-04-25,2018-07-23,2018-10-22,2019-02-27,2019-04-22,2019-07-22,2019-10-21,2020-02-24,2020-04-20,2020-07-20,2020-10-19,2021-02-22,2021-04-26,2021-05-14,2021-07-26,2021-10-25,2022-02-22,2022-04-25,2022-07-25,2022-10-24,2023-02-13,2023-04-24,2023-07-24,2023-10-23,2024-02-14,2024-04-24,2024-07-24,2024-10-30,2025-02-21,2025-04-30,2025-07-30,2025-10-29
AccountsPayableAndAccruedLiabilitiesCurrent / USD,150207000.0,150207000.0,150207000.0,216864000.0,216864000.0,216864000.0,216864000.0,165791000.0,165791000.0,165791000.0,165791000.0,171318000.0,171318000.0,171318000.0,171318000.0,216594000.0,216594000.0,216594000.0,216594000.0,225375000.0,225375000.0,225375000.0,225375000.0,238022000.0,238022000.0,238022000.0,238022000.0,239496000.0,239496000.0,239496000.0,239496000.0,221101000.0,221101000.0,221101000.0,221101000.0,256526000.0,256526000.0,256526000.0,256526000.0,316908000.0,316908000.0,316908000.0,316908000.0,349951000.0,316908000.0,349951000.0,349951000.0,349951000.0,417283000.0,417283000.0,417283000.0,417283000.0,557158000.0,557158000.0,557158000.0,557158000.0,576558000.0,576558000.0,576558000.0,576558000.0,632692000.0,632692000.0,632692000.0
AccountsPayableTradeCurrentAndNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47113000.0,,,,91194000.0,,,5555000.0
AccountsReceivableGross / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306990000.0,,308497000.0,308497000.0,308497000.0,,345009000.0,,345009000.0,345009000.0,,346386000.0,346386000.0,346386000.0,,491735000.0,491735000.0,491735000.0,,504532000.0,504532000.0,504532000.0,504532000.0,710447000.0,710447000.0,710447000.0
AccountsReceivableGrossCurrent / USD,,,,,112494000.0,112494000.0,112494000.0,99686000.0,99686000.0,99686000.0,99686000.0,67259000.0,67259000.0,67259000.0,67259000.0,76057000.0,76057000.0,76057000.0,76057000.0,79410000.0,79410000.0,79410000.0,79410000.0,107041000.0,107041000.0,107041000.0,107041000.0,85554000.0,85554000.0,85554000.0,85554000.0,119325000.0,119325000.0,119325000.0,119325000.0,164223000.0,164223000.0,164223000.0,164223000.0,179250000.0,179250000.0,179250000.0,179250000.0,196990000.0,179250000.0,196990000.0,196990000.0,196990000.0,185599000.0,185599000.0,185599000.0,185599000.0,314666000.0,314666000.0,314666000.0,314666000.0,299814000.0,299814000.0,299814000.0,299814000.0,393017000.0,393017000.0,393017000.0
AccountsReceivableGrossNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5972000.0,5972000.0,3082000.0,3082000.0,3082000.0,3082000.0,3655000.0,3082000.0,3655000.0,3655000.0,3655000.0,5098000.0,5098000.0,5098000.0,5098000.0,2735000.0,2735000.0,2735000.0,2735000.0,10755000.0,10755000.0,10755000.0,10755000.0,24179000.0,24179000.0,24179000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,637107000.0,637107000.0,,648676000.0,648676000.0,648676000.0,648676000.0,658990000.0,658990000.0,658990000.0,658990000.0,635450000.0,635450000.0,635450000.0,635450000.0,568494000.0,568494000.0,568494000.0,568494000.0,552551000.0,552551000.0,552551000.0,552551000.0,581345000.0,581345000.0,581345000.0,581345000.0,612961000.0,612961000.0,612961000.0,612961000.0,658377000.0,658377000.0,658377000.0,658377000.0,698493000.0,698493000.0,698493000.0,698493000.0,,,,635176000.0,,635176000.0,,,693950000.0,,,,732566000.0,,,,776937000.0,,,,836782000.0,,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax / USD,,,,,,,6571000.0,1431000.0,1431000.0,1431000.0,1431000.0,526000.0,526000.0,526000.0,526000.0,346000.0,346000.0,346000.0,346000.0,41000.0,41000.0,41000.0,41000.0,210000.0,210000.0,210000.0,210000.0,926000.0,926000.0,926000.0,926000.0,2638000.0,2638000.0,2638000.0,2638000.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,132000.0,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,,,,,,,-4774000.0,4468000.0,4468000.0,4468000.0,4468000.0,5229000.0,5229000.0,5229000.0,5229000.0,3218000.0,3218000.0,3218000.0,3218000.0,3401000.0,3401000.0,3401000.0,3401000.0,3066000.0,3066000.0,3066000.0,3066000.0,3716000.0,3716000.0,3716000.0,3716000.0,3292000.0,3292000.0,3292000.0,3292000.0,3919000.0,3919000.0,3919000.0,3919000.0,7423000.0,,,7423000.0,,7423000.0,,,6295000.0,,,,6758000.0,5774000.0,5774000.0,5774000.0,5774000.0,4208000.0,4208000.0,4208000.0,4208000.0,4447000.0,4447000.0,4447000.0
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,,,,,,,51259000.0,53990000.0,53990000.0,53990000.0,53990000.0,48653000.0,48653000.0,48653000.0,48653000.0,27183000.0,27183000.0,27183000.0,27183000.0,15707000.0,15707000.0,15707000.0,15707000.0,-9569000.0,-9569000.0,-9569000.0,-9569000.0,-22370000.0,-22370000.0,-22370000.0,-22370000.0,-2976000.0,-2976000.0,-2976000.0,-2976000.0,-20861000.0,-20861000.0,-20861000.0,-20861000.0,-29503000.0,,,-29503000.0,,-29503000.0,,,-11130000.0,,,,-26553000.0,-85863000.0,-85863000.0,-85863000.0,-85863000.0,-90678000.0,-90678000.0,-90678000.0,-90678000.0,-178611000.0,-178611000.0,-178611000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,43270000.0,43270000.0,43270000.0,53056000.0,53056000.0,53056000.0,53056000.0,50953000.0,50953000.0,50953000.0,50953000.0,43950000.0,43950000.0,43950000.0,43950000.0,24311000.0,24311000.0,24311000.0,24311000.0,12347000.0,12347000.0,12347000.0,12347000.0,-12425000.0,-12425000.0,-12425000.0,-12425000.0,-25160000.0,-25160000.0,-25160000.0,-25160000.0,-3630000.0,-3630000.0,-3630000.0,-3630000.0,-24780000.0,-24780000.0,-24780000.0,-24780000.0,-36926000.0,-36926000.0,-36926000.0,-36926000.0,-17425000.0,-36926000.0,-17425000.0,-17425000.0,-17425000.0,-33311000.0,-33311000.0,-33311000.0,-33311000.0,-91637000.0,-91637000.0,-91637000.0,-91637000.0,-94754000.0,-94754000.0,-94754000.0,-94754000.0,-190448000.0,-190448000.0,-190448000.0
