fact_unit,2009-08-26,2009-11-04,2010-02-16,2010-05-04,2010-05-05,2010-08-05,2010-11-02,2011-02-18,2011-05-02,2011-05-12,2011-07-28,2011-10-27,2012-02-15,2012-04-25,2012-05-14,2012-07-25,2012-10-24,2013-02-12,2013-04-24,2013-05-28,2013-07-24,2013-10-23,2014-02-13,2014-05-01,2014-08-05,2014-08-07,2014-11-04,2015-02-13,2015-05-06,2015-08-05,2015-11-04,2016-02-23,2016-05-06,2016-08-05,2016-11-04,2017-02-21,2017-05-05,2017-08-04,2017-11-03,2018-02-16,2018-05-04,2018-08-03,2018-11-02,2019-02-15,2019-05-03,2019-08-02,2019-10-31,2020-02-14,2020-05-08,2020-08-07,2020-10-30,2021-02-12,2021-05-06,2021-08-05,2021-11-04,2022-02-16,2022-05-12,2022-08-04,2022-11-03,2023-02-16,2023-05-04,2023-08-03,2023-11-02,2024-02-15,2024-05-02,2024-08-01,2024-11-07,2025-02-14,2025-05-01,2025-08-07,2025-10-30
AccountsPayableCurrent / USD,3188000000.0,3188000000.0,3188000000.0,2429000000.0,3188000000.0,2429000000.0,1998000000.0,1998000000.0,731000000.0,569000000.0,731000000.0,731000000.0,731000000.0,677000000.0,677000000.0,677000000.0,677000000.0,677000000.0,705000000.0,705000000.0,705000000.0,705000000.0,705000000.0,814000000.0,583000000.0,525000000.0,583000000.0,583000000.0,540000000.0,540000000.0,540000000.0,540000000.0,518000000.0,518000000.0,518000000.0,518000000.0,553000000.0,553000000.0,553000000.0,553000000.0,593000000.0,593000000.0,593000000.0,593000000.0,592000000.0,592000000.0,592000000.0,592000000.0,618000000.0,618000000.0,618000000.0,618000000.0,612000000.0,612000000.0,612000000.0,612000000.0,851000000.0,851000000.0,851000000.0,851000000.0,1062000000.0,1062000000.0,1062000000.0,1062000000.0,881000000.0,881000000.0,881000000.0,881000000.0,1018000000.0,1018000000.0,1018000000.0
AccountsReceivableGrossCurrent / USD,,,,,,3637000000.0,2920000000.0,2920000000.0,1596000000.0,1369000000.0,1596000000.0,1596000000.0,1596000000.0,1911000000.0,1911000000.0,1911000000.0,1911000000.0,1911000000.0,1932000000.0,1932000000.0,1932000000.0,1932000000.0,1932000000.0,1976000000.0,1422000000.0,1408000000.0,1422000000.0,1422000000.0,1444000000.0,1444000000.0,1444000000.0,1444000000.0,1390000000.0,1390000000.0,1390000000.0,1390000000.0,1454000000.0,1454000000.0,1454000000.0,1454000000.0,1568000000.0,1568000000.0,1568000000.0,1568000000.0,1344000000.0,1344000000.0,1344000000.0,1344000000.0,1475000000.0,1475000000.0,1475000000.0,1475000000.0,1465000000.0,1465000000.0,1465000000.0,1465000000.0,1456000000.0,1456000000.0,1456000000.0,1456000000.0,1579000000.0,1579000000.0,1579000000.0,1579000000.0,1779000000.0,1779000000.0,1779000000.0,1779000000.0,2035000000.0,2035000000.0,2035000000.0
AccountsReceivableNetCurrent / USD,3493000000.0,3493000000.0,3493000000.0,3495000000.0,3493000000.0,3495000000.0,2845000000.0,2845000000.0,1547000000.0,1353000000.0,1547000000.0,1547000000.0,1547000000.0,1866000000.0,1866000000.0,1866000000.0,1866000000.0,1866000000.0,1881000000.0,1881000000.0,1881000000.0,1881000000.0,1881000000.0,1920000000.0,1369000000.0,1358000000.0,1369000000.0,1369000000.0,1409000000.0,1409000000.0,1409000000.0,1409000000.0,1362000000.0,1362000000.0,1362000000.0,1362000000.0,1410000000.0,1410000000.0,1410000000.0,1410000000.0,1523000000.0,1523000000.0,1523000000.0,1523000000.0,1293000000.0,1293000000.0,1293000000.0,1293000000.0,1412000000.0,1412000000.0,1412000000.0,1293000000.0,1390000000.0,1390000000.0,1390000000.0,1412000000.0,1386000000.0,1386000000.0,1386000000.0,1390000000.0,1518000000.0,1518000000.0,1518000000.0,1386000000.0,1710000000.0,1710000000.0,1710000000.0,1518000000.0,1952000000.0,1952000000.0,1952000000.0
AccruedEnvironmentalLossContingenciesNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108000000.0,108000000.0,108000000.0,108000000.0,108000000.0,108000000.0,108000000.0,108000000.0,119000000.0,119000000.0,119000000.0,119000000.0,119000000.0,119000000.0,119000000.0
AccruedIncomeTaxesCurrent / USD,,,,,,258000000.0,246000000.0,246000000.0,179000000.0,192000000.0,179000000.0,179000000.0,179000000.0,126000000.0,126000000.0,126000000.0,126000000.0,126000000.0,95000000.0,95000000.0,95000000.0,95000000.0,95000000.0,95000000.0,85000000.0,74000000.0,85000000.0,85000000.0,91000000.0,91000000.0,91000000.0,91000000.0,48000000.0,48000000.0,48000000.0,48000000.0,111000000.0,111000000.0,111000000.0,111000000.0,107000000.0,107000000.0,107000000.0,107000000.0,111000000.0,111000000.0,111000000.0,111000000.0,95000000.0,95000000.0,95000000.0,95000000.0,147000000.0,147000000.0,147000000.0,147000000.0,183000000.0,183000000.0,183000000.0,183000000.0,367000000.0,367000000.0,367000000.0,367000000.0,231000000.0,231000000.0,231000000.0,231000000.0,217000000.0,217000000.0,217000000.0
AccruedLiabilitiesCurrent / USD,7340000000.0,7340000000.0,7340000000.0,5296000000.0,7340000000.0,5296000000.0,4141000000.0,4141000000.0,2574000000.0,2269000000.0,2574000000.0,2574000000.0,2574000000.0,2721000000.0,2721000000.0,2733000000.0,2733000000.0,2733000000.0,2626000000.0,2626000000.0,2626000000.0,2626000000.0,2626000000.0,2402000000.0,1763000000.0,1988000000.0,1763000000.0,1763000000.0,1706000000.0,1706000000.0,1706000000.0,1706000000.0,1671000000.0,1671000000.0,1671000000.0,1671000000.0,2111000000.0,2111000000.0,2111000000.0,2111000000.0,2286000000.0,2286000000.0,2286000000.0,2286000000.0,1210000000.0,1210000000.0,1210000000.0,1210000000.0,1356000000.0,1356000000.0,1356000000.0,1356000000.0,1311000000.0,1311000000.0,1311000000.0,1311000000.0,1557000000.0,1557000000.0,1557000000.0,1557000000.0,1638000000.0,1638000000.0,1638000000.0,1638000000.0,1504000000.0,1504000000.0,1504000000.0,1504000000.0,1643000000.0,1643000000.0,1643000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,4983000000.0,3271000000.0,3271000000.0,2047000000.0,1799000000.0,2047000000.0,2047000000.0,2047000000.0,1999000000.0,1999000000.0,1999000000.0,1999000000.0,1999000000.0,1870000000.0,1870000000.0,1870000000.0,1870000000.0,1870000000.0,1813000000.0,1669000000.0,1740000000.0,1669000000.0,1636000000.0,1700000000.0,1700000000.0,1700000000.0,1700000000.0,1638000000.0,1638000000.0,1638000000.0,1638000000.0,1450000000.0,1450000000.0,1450000000.0,1450000000.0,1593000000.0,1593000000.0,1593000000.0,1593000000.0,1363000000.0,1363000000.0,1363000000.0,1363000000.0,1484000000.0,,,1484000000.0,,,,1699000000.0,,,,1876000000.0,,,,1837000000.0,,,,1885000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-2205000000.0,-2205000000.0,-2205000000.0,-2286000000.0,-2205000000.0,-2286000000.0,-2286000000.0,-2286000000.0,-2222000000.0,-2286000000.0,-2222000000.0,-2222000000.0,-2222000000.0,-2876000000.0,-2876000000.0,-2876000000.0,-2876000000.0,-2876000000.0,-3300000000.0,-3300000000.0,-3300000000.0,-3300000000.0,-3300000000.0,-2287000000.0,-2287000000.0,-3300000000.0,-2287000000.0,-2287000000.0,-1855000000.0,-1855000000.0,-1855000000.0,-1855000000.0,-1866000000.0,-1866000000.0,-1866000000.0,-1866000000.0,-2317000000.0,-2317000000.0,-2317000000.0,-2317000000.0,-2562000000.0,-2562000000.0,-2562000000.0,-2562000000.0,-2765000000.0,-2765000000.0,-2765000000.0,-2765000000.0,-2440000000.0,-2440000000.0,-2440000000.0,-2440000000.0,-2446000000.0,-2446000000.0,-2446000000.0,-2446000000.0,-2379000000.0,-2379000000.0,-2379000000.0,-2379000000.0,-2535000000.0,-2535000000.0,-2535000000.0,-2535000000.0,-2540000000.0,-2540000000.0,-2540000000.0,-2540000000.0,-2539000000.0,-2539000000.0,-2539000000.0
AdditionalPaidInCapitalCommonStock / USD,,,,8211000000.0,,8211000000.0,8211000000.0,8231000000.0,8644000000.0,8231000000.0,8644000000.0,8644000000.0,8644000000.0,7071000000.0,7071000000.0,7071000000.0,7071000000.0,7071000000.0,4937000000.0,4937000000.0,4937000000.0,4937000000.0,4937000000.0,3518000000.0,3518000000.0,4937000000.0,3518000000.0,3518000000.0,1178000000.0,1178000000.0,1178000000.0,1178000000.0,42000000.0,42000000.0,42000000.0,42000000.0,203000000.0,203000000.0,203000000.0,203000000.0,351000000.0,351000000.0,351000000.0,351000000.0,419000000.0,419000000.0,419000000.0,419000000.0,499000000.0,499000000.0,499000000.0,499000000.0,759000000.0,759000000.0,759000000.0,759000000.0,987000000.0,987000000.0,987000000.0,987000000.0,1306000000.0,1306000000.0,1306000000.0,1306000000.0,1622000000.0,1622000000.0,1622000000.0,1622000000.0,1940000000.0,1940000000.0,1940000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,,,137000000.0,39000000.0,39000000.0,78000000.0,123000000.0,144000000.0,43000000.0,43000000.0,95000000.0,139000000.0,168000000.0,45000000.0,62000000.0,134000000.0,91000000.0,146000000.0,28000000.0,54000000.0,74000000.0,120000000.0,21000000.0,40000000.0,58000000.0,94000000.0,17000000.0,35000000.0,52000000.0,78000000.0,17000000.0,33000000.0,49000000.0,68000000.0,17000000.0,34000000.0,53000000.0,66000000.0,27000000.0,57000000.0,87000000.0,73000000.0,38000000.0,69000000.0,100000000.0,118000000.0,29000000.0,60000000.0,94000000.0,129000000.0,37000000.0,81000000.0,126000000.0,129000000.0,55000000.0,108000000.0,160000000.0,172000000.0,56000000.0,119000000.0,180000000.0
