fact_unit,2018-03-06,2018-07-26,2019-03-05,2019-07-25,2020-03-03,2020-07-31,2021-02-16,2021-07-30,2022-02-22,2022-07-29,2023-02-21,2023-07-28,2024-02-20,2024-07-25,2025-02-18,2025-07-29
AccountingProfit / USD,3069000000.0,,3552000000.0,,2227000000.0,,1993000000.0,,1548000000.0,,3916000000.0,,-265000000.0,,2501000000.0,
AccrualsClassifiedAsCurrent / USD,2983000000.0,,2714000000.0,,3324000000.0,,3951000000.0,,4026000000.0,,3905000000.0,,5649000000.0,,5551000000.0,
AccrualsClassifiedAsNoncurrent / USD,256000000.0,,292000000.0,,143000000.0,,7000000.0,,34000000.0,,56000000.0,,25000000.0,,37000000.0,
AcquisitionsThroughBusinessCombinationsOtherProvisions / USD,10000000.0,,,,,,,,141000000.0,,141000000.0,,141000000.0,,50000000.0,
ActuarialGainsLossesArisingFromChangesInDemographicAssumptionsBeforeTaxDefinedBenefitPlans / USD,,,,,,,,,,,,,,,9000000.0,
ActuarialGainsLossesArisingFromChangesInFinancialAssumptionsBeforeTaxDefinedBenefitPlans / USD,,,,,,,,,,,,,,,-243000000.0,
ActuarialGainsLossesArisingFromExperienceAdjustmentsBeforeTaxDefinedBenefitPlans / USD,,,,,,,,,,,,,,,-107000000.0,
AdditionalLiabilitiesContingentLiabilitiesRecognisedInBusinessCombination / USD,,,,,,,,,,,,60000000.0,,60000000.0,,198000000.0
AdjustedWeightedAverageShares / shares,1265000000.0,1266000000.0,1266000000.0,1267000000.0,1267000000.0,1290000000.0,1267000000.0,1313000000.0,1301000000.0,1319000000.0,1313000000.0,1561000000.0,1427000000.0,1560000000.0,1560000000.0,1560000000.0
AdjustmentsForCurrentTaxOfPriorPeriod / USD,-404000000.0,,-14000000.0,,-287000000.0,,38000000.0,,66000000.0,,-10000000.0,,-5000000.0,,-187000000.0,
AdjustmentsForDecreaseIncreaseInInventories / USD,-315000000.0,,-343000000.0,,-548000000.0,,-13000000.0,,-316000000.0,,-621000000.0,,1577000000.0,,3941000000.0,
AdjustmentsForDecreaseIncreaseInTradeAndOtherReceivables / USD,152000000.0,,1610000000.0,,83000000.0,,-523000000.0,,-898000000.0,,-739000000.0,,-961000000.0,,-1349000000.0,
AdjustmentsForDeferredTaxOfPriorPeriods / USD,92000000.0,,-130000000.0,,94000000.0,,-162000000.0,,-113000000.0,,-21000000.0,,-158000000.0,,135000000.0,
AdjustmentsForDepreciationAndAmortisationExpenseAndImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLoss / USD,,,,,,,,,,1550000000.0,,2666000000.0,6530000000.0,2778000000.0,5480000000.0,2534000000.0
AdjustmentsForFinanceIncomeCost / USD,,,,,,,,,,-602000000.0,,-612000000.0,-1257000000.0,-654000000.0,-1251000000.0,-645000000.0
AdjustmentsForGainLossOnDisposalOfInvestmentsInSubsidiariesJointVenturesAndAssociates / USD,,,,,,,,,776000000.0,776000000.0,776000000.0,,776000000.0,,,
AdjustmentsForGainLossOnDisposalsPropertyPlantAndEquipment / USD,,,,,,,,,,,25000000.0,,-4000000.0,,112000000.0,
AdjustmentsForSharebasedPayments / USD,211000000.0,,241000000.0,,220000000.0,,219000000.0,,259000000.0,,277000000.0,,615000000.0,,619000000.0,
AdjustmentsForUndistributedProfitsOfInvestmentsAccountedForUsingEquityMethod / USD,,,,,,,,,,-48000000.0,,-5000000.0,-64000000.0,-1000000.0,-5000000.0,-19000000.0
AdjustmentsForUnrealisedForeignExchangeLossesGains / USD,86000000.0,,-264000000.0,,-49000000.0,,-209000000.0,,-120000000.0,,-37000000.0,,-186000000.0,,-590000000.0,
AdministrationCostsNotReflectedInReturnOnPlanAssetsDefinedBenefitPlans / USD,,,,,,,,,,,,,,,11000000.0,
AmortisationIntangibleAssetsOtherThanGoodwill / USD,1999000000.0,,1701000000.0,,1829000000.0,,2165000000.0,,1928000000.0,,1992000000.0,,3143000000.0,,4156000000.0,
