fact_unit,2009-11-02,2010-02-22,2010-05-06,2010-08-06,2010-11-01,2011-02-22,2011-05-05,2011-08-05,2011-11-03,2012-02-21,2012-05-03,2012-08-02,2012-11-06,2013-02-21,2013-05-02,2013-08-01,2013-11-04,2014-02-21,2014-05-08,2014-08-07,2014-11-06,2015-02-19,2015-05-07,2015-08-06,2015-11-05,2016-02-18,2016-05-06,2016-08-04,2016-11-03,2017-02-16,2017-05-04,2017-08-03,2017-11-02,2018-02-15,2018-05-03,2018-08-02,2018-11-01,2019-02-21,2019-05-02,2019-08-01,2019-11-04,2020-02-20,2020-05-07,2020-08-06,2020-11-05,2021-02-18,2021-05-06,2021-08-05,2021-11-04,2022-02-17,2022-05-05,2022-08-04,2022-11-03,2023-02-16,2023-05-04,2023-08-03,2023-11-02,2024-02-15,2024-05-02,2024-08-01,2024-11-07,2025-02-20,2025-05-01,2025-08-07,2025-11-06
AccountsPayableCurrent / USD,,,,1173000000.0,,,1151000000.0,1151000000.0,1151000000.0,1151000000.0,955000000.0,955000000.0,955000000.0,955000000.0,1215000000.0,1215000000.0,1215000000.0,1215000000.0,1017000000.0,1017000000.0,1017000000.0,1017000000.0,1019000000.0,1019000000.0,1035000000.0,1035000000.0,1008000000.0,1008000000.0,1008000000.0,1008000000.0,1147000000.0,1147000000.0,1147000000.0,1147000000.0,1286000000.0,1286000000.0,1286000000.0,1286000000.0,1187000000.0,1187000000.0,1187000000.0,1187000000.0,1164000000.0,1164000000.0,1164000000.0,1164000000.0,1475000000.0,1475000000.0,1475000000.0,1475000000.0,1497000000.0,1497000000.0,1497000000.0,1497000000.0,1955000000.0,1955000000.0,1955000000.0,1955000000.0,1775000000.0,1775000000.0,1775000000.0,1775000000.0,1676000000.0,1676000000.0,1676000000.0
AccountsReceivableNetCurrent / USD,,,,1047000000.0,,,1173000000.0,1173000000.0,1173000000.0,1173000000.0,1123000000.0,1123000000.0,1123000000.0,1123000000.0,1222000000.0,1222000000.0,1222000000.0,1222000000.0,1251000000.0,1251000000.0,1251000000.0,1251000000.0,1201000000.0,1201000000.0,1201000000.0,1201000000.0,1052000000.0,1052000000.0,1052000000.0,1052000000.0,1106000000.0,1106000000.0,1106000000.0,1106000000.0,1103000000.0,1103000000.0,1103000000.0,1103000000.0,1267000000.0,1267000000.0,1267000000.0,1267000000.0,1236000000.0,1236000000.0,1236000000.0,1236000000.0,1701000000.0,1701000000.0,1701000000.0,1701000000.0,1943000000.0,1943000000.0,1943000000.0,1943000000.0,2192000000.0,2192000000.0,2192000000.0,2192000000.0,2418000000.0,2418000000.0,2418000000.0,2418000000.0,2440000000.0,2440000000.0,2440000000.0
AccruedEnvironmentalLossContingenciesNoncurrent / USD,,,,212000000.0,,,512000000.0,512000000.0,512000000.0,512000000.0,489000000.0,489000000.0,489000000.0,489000000.0,545000000.0,545000000.0,545000000.0,545000000.0,749000000.0,749000000.0,749000000.0,749000000.0,764000000.0,764000000.0,764000000.0,764000000.0,765000000.0,765000000.0,765000000.0,765000000.0,753000000.0,753000000.0,753000000.0,753000000.0,737000000.0,737000000.0,737000000.0,737000000.0,779000000.0,779000000.0,779000000.0,779000000.0,734000000.0,734000000.0,734000000.0,734000000.0,857000000.0,857000000.0,857000000.0,857000000.0,940000000.0,940000000.0,940000000.0,940000000.0,997000000.0,997000000.0,997000000.0,997000000.0,1118000000.0,1118000000.0,1118000000.0,1118000000.0,1037000000.0,1037000000.0,1037000000.0
AccruedIncomeTaxes / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73000000.0,139000000.0,0.0,73000000.0,66000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,51000000.0,51000000.0,51000000.0,51000000.0,59000000.0,59000000.0,59000000.0,59000000.0,68000000.0,68000000.0,68000000.0,68000000.0,90000000.0,90000000.0,90000000.0,90000000.0,91000000.0,91000000.0,91000000.0,91000000.0,95000000.0,95000000.0,95000000.0,95000000.0,140000000.0,140000000.0,140000000.0,140000000.0,201000000.0,201000000.0,201000000.0,201000000.0,275000000.0,275000000.0,275000000.0,275000000.0,391000000.0,391000000.0,391000000.0,391000000.0,522000000.0,522000000.0,522000000.0,522000000.0,626000000.0,626000000.0,626000000.0,626000000.0,23000000.0,23000000.0,23000000.0,23000000.0,24000000.0,24000000.0,24000000.0,24000000.0,25000000.0,25000000.0,25000000.0
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,,,,,,,,,,-37000000.0,,,,55000000.0,,,,50000000.0,,,,22000000.0,,,,42000000.0,,,,31000000.0,,,,24000000.0,,,,23000000.0,,,,12000000.0,,,,17000000.0,,,,23000000.0,,,,-7000000.0,,,,-23000000.0,,,,-23000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,,,,,,,,,-40000000.0,,,,-58000000.0,3000000.0,-53000000.0,-53000000.0,-53000000.0,-53000000.0,-53000000.0,-53000000.0,-53000000.0,-25000000.0,-25000000.0,-25000000.0,-25000000.0,,,,-34000000.0,,,,-27000000.0,,,,-26000000.0,,,,-16000000.0,,,,-19000000.0,,,,-25000000.0,,,,5000000.0,,,,22000000.0,,,,22000000.0,,,
AdjustmentForAmortization / USD,,,,-13000000.0,,,,,,-63000000.0,19000000.0,29000000.0,39000000.0,13000000.0,31000000.0,22000000.0,32000000.0,49000000.0,10000000.0,19000000.0,1000000.0,42000000.0,32000000.0,61000000.0,90000000.0,21000000.0,-8000000.0,-20000000.0,-38000000.0,121000000.0,-63000000.0,-112000000.0,-157000000.0,-52000000.0,-31000000.0,-62000000.0,-93000000.0,-210000000.0,-28000000.0,-56000000.0,-85000000.0,-124000000.0,-29000000.0,-59000000.0,-88000000.0,-117000000.0,-11000000.0,-20000000.0,-30000000.0,-116000000.0,-7000000.0,-11000000.0,,,,,55000000.0,-16000000.0,22000000.0,44000000.0,67000000.0,73000000.0,49000000.0,115000000.0,174000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000000.0,34000000.0,,,,,,,,,,,,11000000.0,13000000.0,,,
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000000.0,,,,34000000.0,,,,50000000.0,,,,63000000.0,,,,14000000.0,,,,47000000.0,,,,17000000.0,,,,35000000.0,,,,64000000.0,,,
