fact_unit,2019-04-24,2020-04-24,2020-11-16,2021-04-30,2022-04-25,2023-04-26,2024-04-25,2025-04-28
DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLoss / CNY,,,,,4315096000.0,13008899000.0,,
DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLoss / USD,,,,,2041380000.0,1600691000.0,,
DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent / CNY,,,,,,86203296000.0,,139740216000.0
DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent / USD,,,,,,16509939000.0,,28820302000.0
DebtSecuritiesHeldToMaturityExcludingAccruedInterestAfterAllowanceForCreditLossCurrent / CNY,,,,,,,113872353000.0,
DebtSecuritiesHeldToMaturityExcludingAccruedInterestAfterAllowanceForCreditLossCurrent / USD,,,,,,,19681997000.0,
DeferredIncomeTaxAssetsNet / CNY,,,,,31504000.0,31504000.0,1045030000.0,270738000.0
DeferredIncomeTaxAssetsNet / USD,,,,,4944000.0,151515000.0,38133000.0,2192000.0
DeferredIncomeTaxExpenseBenefit / CNY,0.0,0.0,,0.0,0.0,0.0,-213000.0,-1028586000.0
DeferredIncomeTaxExpenseBenefit / USD,0.0,0.0,,0.0,-34000.0,-149131000.0,112833000.0,30438000.0
DeferredIncomeTaxLiabilitiesNet / CNY,,,,,31291000.0,31291000.0,13025000.0,59829000.0
DeferredIncomeTaxLiabilitiesNet / USD,,,,,4910000.0,1888000.0,8427000.0,14628000.0
DeferredTaxAssetsLiabilitiesNet / CNY,,,,,0.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,,34000.0,,,
DeferredTaxAssetsNet / CNY,,,,,0.0,31504000.0,1079677000.0,381659000.0
DeferredTaxAssetsNet / USD,,,,,4944000.0,156538000.0,53756000.0,21699000.0
DeferredTaxAssetsOperatingLossCarryforwards / CNY,52486000.0,343809000.0,,1840246000.0,1956901000.0,1432514000.0,1472388000.0,740304000.0
DeferredTaxAssetsOperatingLossCarryforwards / USD,50005000.0,264335000.0,,299908000.0,224793000.0,213476000.0,104270000.0,92790000.0
DeferredTaxAssetsOther / CNY,,13276000.0,,43111000.0,94186000.0,31926000.0,58994000.0,156199000.0
DeferredTaxAssetsOther / USD,,6193000.0,,14435000.0,5010000.0,8553000.0,22000000.0,22603000.0
DeferredTaxAssetsValuationAllowance / CNY,163460000.0,781968000.0,,2135186000.0,3194945000.0,2764003000.0,531313000.0,860933000.0
DeferredTaxAssetsValuationAllowance / USD,113733000.0,306701000.0,,489647000.0,433732000.0,77033000.0,121260000.0,97990000.0
