fact_unit,2013-05-08,2013-08-09,2013-11-12,2014-02-21,2014-05-09,2014-08-07,2014-11-07,2015-02-20,2015-05-08,2015-08-07,2015-11-06,2016-02-19,2016-05-06,2016-08-05,2016-11-07,2017-02-17,2017-05-05,2017-08-07,2017-11-07,2018-02-16,2018-05-04,2018-08-07,2018-11-07,2019-02-27,2019-05-03,2019-08-05,2019-11-06,2020-02-21,2020-05-08,2020-08-04,2020-11-04,2021-02-19,2021-05-07,2021-08-02,2021-11-02,2022-02-18,2022-05-06,2022-08-04,2022-11-04,2023-02-17,2023-05-05,2023-08-07,2023-11-06,2024-02-20,2024-05-03,2024-08-07,2024-11-04,2025-02-14,2025-05-09,2025-08-04,2025-11-04
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,,,,,,,,,,,,,,,168000000.0,90000000.0,185000000.0,238000000.0,193000000.0,94000000.0,152000000.0,203000000.0,292000000.0,162000000.0,228000000.0,290000000.0,292000000.0,156000000.0,227000000.0,287000000.0,348000000.0,180000000.0,378000000.0,508000000.0,350000000.0,221000000.0,354000000.0,462000000.0,622000000.0,250000000.0,336000000.0,437000000.0,566000000.0,258000000.0,407000000.0,511000000.0,549000000.0,288000000.0,472000000.0,620000000.0
AmortizationOfIntangibleAssets / USD,179000000.0,355000000.0,489000000.0,764000000.0,135000000.0,271000000.0,408000000.0,625000000.0,110000000.0,209000000.0,307000000.0,509000000.0,68000000.0,154000000.0,279000000.0,403000000.0,165000000.0,346000000.0,554000000.0,419000000.0,271000000.0,540000000.0,808000000.0,764000000.0,330000000.0,654000000.0,974000000.0,1076000000.0,385000000.0,773000000.0,1162000000.0,1294000000.0,444000000.0,1850000000.0,3967000000.0,1553000000.0,2009000000.0,4008000000.0,5912000000.0,5805000000.0,1855000000.0,3704000000.0,5728000000.0,7718000000.0,1948000000.0,4018000000.0,6057000000.0,7689000000.0,1891000000.0,3838000000.0,5726000000.0
Assets / USD,27008000000.0,27008000000.0,27008000000.0,27008000000.0,29198000000.0,29198000000.0,29198000000.0,29198000000.0,27547000000.0,27513000000.0,27513000000.0,27513000000.0,53050000000.0,53050000000.0,53050000000.0,53050000000.0,66099000000.0,66099000000.0,66099000000.0,66099000000.0,70786000000.0,70786000000.0,70786000000.0,70786000000.0,59352000000.0,59352000000.0,59352000000.0,59352000000.0,89115000000.0,89115000000.0,89115000000.0,89115000000.0,150565000000.0,150565000000.0,150565000000.0,150565000000.0,146529000000.0,146529000000.0,146529000000.0,146529000000.0,138805000000.0,138805000000.0,138805000000.0,138805000000.0,134711000000.0,134711000000.0,134711000000.0,134711000000.0,135161000000.0,135161000000.0,135161000000.0
AssetsCurrent / USD,15354000000.0,15354000000.0,15354000000.0,15354000000.0,17848000000.0,17848000000.0,17848000000.0,17848000000.0,16088000000.0,16081000000.0,16081000000.0,16081000000.0,16314000000.0,16314000000.0,16314000000.0,16314000000.0,16187000000.0,16187000000.0,16187000000.0,16187000000.0,21223000000.0,21223000000.0,21223000000.0,21223000000.0,16945000000.0,16945000000.0,16945000000.0,16945000000.0,49519000000.0,49519000000.0,49519000000.0,49519000000.0,24173000000.0,24173000000.0,24173000000.0,24173000000.0,27928000000.0,27928000000.0,27928000000.0,27928000000.0,28463000000.0,28463000000.0,28463000000.0,28463000000.0,33002000000.0,33002000000.0,33002000000.0,33002000000.0,25582000000.0,25582000000.0,25582000000.0
BusinessAcquisitionsProFormaNetIncomeLoss / USD,,,,,,,,,,1355000000.0,,812000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2862000000.0,,,
BusinessAcquisitionsProFormaRevenue / USD,,,,,,,,,,9721000000.0,,20690000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54691000000.0,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1 / USD,,,,,,,,,,,,,,41000000.0,0.0,0.0,0.0,41000000.0,143000000.0,0.0,85000000.0,146000000.0,547000000.0,228000000.0,-148000000.0,337000000.0,432000000.0,626000000.0,169000000.0,2473000000.0,2653000000.0,49000000.0,72000000.0,881000000.0,1078000000.0,3091000000.0,-343000000.0,2349000000.0,2447000000.0,5753000000.0,-748000000.0,861000000.0,647000000.0,2679000000.0,1872000000.0,3424000000.0,3432000000.0,2761000000.0,660000000.0,2136000000.0,3492000000.0
BusinessCombinationContingentConsiderationLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1249000000.0,,,,1469000000.0,,,,1952000000.0,,,
BusinessCombinationContingentConsiderationLiabilityNoncurrent / USD,,,,,,,,,,,,,,,,0.0,,,,3941000000.0,,,,4266000000.0,,,,4306000000.0,,,,7201000000.0,,,,12289000000.0,,,,13638000000.0,,,,14915000000.0,,,,17938000000.0,,,
BusinessCombinationSeparatelyRecognizedTransactionsExpensesAndLossesRecognized / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510000000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,27000000.0,27000000.0,27000000.0,10000000.0,5901000000.0,5901000000.0,5901000000.0,27000000.0,9595000000.0,9595000000.0,9595000000.0,5901000000.0,8348000000.0,8348000000.0,8348000000.0,9595000000.0,8399000000.0,8399000000.0,8399000000.0,8348000000.0,5100000000.0,5100000000.0,5100000000.0,8399000000.0,9303000000.0,9303000000.0,9303000000.0,5100000000.0,39924000000.0,39924000000.0,39924000000.0,39924000000.0,8449000000.0,8449000000.0,8449000000.0,8449000000.0,9746000000.0,9746000000.0,9746000000.0,9746000000.0,9201000000.0,9201000000.0,9201000000.0,9201000000.0,12814000000.0,12814000000.0,12814000000.0,12814000000.0,5524000000.0,5524000000.0,5524000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7289000000.0,7289000000.0,7289000000.0,9303000000.0,39924000000.0,39924000000.0,39924000000.0,7289000000.0,8449000000.0,8449000000.0,8449000000.0,39924000000.0,9746000000.0,9746000000.0,9746000000.0,8449000000.0,9201000000.0,9201000000.0,9201000000.0,9746000000.0,12814000000.0,12814000000.0,12814000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2392000000.0,-2117000000.0,3359000000.0,-2014000000.0,1218000000.0,-33907000000.0,-32034000000.0,32635000000.0,1306000000.0,97000000.0,3733000000.0,-31475000000.0,-3648000000.0,-1225000000.0,2086000000.0,1297000000.0,-2490000000.0,-442000000.0,4086000000.0,-545000000.0,5253000000.0,316000000.0,-5557000000.0
CommonStockDividendsPerShareDeclared / USD/shares,0.8,1.2,1.6,0.4,0.8,1.2,1.6,0.4,0.42,0.84,1.26,0.4,0.51,1.02,1.53,1.75,0.57,1.14,1.71,2.1,0.64,0.64,0.64,0.64,0.96,0.96,0.96,0.64,1.07,1.07,1.07,0.96,1.18,1.18,1.18,1.07,1.3,1.3,1.3,1.18,,,,1.3,,,,1.41,1.55,1.55,1.55
CommonStockParOrStatedValuePerShare / USD/shares,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,,,,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0
CommonStockSharesIssued / shares,1586295590.0,1588559371.0,1590861812.0,1594260996.0,1594260996.0,1594260996.0,1594260996.0,1594260996.0,1609519046.0,1609519046.0,1609519046.0,1609519046.0,1749027140.0,1749027140.0,1749027140.0,1749027140.0,1754900486.0,1754900486.0,1754900486.0,1754900486.0,1768738550.0,1768738550.0,1768738550.0,1768738550.0,1776510871.0,1776510871.0,1776510871.0,1776510871.0,1781582608.0,1781582608.0,1781582608.0,1781582608.0,1792140764.0,1792140764.0,1792140764.0,1792140764.0,1803195293.0,1803195293.0,1803195293.0,1803195293.0,1813770294.0,1813770294.0,1813770294.0,1813770294.0,1823046087.0,1823046087.0,1823046087.0,1823046087.0,1831594494.0,1831594494.0,1831594494.0
CommonStockValueOutstanding / USD,16000000.0,16000000.0,16000000.0,16000000.0,16000000.0,16000000.0,16000000.0,16000000.0,16000000.0,16000000.0,16000000.0,16000000.0,17000000.0,17000000.0,17000000.0,17000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0
