fact_unit,2019-05-31,2019-08-06,2019-10-31,2020-02-14,2020-05-07,2020-08-06,2020-11-05,2021-02-11,2021-05-05,2021-08-06,2021-11-04,2022-02-10,2022-05-05,2022-08-05,2022-11-04,2023-02-09,2023-05-04,2023-08-04,2023-11-09,2024-02-08,2024-05-02,2024-08-01,2024-11-07,2025-02-14,2025-05-08,2025-08-07,2025-11-05
AccountsNotesAndLoansReceivableNetCurrent / USD,,,,,,,,,,,,,,,,,,,4875000000.0,4261000000.0,7334000000.0,6575000000.0,5320000000.0,4329000000.0,6760000000.0,6388000000.0,5501000000.0
AccountsPayableCurrent / USD,4982000000.0,3629000000.0,3642000000.0,3798000000.0,3120000000.0,3139000000.0,3014000000.0,3702000000.0,3021000000.0,2891000000.0,2994000000.0,3615000000.0,3098000000.0,3070000000.0,3512000000.0,4126000000.0,3685000000.0,3567000000.0,4140000000.0,4895000000.0,3957000000.0,3379000000.0,3678000000.0,4280000000.0,3606000000.0,3300000000.0,3753000000.0
AccountsPayableOtherCurrentAndNoncurrent / USD,,,,,,,,927000000.0,,,,1058000000.0,,,,925000000.0,,,,1030000000.0,,,,1170000000.0,,,
AccountsPayableTradeCurrent / USD,,,,2602000000.0,,,,2577000000.0,,,,2557000000.0,,,,3023000000.0,,,,3717000000.0,2315000000.0,1541000000.0,2046000000.0,2952000000.0,1982000000.0,1434000000.0,2051000000.0
AccountsReceivableNetCurrent / USD,,4261000000.0,3559000000.0,3649000000.0,4683000000.0,4811000000.0,3969000000.0,4225000000.0,5367000000.0,4396000000.0,3231000000.0,3754000000.0,5231000000.0,4318000000.0,3336000000.0,3441000000.0,5603000000.0,4457000000.0,3642000000.0,4168000000.0,6883000000.0,5248000000.0,4013000000.0,4210000000.0,6320000000.0,5168000000.0,4260000000.0
AccrualForEnvironmentalLossContingencies / USD,384000000.0,357000000.0,349000000.0,398000000.0,359000000.0,350000000.0,342000000.0,336000000.0,333000000.0,335000000.0,454000000.0,452000000.0,459000000.0,482000000.0,483000000.0,512000000.0,519000000.0,508000000.0,508000000.0,501000000.0,503000000.0,489000000.0,477000000.0,478000000.0,528000000.0,519000000.0,580000000.0
AccruedIncomeTaxesCurrent / USD,66000000.0,249000000.0,224000000.0,186000000.0,195000000.0,282000000.0,126000000.0,95000000.0,143000000.0,369000000.0,168000000.0,123000000.0,165000000.0,234000000.0,95000000.0,146000000.0,180000000.0,383000000.0,227000000.0,183000000.0,298000000.0,396000000.0,236000000.0,174000000.0,311000000.0,488000000.0,313000000.0
AccruedLiabilitiesCurrent / USD,4233000000.0,2689000000.0,2117000000.0,4005000000.0,4061000000.0,3135000000.0,2249000000.0,4434000000.0,2043000000.0,2309000000.0,2028000000.0,2145000000.0,2239000000.0,2523000000.0,2134000000.0,2068000000.0,2335000000.0,2454000000.0,2115000000.0,2254000000.0,2477000000.0,2892000000.0,2273000000.0,2351000000.0,2573000000.0,2499000000.0,2188000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,1720000000.0,2598000000.0,2694000000.0,2796000000.0,2970000000.0,3207000000.0,3186000000.0,3326000000.0,3406000000.0,3565000000.0,3712000000.0,3857000000.0,3874000000.0,4002000000.0,3960000000.0,4035000000.0,4150000000.0,4232000000.0,4259000000.0,4297000000.0,4362000000.0,4491000000.0,4572000000.0,4669000000.0,4807000000.0,4933000000.0,5025000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-2503000000.0,-2185000000.0,-2271000000.0,-3360000000.0,-3434000000.0,-2375000000.0,-2667000000.0,-3270000000.0,-3933000000.0,-3845000000.0,-3796000000.0,-2890000000.0,-3367000000.0,-3245000000.0,-3645000000.0,-2898000000.0,-2821000000.0,-3223000000.0,-3592000000.0,-2806000000.0,-2739000000.0,-2677000000.0,-3001000000.0,-2677000000.0,-3010000000.0,-3324000000.0,-2886000000.0
AdditionalPaidInCapital / USD,79790000000.0,0.0,0.0,0.0,27997000000.0,28081000000.0,28072000000.0,27997000000.0,27906000000.0,27891000000.0,27895000000.0,27707000000.0,27630000000.0,27682000000.0,27712000000.0,27751000000.0,27760000000.0,27795000000.0,27815000000.0,27851000000.0,27844000000.0,27877000000.0,27895000000.0,27748000000.0,27468000000.0,27504000000.0,27518000000.0
AdjustmentsToAdditionalPaidInCapitalDividendsInExcessOfRetainedEarnings / USD,,,,,,,,,,,,,,,,,,,,,,,112000000.0,,112000000.0,112000000.0,112000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,11000000.0,11000000.0,11000000.0,275000000.0,18000000.0,18000000.0,18000000.0,129000000.0,2000000.0,2000000.0,2000000.0,103000000.0,0.0,22000000.0,22000000.0,59000000.0,-31000000.0,-31000000.0,-31000000.0,56000000.0,-14000000.0,-14000000.0,-14000000.0,10000000.0,2000000.0,2000000.0,2000000.0
