fact_unit,2009-10-30,2010-02-17,2010-04-30,2010-07-30,2010-10-29,2011-02-17,2011-04-29,2011-07-29,2011-10-28,2012-02-15,2012-04-27,2012-07-27,2012-10-25,2013-02-15,2013-04-24,2013-07-24,2013-10-23,2014-02-14,2014-04-23,2014-07-23,2014-10-22,2015-02-11,2015-04-29,2015-07-27,2015-10-28,2016-02-08,2016-04-22,2016-07-27,2016-10-26,2017-02-06,2017-04-26,2017-07-26,2017-10-25,2018-02-05,2018-04-25,2018-07-25,2018-10-24,2019-02-08,2019-04-24,2019-07-24,2019-10-23,2020-02-06,2020-04-29,2020-07-29,2020-10-28,2021-02-04,2021-04-28,2021-07-28,2021-10-27,2022-02-04,2022-04-27,2022-07-27,2022-10-26,2023-02-03,2023-04-26,2023-07-27,2023-10-25,2024-02-05,2024-04-24,2024-07-26,2024-10-22,2025-02-10,2025-04-23,2025-07-29,2025-10-23
AccountsPayableCurrent / USD,1140000000.0,1140000000.0,974000000.0,974000000.0,974000000.0,974000000.0,1181000000.0,1181000000.0,1181000000.0,1181000000.0,1092000000.0,1092000000.0,1092000000.0,1092000000.0,1362000000.0,1362000000.0,1362000000.0,1362000000.0,1265000000.0,1265000000.0,1265000000.0,1265000000.0,1233000000.0,1233000000.0,1233000000.0,1233000000.0,1091000000.0,1091000000.0,1091000000.0,1091000000.0,1215000000.0,1215000000.0,1215000000.0,1215000000.0,1401000000.0,1401000000.0,1401000000.0,1401000000.0,1505000000.0,1505000000.0,1505000000.0,1505000000.0,1428000000.0,1428000000.0,1428000000.0,1428000000.0,1016000000.0,1016000000.0,1016000000.0,1016000000.0,1351000000.0,1351000000.0,1351000000.0,1351000000.0,1293000000.0,1293000000.0,1293000000.0,1293000000.0,1638000000.0,1638000000.0,1638000000.0,1638000000.0,1704000000.0,1704000000.0,1704000000.0
AccountsPayableOtherCurrent / USD,,,,,,22000000.0,,,,25000000.0,,,,109000000.0,,,,95000000.0,,,,97000000.0,,,,110000000.0,,,,109000000.0,,,,110000000.0,,,,113000000.0,,,,122000000.0,,,,106000000.0,,,,105000000.0,,,,104000000.0,,,,102000000.0,,,,113000000.0,,,
AccountsReceivableNetCurrent / USD,870000000.0,870000000.0,766000000.0,766000000.0,766000000.0,766000000.0,807000000.0,807000000.0,807000000.0,807000000.0,1022000000.0,1022000000.0,1022000000.0,1022000000.0,1109000000.0,1109000000.0,1109000000.0,1109000000.0,1024000000.0,1024000000.0,1024000000.0,1024000000.0,1055000000.0,1055000000.0,1055000000.0,1055000000.0,946000000.0,946000000.0,946000000.0,946000000.0,945000000.0,945000000.0,945000000.0,945000000.0,955000000.0,955000000.0,955000000.0,955000000.0,1009000000.0,1009000000.0,1009000000.0,1009000000.0,920000000.0,920000000.0,920000000.0,920000000.0,848000000.0,848000000.0,848000000.0,848000000.0,976000000.0,976000000.0,976000000.0,976000000.0,1148000000.0,1148000000.0,1148000000.0,1148000000.0,1147000000.0,1147000000.0,1147000000.0,1147000000.0,1069000000.0,1069000000.0,1069000000.0
AccruedSalariesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650000000.0,,,,822000000.0,,,,828000000.0,,,,710000000.0,,,,552000000.0,,,,850000000.0,,,,712000000.0,,,,997000000.0,,,
AccruedVacationCurrent / USD,,,,,,123000000.0,,,,122000000.0,,,,123000000.0,,,,129000000.0,,,,130000000.0,,,,132000000.0,,,,135000000.0,,,,134000000.0,,,,133000000.0,,,,140000000.0,,,,136000000.0,,,,121000000.0,,,,119000000.0,,,,136000000.0,,,,144000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,8793000000.0,9262000000.0,9262000000.0,9262000000.0,9262000000.0,9464000000.0,9464000000.0,9464000000.0,9464000000.0,9922000000.0,9922000000.0,9922000000.0,9922000000.0,10387000000.0,10387000000.0,10387000000.0,10387000000.0,10814000000.0,10814000000.0,10814000000.0,10814000000.0,11478000000.0,11478000000.0,11478000000.0,11478000000.0,11737000000.0,11737000000.0,11737000000.0,11737000000.0,11909000000.0,11909000000.0,11909000000.0,11909000000.0,12374000000.0,12374000000.0,12374000000.0,12374000000.0,11982000000.0,11982000000.0,11982000000.0,11982000000.0,11985000000.0,11985000000.0,11985000000.0,11985000000.0,12031000000.0,12031000000.0,12031000000.0,12031000000.0,12592000000.0,12592000000.0,12592000000.0,12592000000.0,13265000000.0,13265000000.0,13265000000.0,13265000000.0,13957000000.0,13957000000.0,13957000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-942000000.0,-942000000.0,-853000000.0,-853000000.0,-853000000.0,-942000000.0,-805000000.0,-805000000.0,-805000000.0,-853000000.0,-1026000000.0,-1026000000.0,-1026000000.0,-805000000.0,-1109000000.0,-1109000000.0,-1109000000.0,-1026000000.0,-1109000000.0,-1109000000.0,-1109000000.0,-1109000000.0,-381000000.0,-381000000.0,-381000000.0,-381000000.0,-398000000.0,-398000000.0,-398000000.0,-398000000.0,-445000000.0,-445000000.0,-445000000.0,-445000000.0,-487000000.0,-487000000.0,-487000000.0,-487000000.0,-563000000.0,-563000000.0,-563000000.0,-563000000.0,-491000000.0,-491000000.0,-491000000.0,-491000000.0,-594000000.0,-594000000.0,-594000000.0,-594000000.0,-402000000.0,-402000000.0,-402000000.0,-402000000.0,-351000000.0,-351000000.0,-351000000.0,-351000000.0,-320000000.0,-320000000.0,-320000000.0,-320000000.0,-262000000.0,-262000000.0,-262000000.0
AdditionalPaidInCapital / USD,1680000000.0,1680000000.0,1809000000.0,1809000000.0,1809000000.0,1809000000.0,1892000000.0,1892000000.0,1892000000.0,1892000000.0,1912000000.0,1912000000.0,1912000000.0,1912000000.0,1911000000.0,1911000000.0,1911000000.0,1911000000.0,2021000000.0,2021000000.0,2021000000.0,2021000000.0,2148000000.0,2148000000.0,2148000000.0,2148000000.0,2143000000.0,2143000000.0,2143000000.0,2143000000.0,2179000000.0,2179000000.0,2179000000.0,2179000000.0,2254000000.0,2254000000.0,2254000000.0,2254000000.0,2216000000.0,2216000000.0,2216000000.0,2216000000.0,2209000000.0,2209000000.0,2209000000.0,2209000000.0,2248000000.0,2248000000.0,2248000000.0,2248000000.0,2215000000.0,2215000000.0,2215000000.0,2215000000.0,2157000000.0,2157000000.0,2157000000.0,2157000000.0,2179000000.0,2179000000.0,2179000000.0,2179000000.0,2247000000.0,2247000000.0,2247000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,60000000.0,42000000.0,49000000.0,52000000.0,67000000.0,34000000.0,41000000.0,41000000.0,61000000.0,37000000.0,43000000.0,47000000.0,45000000.0,32000000.0,42000000.0,48000000.0,54000000.0,31000000.0,35000000.0,38000000.0,44000000.0,27000000.0,35000000.0,42000000.0,42000000.0,27000000.0,32000000.0,39000000.0,42000000.0,16000000.0,29000000.0,41000000.0,45000000.0,16000000.0,36000000.0,46000000.0,47000000.0,2000000.0,12000000.0,25000000.0,53000000.0,16000000.0,32000000.0,46000000.0,28000000.0,23000000.0,36000000.0,49000000.0,54000000.0,11000000.0,22000000.0,32000000.0,53000000.0,19000000.0,32000000.0,27000000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,5000000.0,,,,5000000.0,,,,4000000.0,,,,3000000.0,,,,3000000.0,,,,6000000.0,,,,3000000.0,,,,4000000.0,,,,7000000.0,,,,7000000.0,,,,9000000.0,,,,6000000.0,,,,8000000.0,,,,9000000.0,,,,7000000.0,,,
