fact_unit,2016-05-06,2016-08-04,2016-11-02,2017-02-27,2017-05-04,2017-08-02,2017-11-08,2018-02-27,2018-05-02,2018-08-01,2018-11-07,2019-02-27,2019-05-01,2019-08-01,2019-11-06,2020-02-26,2020-05-06,2020-08-05,2020-11-05,2021-02-23,2021-05-06,2021-08-02,2021-11-04,2022-02-24,2022-05-05,2022-08-04,2022-11-03,2023-02-23,2023-05-04,2023-08-03,2023-11-02,2024-02-22,2024-05-02,2024-08-01,2024-11-07,2025-02-24,2025-05-01,2025-08-07,2025-11-06
AccountsPayableCurrent / USD,18869000.0,18869000.0,18869000.0,18869000.0,12602000.0,12602000.0,12602000.0,12602000.0,16763000.0,16763000.0,16763000.0,,,,,36416000.0,,,,42116000.0,,,,47089000.0,82173000.0,82173000.0,82173000.0,82173000.0,95846000.0,95846000.0,95846000.0,95846000.0,142554000.0,142554000.0,142554000.0,142554000.0,117963000.0,117963000.0,117963000.0
AccountsReceivableNetCurrent / USD,4808000.0,4808000.0,4808000.0,4808000.0,6191000.0,6191000.0,6191000.0,6191000.0,8606000.0,8606000.0,8606000.0,8606000.0,22393000.0,22393000.0,22393000.0,22393000.0,33863000.0,33863000.0,33863000.0,33863000.0,41960000.0,41960000.0,41960000.0,41960000.0,89702000.0,89702000.0,89702000.0,89702000.0,140508000.0,140508000.0,140508000.0,140508000.0,134824000.0,134824000.0,134824000.0,134824000.0,148898000.0,148898000.0,148898000.0
AccruedLiabilitiesAndOtherLiabilities / USD,,,,,,,,,,,,,,,,215189000.0,297841000.0,297841000.0,297841000.0,297841000.0,360850000.0,360850000.0,360850000.0,360850000.0,639309000.0,638854000.0,638854000.0,702881000.0,1073516000.0,1073516000.0,1073516000.0,1073516000.0,1334669000.0,1334669000.0,1334669000.0,1334669000.0,1525149000.0,1525149000.0,1525149000.0
AccruedLiabilitiesCurrent / USD,44401000.0,44401000.0,44401000.0,44401000.0,39543000.0,39543000.0,39543000.0,39543000.0,52280000.0,52280000.0,52280000.0,52280000.0,82354000.0,82354000.0,82354000.0,82354000.0,128387000.0,128387000.0,128387000.0,128387000.0,126710000.0,126710000.0,126710000.0,126710000.0,254900000.0,254900000.0,254900000.0,254900000.0,382571000.0,382571000.0,382571000.0,382571000.0,538812000.0,538812000.0,538812000.0,538812000.0,725339000.0,725339000.0,725339000.0
AccruedRoyaltiesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,53616000.0,53616000.0,53616000.0,53616000.0,63684000.0,63684000.0,63684000.0,63684000.0,62140000.0,62140000.0,62140000.0,62140000.0,57605000.0,57605000.0,57605000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,45969000.0,45969000.0,45969000.0,45969000.0,73332000.0,73332000.0,73332000.0,73332000.0,101316000.0,101316000.0,101316000.0,101316000.0,124909000.0,124909000.0,124909000.0,124909000.0,178529000.0,,,,,,,,,,,,,,,367547000.0,,,,323301000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-1185000.0,-1185000.0,-1185000.0,-1185000.0,-1989000.0,-1989000.0,-1989000.0,-1989000.0,-1318000.0,-1318000.0,-1318000.0,-1318000.0,-6053000.0,-6053000.0,-6053000.0,-6053000.0,1629000.0,1629000.0,1629000.0,1629000.0,23328000.0,23328000.0,23328000.0,23328000.0,-16435000.0,-16435000.0,-16435000.0,-16435000.0,-523090000.0,-523090000.0,-523090000.0,-523090000.0,-378307000.0,-378307000.0,-378307000.0,-378307000.0,-1001065000.0,-1001065000.0,-1001065000.0
AdditionalPaidInCapital / USD,1116882000.0,1116882000.0,1116882000.0,1116882000.0,1357381000.0,1357381000.0,1357381000.0,1357381000.0,1630386000.0,1630386000.0,1630386000.0,1630386000.0,2012328000.0,2012328000.0,2012328000.0,2012328000.0,2223749000.0,2223749000.0,2223749000.0,2223749000.0,2955464000.0,2955464000.0,2955464000.0,2955464000.0,3317255000.0,3317255000.0,3317255000.0,3317255000.0,18314681000.0,18314681000.0,18314681000.0,18314681000.0,19601992000.0,19601992000.0,19601992000.0,19601992000.0,19900379000.0,19900379000.0,19900379000.0
AdjustmentForAmortization / USD,1100000.0,2700000.0,4300000.0,2100000.0,2700000.0,4800000.0,6900000.0,7500000.0,2100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,70194000.0,18027000.0,35616000.0,52802000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,18298000.0,44682000.0,27651000.0,68575000.0,125899000.0,44682000.0,27651000.0,27651000.0,27651000.0,44682000.0,50801000.0,50801000.0,50801000.0,189124000.0,48772000.0,48772000.0,48772000.0,212264000.0,152013000.0,152013000.0,152013000.0,314019000.0,2456000.0,2456000.0,2456000.0,323012000.0,,,,4735000.0,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,36100000.0,32199000.0,72492000.0,113826000.0,82292000.0,48356000.0,103196000.0,164142000.0,141547000.0,48356000.0,48356000.0,48356000.0,159509000.0,62835000.0,62835000.0,62835000.0,226182000.0,79562000.0,79562000.0,79562000.0,306201000.0,121965000.0,121965000.0,121965000.0,411673000.0,279354000.0,279354000.0,279354000.0,623067000.0,285502000.0,285502000.0,285502000.0,1092010000.0,317588000.0,317588000.0,317588000.0
AdvertisingExpense / USD,,,,45100000.0,,,,58300000.0,,,,58300000.0,,,,81900000.0,,,,101900000.0,36200000.0,70100000.0,145800000.0,142700000.0,85900000.0,173300000.0,296400000.0,224700000.0,156300000.0,314000000.0,405600000.0,435800000.0,89100000.0,205200000.0,283300000.0,544200000.0,61600000.0,139900000.0,221800000.0
AllocatedShareBasedCompensationExpense / USD,13461000.0,28693000.0,49486000.0,36100000.0,31198000.0,68120000.0,104899000.0,82292000.0,31670000.0,71263000.0,111311000.0,138786000.0,46824000.0,98943000.0,157856000.0,155836000.0,61088000.0,140554000.0,217980000.0,216881000.0,77303000.0,173483000.0,283872000.0,297863000.0,118623000.0,264988000.0,429999000.0,397500000.0,275423000.0,532061000.0,794794000.0,608042000.0,279591000.0,598839000.0,944529000.0,1069289000.0,311168000.0,631536000.0,955591000.0
AmortizationOfIntangibleAssets / USD,468000.0,950000.0,1373000.0,1050000.0,317000.0,539000.0,703000.0,1757000.0,205000.0,4064000.0,5868000.0,,1875000.0,4691000.0,9075000.0,,3487000.0,7445000.0,11286000.0,,4152000.0,8286000.0,13522000.0,,6884000.0,6413000.0,11176000.0,3855000.0,26664000.0,66053000.0,103414000.0,15747000.0,37087000.0,73952000.0,130917000.0,138758000.0,43282000.0,84095000.0,120116000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,248135000.0,259941000.0,254903000.0,245016000.0,123519000.0,126444000.0,114064000.0,124284000.0,98381000.0,100656000.0,99700000.0,100270000.0,87117000.0,86895000.0,112289000.0,89218000.0,99173000.0,98694000.0,97537000.0,110929000.0,91133000.0,97560000.0,99533000.0,54885000.0,27229000.0,28104000.0,27920000.0,59722000.0,83801000.0,88133000.0,85609000.0,48898000.0,56687000.0,81890000.0,83131000.0,83913000.0,47144000.0,49992000.0,51199000.0
