fact_unit,2010-08-04,2010-10-29,2011-02-25,2011-04-29,2011-07-29,2011-10-28,2012-02-24,2012-04-27,2012-07-27,2012-11-06,2013-02-26,2013-04-26,2013-07-26,2013-11-12,2014-02-28,2014-05-02,2014-08-08,2014-11-07,2015-03-02,2015-05-01,2015-07-31,2015-10-30,2016-02-26,2016-05-09,2016-08-08,2016-11-04,2017-02-27,2017-05-05,2017-08-03,2017-08-04,2017-11-03,2018-02-26,2018-05-04,2018-08-08,2018-11-02,2019-02-22,2019-05-03,2019-08-02,2019-11-01,2020-02-21,2020-05-07,2020-07-31,2020-10-30,2021-02-19,2021-04-30,2021-07-30,2021-11-04,2022-02-18,2022-04-29,2022-07-29,2022-11-04,2023-02-17,2023-02-27,2023-05-05,2023-08-04,2023-10-27,2024-02-16,2024-05-08,2024-08-07,2024-10-30,2025-02-12,2025-04-30,2025-07-30,2025-10-29
AccountsPayableAndAccruedLiabilitiesCurrent / USD,99053000.0,99053000.0,99053000.0,145854000.0,145854000.0,145854000.0,145854000.0,229043000.0,229043000.0,229043000.0,229043000.0,268853000.0,268853000.0,268853000.0,268853000.0,263223000.0,263223000.0,263223000.0,263223000.0,285796000.0,285796000.0,285796000.0,285796000.0,400948000.0,400948000.0,400948000.0,400948000.0,581739000.0,400948000.0,581739000.0,581739000.0,581739000.0,719257000.0,719257000.0,719257000.0,719257000.0,756692000.0,756692000.0,756692000.0,756692000.0,760718000.0,760718000.0,760718000.0,760718000.0,844862000.0,844862000.0,844862000.0,844862000.0,879144000.0,879144000.0,879144000.0,879144000.0,,1004800000.0,1004800000.0,1004800000.0,1004800000.0,1187000000.0,1187000000.0,1187000000.0,1187000000.0,1193000000.0,1193000000.0,1193000000.0
AccountsPayableCurrent / USD,,,,,12585000.0,12585000.0,12585000.0,23268000.0,23268000.0,23268000.0,23268000.0,27659000.0,27659000.0,27659000.0,27659000.0,30291000.0,30291000.0,30291000.0,30291000.0,,,,30221000.0,,,,49892000.0,,49892000.0,,,60211000.0,,,,101744000.0,,,,96980000.0,,,,52232000.0,,,,77705000.0,,,,84084000.0,,,,,115953000.0,,,,162000000.0,,,
AccountsReceivableGrossCurrent / USD,,,,,210919000.0,210919000.0,210919000.0,250211000.0,250211000.0,250211000.0,250211000.0,290326000.0,290326000.0,290326000.0,290326000.0,323822000.0,323822000.0,323822000.0,323822000.0,,,,272036000.0,,,,302316000.0,,302316000.0,,,411920000.0,,,,594541000.0,,,,646069000.0,702160000.0,,,702160000.0,,,,687415000.0,,,,693444000.0,,,,,867605000.0,,,,1021000000.0,,,
AccountsReceivableNetCurrent / USD,64767000.0,64767000.0,64767000.0,116358000.0,116358000.0,116358000.0,116358000.0,139057000.0,139057000.0,139057000.0,139057000.0,163840000.0,163840000.0,163840000.0,163840000.0,184840000.0,184840000.0,184840000.0,184840000.0,262570000.0,262570000.0,262570000.0,262570000.0,291964000.0,291964000.0,291964000.0,291964000.0,396245000.0,291964000.0,396245000.0,396245000.0,396245000.0,576313000.0,576313000.0,576313000.0,576313000.0,630119000.0,630119000.0,630119000.0,576313000.0,689134000.0,689134000.0,689134000.0,630119000.0,676738000.0,676738000.0,676738000.0,689134000.0,681809000.0,681809000.0,681809000.0,676738000.0,,855380000.0,855380000.0,855380000.0,681809000.0,1004000000.0,1004000000.0,1004000000.0,855000000.0,949000000.0,949000000.0,949000000.0
AccruedIncomeTaxesCurrent / USD,,,,,15707000.0,15707000.0,15707000.0,43539000.0,43539000.0,43539000.0,43539000.0,47477000.0,47477000.0,,,,,,5995000.0,,,,21941000.0,,,,14527000.0,,14527000.0,,,44000000.0,,,,56400000.0,,,,67900000.0,,,,57700000.0,,,,59800000.0,,,,51300000.0,,,,,55200000.0,,,,81000000.0,,,
AccruedIncomeTaxesNoncurrent / USD,,,,,,16020000.0,22226000.0,22226000.0,22226000.0,22226000.0,22226000.0,19373000.0,19373000.0,,19373000.0,27052000.0,27052000.0,27052000.0,27052000.0,,,,24726000.0,,,,26763000.0,,26763000.0,,,56208000.0,,,,64378000.0,,,,116735000.0,,,,146046000.0,,,,178371000.0,,,,124032000.0,,,,,59806000.0,,,,56000000.0,,,
AccruedUtilitiesCurrent / USD,,,,,,,,,,,,24974000.0,24974000.0,24974000.0,24974000.0,31314000.0,31314000.0,31314000.0,31314000.0,,,,31531000.0,,,,31789000.0,,31789000.0,,,44202000.0,,,,68916000.0,,,,78547000.0,,,,107404000.0,,,,76910000.0,,,,94251000.0,,,,,115119000.0,,,,178000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-97238000.0,-97238000.0,-97238000.0,-112018000.0,-112018000.0,-112018000.0,-112018000.0,-143698000.0,-143698000.0,-143698000.0,-143698000.0,-101042000.0,-101042000.0,-101042000.0,-112018000.0,-113767000.0,-113767000.0,-113767000.0,-113767000.0,-332443000.0,-332443000.0,-332443000.0,-332443000.0,-509059000.0,-509059000.0,-509059000.0,-509059000.0,-949142000.0,-509059000.0,-949142000.0,-949142000.0,-949142000.0,-785189000.0,-785189000.0,-785189000.0,-785189000.0,-945702000.0,-945702000.0,-945702000.0,-945702000.0,-934613000.0,-934613000.0,-934613000.0,-934613000.0,-913368000.0,-913368000.0,-913368000.0,-913368000.0,-1085751000.0,-1085751000.0,-1085751000.0,-1085751000.0,,-1389446000.0,-1389446000.0,-1389446000.0,-1389446000.0,-1290000000.0,-1290000000.0,-1290000000.0,-1290000000.0,-1735000000.0,-1735000000.0,-1735000000.0
AdditionalPaidInCapitalCommonStock / USD,1665662000.0,1665662000.0,1665662000.0,2341586000.0,2341586000.0,2341586000.0,2341586000.0,2437623000.0,2437623000.0,2437623000.0,2437623000.0,2583371000.0,2583371000.0,2582238000.0,2341586000.0,2693887000.0,2693887000.0,2693887000.0,2693887000.0,3334305000.0,3334305000.0,3334305000.0,3334305000.0,4838444000.0,4838444000.0,4838444000.0,4838444000.0,7413519000.0,4838444000.0,7413519000.0,7413519000.0,7413519000.0,10121323000.0,10121323000.0,10121323000.0,10121323000.0,10751313000.0,10751313000.0,10751313000.0,10751313000.0,12696433000.0,12696433000.0,12696433000.0,12696433000.0,15028357000.0,15028357000.0,15028357000.0,15028357000.0,15984597000.0,15984597000.0,15984597000.0,15984597000.0,,17320017000.0,17320017000.0,17320017000.0,17320017000.0,18596000000.0,18596000000.0,18596000000.0,18596000000.0,20895000000.0,20895000000.0,20895000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,55659000.0,,,,53803000.0,,,,70216000.0,,,,68541000.0,,,,83660000.0,,,,102865000.0,,,,117522000.0,,117522000.0,,,135443000.0,,,,161244000.0,44691000.0,44691000.0,44691000.0,181660000.0,50795000.0,50795000.0,50795000.0,189799000.0,81690000.0,81690000.0,81690000.0,232729000.0,102349000.0,102349000.0,102349000.0,310384000.0,,121210000.0,121210000.0,121210000.0,390653000.0,136000000.0,136000000.0,136000000.0,449000000.0,141000000.0,141000000.0,141000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,34561000.0,51508000.0,53056000.0,,33853000.0,52762000.0,68731000.0,19025000.0,39469000.0,61104000.0,71137000.0,23836000.0,48030000.0,75310000.0,82735000.0,24981000.0,58811000.0,86473000.0,102940000.0,30613000.0,64606000.0,98575000.0,117990000.0,34515000.0,117990000.0,73838000.0,116311000.0,133633000.0,38323000.0,83948000.0,129602000.0,156148000.0,42536000.0,92261000.0,139849000.0,175500000.0,49023000.0,110542000.0,174413000.0,180716000.0,80566000.0,156410000.0,231658000.0,236539000.0,78350000.0,172685000.0,267395000.0,311020000.0,,89952000.0,194634000.0,296464000.0,363774000.0,99000000.0,203000000.0,301000000.0,404000000.0,113000000.0,226000000.0,348000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,1720000.0,,3808000.0,3808000.0,3808000.0,4635000.0,4635000.0,4635000.0,4635000.0,3716000.0,3716000.0,3716000.0,3808000.0,6640000.0,6640000.0,6640000.0,4635000.0,,,,3716000.0,,,,6640000.0,,6640000.0,,,9466000.0,18228000.0,18228000.0,18228000.0,10352000.0,15950000.0,15950000.0,15950000.0,15675000.0,13026000.0,13026000.0,,18228000.0,,,,15950000.0,,,,13026000.0,,,,,10677000.0,17000000.0,17000000.0,17000000.0,12000000.0,19000000.0,19000000.0,19000000.0
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000000.0,,,,
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,,,,,,,,,,,,,,,4129000.0,,,,5127000.0,,,,2833000.0,,,,3825000.0,,3825000.0,,,3438000.0,,,,2521000.0,,,,4546000.0,2688000.0,4519000.0,5181000.0,8396000.0,,,,11341000.0,,,,10050000.0,,,,,8295000.0,,,,7000000.0,,,
AmortizationOfFinancingCostsAndDiscounts / USD,5714000.0,12210000.0,11523000.0,5554000.0,12243000.0,19403000.0,18791000.0,7284000.0,15609000.0,23816000.0,27915000.0,8107000.0,13009000.0,18057000.0,32172000.0,5753000.0,11637000.0,17602000.0,23365000.0,6409000.0,11126000.0,14840000.0,23868000.0,3774000.0,7585000.0,11557000.0,18667000.0,5508000.0,18667000.0,11025000.0,13709000.0,16050000.0,11580000.0,15710000.0,20100000.0,19137000.0,4099000.0,7461000.0,10609000.0,24449000.0,2995000.0,6233000.0,9429000.0,13618000.0,3460000.0,7904000.0,11788000.0,13042000.0,3940000.0,8370000.0,12760000.0,15739000.0,,4204000.0,8740000.0,13273000.0,17135000.0,5000000.0,10000000.0,15000000.0,18000000.0,5000000.0,,
