fact_unit,2010-09-08,2010-12-17,2011-02-09,2011-03-02,2011-05-27,2011-06-02,2011-09-02,2011-12-16,2012-03-06,2012-06-04,2012-08-31,2012-12-20,2013-03-04,2013-05-31,2013-08-30,2013-12-20,2014-02-26,2014-05-28,2014-08-26,2014-12-15,2015-02-24,2015-05-22,2015-08-24,2015-12-14,2016-02-22,2016-05-24,2016-08-22,2016-12-12,2017-02-17,2017-05-19,2017-08-18,2017-12-14,2018-02-23,2018-05-25,2018-08-24,2018-12-17,2019-02-25,2019-05-24,2019-08-26,2019-12-20,2020-02-21,2020-05-22,2020-08-21,2020-12-15,2021-02-19,2021-05-21,2021-08-20,2021-12-13,2022-02-18,2022-05-20,2022-08-19,2022-12-12,2023-02-17,2023-05-19,2023-08-18,2023-12-12,2024-02-23,2024-05-24,2024-08-23,2024-12-19,2025-02-26,2025-05-28,2025-09-09
AccountsPayableAndAccruedLiabilitiesCurrent / USD,255095000.0,255095000.0,255095000.0,312850000.0,312850000.0,312850000.0,312850000.0,312850000.0,302176000.0,302176000.0,302176000.0,302176000.0,383093000.0,383093000.0,383093000.0,383093000.0,358197000.0,358197000.0,358197000.0,358197000.0,397113000.0,397113000.0,397113000.0,397113000.0,385542000.0,385542000.0,385542000.0,385542000.0,401451000.0,401451000.0,401451000.0,401451000.0,499846000.0,499846000.0,499846000.0,499846000.0,578326000.0,578326000.0,578326000.0,578326000.0,506459000.0,506459000.0,506459000.0,506459000.0,623664000.0,623664000.0,623664000.0,623664000.0,741191000.0,741191000.0,741191000.0,741191000.0,809403000.0,809403000.0,809403000.0,809403000.0,1123761000.0,1059914000.0,1059914000.0,1059914000.0,1163592000.0,1163592000.0,1163592000.0
AccountsPayableCurrent / USD,,,,,,,16331000.0,16331000.0,6956000.0,6956000.0,6956000.0,6956000.0,29855000.0,29855000.0,29855000.0,29855000.0,8575000.0,8575000.0,8575000.0,8575000.0,28152000.0,28152000.0,28152000.0,28152000.0,9919000.0,9919000.0,9919000.0,9919000.0,13745000.0,13745000.0,13745000.0,13745000.0,19954000.0,19954000.0,19954000.0,19954000.0,85046000.0,85046000.0,85046000.0,85046000.0,19815000.0,19815000.0,19815000.0,19815000.0,30003000.0,30003000.0,30003000.0,30003000.0,27413000.0,27413000.0,27413000.0,27413000.0,37580000.0,37580000.0,37580000.0,37580000.0,155891000.0,154608000.0,154608000.0,154608000.0,207333000.0,207333000.0,207333000.0
AccountsReceivableGrossCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,354688000.0,,,,394314000.0,,,,393229000.0,,,,495763000.0,,,,524766000.0,,,,758341000.0,,,,563592000.0,,,,779390000.0,,,,835327000.0,,,
AccountsReceivableNetCurrent / USD,127010000.0,127010000.0,127010000.0,181102000.0,181102000.0,181102000.0,181102000.0,181102000.0,203124000.0,203124000.0,203124000.0,203124000.0,292668000.0,292668000.0,292668000.0,292668000.0,256026000.0,256026000.0,256026000.0,256026000.0,326727000.0,326727000.0,326727000.0,326727000.0,385694000.0,385694000.0,385694000.0,385694000.0,438873000.0,438873000.0,438873000.0,438873000.0,451144000.0,451144000.0,451144000.0,451144000.0,554217000.0,554217000.0,554217000.0,554217000.0,553895000.0,553895000.0,553895000.0,553895000.0,780709000.0,780709000.0,780709000.0,780709000.0,568501000.0,568501000.0,568501000.0,568501000.0,796091000.0,796091000.0,796091000.0,796091000.0,946967000.0,856660000.0,856660000.0,856660000.0,934470000.0,934470000.0,934470000.0
AccruedIncomeTaxesCurrent / USD,5508000.0,5508000.0,5508000.0,8349000.0,8349000.0,8349000.0,8349000.0,8349000.0,3079000.0,4589000.0,4589000.0,4589000.0,4682000.0,4682000.0,4682000.0,4682000.0,7168000.0,7168000.0,7168000.0,7168000.0,31404000.0,31404000.0,31404000.0,31404000.0,19565000.0,19565000.0,19565000.0,19565000.0,22693000.0,22693000.0,22693000.0,22693000.0,39811000.0,39811000.0,39811000.0,39811000.0,27458000.0,27458000.0,27458000.0,27458000.0,15904000.0,15904000.0,15904000.0,15904000.0,27738000.0,27738000.0,27738000.0,27738000.0,,,,,,,35290000.0,35290000.0,226762000.0,226762000.0,226762000.0,226762000.0,147115000.0,147115000.0,147115000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,,297379000.0,,,,313459000.0,,,,350107000.0,,,,392112000.0,,,,437740000.0,,,,454055000.0,,,,506044000.0,,,,572035000.0,,,,626678000.0,,,,683348000.0,,,,769530000.0,,,,804347000.0,,,,866355000.0,,,,923446000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-3831000.0,-3831000.0,-3831000.0,-15774000.0,-15774000.0,-15774000.0,-15774000.0,-15774000.0,-20945000.0,-20945000.0,-20945000.0,-20945000.0,-15461000.0,-15461000.0,-15461000.0,-15461000.0,-28695000.0,-28695000.0,-28695000.0,-28695000.0,-62089000.0,-62089000.0,-62089000.0,-62089000.0,-105375000.0,-105375000.0,-105375000.0,-105375000.0,-104577000.0,-104577000.0,-104577000.0,-104577000.0,-65979000.0,-65979000.0,-65979000.0,-65979000.0,-113177000.0,-113177000.0,-113177000.0,-113177000.0,-92447000.0,-92447000.0,-92447000.0,-92447000.0,-54074000.0,-54074000.0,-54074000.0,-54074000.0,-49604000.0,-49604000.0,-49604000.0,-49604000.0,-234277000.0,-234277000.0,-234277000.0,-234277000.0,-196414000.0,-196414000.0,-196414000.0,-196414000.0,-180380000.0,-180380000.0,-180380000.0
AdditionalPaidInCapital / USD,1500166000.0,1500166000.0,1500166000.0,1541383000.0,1541383000.0,1541383000.0,1541383000.0,1541383000.0,1521327000.0,1521327000.0,1521327000.0,1521327000.0,1585034000.0,1585034000.0,1585034000.0,1585034000.0,1597244000.0,1597244000.0,1597244000.0,1597244000.0,1614603000.0,1614603000.0,1614603000.0,1614603000.0,1610460000.0,1610460000.0,1610460000.0,1610460000.0,1644675000.0,1644675000.0,1644675000.0,1644675000.0,1622429000.0,1622429000.0,1622429000.0,1622429000.0,1644830000.0,1644830000.0,1644830000.0,1644830000.0,1635455000.0,1635455000.0,1635455000.0,1635455000.0,1653166000.0,1653166000.0,1653166000.0,1653166000.0,1576363000.0,1576363000.0,1576363000.0,1576363000.0,1487126000.0,1487126000.0,1487126000.0,1487126000.0,1276152000.0,1276152000.0,1276152000.0,1276152000.0,1211206000.0,1211206000.0,1211206000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,65388000.0,65388000.0,,,,,56912000.0,,,,59979000.0,,,,56414000.0,,,,71337000.0,,,,67482000.0,,,,79440000.0,,,,86400000.0,,,,97583000.0,32113000.0,32113000.0,101699000.0,108294000.0,37266000.0,74174000.0,113621000.0,138876000.0,51883000.0,108318000.0,170155000.0,153796000.0,83782000.0,163368000.0,248530000.0,248584000.0,95771000.0,205832000.0,333437000.0,345272000.0,134227000.0,277485000.0,421949000.0,459029000.0,180652000.0,358487000.0,540026000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,45214000.0,56934000.0,15247000.0,27914000.0,41430000.0,59988000.0,16248000.0,36853000.0,54078000.0,56414000.0,17700000.0,33229000.0,49719000.0,71414000.0,18118000.0,36941000.0,58341000.0,67511000.0,20581000.0,40864000.0,64769000.0,79440000.0,23013000.0,46472000.0,72043000.0,86400000.0,25834000.0,51396000.0,79697000.0,97583000.0,32323000.0,65288000.0,102540000.0,108294000.0,38460000.0,75374000.0,114827000.0,140032000.0,51883000.0,108318000.0,170155000.0,155001000.0,83782000.0,163368000.0,248530000.0,248584000.0,95771000.0,205832000.0,333437000.0,345272000.0,134227000.0,277485000.0,421949000.0,459029000.0,180652000.0,358487000.0,540026000.0
