fact_unit,2015-07-29,2015-10-29,2016-02-11,2016-04-28,2016-07-26,2016-10-25,2017-02-08,2017-04-27,2017-07-27,2017-10-24,2018-02-07,2018-04-26,2018-07-26,2018-10-23,2019-02-07,2019-04-25,2019-07-25,2019-09-16,2019-10-24,2020-02-06,2020-05-07,2020-07-30,2020-11-03,2021-02-05,2021-05-06,2021-07-29,2021-11-09,2022-02-03,2022-04-28,2022-08-03,2022-11-04,2023-02-10,2023-05-09,2023-08-03,2023-11-02,2024-02-08,2024-04-30,2024-07-30,2024-10-29,2025-02-04,2025-04-29,2025-07-29,2025-10-28
AccountsPayableCurrent / USD,115000000.0,115000000.0,115000000.0,145000000.0,145000000.0,145000000.0,145000000.0,192000000.0,192000000.0,,192000000.0,257000000.0,257000000.0,257000000.0,257000000.0,281000000.0,281000000.0,257000000.0,281000000.0,281000000.0,232000000.0,232000000.0,232000000.0,232000000.0,252000000.0,252000000.0,252000000.0,252000000.0,197000000.0,197000000.0,197000000.0,197000000.0,126000000.0,126000000.0,126000000.0,126000000.0,139000000.0,139000000.0,139000000.0,139000000.0,227000000.0,227000000.0,227000000.0
AccountsReceivableNetCurrent / USD,65000000.0,65000000.0,65000000.0,137000000.0,137000000.0,137000000.0,137000000.0,214000000.0,214000000.0,214000000.0,214000000.0,283000000.0,283000000.0,283000000.0,283000000.0,313000000.0,313000000.0,283000000.0,313000000.0,313000000.0,435000000.0,435000000.0,435000000.0,435000000.0,577000000.0,577000000.0,577000000.0,577000000.0,800000000.0,800000000.0,800000000.0,800000000.0,963000000.0,963000000.0,963000000.0,963000000.0,1069000000.0,1069000000.0,1069000000.0,1069000000.0,984000000.0,984000000.0,984000000.0
AccretionAmortizationOfDiscountsAndPremiumsInvestments / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73000000.0,69000000.0,162000000.0,265000000.0,70000000.0,75000000.0,197000000.0,290000000.0
AccruedLiabilitiesCurrent / USD,,,1434000000.0,1179000000.0,1179000000.0,1179000000.0,1179000000.0,1459000000.0,1459000000.0,1459000000.0,1459000000.0,1781000000.0,1781000000.0,1781000000.0,1781000000.0,2002000000.0,2002000000.0,1781000000.0,2002000000.0,2002000000.0,2087000000.0,2087000000.0,2087000000.0,2087000000.0,2648000000.0,2648000000.0,2648000000.0,2648000000.0,3755000000.0,3755000000.0,3755000000.0,3755000000.0,4055000000.0,4055000000.0,4055000000.0,4868000000.0,6392000000.0,6392000000.0,6392000000.0,6392000000.0,5592000000.0,5592000000.0,5592000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,1940000000.0,,,,2505000000.0,,,,3018000000.0,,,,3630000000.0,,,3630000000.0,,4183000000.0,,,,4723000000.0,,,,5202000000.0,,,,5681000000.0,,,,6382000000.0,,,,6948000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-61000000.0,-61000000.0,-61000000.0,-9000000.0,-9000000.0,-9000000.0,110000000.0,59000000.0,59000000.0,59000000.0,59000000.0,-142000000.0,-142000000.0,-142000000.0,-142000000.0,78000000.0,78000000.0,-142000000.0,78000000.0,78000000.0,-173000000.0,-173000000.0,-173000000.0,-173000000.0,-484000000.0,-484000000.0,-484000000.0,-484000000.0,-136000000.0,-136000000.0,-136000000.0,-136000000.0,-928000000.0,-928000000.0,-928000000.0,-928000000.0,-746000000.0,-746000000.0,-746000000.0,-746000000.0,-550000000.0,-550000000.0,-550000000.0
AdditionalPaidInCapital / USD,,0.0,0.0,13100000000.0,13100000000.0,13100000000.0,13100000000.0,13579000000.0,13579000000.0,13579000000.0,13579000000.0,14314000000.0,14314000000.0,14314000000.0,14314000000.0,14939000000.0,14939000000.0,14314000000.0,14939000000.0,14939000000.0,15588000000.0,15588000000.0,15588000000.0,15588000000.0,16644000000.0,16644000000.0,16644000000.0,16644000000.0,17208000000.0,17208000000.0,17208000000.0,17208000000.0,18327000000.0,18327000000.0,18327000000.0,18327000000.0,19642000000.0,19642000000.0,19642000000.0,19642000000.0,20705000000.0,20705000000.0,20705000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions / USD,,,,,,,,,,,64000000.0,,,,-10000000.0,-226000000.0,-226000000.0,-10000000.0,-226000000.0,-21000000.0,-302000000.0,-302000000.0,-302000000.0,-251000000.0,-382000000.0,-382000000.0,-382000000.0,-365000000.0,-870000000.0,-870000000.0,-870000000.0,-365000000.0,-273000000.0,-273000000.0,-273000000.0,-881000000.0,-157000000.0,-157000000.0,-157000000.0,-195000000.0,-193000000.0,-193000000.0,-193000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,185000000.0,,,,185000000.0,,,,185000000.0,,,,449000000.0,214000000.0,214000000.0,449000000.0,214000000.0,756000000.0,256000000.0,256000000.0,256000000.0,891000000.0,295000000.0,295000000.0,295000000.0,1059000000.0,387000000.0,387000000.0,387000000.0,1421000000.0,447000000.0,447000000.0,447000000.0,1445000000.0,359000000.0,359000000.0,359000000.0,1313000000.0,376000000.0,376000000.0,376000000.0
AdvertisingExpense / USD,,,176000000.0,,,,272000000.0,,,,303000000.0,,,,350000000.0,,,350000000.0,,438000000.0,,,,484000000.0,,,,399000000.0,,,,654000000.0,,,,740000000.0,,,,518000000.0,,,
AllocatedShareBasedCompensationExpense / USD,135000000.0,209000000.0,241000000.0,79000000.0,163000000.0,257000000.0,298000000.0,95000000.0,208000000.0,317000000.0,347000000.0,147000000.0,327000000.0,522000000.0,444000000.0,209000000.0,419000000.0,444000000.0,636000000.0,744000000.0,254000000.0,484000000.0,757000000.0,871000000.0,291000000.0,651000000.0,1024000000.0,1050000000.0,378000000.0,779000000.0,1090000000.0,1411000000.0,442000000.0,768000000.0,1007000000.0,1421000000.0,357000000.0,733000000.0,1127000000.0,1315000000.0,380000000.0,692000000.0,992000000.0
AllowanceForNotesAndLoansReceivableCurrent / USD,,,195000000.0,233000000.0,233000000.0,233000000.0,233000000.0,339000000.0,339000000.0,339000000.0,339000000.0,129000000.0,129000000.0,129000000.0,129000000.0,172000000.0,172000000.0,129000000.0,172000000.0,172000000.0,258000000.0,258000000.0,258000000.0,258000000.0,838000000.0,838000000.0,838000000.0,838000000.0,491000000.0,491000000.0,491000000.0,491000000.0,598000000.0,598000000.0,598000000.0,598000000.0,540000000.0,540000000.0,540000000.0,540000000.0,461000000.0,461000000.0,461000000.0
AmortizationOfIntangibleAssets / USD,44000000.0,64000000.0,70000000.0,19000000.0,42000000.0,66000000.0,84000000.0,38000000.0,77000000.0,114000000.0,93000000.0,27000000.0,68000000.0,96000000.0,150000000.0,30000000.0,56000000.0,150000000.0,90000000.0,126000000.0,57000000.0,108000000.0,160000000.0,149000000.0,114000000.0,229000000.0,343000000.0,211000000.0,106000000.0,216000000.0,326000000.0,451000000.0,118000000.0,238000000.0,356000000.0,443000000.0,57000000.0,115000000.0,172000000.0,471000000.0,56000000.0,108000000.0,159000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,2000000.0,2000000.0,2000000.0,2000000.0,3000000.0,2000000.0,5000000.0,8000000.0,9000000.0,12000000.0,6000000.0,3000000.0,2000000.0,8000000.0,0.0,1000000.0,8000000.0,0.0,2000000.0,3000000.0,2000000.0,2000000.0,1000000.0,2000000.0,1000000.0,1000000.0,2000000.0,2000000.0,2000000.0,2000000.0,1000000.0,6000000.0,12000000.0,13000000.0,2000000.0,14000000.0,19000000.0,20000000.0,13000000.0,17000000.0,14000000.0,12000000.0
AssetImpairmentCharges / USD,,,,,,,,,,,,,,,,,,,,,,21000000.0,21000000.0,30000000.0,26000000.0,21000000.0,21000000.0,30000000.0,26000000.0,26000000.0,26000000.0,30000000.0,16000000.0,35000000.0,64000000.0,26000000.0,39000000.0,43000000.0,61000000.0,81000000.0,,,
Assets / USD,21917000000.0,21917000000.0,21917000000.0,28881000000.0,28881000000.0,28881000000.0,28881000000.0,33103000000.0,33103000000.0,33103000000.0,33103000000.0,40774000000.0,40774000000.0,40774000000.0,40774000000.0,43332000000.0,43332000000.0,40774000000.0,43332000000.0,43332000000.0,51333000000.0,51333000000.0,51333000000.0,51333000000.0,70379000000.0,70379000000.0,70379000000.0,70379000000.0,75803000000.0,75803000000.0,75803000000.0,75803000000.0,78717000000.0,78624000000.0,78624000000.0,78624000000.0,82166000000.0,82166000000.0,82166000000.0,82166000000.0,78725000000.0,78725000000.0,78725000000.0
AssetsCurrent / USD,17565000000.0,17565000000.0,17565000000.0,20648000000.0,20648000000.0,20648000000.0,20648000000.0,25733000000.0,25733000000.0,25733000000.0,25733000000.0,32645000000.0,32645000000.0,32645000000.0,32645000000.0,32963000000.0,32963000000.0,32645000000.0,32963000000.0,32963000000.0,38495000000.0,38495000000.0,38495000000.0,38495000000.0,50995000000.0,50995000000.0,50995000000.0,50995000000.0,52574000000.0,52574000000.0,52574000000.0,52574000000.0,57517000000.0,57424000000.0,57424000000.0,57424000000.0,62569000000.0,62569000000.0,62569000000.0,62569000000.0,58206000000.0,58206000000.0,58206000000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax / USD,,,,,,,,,,,,,3000000.0,3000000.0,3000000.0,2000000.0,2000000.0,3000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,12000000.0,12000000.0,12000000.0,12000000.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,24000000.0,24000000.0,24000000.0,24000000.0,29000000.0,29000000.0,29000000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax / USD,,,,,,,,,,,,,8000000.0,8000000.0,8000000.0,15000000.0,15000000.0,8000000.0,15000000.0,15000000.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,87000000.0,87000000.0,87000000.0,87000000.0,592000000.0,592000000.0,592000000.0,592000000.0,158000000.0,158000000.0,158000000.0,158000000.0,15000000.0,15000000.0,15000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost / USD,,,,,,,,,,,,,,,,6000000.0,6000000.0,,4000000.0,4000000.0,3000000.0,2000000.0,1000000.0,,243000000.0,472000000.0,746000000.0,1500000000.0,1834000000.0,2043000000.0,1952000000.0,1968000000.0,2205000000.0,2214000000.0,2309000000.0,2178000000.0,2315000000.0,3103000000.0,3130000000.0,3331000000.0,2979000000.0,2681000000.0,2471000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue / USD,,,,,,,,,,,,,,,,6000000.0,6000000.0,,4000000.0,4000000.0,3000000.0,2000000.0,1000000.0,,243000000.0,472000000.0,746000000.0,1498000000.0,1822000000.0,2008000000.0,1908000000.0,1941000000.0,2183000000.0,2199000000.0,2307000000.0,2181000000.0,2320000000.0,3106000000.0,3135000000.0,3337000000.0,2980000000.0,2680000000.0,2473000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost / USD,,,,,,,,,,,,,,,,468000000.0,255000000.0,,1745000000.0,2041000000.0,1260000000.0,1021000000.0,1526000000.0,4168000000.0,7135000000.0,9063000000.0,9873000000.0,11139000000.0,12065000000.0,10819000000.0,10164000000.0,9232000000.0,8115000000.0,6619000000.0,5721000000.0,5454000000.0,5535000000.0,6376000000.0,5879000000.0,4968000000.0,4486000000.0,3988000000.0,3949000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue / USD,,,,,,,,,,,,,,,,464000000.0,254000000.0,,1745000000.0,2043000000.0,1255000000.0,1024000000.0,1528000000.0,4174000000.0,7127000000.0,9055000000.0,9866000000.0,11060000000.0,11731000000.0,10420000000.0,9656000000.0,8790000000.0,7862000000.0,6405000000.0,5599000000.0,5426000000.0,5523000000.0,6370000000.0,5900000000.0,4980000000.0,4494000000.0,3993000000.0,3956000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost / USD,,,,,,,,,,,,,,,,,,,,,,,,,18000000.0,48000000.0,46000000.0,97000000.0,91000000.0,108000000.0,86000000.0,78000000.0,74000000.0,63000000.0,65000000.0,36000000.0,78000000.0,405000000.0,602000000.0,1587000000.0,2850000000.0,3063000000.0,2964000000.0
