fact_unit,2010-07-29,2010-11-02,2011-02-25,2011-04-28,2011-07-29,2011-10-27,2012-02-27,2012-04-26,2012-07-26,2012-10-25,2013-02-26,2013-04-25,2013-07-25,2013-10-24,2014-02-25,2014-04-29,2014-07-29,2014-10-28,2015-02-26,2015-04-30,2015-07-30,2015-10-29,2016-02-25,2016-04-28,2016-07-28,2016-10-27,2017-02-23,2017-04-27,2017-07-27,2017-10-26,2018-02-22,2018-04-26,2018-07-26,2018-10-25,2019-02-21,2019-04-30,2019-07-30,2019-10-29,2020-02-27,2020-04-30,2020-08-03,2020-10-29,2021-02-25,2021-04-29,2021-07-29,2021-10-28,2022-02-24,2022-04-28,2022-07-28,2022-10-27,2023-02-23,2023-04-27,2023-07-27,2023-10-26,2024-02-28,2024-04-25,2024-07-25,2024-10-31,2025-02-26,2025-04-30,2025-07-31,2025-10-30
AccountsPayableCurrent / USD,379764000.0,379764000.0,379764000.0,416715000.0,416715000.0,416715000.0,416715000.0,477801000.0,477801000.0,477801000.0,477801000.0,490621000.0,490621000.0,490621000.0,490621000.0,487738000.0,487738000.0,487738000.0,487738000.0,460478000.0,460478000.0,460478000.0,460478000.0,488251000.0,488251000.0,488251000.0,488251000.0,501213000.0,501213000.0,501213000.0,501213000.0,567840000.0,567840000.0,567840000.0,567840000.0,652091000.0,652091000.0,652091000.0,652091000.0,665402000.0,665402000.0,665402000.0,665402000.0,671886000.0,671886000.0,671886000.0,671886000.0,734275000.0,734275000.0,734275000.0,734275000.0,849284000.0,849284000.0,849284000.0,849284000.0,935967000.0,935967000.0,935967000.0,935967000.0,937087000.0,937087000.0,937087000.0
AccountsReceivableNetCurrent / USD,1057171000.0,1057171000.0,1057171000.0,1090927000.0,1090927000.0,1090927000.0,1090927000.0,1187832000.0,1187832000.0,1187832000.0,1187832000.0,1221956000.0,1221956000.0,1221956000.0,1221956000.0,1268226000.0,1268226000.0,1268226000.0,1268226000.0,1234187000.0,1234187000.0,1234187000.0,1234187000.0,1359862000.0,1359862000.0,1359862000.0,1359862000.0,1495431000.0,1495431000.0,1495431000.0,1495431000.0,1607922000.0,1607922000.0,1607922000.0,1607922000.0,1773620000.0,1773620000.0,1773620000.0,1773620000.0,2030813000.0,2030813000.0,2030813000.0,2030813000.0,1922096000.0,1922096000.0,1922096000.0,1922096000.0,2204519000.0,2204519000.0,2204519000.0,2204519000.0,2567371000.0,2567371000.0,2567371000.0,2567371000.0,3203490000.0,3203490000.0,3203490000.0,3203490000.0,3577537000.0,3577537000.0,3577537000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,193963000.0,,,,198600000.0,,,,207390000.0,,,,232615000.0,,,,241849000.0,,,,264154000.0,,,,266357000.0,,,,281919000.0,,,,306643000.0,,,,328920000.0,,,,356499000.0,,,,375957000.0,,,,394242000.0,,,,412224000.0,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,,,10800000.0,,,,16600000.0,,,,19800000.0,,,,5600000.0,,,,5700000.0,,,,5100000.0,,,,4100000.0,,,,3500000.0,,,,2100000.0,,,,500000.0,,,,-900000.0,,,,800000.0,,,,2900000.0,,,,2500000.0,,,,-8300000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-52699000.0,-52699000.0,-52699000.0,-42411000.0,-42411000.0,-42411000.0,-42411000.0,-78649000.0,-78649000.0,-78649000.0,-78649000.0,-81040000.0,-81040000.0,-81040000.0,-81040000.0,-65777000.0,-65777000.0,-65777000.0,-65777000.0,-83197000.0,-83197000.0,-83197000.0,-83197000.0,-76953000.0,-76953000.0,-76953000.0,-76953000.0,-101703000.0,-101703000.0,-101703000.0,-101703000.0,-94200000.0,-94200000.0,-94200000.0,-94200000.0,-87662000.0,-87662000.0,-87662000.0,-87662000.0,-89288000.0,-89288000.0,-89288000.0,-89288000.0,-109233000.0,-109233000.0,-109233000.0,-109233000.0,-83562000.0,-83562000.0,-83562000.0,-83562000.0,-93451000.0,-93451000.0,-93451000.0,-93451000.0,-85704000.0,-85704000.0,-85704000.0,-85704000.0,-85527000.0,-85527000.0,-85527000.0
AdditionalPaidInCapitalCommonStock / USD,416267000.0,416267000.0,416267000.0,427613000.0,427613000.0,427613000.0,427613000.0,417136000.0,417136000.0,417136000.0,417136000.0,416104000.0,416104000.0,416104000.0,416104000.0,408083000.0,408083000.0,408083000.0,408083000.0,227885000.0,227885000.0,227885000.0,227885000.0,130369000.0,130369000.0,130369000.0,130369000.0,52219000.0,52219000.0,52219000.0,52219000.0,8005000.0,8005000.0,8005000.0,8005000.0,21103000.0,21103000.0,21103000.0,21103000.0,32274000.0,32274000.0,32274000.0,32274000.0,47464000.0,47464000.0,47464000.0,47464000.0,61874000.0,61874000.0,61874000.0,61874000.0,74795000.0,74795000.0,74795000.0,74795000.0,91813000.0,91813000.0,91813000.0,91813000.0,97475000.0,97475000.0,97475000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,1481000.0,1481000.0,927000.0,1959000.0,3790000.0,3866000.0,1481000.0,4097000.0,4111000.0,4166000.0,3866000.0,2637000.0,3354000.0,3376000.0,4225000.0,3267000.0,3745000.0,3745000.0,3462000.0,3735000.0,3735000.0,3771000.0,3848000.0,2492000.0,2550000.0,2574000.0,6451000.0,3750000.0,3771000.0,4020000.0,2640000.0,4944000.0,7239000.0,7295000.0,4210000.0,5242000.0,5295000.0,5365000.0,7539000.0,11648000.0,11766000.0,12095000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,3548000.0,4428000.0,5905000.0,1303000.0,4229000.0,5046000.0,5492000.0,1504000.0,2505000.0,4083000.0,5742000.0,2257000.0,3782000.0,5285000.0,5447000.0,2265000.0,3714000.0,5288000.0,6766000.0,2598000.0,4468000.0,6321000.0,6943000.0,3000000.0,4801000.0,6661000.0,8121000.0,3083000.0,5035000.0,7000000.0,8801000.0,2967000.0,5169000.0,7565000.0,8902000.0,3268000.0,5956000.0,8502000.0,9939000.0,3557000.0,6225000.0,8840000.0,11030000.0,3291000.0,5960000.0,8510000.0,11386000.0,3193000.0,5850000.0,8467000.0,11151000.0,3438000.0,6463000.0,9322000.0,11107000.0,4087000.0,7535000.0,10703000.0,12125000.0,6527000.0,11371000.0,16170000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14466000.0,14466000.0,14466000.0,14466000.0,18031000.0,18031000.0,18031000.0,,23534000.0,23534000.0,23534000.0,,22382000.0,22382000.0,22382000.0,,22502000.0,22502000.0,22502000.0,,34957000.0,34957000.0,34957000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,36188000.0,,,,17287000.0,,,,16685000.0,,,,11472000.0,,,,11890000.0,,,,10424000.0,,,,11175000.0,,,12252.0,12252000.0,17230.0,17230.0,17230.0,17230000.0,15361.0,15361.0,15361.0,15361000.0,14500000.0,14466000.0,14466000.0,14466000.0,18031000.0,18031000.0,,18031000.0,,,,23534000.0,,,,22382000.0,,,,22502000.0,,,
