fact_unit,2014-06-12,2014-08-08,2014-11-07,2015-02-26,2015-05-13,2015-08-07,2015-11-06,2016-02-22,2016-05-05,2016-08-03,2016-11-03,2017-02-21,2017-05-04,2017-08-02,2017-11-02,2018-02-14,2018-05-03,2018-08-02,2018-11-01,2019-02-14,2019-05-02,2019-08-01,2019-10-31,2020-02-13,2020-04-30,2020-08-06,2020-11-05,2021-02-18,2021-05-06,2021-08-05,2021-11-04,2022-02-17,2022-05-05,2022-08-04,2022-11-03,2023-02-16,2023-05-04,2023-08-03,2023-11-02,2024-02-15,2024-05-02,2024-08-01,2024-10-31,2025-02-20,2025-05-08,2025-08-07,2025-11-06
AmortizationOfFinancingCosts / USD,,,,4051000.0,6000.0,85000.0,108000.0,,13000.0,85000.0,108000.0,,32000.0,63000.0,96000.0,,23000.0,59000.0,92000.0,,6000.0,15000.0,24000.0,,9000.0,17000.0,26000.0,32000.0,9000.0,19000.0,27000.0,35000.0,9000.0,18000.0,27000.0,36000.0,9000.0,167000.0,532000.0,36000.0,308000.0,620000.0,946000.0,800000.0,300000.0,600000.0,800000.0
AmortizationOfIntangibleAssets / USD,400000.0,800000.0,1200000.0,2400000.0,400000.0,800000.0,1200000.0,1600000.0,400000.0,800000.0,1200000.0,1600000.0,400000.0,800000.0,1200000.0,1600000.0,400000.0,800000.0,900000.0,1600000.0,100000.0,100000.0,200000.0,900000.0,100000.0,,200000.0,200000.0,,100000.0,200000.0,200000.0,100000.0,400000.0,1500000.0,200000.0,1000000.0,2000000.0,3000000.0,2500000.0,1000000.0,2000000.0,2900000.0,4000000.0,1000000.0,2000000.0,2900000.0
AmountOfDeferredCostsRelatedToLongTermContracts / USD,,,,,,,,,,,,,,,,,171865000.0,171865000.0,171865000.0,171865000.0,225459000.0,225459000.0,225459000.0,225459000.0,292134000.0,292134000.0,292134000.0,292134000.0,371357000.0,371357000.0,371357000.0,371357000.0,461852000.0,461852000.0,461852000.0,461852000.0,567974000.0,567974000.0,567974000.0,567974000.0,680272000.0,680272000.0,680272000.0,680300000.0,783600000.0,783600000.0,783600000.0
Assets / USD,575478000.0,575478000.0,575478000.0,575478000.0,798942000.0,798942000.0,798942000.0,797497000.0,876655000.0,876655000.0,876655000.0,876655000.0,1078613000.0,1078613000.0,1078613000.0,1078613000.0,1550138000.0,1550138000.0,1550138000.0,1550138000.0,1521926000.0,1521926000.0,1521926000.0,1521926000.0,2486917000.0,2486917000.0,2486917000.0,2486917000.0,2607912000.0,2607912000.0,2607912000.0,2607912000.0,3215145000.0,3215145000.0,3215145000.0,3215145000.0,3902513000.0,3902513000.0,3902513000.0,3902513000.0,4197539000.0,4197539000.0,4197539000.0,4197500000.0,5859900000.0,5859900000.0,5859900000.0
AssetsCurrent / USD,477748000.0,477748000.0,477748000.0,477748000.0,693393000.0,693393000.0,693393000.0,691948000.0,761138000.0,761138000.0,761138000.0,761138000.0,925583000.0,925583000.0,925583000.0,925583000.0,1176265000.0,1176265000.0,1176265000.0,1176265000.0,1064622000.0,1064622000.0,1064622000.0,1064622000.0,1871100000.0,1871100000.0,1871100000.0,1871100000.0,1864605000.0,1864605000.0,1864605000.0,1864605000.0,2252038000.0,2252038000.0,2252038000.0,2252038000.0,2764172000.0,2764172000.0,2764172000.0,2764172000.0,2813426000.0,2813426000.0,2813426000.0,2813400000.0,4304800000.0,4304800000.0,4304800000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,500000.0,400000.0,700000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522000.0,2176000.0,4881000.0,4757000.0,4757000.0,4757000.0,4757000.0,4757000.0,1256000.0,1256000.0,1256000.0,1200000.0,200000.0,200000.0,200000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74467000.0,139192000.0,174242000.0,174367000.0,84748000.0,34958000.0,,,,,24926000.0,24900000.0,82900000.0,83200000.0,41800000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73670000.0,137533000.0,169501000.0,169610000.0,83286000.0,34134000.0,,,,,24928000.0,24700000.0,83200000.0,83500000.0,42200000.0
AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDate / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24928000.0,24700000.0,368900000.0,496000000.0,496700000.0
AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDateAmortizedCostBasis / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24926000.0,24900000.0,368500000.0,495700000.0,496000000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270848000.0,128094000.0,78478000.0,25000000.0,114744000.0,164663000.0,199755000.0,199887000.0,109960000.0,34995000.0,,,285600000.0,412500000.0,454200000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270123000.0,127577000.0,78338000.0,25000000.0,112499000.0,161545000.0,197045000.0,198631000.0,109541000.0,34894000.0,,,285700000.0,412500000.0,454500000.0
CapitalExpendituresIncurredButNotYetPaid / USD,,,,167000.0,,,,368000.0,,,,408000.0,,,,1613000.0,,,,4651000.0,,,,6686000.0,3384000.0,1967000.0,2190000.0,1759000.0,8251000.0,4832000.0,2707000.0,7451000.0,6217000.0,7131000.0,5994000.0,837000.0,5394000.0,3831000.0,3355000.0,7581000.0,6991000.0,11968000.0,8011000.0,5900000.0,9100000.0,8500000.0,3600000.0
CapitalizedComputerSoftwareAdditions / USD,,,,,,700000.0,1300000.0,,,1600000.0,2700000.0,,1700000.0,3700000.0,6600000.0,,2900000.0,6400000.0,11000000.0,15800000.0,6600000.0,11200000.0,16400000.0,22000000.0,8900000.0,15600000.0,22700000.0,30400000.0,9700000.0,20700000.0,32400000.0,43800000.0,12300000.0,26000000.0,39200000.0,52900000.0,15400000.0,31800000.0,48800000.0,66400000.0,21400000.0,44200000.0,70800000.0,96700000.0,29800000.0,61000000.0,94400000.0
CapitalizedComputerSoftwareAmortization1 / USD,,,,,,,,,,,,900000.0,,,,1800000.0,,,,3600000.0,,,,7000000.0,,,,12500000.0,,,,19000000.0,,,,27100000.0,,,,36500000.0,,,,47300000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,13435000.0,13435000.0,13435000.0,7252000.0,13362000.0,13362000.0,13362000.0,13435000.0,25144000.0,25144000.0,25144000.0,13362000.0,50714000.0,50714000.0,50714000.0,25144000.0,60158000.0,60158000.0,60158000.0,50714000.0,46077000.0,54630000.0,85048000.0,46077000.0,91307000.0,94814000.0,108127000.0,45718000.0,181827000.0,113518000.0,156398000.0,133667000.0,215093000.0,202362000.0,230926000.0,151710000.0,360594000.0,279039000.0,317163000.0,277978000.0,505590000.0,536545000.0,484028000.0,400700000.0,371300000.0,346500000.0,325800000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,1098860000.0,1098860000.0,807465000.0,986464000.0,986464000.0,986464000.0,1098860000.0,1641854000.0,1641854000.0,1641854000.0,986464000.0,1585275000.0,1585275000.0,1585275000.0,1641854000.0,1812691000.0,1812691000.0,1812691000.0,1585275000.0,2409095000.0,2409095000.0,2409095000.0,1812700000.0,2422800000.0,2422800000.0,2422800000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,-210256000.0,-190457000.0,291395000.0,480802000.0,195526000.0,-77174000.0,-112396000.0,-380610000.0,-787901000.0,-243330000.0,655390000.0,782281000.0,475295000.0,1449658000.0,-56579000.0,2148473000.0,1624419000.0,5748000.0,227416000.0,288488000.0,-65737000.0,-222766000.0,596400000.0,567000000.0,192000000.0,-682300000.0
CommonStockDividendsPerShareDeclared / USD/shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
CommonStockSharesIssued / shares,45708573.0,45708573.0,45708573.0,45708573.0,53832782.0,53832782.0,53832782.0,53832782.0,57119873.0,57119873.0,57119873.0,57119873.0,58453283.0,58453283.0,58453283.0,58453283.0,60149411.0,60149411.0,60149411.0,60149411.0,60746715.0,60747000.0,60747000.0,60747000.0,61350000.0,61350000.0,61350000.0,61350000.0,61861000.0,61861000.0,61861000.0,61861000.0,62298000.0,62298000.0,62298000.0,62298000.0,62518000.0,62518000.0,62518000.0,62518000.0,62675000.0,62675000.0,62675000.0,62700000.0,63000000.0,63000000.0,63000000.0
