fact_unit,2020-11-13,2021-02-26,2021-05-12,2021-08-12,2021-11-09,2022-02-24,2022-05-09,2022-08-08,2022-11-07,2023-02-21,2023-05-09,2023-08-08,2023-11-03,2024-02-20,2024-05-07,2024-08-06,2024-11-05,2025-02-18,2025-05-06,2025-08-05,2025-11-04
AccountsPayableCurrent / USD,51735000.0,51735000.0,16358000.0,16358000.0,16358000.0,16358000.0,74907000.0,74907000.0,74907000.0,74907000.0,44788000.0,44788000.0,44788000.0,44788000.0,12122000.0,12122000.0,12122000.0,12122000.0,103000.0,103000.0,103000.0
AccountsReceivableNetCurrent / USD,50315000.0,50315000.0,156932000.0,156932000.0,156932000.0,156932000.0,190923000.0,190923000.0,190923000.0,190923000.0,258346000.0,258346000.0,258346000.0,258346000.0,364784000.0,364784000.0,364784000.0,364784000.0,575048000.0,575048000.0,575048000.0
AccruedIncomeTaxesCurrent / USD,,,,,,,,,,22550000.0,41326000.0,41326000.0,41326000.0,41326000.0,47257000.0,47257000.0,47257000.0,47257000.0,,42243000.0,
AccruedLiabilitiesCurrent / USD,126620000.0,126620000.0,158546000.0,158546000.0,158546000.0,158546000.0,155806000.0,155806000.0,155806000.0,155806000.0,172715000.0,172715000.0,172715000.0,172715000.0,222991000.0,222991000.0,222991000.0,222991000.0,427046000.0,427046000.0,427046000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,108612000.0,108612000.0,88399000.0,88399000.0,88399000.0,88399000.0,69930000.0,69930000.0,69930000.0,69930000.0,82412000.0,82412000.0,82412000.0,82412000.0,102158000.0,102158000.0,102158000.0,102158000.0,122999000.0,122999000.0,122999000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-703000.0,-703000.0,-2745000.0,-2745000.0,-2745000.0,-2745000.0,-2349000.0,-2349000.0,-2349000.0,-2349000.0,-5333000.0,-5333000.0,-5333000.0,-5333000.0,801000.0,801000.0,801000.0,801000.0,-5611000.0,-5611000.0,-5611000.0
AdditionalPaidInCapital / USD,1857331000.0,1857331000.0,6488857000.0,6488857000.0,6488857000.0,6488857000.0,7777085000.0,7777085000.0,7777085000.0,7777085000.0,8427998000.0,8427998000.0,8427998000.0,8427998000.0,9122173000.0,9122173000.0,9122173000.0,9122173000.0,10193970000.0,10193970000.0,10193970000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,164794000.0,248503000.0,54238000.0,182071000.0,1024000000.0,242114000.0,194397000.0,427257000.0,612252000.0,1264254000.0,149565000.0,295286000.0,435546000.0,779296000.0,114666000.0,228822000.0,343298000.0,564897000.0,125817000.0,267872000.0,410668000.0
AdvertisingExpense / USD,,,,,,26300000.0,,,,0.0,,,,26300000.0,,,,38600000.0,,,
AllocatedShareBasedCompensationExpense / USD,164650000.0,248503000.0,54107000.0,181955000.0,1028914000.0,241970000.0,193731000.0,426473000.0,611308000.0,1270702000.0,149323000.0,295092000.0,435400000.0,778215000.0,114714000.0,228915000.0,343295000.0,564798000.0,125651000.0,267415000.0,409840000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,,,10100000.0,10100000.0,10100000.0,10100000.0,10100000.0,10500000.0,10500000.0,10500000.0,10500000.0,,,
