fact_unit,2009-08-25,2009-11-02,2010-02-23,2010-05-10,2010-08-13,2010-11-04,2011-02-22,2011-05-05,2011-08-04,2011-11-03,2012-02-28,2012-05-03,2012-07-23,2012-08-08,2012-11-02,2013-02-27,2013-05-07,2013-08-09,2013-11-12,2014-02-28,2014-05-06,2014-08-07,2014-09-10,2014-11-05,2015-02-27,2015-05-08,2015-08-04,2015-11-04,2016-02-29,2016-05-05,2016-08-09,2016-11-04,2017-02-28,2017-05-02,2017-08-03,2017-11-02,2018-03-01,2018-05-03,2018-08-02,2018-11-08,2019-02-28,2019-05-02,2019-08-07,2019-11-07,2020-02-27,2020-05-07,2020-08-06,2020-11-05,2021-03-01,2021-05-06,2021-08-05,2021-11-04,2022-02-24,2022-05-06,2022-08-04,2022-11-07,2023-02-23,2023-05-04,2023-08-08,2023-11-02,2024-02-28,2024-05-07,2024-08-08,2024-11-08,2025-02-26,2025-05-12,2025-08-06,2025-11-06
AccountsPayableCurrent / USD,451000000.0,451000000.0,447000000.0,697000000.0,697000000.0,697000000.0,693000000.0,783000000.0,783000000.0,783000000.0,783000000.0,808000000.0,783000000.0,808000000.0,808000000.0,808000000.0,1170000000.0,1171000000.0,1171000000.0,1172000000.0,1038000000.0,1038000000.0,1172000000.0,1038000000.0,1038000000.0,1060000000.0,1060000000.0,1060000000.0,1060000000.0,869000000.0,869000000.0,869000000.0,869000000.0,895000000.0,782000000.0,782000000.0,782000000.0,881000000.0,881000000.0,711000000.0,684000000.0,863000000.0,863000000.0,863000000.0,863000000.0,863000000.0,722000000.0,722000000.0,722000000.0,649000000.0,649000000.0,649000000.0,649000000.0,2274000000.0,2274000000.0,2274000000.0,2274000000.0,3643000000.0,3643000000.0,3643000000.0,3643000000.0,2325000000.0,2325000000.0,2325000000.0,2325000000.0,2513000000.0,2513000000.0,2513000000.0
AccountsReceivableNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903000000.0,1371000000.0,1297000000.0,1022000000.0,1024000000.0,1024000000.0,1024000000.0,1024000000.0,1024000000.0,1025000000.0,1025000000.0,1025000000.0,904000000.0,904000000.0,904000000.0,904000000.0,3245000000.0,3245000000.0,3245000000.0,3245000000.0,4773000000.0,4773000000.0,4773000000.0,4773000000.0,3542000000.0,3542000000.0,3542000000.0,3542000000.0,3488000000.0,3488000000.0,3488000000.0
AccountsReceivableNetCurrent / USD,464000000.0,464000000.0,464000000.0,876000000.0,876000000.0,876000000.0,876000000.0,734000000.0,734000000.0,734000000.0,734000000.0,834000000.0,734000000.0,834000000.0,834000000.0,834000000.0,1061000000.0,1061000000.0,1061000000.0,1061000000.0,1214000000.0,1214000000.0,1061000000.0,1214000000.0,1214000000.0,1322000000.0,1322000000.0,1322000000.0,1322000000.0,1157000000.0,1157000000.0,1157000000.0,1157000000.0,1166000000.0,1058000000.0,1058000000.0,1058000000.0,1079000000.0,1079000000.0,960000000.0,900000000.0,1024000000.0,1024000000.0,1024000000.0,1024000000.0,1024000000.0,1025000000.0,1025000000.0,1025000000.0,904000000.0,904000000.0,904000000.0,904000000.0,3245000000.0,3245000000.0,3245000000.0,3245000000.0,4773000000.0,4773000000.0,4773000000.0,4773000000.0,3542000000.0,3542000000.0,3542000000.0,3542000000.0,3488000000.0,3488000000.0,3488000000.0
AccretionExpenseIncludingAssetRetirementObligations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000000.0,44000000.0,14000000.0,31000000.0,38000000.0,11000000.0,18000000.0,46000000.0,51000000.0,3000000.0,14000000.0,21000000.0,45000000.0,7000000.0,16000000.0,20000000.0,30000000.0,6000000.0,5000000.0,14000000.0,55000000.0,,,
AccruedLiabilitiesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,2343000000.0,2343000000.0,2343000000.0,3052000000.0,3052000000.0,3052000000.0,3052000000.0,3796000000.0,3796000000.0,3796000000.0,3796000000.0,4570000000.0,3796000000.0,4570000000.0,4570000000.0,4570000000.0,5417000000.0,5417000000.0,5417000000.0,5408000000.0,6573000000.0,6573000000.0,5408000000.0,6573000000.0,6573000000.0,7890000000.0,7890000000.0,7890000000.0,7890000000.0,6804000000.0,5761000000.0,5761000000.0,-5761000000.0,6314000000.0,5711000000.0,5711000000.0,5336000000.0,4465000000.0,4465000000.0,3013000000.0,2255000000.0,1811000000.0,1811000000.0,1811000000.0,,1752000000.0,1752000000.0,1752000000.0,,1936000000.0,1936000000.0,1936000000.0,,1308000000.0,1308000000.0,1308000000.0,,1478000000.0,1478000000.0,1478000000.0,,1295000000.0,1295000000.0,1295000000.0,,1508000000.0,1508000000.0,1508000000.0
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,,,,,,,58000000.0,,,,76000000.0,,76000000.0,,,76000000.0,,,,72000000.0,,,72000000.0,,53000000.0,,,,15000000.0,,,,1000000.0,,,,-10000000.0,,,,-11000000.0,,,,-2000000.0,-2000000.0,,,-13000000.0,,,,-13000000.0,,,,-2000000.0,,,,-8000000.0,,,,-55000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,310000000.0,310000000.0,310000000.0,416000000.0,416000000.0,306000000.0,416000000.0,432000000.0,432000000.0,432000000.0,432000000.0,74000000.0,432000000.0,74000000.0,74000000.0,74000000.0,-150000000.0,-150000000.0,-150000000.0,-150000000.0,5000000.0,5000000.0,-150000000.0,5000000.0,5000000.0,-174000000.0,-174000000.0,-174000000.0,-174000000.0,-173000000.0,-173000000.0,-173000000.0,-173000000.0,-135000000.0,-135000000.0,-135000000.0,-135000000.0,-72000000.0,-72000000.0,-72000000.0,-72000000.0,-94000000.0,-94000000.0,-94000000.0,-94000000.0,-94000000.0,-192000000.0,-192000000.0,-192000000.0,-206000000.0,-206000000.0,-206000000.0,-206000000.0,-126000000.0,-126000000.0,-126000000.0,-126000000.0,-177000000.0,-177000000.0,-177000000.0,-177000000.0,-91000000.0,-91000000.0,-91000000.0,-91000000.0,-117000000.0,-117000000.0,-117000000.0
AdditionalCollateralAggregateFairValue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,1000000.0,57000000.0,18000000.0,35000000.0,1000000.0,26000000.0,29000000.0,30000000.0,30000000.0,33000000.0,15000000.0,3000000.0,8000000.0,8000000.0,7000000.0,27000000.0,10000000.0,14000000.0,13000000.0,19000000.0
AdditionalPaidInCapitalCommonStock / USD,4350000000.0,4350000000.0,4350000000.0,4948000000.0,4948000000.0,4948000000.0,4948000000.0,5323000000.0,5323000000.0,5323000000.0,5323000000.0,5346000000.0,5323000000.0,5346000000.0,5346000000.0,5346000000.0,7587000000.0,7587000000.0,7587000000.0,7587000000.0,7840000000.0,7840000000.0,7587000000.0,7840000000.0,7840000000.0,8327000000.0,8327000000.0,8327000000.0,8327000000.0,8296000000.0,8296000000.0,8296000000.0,8296000000.0,8358000000.0,8358000000.0,8358000000.0,8358000000.0,8376000000.0,8376000000.0,8377000000.0,8376000000.0,8510000000.0,8510000000.0,8510000000.0,8510000000.0,8510000000.0,8501000000.0,8501000000.0,8501000000.0,8517000000.0,8517000000.0,8517000000.0,8517000000.0,8531000000.0,8531000000.0,8531000000.0,8531000000.0,8457000000.0,8457000000.0,8457000000.0,8457000000.0,3416000000.0,3416000000.0,3416000000.0,3416000000.0,705000000.0,705000000.0,705000000.0
