fact_unit,2009-08-06,2009-11-05,2010-03-01,2010-03-02,2010-05-07,2010-08-09,2010-08-17,2010-09-03,2010-11-08,2011-02-28,2011-05-06,2011-08-05,2011-11-04,2012-02-27,2012-05-10,2012-08-03,2012-11-06,2013-02-27,2013-05-06,2013-08-02,2013-11-01,2014-02-26,2014-05-08,2014-08-01,2014-11-03,2015-02-27,2015-05-07,2015-08-03,2015-11-05,2016-02-26,2016-04-29,2016-07-29,2016-10-28,2017-02-27,2017-04-28,2017-07-28,2017-10-27,2018-02-23,2018-04-27,2018-07-27,2018-10-26,2019-02-15,2019-05-03,2019-07-26,2019-10-25,2020-02-25,2020-05-08,2020-08-07,2020-11-05,2021-02-23,2021-04-30,2021-07-30,2021-11-05,2022-03-01,2022-04-29,2022-07-29,2022-10-28,2023-02-24,2023-04-28,2023-07-28,2023-10-27,2024-02-26,2024-05-03,2024-05-13,2024-08-02,2024-10-31,2025-02-21,2025-05-02,2025-08-01,2025-10-30
AccountsAndNotesReceivableNet / USD,97702000.0,97702000.0,93732000.0,93732000.0,113610000.0,113610000.0,93732000.0,113610000.0,113610000.0,113610000.0,130536000.0,130536000.0,130536000.0,130536000.0,149807000.0,149807000.0,149807000.0,164053000.0,171540000.0,171540000.0,171540000.0,171540000.0,164326000.0,164326000.0,164326000.0,164326000.0,172386000.0,172386000.0,172386000.0,172386000.0,175252000.0,175252000.0,175252000.0,175252000.0,181823000.0,181823000.0,181823000.0,181823000.0,189757000.0,189757000.0,189757000.0,189757000.0,184528000.0,184528000.0,184528000.0,184528000.0,218689000.0,218689000.0,218689000.0,218689000.0,219248000.0,219248000.0,219248000.0,219248000.0,254677000.0,254677000.0,254677000.0,254677000.0,304226000.0,304226000.0,304226000.0,304226000.0,307617000.0,307617000.0,307617000.0,307617000.0,307617000.0,340469000.0,340469000.0,340469000.0
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent / USD,,,,,,,,,,142670000.0,,,,154482000.0,,,,125544000.0,,,,111881000.0,,,,124290000.0,,,,129509000.0,,,,150059000.0,,,,145751000.0,,,,185702000.0,,,,174903000.0,,,,170082000.0,,,,146457000.0,,,,220308000.0,207815000.0,207815000.0,207815000.0,207815000.0,216237000.0,216237000.0,216237000.0,216237000.0,216237000.0,281867000.0,281867000.0,281867000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-179541000.0,-179541000.0,-179541000.0,-179541000.0,-96432000.0,-96432000.0,-179541000.0,9643000.0,-96432000.0,-96432000.0,-23853000.0,-23853000.0,-23853000.0,-23853000.0,-107660000.0,-107660000.0,-107660000.0,-107660000.0,-66182000.0,-66182000.0,-66182000.0,-66182000.0,-66182000.0,-66182000.0,-66182000.0,-66182000.0,-64982000.0,-64982000.0,-64982000.0,-64982000.0,45122000.0,45122000.0,45122000.0,5588000.0,5766000.0,5766000.0,5766000.0,5766000.0,-1480000.0,-1480000.0,-1480000.0,-1480000.0,,,,,,,,,,,,0.0,2216000.0,2216000.0,2216000.0,2216000.0,10581000.0,10581000.0,10581000.0,10581000.0,3329000.0,3329000.0,3329000.0,3329000.0,3329000.0,11038000.0,11038000.0,11038000.0
AdditionalPaidInCapital / USD,4217806000.0,4217806000.0,4217806000.0,4217806000.0,5283204000.0,5283204000.0,4217806000.0,5283204000.0,5283204000.0,5283204000.0,5469841000.0,5469841000.0,5469841000.0,5469841000.0,5492022000.0,5492022000.0,5492022000.0,5492022000.0,5651170000.0,5651170000.0,5651170000.0,5651170000.0,5689258000.0,5689258000.0,5689258000.0,5689258000.0,5732021000.0,5732021000.0,5732021000.0,5732021000.0,5608881000.0,5608881000.0,5608881000.0,5608881000.0,5922958000.0,5922958000.0,5922958000.0,5922958000.0,6152764000.0,6152764000.0,6152764000.0,6152764000.0,6117254000.0,6117254000.0,6117254000.0,6117254000.0,5765233000.0,5765233000.0,5765233000.0,5765233000.0,5766511000.0,5766511000.0,5766511000.0,5766511000.0,9591871000.0,9591871000.0,9591871000.0,9591871000.0,9618271000.0,9618271000.0,9618271000.0,9618271000.0,9638494000.0,9638494000.0,9638494000.0,9638494000.0,9638494000.0,11033485000.0,11033485000.0,11033485000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,,,,,,,,,,,,16900000.0,,,,17900000.0,,,,18900000.0,8400000.0,12200000.0,15300000.0,17900000.0,7900000.0,11600000.0,15300000.0,18500000.0,9600000.0,13800000.0,17800000.0,19100000.0,5200000.0,10400000.0,14500000.0,21600000.0,,10300000.0,15000000.0,18200000.0,5900000.0,11500000.0,18200000.0,20200000.0,6500000.0,12300000.0,18000000.0,23700000.0,7500000.0,14000000.0,20200000.0,23200000.0,9300000.0,9300000.0,17500000.0,25300000.0,26600000.0,10000000.0,18300000.0,26400000.0
AmortizationOfAboveAndBelowMarketLeases / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22515000.0,-4297000.0,-6980000.0,-10087000.0,-14843000.0,-2989000.0,-2989000.0,-10002000.0,-13969000.0,-13591000.0,-5901000.0,-10345000.0,-17567000.0
AmortizationOfFinancingCostsAndDiscounts / USD,,,,,,,,,,247000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6312000.0,-7021000.0,-14066000.0,-26139000.0,-9445000.0,-2313000.0,-2313000.0,-4656000.0,-6999000.0,-28631000.0,-710000.0,-910000.0,-955000.0
AssetAcquisitionConsiderationTransferred / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896707000.0,,,,896707000.0,166175000.0,166175000.0,338211000.0,524892000.0,166175000.0,166175000.0,166175000.0,338211000.0,346028000.0,134593000.0,134593000.0,211766000.0
AssetImpairmentCharges / USD,3808000.0,9710000.0,8500000.0,8500000.0,5189000.0,149171000.0,8500000.0,149171000.0,149171000.0,147529000.0,5189000.0,11791000.0,12781000.0,175087000.0,2778000.0,12352000.0,16676000.0,39121000.0,9563000.0,34570000.0,109000000.0,32763000.0,3229000.0,81546000.0,167153000.0,59569000.0,6893000.0,25797000.0,107034000.0,190218000.0,6473000.0,21931000.0,27989000.0,217858000.0,5840000.0,58053000.0,68126000.0,45383000.0,1617000.0,31336000.0,34280000.0,93266000.0,7646000.0,30519000.0,33855000.0,67331000.0,4175000.0,21626000.0,41235000.0,79207000.0,2974000.0,3112000.0,3509000.0,48743000.0,0.0,104000.0,954000.0,6624000.0,272000.0,14691000.0,21758000.0,3597000.0,11806000.0,11806000.0,11806000.0,14043000.0,21958000.0,3701000.0,3902000.0,4277000.0
Assets / USD,9397147000.0,9397147000.0,9397147000.0,9397147000.0,10162205000.0,10162205000.0,9397147000.0,10162205000.0,10162205000.0,10183079000.0,9833875000.0,9833875000.0,9833875000.0,9833875000.0,9614516000.0,9614516000.0,9614516000.0,9628762000.0,9751234000.0,9751234000.0,9751234000.0,9751234000.0,9663630000.0,9663630000.0,9663630000.0,9663630000.0,10261400000.0,10261400000.0,10261400000.0,10261400000.0,11344171000.0,11344171000.0,11344171000.0,11344171000.0,11230600000.0,11230600000.0,11230600000.0,11230600000.0,11763726000.0,11763726000.0,11763726000.0,11763726000.0,10999100000.0,10999100000.0,10999100000.0,10999100000.0,10997867000.0,10997867000.0,10997867000.0,10997867000.0,11614498000.0,11614498000.0,11614498000.0,11614498000.0,18459199000.0,18459199000.0,18459199000.0,18459199000.0,17826122000.0,17826122000.0,17826122000.0,17826122000.0,18274022000.0,18274022000.0,18274022000.0,18274022000.0,18274022000.0,20309896000.0,20309896000.0,20309896000.0
