fact_unit,2010-10-08,2011-01-07,2011-04-08,2011-07-29,2011-10-07,2012-01-09,2012-04-09,2012-07-30,2012-10-10,2013-01-09,2013-04-09,2013-07-30,2013-10-10,2014-01-09,2014-04-09,2014-07-30,2014-10-10,2015-01-09,2015-04-02,2015-07-30,2015-10-09,2016-01-08,2016-04-08,2016-07-29,2016-10-11,2017-01-06,2017-04-07,2017-07-31,2017-10-06,2018-01-05,2018-04-06,2018-07-27,2018-10-05,2019-01-08,2019-04-05,2019-07-26,2019-10-08,2020-01-09,2020-03-31,2020-07-29,2020-10-09,2021-01-08,2021-04-06,2021-07-28,2021-10-07,2022-01-06,2022-04-07,2022-07-27,2022-10-06,2023-01-06,2023-04-06,2023-07-27,2023-10-05,2024-01-08,2024-04-05,2024-07-25,2024-10-04,2025-01-08,2025-04-03,2025-07-28,2025-10-08
AccountsPayableAndAccruedLiabilitiesNoncurrent / USD,116021000.0,116021000.0,116021000.0,116021000.0,134041000.0,134041000.0,134041000.0,134041000.0,87133000.0,87133000.0,87133000.0,87133000.0,76422000.0,76422000.0,76422000.0,76422000.0,92942000.0,92942000.0,92942000.0,92942000.0,112009000.0,112009000.0,112009000.0,112009000.0,136704000.0,136704000.0,136704000.0,136704000.0,170460000.0,170460000.0,170460000.0,170460000.0,277941000.0,277941000.0,277941000.0,277941000.0,330522000.0,330522000.0,330522000.0,330522000.0,498509000.0,498509000.0,498509000.0,498509000.0,454637000.0,454637000.0,454637000.0,454637000.0,319397000.0,319397000.0,319397000.0,319397000.0,329269000.0,329269000.0,329269000.0,329269000.0,375656000.0,375656000.0,375656000.0,375656000.0,420781000.0
AccountsPayableCurrent / USD,71747000.0,71747000.0,71747000.0,71747000.0,110279000.0,110279000.0,110279000.0,110279000.0,94840000.0,94840000.0,94840000.0,94840000.0,121029000.0,121029000.0,121029000.0,121029000.0,150070000.0,150070000.0,150070000.0,150070000.0,109607000.0,109607000.0,109607000.0,109607000.0,114514000.0,114514000.0,114514000.0,110940000.0,177051000.0,177051000.0,177051000.0,177051000.0,215074000.0,215074000.0,215074000.0,215074000.0,226020000.0,226020000.0,226020000.0,226020000.0,230995000.0,230995000.0,230995000.0,230995000.0,230786000.0,230786000.0,230786000.0,230786000.0,251504000.0,251504000.0,251504000.0,251504000.0,302292000.0,302292000.0,302292000.0,302292000.0,339166000.0,339166000.0,339166000.0,339166000.0,485109000.0
AccountsReceivableNetCurrent / USD,366301000.0,366301000.0,366301000.0,362219000.0,429131000.0,429131000.0,429131000.0,429131000.0,450861000.0,450861000.0,450861000.0,450861000.0,496049000.0,496049000.0,496049000.0,496049000.0,508427000.0,508427000.0,508427000.0,508427000.0,496130000.0,496130000.0,496130000.0,496130000.0,563178000.0,563178000.0,563178000.0,546488000.0,736008000.0,736008000.0,736008000.0,736008000.0,804583000.0,804583000.0,804583000.0,804583000.0,910120000.0,910120000.0,910120000.0,910120000.0,870369000.0,870369000.0,870369000.0,870369000.0,901710000.0,901710000.0,901710000.0,901710000.0,1006220000.0,1006220000.0,1006220000.0,1006220000.0,1152993000.0,1152993000.0,1152993000.0,1152993000.0,1244182000.0,1244182000.0,1244182000.0,1244182000.0,1417381000.0
AccruedIncomeTaxesCurrent / USD,10828000.0,,,,14261000.0,,,,0.0,,,,0.0,0.0,0.0,0.0,5960000.0,5960000.0,5960000.0,5960000.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,0.0,,,0.0,27099000.0,27099000.0,27099000.0,27099000.0,,,,,0.0,,,0.0,12470000.0,12470000.0,12470000.0,12470000.0,18618000.0,18618000.0,18618000.0,18618000.0,4034000.0
AccruedInsuranceCurrent / USD,,,,,,,,58892000.0,,,,82611000.0,,,,96930000.0,,,,106083000.0,,,,113714000.0,,,,128759000.0,,,,153743000.0,,,,163400000.0,,,,165667000.0,,,,165427000.0,,,,156447000.0,,,,163958000.0,,,,155046000.0,,,,176758000.0,
AccruedLiabilitiesCurrent / USD,244402000.0,244402000.0,244402000.0,244402000.0,242691000.0,242691000.0,242691000.0,242691000.0,256642000.0,256642000.0,256642000.0,261442000.0,271821000.0,271821000.0,271821000.0,271821000.0,299727000.0,299727000.0,299727000.0,299727000.0,309935000.0,309935000.0,309935000.0,309935000.0,349065000.0,349065000.0,349065000.0,343266000.0,429809000.0,429809000.0,429809000.0,429809000.0,420129000.0,420129000.0,420129000.0,420129000.0,433940000.0,433940000.0,433940000.0,433940000.0,456653000.0,456653000.0,456653000.0,456653000.0,518910000.0,518910000.0,518910000.0,518910000.0,588948000.0,588948000.0,588948000.0,588948000.0,632504000.0,632504000.0,632504000.0,632504000.0,761283000.0,761283000.0,761283000.0,761283000.0,875077000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,,1096178000.0,,,,1218980000.0,,,,1355544000.0,,,,1287961000.0,,,,1322857000.0,,,,1417954000.0,,,,1516377000.0,,,,1663710000.0,,,,1761679000.0,,,,1910795000.0,,,,2055221000.0,,,,2211919000.0,,,,2362269000.0,,,,2582076000.0,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,36133000.0,36133000.0,36133000.0,,58807000.0,58807000.0,58807000.0,,36663000.0,36663000.0,36663000.0,,38123000.0,38123000.0,38123000.0,38123000.0,38123000.0,38123000.0,38123000.0,28428000.0,28428000.0,28428000.0,28428000.0,-8471000.0,-8471000.0,-8471000.0,-8471000.0,-24874000.0,-3029000.0,-3029000.0,-3029000.0,-3029000.0,16343000.0,16343000.0,16343000.0,16343000.0,-39152000.0,-39152000.0,-39152000.0,-39152000.0,-153380000.0,-153380000.0,-153380000.0,-153380000.0,30888000.0,30888000.0,30888000.0,30888000.0,107917000.0,107917000.0,107917000.0,107917000.0,77778000.0,77778000.0,77778000.0,77778000.0,91201000.0,91201000.0,91201000.0,91201000.0,84389000.0
AdjustmentForAmortization / USD,10356000.0,20568000.0,30606000.0,42534000.0,10429000.0,21182000.0,32166000.0,41082000.0,10233000.0,20104000.0,29520000.0,42581000.0,6100000.0,11973000.0,17884000.0,38334000.0,5823000.0,11741000.0,17524000.0,23713000.0,4206000.0,7702000.0,11090000.0,22642000.0,3603000.0,7764000.0,12136000.0,14458000.0,3489000.0,7460000.0,11221000.0,15588000.0,14941000.0,31261000.0,47583000.0,25030000.0,33550000.0,67559000.0,101949000.0,63940000.0,35268000.0,70963000.0,107232000.0,136462000.0,35605000.0,71558000.0,107689000.0,143148000.0,36994000.0,74365000.0,112859000.0,144115000.0,36989000.0,74693000.0,113281000.0,150325000.0,39199000.0,79235000.0,119815000.0,152121000.0,46554000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65700000.0,68400000.0,62900000.0,69000000.0,71400000.0,72533000.0,68837000.0,78015000.0,83506000.0,102966000.0,74465000.0,109583000.0,133248000.0,155483000.0,121224000.0,73276000.0,102862000.0,147880000.0,180577000.0,141185000.0
