fact_unit,2009-07-28,2009-10-16,2010-03-01,2010-05-03,2010-07-27,2010-10-15,2010-12-02,2011-02-24,2011-05-02,2011-07-25,2011-09-14,2011-10-17,2012-02-22,2012-04-30,2012-05-01,2012-07-23,2012-07-24,2012-10-15,2013-02-25,2013-05-07,2013-08-06,2013-11-06,2014-02-26,2014-05-02,2014-08-01,2014-10-31,2015-02-25,2015-05-01,2015-07-31,2015-10-30,2016-02-22,2016-04-29,2016-07-29,2016-11-02,2017-02-24,2017-05-02,2017-07-28,2017-11-02,2018-02-27,2018-05-03,2018-08-08,2018-11-05,2019-02-26,2019-05-03,2019-08-08,2019-11-07,2020-02-25,2020-05-08,2020-07-31,2020-11-06,2021-02-25,2021-05-05,2021-08-05,2021-11-05,2022-02-24,2022-05-06,2022-08-05,2022-11-04,2023-02-22,2023-05-05,2023-08-04,2023-11-06,2024-02-28,2024-05-03,2024-08-02,2024-11-08,2025-02-26,2025-05-02,2025-08-01,2025-11-07
AccountsAndNotesReceivableNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,413000000.0,413000000.0,413000000.0,413000000.0,72000000.0,72000000.0,72000000.0,72000000.0,79000000.0,79000000.0,79000000.0
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent / USD,,119000000.0,119000000.0,174000000.0,174000000.0,174000000.0,119000000.0,,,,,,,,,,,,,,,,194000000.0,214000000.0,214000000.0,214000000.0,214000000.0,298000000.0,298000000.0,298000000.0,298000000.0,243000000.0,243000000.0,243000000.0,243000000.0,278000000.0,278000000.0,278000000.0,278000000.0,283000000.0,283000000.0,283000000.0,283000000.0,293000000.0,293000000.0,293000000.0,293000000.0,263000000.0,263000000.0,263000000.0,263000000.0,71000000.0,71000000.0,71000000.0,71000000.0,85000000.0,85000000.0,85000000.0,85000000.0,372000000.0,372000000.0,372000000.0,372000000.0,408000000.0,408000000.0,408000000.0,408000000.0,351000000.0,351000000.0,351000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,,4743000000.0,5298000000.0,5298000000.0,4743000000.0,5298000000.0,5298000000.0,5912000000.0,5298000000.0,5912000000.0,5298000000.0,5912000000.0,5912000000.0,6499000000.0,6499000000.0,6499000000.0,6499000000.0,6812000000.0,6812000000.0,6812000000.0,6812000000.0,7177000000.0,7177000000.0,7177000000.0,7177000000.0,7505000000.0,7505000000.0,7505000000.0,7505000000.0,7848000000.0,7848000000.0,7848000000.0,7848000000.0,8234000000.0,8234000000.0,8234000000.0,8234000000.0,8417000000.0,8417000000.0,8417000000.0,8417000000.0,8323000000.0,8323000000.0,8323000000.0,8323000000.0,8863000000.0,8863000000.0,8863000000.0,8863000000.0,8455000000.0,8455000000.0,8455000000.0,8455000000.0,8683000000.0,8683000000.0,8683000000.0,8683000000.0,9178000000.0,9178000000.0,9178000000.0,9178000000.0,9900000000.0,9900000000.0,9900000000.0
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,,,,,,,,10000000.0,,,10000000.0,,18000000.0,,18000000.0,,18000000.0,,-9000000.0,,,,11000000.0,,,,-7000000.0,,,,-67000000.0,,,,-137000000.0,,,,-121000000.0,,,,-83000000.0,,,,-60000000.0,,,,-57000000.0,,,,-74000000.0,,,,-76000000.0,,,,-79000000.0,,,,-73000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,5000000.0,5000000.0,5000000.0,12000000.0,12000000.0,12000000.0,5000000.0,12000000.0,,,12000000.0,,25000000.0,,25000000.0,,25000000.0,,-1000000.0,,,,12000000.0,-9000000.0,-9000000.0,-9000000.0,-9000000.0,-50000000.0,-50000000.0,-50000000.0,-50000000.0,-107000000.0,-107000000.0,-107000000.0,-107000000.0,-83000000.0,-83000000.0,-83000000.0,-83000000.0,-60000000.0,-60000000.0,-60000000.0,-60000000.0,-59000000.0,-59000000.0,-59000000.0,-59000000.0,-56000000.0,-56000000.0,-56000000.0,-56000000.0,-74000000.0,-74000000.0,-74000000.0,-74000000.0,-76000000.0,-76000000.0,-76000000.0,-76000000.0,-75000000.0,-75000000.0,-75000000.0,-75000000.0,-70000000.0,-70000000.0,-70000000.0,-70000000.0,-83000000.0,-83000000.0,-83000000.0
AdditionalPaidInCapitalCommonStock / USD,5874000000.0,5868000000.0,5868000000.0,6875000000.0,6875000000.0,6875000000.0,5868000000.0,,,,,,,,,,,,,,,,8040000000.0,8492000000.0,8492000000.0,8492000000.0,8492000000.0,8476000000.0,8476000000.0,8476000000.0,8476000000.0,8302000000.0,8302000000.0,8302000000.0,8302000000.0,8077000000.0,8077000000.0,8077000000.0,8077000000.0,8097000000.0,8097000000.0,8097000000.0,8097000000.0,8156000000.0,8156000000.0,8156000000.0,8156000000.0,7675000000.0,7675000000.0,7675000000.0,7675000000.0,7568000000.0,7568000000.0,7568000000.0,7568000000.0,7702000000.0,7702000000.0,7702000000.0,7702000000.0,7717000000.0,7717000000.0,7717000000.0,7717000000.0,7535000000.0,7535000000.0,7535000000.0,7535000000.0,7462000000.0,7462000000.0,7462000000.0
AmortizationOfDebtDiscountPremium / USD,15000000.0,23000000.0,27000000.0,7000000.0,15000000.0,22000000.0,27000000.0,-33000000.0,,,-33000000.0,,31000000.0,,31000000.0,,31000000.0,,34000000.0,,,,32000000.0,,,,18000000.0,,,,15000000.0,,,,16000000.0,,,,13000000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,2000000.0,,,,2000000.0,,,,2000000.0,,,
AmortizationOfFinancingCosts / USD,5000000.0,8000000.0,18000000.0,3000000.0,6000000.0,11000000.0,18000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,,,,6000000.0,,,,5000000.0,,,,6000000.0,,,,8000000.0,,,,8000000.0,,,
AmortizationOfFinancingCostsAndDiscounts / USD,,,,,,,,,,,,,,,,,,,,,,,30000000.0,7000000.0,14000000.0,19000000.0,13000000.0,6000000.0,13000000.0,18000000.0,25000000.0,6000000.0,13000000.0,19000000.0,24000000.0,2000000.0,3000000.0,4000000.0,21000000.0,1000000.0,3000000.0,5000000.0,7000000.0,2000000.0,3000000.0,5000000.0,7000000.0,2000000.0,3000000.0,5000000.0,7000000.0,2000000.0,3000000.0,6000000.0,6000000.0,2000000.0,5000000.0,7000000.0,8000000.0,3000000.0,5000000.0,8000000.0,10000000.0,2000000.0,5000000.0,7000000.0,10000000.0,2000000.0,5000000.0,7000000.0
AociLossCashFlowHedgeCumulativeGainLossAfterTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3000000.0,,,,-2000000.0,,,,-1000000.0,,,,-1000000.0,,,
