fact_unit,2011-08-03,2011-11-02,2012-02-23,2012-05-02,2012-08-06,2012-11-01,2013-02-21,2013-05-01,2013-08-07,2013-11-06,2014-02-20,2014-05-01,2014-08-06,2014-11-06,2015-02-25,2015-04-29,2015-08-05,2015-11-04,2016-02-23,2016-04-27,2016-08-02,2016-11-01,2017-02-28,2017-05-02,2017-08-01,2017-11-01,2018-02-27,2018-05-02,2018-08-01,2018-11-06,2019-02-21,2019-05-01,2019-07-31,2019-11-06,2020-02-13,2020-04-28,2020-07-28,2020-10-27,2021-02-11,2021-04-29,2021-07-29,2021-10-28,2022-02-14,2022-04-28,2022-07-28,2022-10-27,2023-02-09,2023-04-27,2023-07-27,2023-10-26,2024-02-08,2024-04-25,2024-07-25,2024-10-24,2025-02-18,2025-05-01,2025-07-30,2025-10-30
AccountsPayableAndOtherAccruedLiabilitiesCurrent / USD,5350000.0,5350000.0,5350000.0,6346000.0,6346000.0,6346000.0,6300000.0,8700000.0,8700000.0,8700000.0,8700000.0,14100000.0,14100000.0,14100000.0,14100000.0,20400000.0,20400000.0,20400000.0,20400000.0,38900000.0,38900000.0,38900000.0,38900000.0,68100000.0,68100000.0,68100000.0,68100000.0,87200000.0,87200000.0,87200000.0,87200000.0,147100000.0,147100000.0,147100000.0,147100000.0,256400000.0,256400000.0,256400000.0,256400000.0,481100000.0,481100000.0,481100000.0,481100000.0,573000000.0,573000000.0,573000000.0,573000000.0,901800000.0,901800000.0,901800000.0,901800000.0,1345500000.0,1345500000.0,1345500000.0,1345500000.0,1585100000.0,1585100000.0,1585100000.0
AccountsPayableTradeCurrent / USD,,,,,2807000.0,2807000.0,2800000.0,3900000.0,3900000.0,3900000.0,3900000.0,4200000.0,4200000.0,4200000.0,4200000.0,9900000.0,9900000.0,9900000.0,9900000.0,19000000.0,19000000.0,19000000.0,19000000.0,24500000.0,24500000.0,24500000.0,41100000.0,46700000.0,46700000.0,46700000.0,46700000.0,75500000.0,75500000.0,75500000.0,75500000.0,102300000.0,102300000.0,102300000.0,102300000.0,163300000.0,163300000.0,163300000.0,163300000.0,189400000.0,189400000.0,189400000.0,189400000.0,237900000.0,237900000.0,237900000.0,237900000.0,276400000.0,276400000.0,276400000.0,276400000.0,345300000.0,345300000.0,345300000.0
AccountsReceivableGross / USD,,,7174000.0,,,,13200000.0,,,,20700000.0,,,,28800000.0,,,,46800000.0,,,,82000000.0,,,,114300000.0,,,,145800000.0,,,,233900000.0,,,,292100000.0,,,,435700000.0,,,,519700000.0,,,,720600000.0,,,,983200000.0,,,
AccountsReceivableNet / USD,,,6671000.0,,,,12500000.0,,,,19500000.0,,,,26100000.0,,,,42400000.0,,,,74100000.0,,,,101700000.0,,,,134300000.0,,,,226700000.0,,,,286300000.0,,,,428500000.0,,,,514300000.0,,,,713300000.0,,,,973900000.0,,,
AccountsReceivableNetCurrent / USD,,,,,,,,,,,,,,,,,,,42400000.0,74100000.0,74100000.0,74100000.0,74100000.0,101700000.0,101700000.0,101700000.0,101700000.0,134300000.0,134300000.0,134300000.0,134300000.0,226700000.0,226700000.0,226700000.0,226700000.0,286300000.0,286300000.0,286300000.0,286300000.0,428500000.0,428500000.0,428500000.0,428500000.0,514300000.0,514300000.0,514300000.0,514300000.0,713300000.0,713300000.0,713300000.0,713300000.0,973900000.0,973900000.0,973900000.0,973900000.0,1005700000.0,1005700000.0,1005700000.0
AccruedEmployeeBenefitsCurrent / USD,,,,,,,600000.0,,,,800000.0,,,,1100000.0,,,,1500000.0,,,,2100000.0,,,,2500000.0,,,,,,,,,,,,,,26600000.0,26600000.0,26600000.0,33400000.0,33400000.0,33400000.0,33400000.0,37500000.0,37500000.0,37500000.0,37500000.0,31200000.0,31200000.0,31200000.0,31200000.0,37500000.0,37500000.0,37500000.0
AccruedIncomeTaxesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12900000.0,7500000.0,7500000.0,7500000.0,7500000.0,,3900000.0,3900000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-66000.0,-66000.0,-66000.0,-80000.0,-80000.0,-80000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-300000.0,-300000.0,-300000.0,-300000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-2600000.0,-2600000.0,-2600000.0,-2600000.0,1500000.0,1500000.0,1500000.0,1500000.0,2300000.0,2300000.0,2300000.0,2300000.0,3200000.0,3200000.0,3200000.0,3200000.0,500000.0,500000.0,500000.0,500000.0,-11600000.0,-11600000.0,-11600000.0,-11600000.0,-16700000.0,-16700000.0,-16700000.0,-16700000.0,-8000000.0,-8000000.0,-8000000.0
AdditionalPaidInCapitalCommonStock / USD,407375000.0,407375000.0,407375000.0,495626000.0,495626000.0,495626000.0,495600000.0,522600000.0,522600000.0,522600000.0,522600000.0,559500000.0,559500000.0,559500000.0,559500000.0,638000000.0,638000000.0,638000000.0,638000000.0,776800000.0,776800000.0,776800000.0,776800000.0,905700000.0,905700000.0,905700000.0,905700000.0,1093700000.0,1093700000.0,1093700000.0,1093700000.0,1560600000.0,1560600000.0,1560600000.0,1560600000.0,1675900000.0,1675900000.0,1675900000.0,1675900000.0,2125300000.0,2125300000.0,2125300000.0,2125300000.0,1726800000.0,1726500000.0,1726500000.0,1726500000.0,2258100000.0,2258100000.0,2258100000.0,2258100000.0,3514600000.0,3514600000.0,3514600000.0,3514600000.0,2093800000.0,2093800000.0,2093800000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,,9500000.0,,,,13500000.0,,,,18400000.0,,,,24800000.0,,,,50500000.0,,,,83200000.0,,,,111300000.0,24600000.0,50200000.0,77300000.0,106700000.0,25000000.0,54700000.0,79100000.0,101900000.0,23900000.0,54600000.0,85300000.0,102700000.0,28000000.0,59600000.0,87100000.0,119400000.0,29100000.0,61700000.0,92500000.0,113400000.0,35200000.0,74900000.0,113900000.0,126500000.0,39000000.0,83700000.0,127100000.0
AdvertisingExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000.0,,,,11900000.0,,,,21900000.0,,,,24000000.0,,,,33100000.0,,,,76500000.0,,,,150100000.0,,,,160600000.0,,,
AllocatedShareBasedCompensationExpense / USD,,,8366000.0,2500000.0,6200000.0,9900000.0,9400000.0,4100000.0,9000000.0,13900000.0,13500000.0,5000000.0,11400000.0,18000000.0,18400000.0,,,,24600000.0,,,,50000000.0,,,,82700000.0,,,,110800000.0,24600000.0,50200000.0,77300000.0,106200000.0,25000000.0,54700000.0,79100000.0,101900000.0,23900000.0,54600000.0,85300000.0,102700000.0,28000000.0,59600000.0,87100000.0,119400000.0,29100000.0,61700000.0,92500000.0,113400000.0,35200000.0,74900000.0,113900000.0,126500000.0,39000000.0,83700000.0,127100000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,503000.0,,,,700000.0,,,,1200000.0,,,,2700000.0,,,,4400000.0,,,,7900000.0,,,,12600000.0,,,,11500000.0,,,,7200000.0,,,,5800000.0,,,,7200000.0,,,,5400000.0,,,,7300000.0,,,,9300000.0,,,
