fact_unit,2018-03-15,2018-08-09,2019-03-14,2019-08-08,2020-03-16,2020-08-06,2021-03-12,2021-09-02,2022-03-15,2022-08-04,2023-03-17,2023-08-02,2024-03-15,2024-08-07,2025-03-21,2025-08-07
AccountingProfit / EUR,644000000.0,,719000000.0,,1159000000.0,,1205000000.0,,1454000000.0,,695000000.0,,1382000000.0,,1957000000.0,
AcquisitionrelatedCostsForTransactionRecognisedSeparatelyFromAcquisitionOfAssetsAndAssumptionOfLiabilitiesInBusinessCombination / EUR,,,,,,,0.0,,0.0,,,,,11000000.0,14000000.0,11000000.0
AcquisitionrelatedCostsRecognisedAsExpenseForTransactionRecognisedSeparatelyFromAcquisitionOfAssetsAndAssumptionOfLiabilitiesInBusinessCombination / EUR,,,,,,,,,,,,,,11000000.0,,2000000.0
AcquisitionsThroughBusinessCombinationsInvestmentProperty / EUR,,,,,,,,,,,,,,46000000.0,46000000.0,
AcquisitionsThroughBusinessCombinationsOtherProvisions / EUR,,,,,,,,9000000.0,9000000.0,,9000000.0,,,45000000.0,58000000.0,
AcquisitionsThroughBusinessCombinationsPropertyPlantAndEquipment / EUR,,,,,,,,1620000000.0,,,,,,1089000000.0,,
ActuarialAssumptionOfDiscountRates / pure,0.023,,0.023,,0.025,,0.017,,0.013,,0.018,,0.045,,0.042,
ActuarialAssumptionOfExpectedRatesOfInflation / pure,0.029,,0.029,,0.029,,0.027,,0.026,,0.031,,0.03,,0.029,
ActuarialAssumptionOfExpectedRatesOfSalaryIncreases / pure,0.032,,0.031,,0.031,,0.029,,0.027,,0.032,,0.036,,0.036,
AdditionalProvisionsOtherProvisions / EUR,263000000.0,74000000.0,196000000.0,22000000.0,242000000.0,93000000.0,83000000.0,76000000.0,246000000.0,100000000.0,104000000.0,44000000.0,124000000.0,85000000.0,103000000.0,33000000.0
AdditionsOtherThanThroughBusinessCombinationsPropertyPlantAndEquipment / EUR,,189000000.0,,293000000.0,,197000000.0,,148000000.0,,251000000.0,,279000000.0,,388000000.0,,
AdditionsToRightofuseAssets / EUR,,,,,127000000.0,,127000000.0,,134000000.0,,120000000.0,,208000000.0,,192000000.0,
AdjustedWeightedAverageShares / shares,235000000.0,488000000.0,385000000.0,489000000.0,489000000.0,475000000.0,488000000.0,457000000.0,469000000.0,457000000.0,456000000.0,458000000.0,457000000.0,459000000.0,458000000.0,460000000.0
AdjustmentsForAmortisationExpense / EUR,26000000.0,29000000.0,39000000.0,24000000.0,47000000.0,25000000.0,51000000.0,29000000.0,52000000.0,42000000.0,62000000.0,50000000.0,89000000.0,53000000.0,101000000.0,88000000.0
AdjustmentsForCurrentTaxOfPriorPeriod / EUR,-2000000.0,,24000000.0,,0.0,,4000000.0,5000000.0,-20000000.0,-13000000.0,3000000.0,8000000.0,-53000000.0,-9000000.0,-37000000.0,-47000000.0
AdjustmentsForDecreaseIncreaseInInventories / EUR,9000000.0,-130000000.0,61000000.0,-166000000.0,16000000.0,-254000000.0,-45000000.0,-83000000.0,-25000000.0,-144000000.0,34000000.0,-245000000.0,-1000000.0,-353000000.0,-244000000.0,-338000000.0
AdjustmentsForDecreaseIncreaseInTradeAndOtherReceivables / EUR,68000000.0,-310000000.0,87000000.0,-234000000.0,108000000.0,-321000000.0,72000000.0,-144000000.0,5000000.0,-384000000.0,208000000.0,-429000000.0,-242000000.0,-385000000.0,-282000000.0,-347000000.0
AdjustmentsForDeferredTaxOfPriorPeriods / EUR,-1000000.0,,3000000.0,,-3000000.0,,-6000000.0,-7000000.0,6000000.0,4000000.0,-6000000.0,-9000000.0,-9000000.0,-20000000.0,-22000000.0,0.0
AdjustmentsForDepreciationExpense / EUR,221000000.0,220000000.0,333000000.0,229000000.0,443000000.0,289000000.0,461000000.0,303000000.0,587000000.0,300000000.0,665000000.0,336000000.0,693000000.0,324000000.0,715000000.0,360000000.0
AdjustmentsForFinanceIncomeCost / EUR,-110000000.0,-51000000.0,-123000000.0,-45000000.0,-100000000.0,-49000000.0,-93000000.0,-55000000.0,-96000000.0,-64000000.0,-111000000.0,-63000000.0,-129000000.0,-63000000.0,-114000000.0,-87000000.0
AdjustmentsForGainLossOnDisposalsPropertyPlantAndEquipment / EUR,,,,,,,,,,,,,0.0,,0.0,0.0
AdjustmentsForImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLoss / EUR,,,,,,,,,,,,,,0.0,0.0,12000000.0
AdjustmentsForIncreaseDecreaseInTradeAndOtherPayables / EUR,-91000000.0,237000000.0,155000000.0,315000000.0,142000000.0,265000000.0,297000000.0,41000000.0,-63000000.0,503000000.0,53000000.0,936000000.0,507000000.0,564000000.0,885000000.0,308000000.0
AdjustmentsForSharebasedPayments / EUR,39000000.0,7000000.0,42000000.0,7000000.0,14000000.0,8000000.0,17000000.0,0.0,15000000.0,4000000.0,14000000.0,12000000.0,16000000.0,29000000.0,33000000.0,20000000.0
AdministrationCostsNotReflectedInReturnOnPlanAssetsDefinedBenefitPlans / EUR,,,,,,,,,2000000.0,,2000000.0,,2000000.0,,1000000.0,
AdministrativeExpense / EUR,634000000.0,433000000.0,1083000000.0,419000000.0,906000000.0,381000000.0,980000000.0,440000000.0,787000000.0,525000000.0,983000000.0,615000000.0,1074000000.0,631000000.0,1250000000.0,744000000.0
AmountRemovedFromReserveOfCashFlowHedgesAndIncludedInInitialCostOrOtherCarryingAmountOfNonfinancialAssetLiabilityOrFirmCommitmentForWhichFairValueHedgeAccountingIsApplied / EUR,,,,,,,,84000000.0,84000000.0,84000000.0,84000000.0,,84000000.0,,,
Assets / EUR,18568000000.0,18838000000.0,18194000000.0,18619000000.0,18216000000.0,19090000000.0,18685000000.0,19063000000.0,19237000000.0,29090000000.0,29090000000.0,29313000000.0,29313000000.0,29254000000.0,29254000000.0,31100000000.0
AuditorsRemuneration / EUR,6522000.0,,10893000.0,,7942000.0,,8377000.0,,7632000.0,,7413000.0,,11826000.0,,10646000.0,
AuditorsRemunerationForAuditServices / EUR,3299000.0,,8732000.0,,6550000.0,,6120000.0,,6167000.0,,6195000.0,,10244000.0,,9384000.0,
AuditorsRemunerationForOtherServices / EUR,2000.0,,3000.0,,90000.0,,1180000.0,,123000.0,,30000.0,,35000.0,,47000.0,
AverageEffectiveTaxRate / pure,0.2,0.24,0.236,0.41,0.406,0.25,0.246,0.28,0.25,0.46,0.283,0.25,0.285,0.22,0.223,0.22
AverageNumberOfEmployees / employee,11500.0,,,,23500.0,,23500.0,,23300.0,,22200.0,,29700.0,,33100.0,
BankOverdraftsClassifiedAsCashEquivalents / EUR,,,,,,,,,,,,0.0,,188000000.0,,334000000.0
BasicEarningsLossPerShare / EUR/shares,2.23,0.92,1.45,0.86,1.42,1.08,1.88,0.28,2.34,0.54,1.09,1.46,2.15,1.86,3.3,1.73
Borrowings / EUR,6437000000.0,5700000000.0,5748000000.0,5600000000.0,5618000000.0,6400000000.0,6421000000.0,7200000000.0,7187000000.0,13100000000.0,13140000000.0,11900000000.0,11907000000.0,11400000000.0,,11300000000.0
Cash / EUR,279000000.0,,304000000.0,,279000000.0,,170000000.0,,643000000.0,,708000000.0,,491000000.0,,465000000.0,
CashAndCashEquivalents / EUR,184000000.0,386000000.0,156000000.0,360000000.0,386000000.0,309000000.0,360000000.0,316000000.0,309000000.0,1523000000.0,316000000.0,1819000000.0,1523000000.0,1112000000.0,1407000000.0,1610000000.0
CashAndCashEquivalentsIfDifferentFromStatementOfFinancialPosition / EUR,,,,,,,,,,,,1407000000.0,,1387000000.0,,1419000000.0
CashEquivalents / EUR,107000000.0,,56000000.0,,30000000.0,,146000000.0,,880000000.0,,699000000.0,,896000000.0,,954000000.0,
CashFlowsFromUsedInDecreaseIncreaseInShorttermDepositsAndInvestments / EUR,,,,,,,,,0.0,118000000.0,0.0,-181000000.0,198000000.0,-638000000.0,-207000000.0,296000000.0
CashFlowsFromUsedInFinancingActivities / EUR,-685000000.0,-351000000.0,-626000000.0,-395000000.0,-1152000000.0,-478000000.0,-1259000000.0,479000000.0,-1302000000.0,4613000000.0,100000000.0,-1034000000.0,3289000000.0,-893000000.0,-2276000000.0,332000000.0
CashFlowsFromUsedInIncreaseDecreaseInCurrentBorrowings / EUR,47000000.0,0.0,-183000000.0,-78000000.0,250000000.0,50000000.0,-131000000.0,94000000.0,101000000.0,305000000.0,-221000000.0,237000000.0,276000000.0,543000000.0,-285000000.0,1133000000.0
CashFlowsFromUsedInInvestingActivities / EUR,-272000000.0,-193000000.0,-383000000.0,-217000000.0,-488000000.0,-293000000.0,-596000000.0,-242000000.0,-599000000.0,-5404000000.0,-370000000.0,-222000000.0,-5605000000.0,-861000000.0,-645000000.0,-1622000000.0
CashFlowsFromUsedInOperatingActivities / EUR,922000000.0,470000000.0,1244000000.0,621000000.0,1623000000.0,844000000.0,1806000000.0,353000000.0,1904000000.0,908000000.0,1490000000.0,1653000000.0,2117000000.0,1307000000.0,2932000000.0,1122000000.0
