fact_unit,2011-05-03,2011-08-02,2011-11-01,2012-02-28,2012-05-01,2012-07-31,2012-10-30,2013-02-26,2013-04-30,2013-07-30,2013-11-05,2014-02-25,2014-04-29,2014-07-29,2014-10-28,2015-02-24,2015-04-28,2015-07-28,2015-10-27,2016-02-24,2016-05-03,2016-08-02,2016-11-01,2017-02-21,2017-05-02,2017-08-01,2017-10-31,2018-02-20,2018-05-01,2018-07-31,2018-10-30,2019-02-19,2019-04-30,2019-07-30,2019-10-30,2020-02-18,2020-05-05,2020-08-04,2020-11-04,2021-02-23,2021-05-04,2021-08-03,2021-11-02,2022-02-22,2022-05-03,2022-08-02,2022-11-01,2023-02-28,2023-05-03,2023-08-02,2023-11-01,2024-02-21,2024-05-01,2024-07-31,2024-10-30,2025-02-26,2025-05-07,2025-07-30,2025-10-29
AccountsPayableAndAccruedLiabilitiesCurrent / USD,111995000.0,111995000.0,111995000.0,111995000.0,162992000.0,162992000.0,162992000.0,162992000.0,187648000.0,187648000.0,187648000.0,187648000.0,188264000.0,188264000.0,188264000.0,188264000.0,180726000.0,180726000.0,180726000.0,180726000.0,222112000.0,222112000.0,222112000.0,222100000.0,184000000.0,184000000.0,184000000.0,184000000.0,225400000.0,225400000.0,225400000.0,225400000.0,263500000.0,263500000.0,250800000.0,250900000.0,375000000.0,375000000.0,375000000.0,375000000.0,407300000.0,407300000.0,407300000.0,407300000.0,320700000.0,320700000.0,320700000.0,262100000.0,292800000.0,292800000.0,292800000.0,292800000.0,340800000.0,340800000.0,340800000.0,340800000.0,249800000.0,249800000.0,249800000.0
AccountsReceivableGrossCurrent / USD,,,,130592000.0,,,,157497000.0,,,,183183000.0,,,,162962000.0,,,,226663000.0,,,,253600000.0,,,,267300000.0,,,,350100000.0,,,,362100000.0,,,,453300000.0,,,,450100000.0,,,,315300000.0,,,,304400000.0,,,,349300000.0,,,
AccountsReceivableNetCurrent / USD,126564000.0,126564000.0,126564000.0,126564000.0,153339000.0,153339000.0,153339000.0,153339000.0,178430000.0,178430000.0,178430000.0,178430000.0,158547000.0,158547000.0,158547000.0,158547000.0,220668000.0,220668000.0,220668000.0,220668000.0,250947000.0,250947000.0,250947000.0,251000000.0,263900000.0,263900000.0,263900000.0,263900000.0,345500000.0,345500000.0,345500000.0,345500000.0,356400000.0,356400000.0,356400000.0,356400000.0,441600000.0,441600000.0,441600000.0,441600000.0,432400000.0,432400000.0,432400000.0,432400000.0,446300000.0,446300000.0,446300000.0,299900000.0,290100000.0,290100000.0,290100000.0,290100000.0,334200000.0,334200000.0,334200000.0,334200000.0,434400000.0,434400000.0,434400000.0
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,55736000.0,55736000.0,55736000.0,55736000.0,77581000.0,77581000.0,77581000.0,77581000.0,88272000.0,88272000.0,88272000.0,88272000.0,41613000.0,41613000.0,41613000.0,41613000.0,77318000.0,77318000.0,77318000.0,77318000.0,76227000.0,76227000.0,76227000.0,76200000.0,89700000.0,89700000.0,89700000.0,89700000.0,78600000.0,78600000.0,78600000.0,78600000.0,103400000.0,103400000.0,103400000.0,103400000.0,86800000.0,86800000.0,86800000.0,86800000.0,83500000.0,83500000.0,83500000.0,83500000.0,56600000.0,56600000.0,56600000.0,56600000.0,94300000.0,94300000.0,94300000.0,94300000.0,72500000.0,72500000.0,72500000.0,72500000.0,75100000.0,75100000.0,75100000.0
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,-792000.0,-792000.0,-792000.0,-792000.0,-975000.0,-975000.0,-975000.0,-975000.0,-960000.0,-960000.0,-960000.0,-960000.0,-1800000.0,-1800000.0,-1800000.0,-1800000.0,-3086000.0,-3086000.0,-3086000.0,-3086000.0,-165828000.0,-165828000.0,-165828000.0,-165800000.0,-561400000.0,-561400000.0,-561400000.0,-561400000.0,-334400000.0,-334400000.0,-334400000.0,-334400000.0,-488500000.0,-488500000.0,-488500000.0,-488500000.0,-400100000.0,-400100000.0,-400100000.0,-400100000.0,-292200000.0,-292200000.0,-292200000.0,-292200000.0,-338000000.0,-338000000.0,-338000000.0,-338000000.0,-636900000.0,-636900000.0,-636900000.0,-636900000.0,130700000.0,130700000.0,130700000.0,130700000.0,90100000.0,90100000.0,90100000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-55803000.0,-55803000.0,-55803000.0,-55803000.0,-78287000.0,-78287000.0,-78287000.0,-78287000.0,-89160000.0,-89160000.0,-89160000.0,-89160000.0,-43488000.0,-43488000.0,-43488000.0,-43488000.0,-80514000.0,-80514000.0,-80514000.0,-80514000.0,-242052000.0,-242052000.0,-242052000.0,-242000000.0,-650800000.0,-650800000.0,-650800000.0,-650800000.0,-412300000.0,-412300000.0,-412300000.0,-412300000.0,-591900000.0,-591900000.0,-591900000.0,-591900000.0,-486900000.0,-486900000.0,-486900000.0,-486900000.0,-375700000.0,-375700000.0,-375700000.0,-375700000.0,-394600000.0,-394600000.0,-394600000.0,-394600000.0,-731200000.0,-731200000.0,-731200000.0,-731200000.0,58200000.0,58200000.0,58200000.0,58200000.0,15000000.0,15000000.0,15000000.0
AdditionalPaidInCapitalCommonStock / USD,754708000.0,754708000.0,754708000.0,754708000.0,874808000.0,874808000.0,874808000.0,874808000.0,1044746000.0,1044746000.0,1044746000.0,1044746000.0,1202106000.0,1202106000.0,1202106000.0,1202106000.0,1171196000.0,1171196000.0,1171196000.0,1171196000.0,2023390000.0,2023390000.0,2023390000.0,2023400000.0,2121600000.0,2121600000.0,2121600000.0,2121600000.0,2180100000.0,2180100000.0,2180100000.0,2180100000.0,2283000000.0,2283000000.0,2283000000.0,2283000000.0,2369100000.0,2369100000.0,2369100000.0,2369100000.0,2490900000.0,2490900000.0,2490900000.0,2490900000.0,2608700000.0,2608700000.0,2608700000.0,2608700000.0,2720800000.0,2720800000.0,2720800000.0,2720800000.0,2872300000.0,2872300000.0,2872300000.0,2872300000.0,2994000000.0,2994000000.0,2994000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,1625000.0,,,,1600000.0,,,,2400000.0,,,,3100000.0,,3500000.0,3500000.0,2900000.0,,5100000.0,5100000.0,3700000.0,7800000.0,3500000.0,3500000.0,5500000.0,7800000.0,11000000.0,11200000.0,4100000.0,11300000.0,20000000.0,20400000.0,11800000.0,12300000.0,13800000.0,14000000.0,20700000.0,12100000.0,12600000.0,13000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,21298000.0,21298000.0,21298000.0,4218000.0,22656000.0,22656000.0,22656000.0,21298000.0,24696000.0,24696000.0,24696000.0,22656000.0,21087000.0,21087000.0,21087000.0,24696000.0,20011000.0,20011000.0,20011000.0,21087000.0,30116000.0,30116000.0,30116000.0,20000000.0,29900000.0,29900000.0,29900000.0,30100000.0,31800000.0,31800000.0,31800000.0,29900000.0,8800000.0,19800000.0,30100000.0,31800000.0,9200000.0,27600000.0,36400000.0,38500000.0,19600000.0,29100000.0,39100000.0,42700000.0,25400000.0,36200000.0,47400000.0,47600000.0,20500000.0,38900000.0,50200000.0,55700000.0,23900000.0,33900000.0,46300000.0,56500000.0,13200000.0,25600000.0,37200000.0
AdvertisingExpense / USD,,,,4621000.0,,,,6877000.0,,,,5777000.0,,,,6166000.0,,,,8457000.0,,,,4600000.0,,,,5900000.0,,,,6500000.0,,,,6900000.0,,,,9000000.0,,,,10700000.0,,,,8500000.0,,,,12000000.0,,,,14700000.0,,,
