fact_unit,2014-09-05,2014-10-31,2015-02-23,2015-05-01,2015-07-31,2015-10-30,2016-02-25,2016-04-28,2016-07-28,2016-10-27,2017-02-23,2017-05-01,2017-07-28,2017-10-26,2018-02-22,2018-04-26,2018-07-27,2018-10-25,2019-02-15,2019-04-25,2019-07-25,2019-10-25,2020-02-13,2020-04-22,2020-07-23,2020-10-22,2021-02-11,2021-04-27,2021-07-22,2021-10-21,2022-02-10,2022-04-21,2022-07-21,2022-10-25,2023-02-09,2023-04-20,2023-07-21,2023-10-24,2024-02-08,2024-04-25,2024-07-19,2024-10-23,2025-02-07,2025-04-24,2025-07-23,2025-10-22
AccruedLiabilitiesAndOtherLiabilities / USD,3085000000.0,3085000000.0,3085000000.0,2814000000.0,2814000000.0,2814000000.0,2814000000.0,3740000000.0,3740000000.0,3740000000.0,3740000000.0,3809000000.0,3809000000.0,3809000000.0,3809000000.0,4287000000.0,4287000000.0,4287000000.0,4287000000.0,4099000000.0,4099000000.0,4099000000.0,4099000000.0,4718000000.0,4718000000.0,4718000000.0,4718000000.0,4690000000.0,4690000000.0,4690000000.0,4690000000.0,5316000000.0,5316000000.0,5316000000.0,5316000000.0,5765000000.0,5765000000.0,5765000000.0,5765000000.0,6334000000.0,6334000000.0,6334000000.0,6334000000.0,5359000000.0,5359000000.0,5359000000.0
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax / USD,-9000000.0,-9000000.0,-9000000.0,0.0,0.0,0.0,0.0,-10000000.0,-10000000.0,-10000000.0,-10000000.0,-18000000.0,-18000000.0,-18000000.0,-18000000.0,-19000000.0,-19000000.0,-19000000.0,-19000000.0,-32000000.0,-32000000.0,-32000000.0,-32000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,25000000.0,25000000.0,25000000.0,25000000.0,4000000.0,4000000.0,4000000.0,4000000.0,-93000000.0,-93000000.0,-93000000.0,-93000000.0,-33000000.0,-33000000.0,-33000000.0,-33000000.0,-23000000.0,-23000000.0,-23000000.0
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,33000000.0,33000000.0,,54000000.0,54000000.0,54000000.0,54000000.0,47000000.0,47000000.0,47000000.0,47000000.0,-6000000.0,-6000000.0,-6000000.0,-6000000.0,-3000000.0,-3000000.0,-3000000.0,-3000000.0,-8000000.0,-8000000.0,-8000000.0
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,-3000000.0,-3000000.0,-3000000.0,-8000000.0,-8000000.0,-8000000.0,-8000000.0,-19000000.0,-19000000.0,-19000000.0,-19000000.0,-20000000.0,-20000000.0,-20000000.0,-20000000.0,-17000000.0,-17000000.0,-17000000.0,-17000000.0,-25000000.0,-25000000.0,-25000000.0,-25000000.0,-24000000.0,-24000000.0,-24000000.0,-24000000.0,-22000000.0,-22000000.0,-22000000.0,-22000000.0,-26000000.0,-26000000.0,-26000000.0,-26000000.0,-38000000.0,-38000000.0,-38000000.0,-38000000.0,-38000000.0,-38000000.0,-38000000.0,-38000000.0,-44000000.0,-44000000.0,-44000000.0
AdditionalPaidInCapital / USD,0.0,0.0,0.0,9408000000.0,9408000000.0,9408000000.0,9408000000.0,9351000000.0,9351000000.0,9351000000.0,9351000000.0,9393000000.0,9393000000.0,9393000000.0,9393000000.0,9445000000.0,9445000000.0,9445000000.0,9445000000.0,9482000000.0,9482000000.0,9482000000.0,9482000000.0,9537000000.0,9537000000.0,9537000000.0,9537000000.0,9570000000.0,9570000000.0,9570000000.0,9570000000.0,9669000000.0,9669000000.0,9669000000.0,9669000000.0,9718000000.0,9718000000.0,9718000000.0,9718000000.0,9775000000.0,9775000000.0,9775000000.0,9775000000.0,9853000000.0,9853000000.0,9853000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions / USD,,,,,,24000000.0,,8000000.0,19000000.0,24000000.0,12000000.0,8000000.0,19000000.0,30000000.0,34000000.0,13000000.0,23000000.0,37000000.0,43000000.0,28000000.0,28000000.0,28000000.0,57000000.0,22000000.0,22000000.0,22000000.0,51000000.0,-6000000.0,-6000000.0,-6000000.0,111000000.0,57000000.0,57000000.0,57000000.0,44000000.0,-25000000.0,-25000000.0,-25000000.0,169000000.0,-11000000.0,-11000000.0,-11000000.0,54000000.0,12000000.0,12000000.0,12000000.0
AffordableHousingTaxCreditsAndOtherTaxBenefitsAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000000.0,,,,41000000.0,,,,56000000.0,24000000.0,47000000.0,72000000.0,56000000.0,28000000.0,56000000.0,86000000.0
AmortizationMethodQualifiedAffordableHousingProjectInvestments / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338000000.0,338000000.0,441000000.0,441000000.0,441000000.0,441000000.0,557000000.0,557000000.0,557000000.0,557000000.0,736000000.0,736000000.0,736000000.0,736000000.0,776000000.0,776000000.0,776000000.0
AmortizationMethodQualifiedAffordableHousingProjectInvestmentsAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000000.0,,,,35000000.0,,,,44000000.0,20000000.0,35000000.0,56000000.0,44000000.0,23000000.0,47000000.0,71000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,6000000.0,6000000.0,0.0,0.0,6000000.0,6000000.0,1000000.0,1000000.0,1000000.0,6000000.0,2000000.0,3000000.0,3000000.0,1000000.0,1000000.0,3000000.0,3000000.0,2000000.0,1000000.0,2000000.0,3000000.0,3000000.0,5000000.0,4000000.0,4000000.0,4000000.0,5000000.0,8000000.0,6000000.0,3000000.0,1000000.0,1000000.0,1000000.0,7000000.0,1000000.0,2000000.0,3000000.0,1000000.0,5000000.0,5000000.0,5000000.0,3000000.0,2000000.0,0.0,0.0
Assets / USD,59085000000.0,59085000000.0,59085000000.0,75707000000.0,75707000000.0,75707000000.0,75707000000.0,83990000000.0,83990000000.0,83990000000.0,83990000000.0,90207000000.0,90207000000.0,90207000000.0,90207000000.0,95808000000.0,95808000000.0,95808000000.0,95808000000.0,106792000000.0,106792000000.0,106792000000.0,106792000000.0,104826000000.0,104826000000.0,104826000000.0,104826000000.0,95948000000.0,95948000000.0,95948000000.0,95948000000.0,95748000000.0,95748000000.0,95748000000.0,95748000000.0,104564000000.0,104564000000.0,104564000000.0,104564000000.0,117479000000.0,117479000000.0,117479000000.0,117479000000.0,119463000000.0,119463000000.0,119463000000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,256000000.0,256000000.0,256000000.0,256000000.0,,,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000000.0,35000000.0,15000000.0,15000000.0,15000000.0,15000000.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,5000000.0,5000000.0,7000000.0,7000000.0,7000000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,9000000.0,9000000.0,9000000.0,9000000.0,122000000.0,122000000.0,122000000.0,122000000.0,47000000.0,47000000.0,47000000.0,47000000.0,37000000.0,37000000.0,37000000.0
AvailableForSaleDebtSecuritiesAmortizedCostBasis / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435000000.0,7435000000.0,5277000000.0,5277000000.0,5277000000.0,5277000000.0,5001000000.0,5001000000.0,5001000000.0,5001000000.0,3841000000.0,3841000000.0,3841000000.0,3841000000.0,3109000000.0,3109000000.0,3109000000.0
AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsAmortizedCostBasis / USD,,,,,,,,,,,,,,1611000000.0,2319000000.0,3975000000.0,4701000000.0,5441000000.0,4506000000.0,3870000000.0,4470000000.0,2938000000.0,4322000000.0,4354000000.0,4875000000.0,6553000000.0,4095000000.0,3689000000.0,3229000000.0,3479000000.0,3440000000.0,2617000000.0,2916000000.0,3466000000.0,3816000000.0,3253000000.0,3313000000.0,1736000000.0,2745000000.0,1923000000.0,1648000000.0,1272000000.0,1724000000.0,1418000000.0,1265000000.0,1332000000.0
AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsFairValue / USD,,,,,,,,,,,,,,1610000000.0,2318000000.0,3970000000.0,4697000000.0,5438000000.0,4504000000.0,3870000000.0,4475000000.0,2941000000.0,4325000000.0,4362000000.0,4883000000.0,6560000000.0,4098000000.0,3693000000.0,3232000000.0,3481000000.0,3440000000.0,2610000000.0,2898000000.0,3442000000.0,3778000000.0,3221000000.0,3290000000.0,1721000000.0,2738000000.0,1918000000.0,1646000000.0,1275000000.0,1727000000.0,1422000000.0,1267000000.0,1335000000.0
AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenAmortizedCostBasis / USD,,,,,,,,,,,,,,1362000000.0,1291000000.0,1222000000.0,1187000000.0,1089000000.0,1066000000.0,1041000000.0,1022000000.0,1020000000.0,930000000.0,876000000.0,813000000.0,696000000.0,721000000.0,653000000.0,493000000.0,381000000.0,273000000.0,253000000.0,239000000.0,26000000.0,35000000.0,210000000.0,202000000.0,203000000.0,198000000.0,193000000.0,200000000.0,194000000.0,185000000.0,198000000.0,203000000.0,238000000.0
AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenFairValue / USD,,,,,,,,,,,,,,1344000000.0,1264000000.0,1178000000.0,1138000000.0,1034000000.0,1023000000.0,1015000000.0,1008000000.0,1012000000.0,923000000.0,888000000.0,830000000.0,715000000.0,740000000.0,664000000.0,501000000.0,386000000.0,275000000.0,241000000.0,219000000.0,22000000.0,30000000.0,185000000.0,173000000.0,167000000.0,172000000.0,164000000.0,172000000.0,174000000.0,159000000.0,176000000.0,182000000.0,221000000.0
AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenAmortizedCostBasis / USD,,,,,,,,,,,,,,2000000.0,11000000.0,58000000.0,137000000.0,167000000.0,164000000.0,153000000.0,143000000.0,133000000.0,144000000.0,133000000.0,123000000.0,147000000.0,134000000.0,157000000.0,244000000.0,297000000.0,333000000.0,302000000.0,282000000.0,90000000.0,95000000.0,224000000.0,212000000.0,190000000.0,179000000.0,169000000.0,159000000.0,149000000.0,136000000.0,127000000.0,118000000.0,101000000.0
AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenFairValue / USD,,,,,,,,,,,,,,2000000.0,11000000.0,58000000.0,137000000.0,165000000.0,163000000.0,154000000.0,145000000.0,135000000.0,147000000.0,138000000.0,129000000.0,153000000.0,139000000.0,164000000.0,253000000.0,306000000.0,341000000.0,298000000.0,270000000.0,76000000.0,82000000.0,208000000.0,194000000.0,170000000.0,167000000.0,157000000.0,146000000.0,141000000.0,126000000.0,120000000.0,112000000.0,95000000.0
