fact_unit,2009-08-07,2009-11-03,2010-02-26,2010-05-04,2010-08-06,2010-11-04,2011-02-25,2011-05-05,2011-08-04,2011-11-04,2012-02-24,2012-05-08,2012-08-08,2012-08-31,2012-10-31,2013-02-22,2013-05-01,2013-07-26,2013-10-25,2014-02-18,2014-04-25,2014-07-25,2014-10-31,2015-02-24,2015-05-01,2015-07-31,2015-10-30,2016-02-22,2016-04-29,2016-07-29,2016-10-28,2017-02-23,2017-05-09,2017-08-04,2017-10-27,2018-02-20,2018-05-04,2018-07-27,2018-10-26,2019-02-19,2019-04-26,2019-07-26,2019-10-25,2020-02-14,2020-04-01,2020-05-01,2020-07-31,2020-10-30,2021-02-19,2021-04-30,2021-07-30,2021-10-29,2022-02-18,2022-04-29,2022-07-29,2022-10-28,2023-02-17,2023-04-28,2023-07-28,2023-10-27,2024-02-16,2024-04-17,2024-04-26,2024-07-26,2024-10-25,2025-02-18,2025-04-25,2025-07-25,2025-10-31
AccountsPayableAndAccruedLiabilitiesCurrent / USD,,1560000000.0,1560000000.0,1535000000.0,1535000000.0,1535000000.0,1535000000.0,1810000000.0,1810000000.0,1810000000.0,1810000000.0,1832000000.0,1832000000.0,1810000000.0,1832000000.0,1832000000.0,1853000000.0,1853000000.0,1853000000.0,1853000000.0,1931000000.0,1931000000.0,1931000000.0,1931000000.0,1805000000.0,1805000000.0,1805000000.0,1805000000.0,1772000000.0,1772000000.0,1772000000.0,9932000000.0,1604000000.0,1604000000.0,1604000000.0,8959000000.0,1961000000.0,1961000000.0,1961000000.0,9625000000.0,1943000000.0,1943000000.0,1943000000.0,1943000000.0,1943000000.0,1939000000.0,1939000000.0,1939000000.0,1939000000.0,2016000000.0,2016000000.0,2016000000.0,2016000000.0,2192000000.0,2192000000.0,2192000000.0,2192000000.0,2114000000.0,2114000000.0,2114000000.0,2114000000.0,,2262000000.0,2262000000.0,2262000000.0,2262000000.0,2905000000.0,2905000000.0,2905000000.0
AccountsReceivableNetCurrent / USD,1990000000.0,1990000000.0,1990000000.0,2052000000.0,2052000000.0,2052000000.0,2052000000.0,2701000000.0,2701000000.0,2701000000.0,2701000000.0,3183000000.0,3183000000.0,2701000000.0,3183000000.0,3183000000.0,3101000000.0,3101000000.0,3101000000.0,3101000000.0,2896000000.0,2896000000.0,2896000000.0,2896000000.0,2815000000.0,2815000000.0,2815000000.0,2815000000.0,2734000000.0,2734000000.0,2734000000.0,2564000000.0,2106000000.0,2106000000.0,2106000000.0,2106000000.0,2478000000.0,2478000000.0,2478000000.0,2478000000.0,2760000000.0,2760000000.0,2760000000.0,2760000000.0,2760000000.0,3112000000.0,3112000000.0,3112000000.0,3112000000.0,3070000000.0,3070000000.0,3070000000.0,3070000000.0,3094000000.0,3094000000.0,3094000000.0,3094000000.0,3035000000.0,3035000000.0,3035000000.0,3035000000.0,,3254000000.0,3254000000.0,3254000000.0,3254000000.0,3803000000.0,3803000000.0,3803000000.0
AccruedIncomeTaxesCurrent / USD,,,,,,,,,,,,,,,,,,,,155000000.0,136000000.0,136000000.0,136000000.0,184000000.0,64000000.0,64000000.0,64000000.0,64000000.0,94000000.0,94000000.0,94000000.0,94000000.0,77000000.0,77000000.0,77000000.0,77000000.0,139000000.0,139000000.0,139000000.0,139000000.0,83000000.0,83000000.0,83000000.0,83000000.0,83000000.0,93000000.0,93000000.0,93000000.0,93000000.0,80000000.0,80000000.0,80000000.0,80000000.0,149000000.0,149000000.0,149000000.0,149000000.0,193000000.0,193000000.0,193000000.0,193000000.0,,291000000.0,291000000.0,291000000.0,291000000.0,260000000.0,260000000.0,260000000.0
AccruedIncomeTaxesNoncurrent / USD,,,,,,,,,,,,,,,,,,,,178000000.0,184000000.0,184000000.0,184000000.0,184000000.0,210000000.0,210000000.0,210000000.0,210000000.0,223000000.0,223000000.0,223000000.0,223000000.0,288000000.0,288000000.0,288000000.0,288000000.0,529000000.0,529000000.0,529000000.0,529000000.0,585000000.0,585000000.0,585000000.0,585000000.0,585000000.0,525000000.0,525000000.0,525000000.0,525000000.0,561000000.0,561000000.0,561000000.0,561000000.0,609000000.0,609000000.0,609000000.0,609000000.0,795000000.0,795000000.0,795000000.0,795000000.0,,827000000.0,827000000.0,827000000.0,827000000.0,885000000.0,885000000.0,885000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,1028000000.0,,,,1096000000.0,,,1096000000.0,,1188000000.0,,,,1369000000.0,,,,1498000000.0,,,,1546000000.0,,,,1616000000.0,,,,1196000000.0,,,,1169000000.0,,,,1145000000.0,1145000000.0,,,,1159000000.0,,,,1268000000.0,,,,1318000000.0,,,,1391000000.0,,,,,1498000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-1462000000.0,-1462000000.0,-1462000000.0,-1675000000.0,-1675000000.0,-1675000000.0,-1462000000.0,-1917000000.0,-1917000000.0,-1917000000.0,-1675000000.0,-2370000000.0,-2370000000.0,-1675000000.0,-2370000000.0,-1917000000.0,-2610000000.0,-2610000000.0,-2610000000.0,-1917000000.0,-2374000000.0,-2374000000.0,-2374000000.0,-2370000000.0,-3134000000.0,-3134000000.0,-3134000000.0,-2610000000.0,-3423000000.0,-3423000000.0,-3423000000.0,-3423000000.0,-3912000000.0,-3912000000.0,-3912000000.0,-3912000000.0,-3496000000.0,-3496000000.0,-3496000000.0,-3496000000.0,-3909000000.0,-3909000000.0,-3909000000.0,-3909000000.0,-3909000000.0,-4033000000.0,-4033000000.0,-4033000000.0,-4033000000.0,-3861000000.0,-3861000000.0,-3861000000.0,-3861000000.0,-3871000000.0,-3871000000.0,-3871000000.0,-3871000000.0,-4623000000.0,-4623000000.0,-4623000000.0,-4623000000.0,,-4373000000.0,-4373000000.0,-4373000000.0,-4373000000.0,-4745000000.0,-4745000000.0,-4745000000.0
AdditionalPaidInCapitalCommonStock / USD,3220000000.0,3220000000.0,3220000000.0,3215000000.0,3215000000.0,3215000000.0,3215000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4021000000.0,4021000000.0,4000000000.0,4021000000.0,4021000000.0,4436000000.0,4436000000.0,4436000000.0,4436000000.0,4785000000.0,4785000000.0,4785000000.0,4785000000.0,5097000000.0,5097000000.0,5097000000.0,5097000000.0,5409000000.0,5409000000.0,5409000000.0,5409000000.0,5577000000.0,5577000000.0,5577000000.0,5577000000.0,5775000000.0,5775000000.0,5775000000.0,5775000000.0,5965000000.0,5965000000.0,5965000000.0,5965000000.0,5965000000.0,6152000000.0,6152000000.0,6152000000.0,6152000000.0,6312000000.0,6312000000.0,6312000000.0,6312000000.0,6624000000.0,6624000000.0,6624000000.0,6624000000.0,6864000000.0,6864000000.0,6864000000.0,6864000000.0,,6944000000.0,6944000000.0,6944000000.0,6944000000.0,13173000000.0,13173000000.0,13173000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,95000000.0,152000000.0,204000000.0,66000000.0,123000000.0,166000000.0,248000000.0,74000000.0,121000000.0,179000000.0,209000000.0,55000000.0,105000000.0,209000000.0,160000000.0,221000000.0,69000000.0,137000000.0,207000000.0,235000000.0,102000000.0,175000000.0,247000000.0,212000000.0,90000000.0,164000000.0,239000000.0,300000000.0,85000000.0,155000000.0,228000000.0,328000000.0,75000000.0,148000000.0,214000000.0,340000000.0,75000000.0,148000000.0,214000000.0,331000000.0,77000000.0,77000000.0,77000000.0,321000000.0,321000000.0,89000000.0,89000000.0,89000000.0,338000000.0,81000000.0,81000000.0,81000000.0,317000000.0,131000000.0,131000000.0,131000000.0,317000000.0,119000000.0,119000000.0,119000000.0,449000000.0,,127000000.0,127000000.0,127000000.0,397000000.0,130000000.0,130000000.0,130000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,226000000.0,66000000.0,123000000.0,166000000.0,209000000.0,74000000.0,121000000.0,209000000.0,179000000.0,221000000.0,55000000.0,105000000.0,160000000.0,235000000.0,69000000.0,137000000.0,207000000.0,212000000.0,102000000.0,175000000.0,247000000.0,300000000.0,90000000.0,164000000.0,239000000.0,328000000.0,79000000.0,145000000.0,210000000.0,318000000.0,78000000.0,147000000.0,214000000.0,306000000.0,77000000.0,147000000.0,214000000.0,319000000.0,319000000.0,89000000.0,180000000.0,252000000.0,338000000.0,76000000.0,140000000.0,207000000.0,317000000.0,131000000.0,216000000.0,346000000.0,312000000.0,,,,449000000.0,,,,,397000000.0,,,
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,,,,,,,,,,141000000.0,,,141000000.0,,146000000.0,,,,158000000.0,,,,150000000.0,,,,219000000.0,,,,234000000.0,,,,231000000.0,,,,216000000.0,,,,246000000.0,246000000.0,,,,264000000.0,,,,251000000.0,,,,251000000.0,,,,362000000.0,,,,,314000000.0,,,
