fact_unit,2010-10-12,2011-01-10,2011-04-01,2011-07-25,2011-10-11,2012-01-06,2012-04-02,2012-07-27,2012-09-28,2012-10-02,2013-01-08,2013-04-02,2013-07-25,2013-10-01,2014-01-08,2014-04-03,2014-07-29,2014-10-02,2015-01-08,2015-04-08,2015-07-30,2015-10-07,2016-01-11,2016-02-05,2016-04-06,2016-07-28,2016-10-05,2017-01-09,2017-02-28,2017-05-04,2017-08-03,2017-11-08,2018-02-23,2018-05-03,2018-08-02,2018-10-30,2019-02-21,2019-05-02,2019-07-30,2019-10-31,2020-02-21,2020-05-06,2020-08-03,2020-10-29,2021-02-19,2021-05-04,2021-08-02,2021-11-02,2022-02-18,2022-05-02,2022-08-01,2022-10-31,2023-02-17,2023-05-03,2023-08-01,2023-10-31,2024-02-14,2024-05-01,2024-08-07,2024-10-31,2025-02-14,2025-05-06,2025-08-06,2025-11-04
AcceleratedShareRepurchasesFinalPricePaidPerShare / USD/shares,,,,,,,,,,,,,49.13,,,,,,,,49.13,102.26,51.13,24.57,51.13,30.48,,,30.48,,,,51.13,,,,74.27,,,,,,,,,,,,,,,,,,,,200.71,130.8,130.8,130.8,,130.8,130.8,130.8
AccountsPayableAndAccruedLiabilitiesCurrent / USD,173575000.0,173575000.0,173575000.0,173575000.0,241578000.0,241578000.0,241578000.0,241578000.0,241578000.0,316313000.0,316313000.0,316313000.0,316313000.0,262890000.0,262890000.0,262890000.0,262890000.0,290106000.0,290106000.0,290106000.0,290106000.0,312647000.0,312647000.0,290030000.0,312647000.0,326875000.0,696414000.0,696414000.0,326875000.0,804887000.0,804887000.0,804887000.0,804887000.0,1039607000.0,1039607000.0,1039607000.0,1039607000.0,1176703000.0,1176703000.0,1176703000.0,1176703000.0,1822166000.0,1822166000.0,1822166000.0,1822166000.0,2061384000.0,2061384000.0,2061384000.0,2061384000.0,2542256000.0,2542256000.0,2542256000.0,2542256000.0,2442560000.0,2442560000.0,2442560000.0,2442560000.0,2824979000.0,2824979000.0,2824979000.0,2824979000.0,3079924000.0,2626159000.0,2383523000.0
AccountsPayableTradeCurrent / USD,,,,,,,,20053000.0,20053000.0,,,,11817000.0,,,,18497000.0,,,,13076000.0,,,13076000.0,,22836000.0,,,22836000.0,,,,28178000.0,,,,47391000.0,,,,76229000.0,,,,148084000.0,,,,128721000.0,,,,262014000.0,,,,229436000.0,,,,290437000.0,,,206980000.0
AccountsReceivableNetCurrent / USD,131817000.0,131817000.0,131817000.0,131817000.0,166540000.0,166540000.0,166540000.0,166540000.0,166540000.0,182962000.0,182962000.0,182962000.0,182962000.0,189435000.0,189435000.0,189435000.0,189435000.0,214574000.0,214574000.0,214574000.0,214574000.0,202390000.0,202390000.0,214574000.0,202390000.0,202390000.0,281612000.0,281612000.0,202390000.0,275032000.0,275032000.0,275032000.0,275032000.0,301887000.0,301887000.0,301887000.0,301887000.0,348400000.0,348400000.0,348400000.0,348400000.0,895232000.0,895232000.0,895232000.0,895232000.0,794172000.0,794172000.0,794172000.0,794172000.0,946247000.0,946247000.0,946247000.0,946247000.0,998332000.0,998332000.0,998332000.0,998332000.0,1120078000.0,1120078000.0,1120078000.0,1120078000.0,1081740000.0,782306000.0,797094000.0
AccrualForTaxesOtherThanIncomeTaxesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68048000.0,,,,68323000.0,,,,42198000.0,,,,59601000.0,,,53055000.0
AccruedIncomeTaxesCurrent / USD,6430000.0,6430000.0,6430000.0,6430000.0,7674000.0,7674000.0,7674000.0,7674000.0,7674000.0,12283000.0,12283000.0,12283000.0,12283000.0,18870000.0,18870000.0,18870000.0,18870000.0,12390000.0,12390000.0,12390000.0,12390000.0,14228000.0,14228000.0,12390000.0,14228000.0,,,,,,,,,,,,,,,,,,,,,,,,13517000.0,,,,51818000.0,,,,61949000.0,,,,139825000.0,,,136395000.0
AccruedProfessionalFeesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7543000.0,,,,26080000.0,,,,44146000.0,,,,82108000.0,,,,28548000.0,,,,22748000.0,,,16723000.0
AccruedSalesCommissionCurrent / USD,,,,,,,,,,,,,64581000.0,,,,61279000.0,,,,66551000.0,,,66551000.0,,63737000.0,,,63737000.0,,,,39370000.0,,,,35855000.0,,,,24998000.0,,,,68592000.0,,,,74391000.0,,,,88109000.0,,,,95192000.0,,,,93387000.0,,,92827000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-44255000.0,-44255000.0,-44255000.0,-44255000.0,79320000.0,79320000.0,79320000.0,79320000.0,79320000.0,-30000000.0,-30000000.0,-30000000.0,-30000000.0,-15062000.0,-15062000.0,-15062000.0,-15062000.0,-1776000.0,-1776000.0,-1776000.0,-1776000.0,-185992000.0,-185992000.0,-1776000.0,-185992000.0,-185992000.0,-246050000.0,-246050000.0,-185992000.0,-322717000.0,-322717000.0,-322717000.0,-322717000.0,-183144000.0,-183144000.0,-183144000.0,-183144000.0,-310175000.0,-310175000.0,-310175000.0,-310175000.0,-310571000.0,-310571000.0,-310571000.0,-310571000.0,-202273000.0,-202273000.0,-202273000.0,-202273000.0,-234182000.0,-234182000.0,-234182000.0,-234182000.0,-405969000.0,-405969000.0,-405969000.0,-405969000.0,-258925000.0,-258925000.0,-258925000.0,-258925000.0,-612992000.0,-612992000.0,-258925000.0
AdditionalPaidInCapital / USD,460747000.0,460747000.0,460747000.0,460747000.0,419591000.0,419591000.0,419591000.0,419591000.0,419591000.0,358728000.0,358728000.0,358728000.0,358728000.0,202396000.0,202396000.0,202396000.0,202396000.0,183023000.0,183023000.0,183023000.0,183023000.0,148742000.0,148742000.0,183023000.0,148742000.0,148742000.0,1976715000.0,1976715000.0,148742000.0,1816278000.0,1816278000.0,1816278000.0,1816278000.0,2379774000.0,2379774000.0,2379774000.0,2379774000.0,2235167000.0,2235167000.0,2235167000.0,2235167000.0,25833307000.0,25833307000.0,25833307000.0,25833307000.0,24963769000.0,24963769000.0,24963769000.0,24963769000.0,22880261000.0,22880261000.0,22880261000.0,22880261000.0,19978095000.0,19978095000.0,19978095000.0,19978095000.0,19800953000.0,19800953000.0,19800953000.0,19800953000.0,18118942000.0,18118942000.0,19800953000.0
