fact_unit,2009-08-03,2009-08-05,2009-11-02,2010-02-25,2010-04-15,2010-05-07,2010-08-06,2010-11-05,2011-02-25,2011-05-06,2011-08-05,2011-11-03,2011-11-07,2012-02-27,2012-05-04,2012-08-07,2012-11-06,2013-02-27,2013-05-09,2013-08-07,2013-11-05,2014-02-27,2014-05-08,2014-08-07,2014-11-06,2015-02-26,2015-05-07,2015-08-06,2015-11-09,2015-12-16,2016-02-25,2016-05-05,2016-08-04,2016-11-03,2017-02-23,2017-05-04,2017-08-03,2017-11-02,2018-02-22,2018-05-03,2018-08-02,2018-11-01,2019-02-22,2019-05-02,2019-08-01,2019-10-31,2020-02-24,2020-05-07,2020-08-06,2020-11-05,2021-02-24,2021-05-06,2021-08-09,2021-11-05,2022-02-24,2022-05-05,2022-08-02,2022-11-03,2023-02-23,2023-05-02,2023-08-03,2023-11-02,2024-02-22,2024-05-02,2024-08-08,2024-10-31,2025-02-20,2025-05-08,2025-08-07,2025-11-06
AccountsPayableAndAccruedLiabilitiesCurrent / USD,207900000.0,207900000.0,207900000.0,207900000.0,207900000.0,172500000.0,172500000.0,172500000.0,172500000.0,323200000.0,323200000.0,323200000.0,323200000.0,323200000.0,327700000.0,327700000.0,327700000.0,327700000.0,366500000.0,366500000.0,366500000.0,366500000.0,564100000.0,564100000.0,564100000.0,564100000.0,589900000.0,589900000.0,589900000.0,564100000.0,589900000.0,918000000.0,918000000.0,918000000.0,918000000.0,638000000.0,638000000.0,638000000.0,638000000.0,472000000.0,472000000.0,472000000.0,472000000.0,545000000.0,545000000.0,545000000.0,545000000.0,437000000.0,437000000.0,437000000.0,437000000.0,424000000.0,424000000.0,424000000.0,424000000.0,565000000.0,565000000.0,565000000.0,565000000.0,575000000.0,575000000.0,575000000.0,575000000.0,520000000.0,520000000.0,520000000.0,520000000.0,603000000.0,603000000.0,603000000.0
AccountsPayableCurrent / USD,,,,,,,,,,,,,,87900000.0,,,,99500000.0,,,,117300000.0,,,,169000000.0,,,,169000000.0,65800000.0,,,,97000000.0,,,,81000000.0,,,,99000000.0,,,,101000000.0,,,,78000000.0,,,,85000000.0,,,,110000000.0,,,,63000000.0,,,,114000000.0,,,
AccountsReceivableNetCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505000000.0,505000000.0,505000000.0,,404000000.0,404000000.0,404000000.0
AccruedIncomeTaxesCurrent / USD,14100000.0,14100000.0,14100000.0,14100000.0,14100000.0,,29300000.0,,62200000.0,62200000.0,62200000.0,62200000.0,62200000.0,62200000.0,128500000.0,128500000.0,128500000.0,128500000.0,187100000.0,187100000.0,187100000.0,187100000.0,73300000.0,73300000.0,73300000.0,73300000.0,16000000.0,16000000.0,16000000.0,73300000.0,16000000.0,5000000.0,5000000.0,5000000.0,5000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,2000000.0,2000000.0,5000000.0,5000000.0,5000000.0,5000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,,0.0,0.0,24000000.0,24000000.0,24000000.0,24000000.0,3000000.0,3000000.0,3000000.0,3000000.0,12000000.0,12000000.0,12000000.0,12000000.0,2000000.0,2000000.0,2000000.0
AccruedIncomeTaxesNoncurrent / USD,,,,,,,,,,,,,,31100000.0,,,,74800000.0,,,,38500000.0,,,,81800000.0,,,,81800000.0,95800000.0,,,,118000000.0,,,,103000000.0,,,,93000000.0,,,,96000000.0,,,,147000000.0,,,,155000000.0,,,,62000000.0,,,,267000000.0,,,,247000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,,1927300000.0,,2152500000.0,2152500000.0,2152500000.0,2152500000.0,2152500000.0,2447500000.0,2447500000.0,2447500000.0,2447500000.0,2757100000.0,2757100000.0,2757100000.0,2757100000.0,2241500000.0,2241500000.0,2241500000.0,2241500000.0,2511000000.0,2511000000.0,2511000000.0,2241500000.0,2511000000.0,2774000000.0,2774000000.0,2774000000.0,2774000000.0,3239000000.0,3239000000.0,3239000000.0,3239000000.0,4071000000.0,4071000000.0,4071000000.0,4071000000.0,4684000000.0,4684000000.0,4684000000.0,4684000000.0,5365000000.0,5365000000.0,5365000000.0,5365000000.0,6145000000.0,6145000000.0,6145000000.0,6145000000.0,6807000000.0,6807000000.0,6807000000.0,6807000000.0,7426000000.0,7426000000.0,7426000000.0,7426000000.0,8103000000.0,8103000000.0,8103000000.0,8103000000.0,8673000000.0,8673000000.0,8673000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-75200000.0,-75200000.0,-75200000.0,-75200000.0,-75200000.0,-43200000.0,-43200000.0,-43200000.0,-43200000.0,-53300000.0,-43200000.0,-43200000.0,-43200000.0,-75200000.0,-53300000.0,-53300000.0,-53300000.0,-43200000.0,-99300000.0,-99300000.0,-99300000.0,-53300000.0,-49600000.0,-49600000.0,-49600000.0,-99300000.0,-42600000.0,-42600000.0,-42600000.0,-99300000.0,-49600000.0,-160000000.0,-160000000.0,-160000000.0,-43000000.0,-250000000.0,-250000000.0,-250000000.0,-160000000.0,-398000000.0,-398000000.0,-398000000.0,-263000000.0,-371000000.0,-371000000.0,-371000000.0,-371000000.0,-366000000.0,-366000000.0,-366000000.0,-366000000.0,-320000000.0,-320000000.0,-320000000.0,-320000000.0,-257000000.0,-257000000.0,-257000000.0,-257000000.0,-230000000.0,-230000000.0,-230000000.0,-230000000.0,-209000000.0,-209000000.0,-209000000.0,-209000000.0,-280000000.0,-280000000.0,-280000000.0
AdditionalPaidInCapital / USD,709400000.0,709400000.0,709400000.0,709400000.0,709400000.0,723500000.0,723500000.0,723500000.0,723500000.0,2732200000.0,2732200000.0,2732200000.0,2732200000.0,2732200000.0,2804800000.0,2804800000.0,2804800000.0,2804800000.0,2492400000.0,2492400000.0,2492400000.0,2492400000.0,1594300000.0,1594300000.0,1594300000.0,1594300000.0,1415900000.0,1413900000.0,1413900000.0,1594300000.0,1413900000.0,1378000000.0,1378000000.0,1378000000.0,1378000000.0,1380000000.0,1380000000.0,1380000000.0,1380000000.0,1397000000.0,1397000000.0,1397000000.0,1397000000.0,1368000000.0,1368000000.0,1368000000.0,1368000000.0,1303000000.0,1303000000.0,1303000000.0,1303000000.0,1317000000.0,1317000000.0,1317000000.0,1317000000.0,1375000000.0,1375000000.0,1375000000.0,1375000000.0,1412000000.0,1412000000.0,1412000000.0,1412000000.0,1389000000.0,1389000000.0,1389000000.0,1389000000.0,1284000000.0,1284000000.0,1284000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,3800000.0,5600000.0,5600000.0,6600000.0,2400000.0,4700000.0,7300000.0,7900000.0,2500000.0,,,9900000.0,,,,11100000.0,,,,11100000.0,12600000.0,,,,17000000.0,,,,17000000.0,,,,19000000.0,,,,17000000.0,,,,21000000.0,,,,28000000.0,,,,26000000.0,,,,30000000.0,,,,41000000.0,,,
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,,,,,,,,,,2400000.0,3500000.0,3500000.0,4200000.0,1500000.0,3000000.0,4600000.0,5000000.0,1500000.0,,,6200000.0,,,,7100000.0,,,,7100000.0,8000000.0,,,,11000000.0,,,,11000000.0,,,,12000000.0,,,,11000000.0,,,,17000000.0,,,,22000000.0,,,,20000000.0,,,,23000000.0,,,,32000000.0,,,
