fact_unit,2016-08-02,2016-10-27,2017-02-28,2017-04-27,2017-07-27,2017-10-26,2018-02-28,2018-04-26,2018-07-26,2018-10-25,2019-02-28,2019-04-25,2019-07-25,2019-10-25,2020-02-27,2020-04-30,2020-07-28,2020-10-27,2021-02-26,2021-04-29,2021-07-29,2021-10-28,2022-03-01,2022-04-28,2022-07-28,2022-10-26,2023-02-28,2023-04-26,2023-07-26,2023-10-25,2024-02-27,2024-04-24,2024-07-24,2024-10-30,2025-02-25,2025-05-01,2025-07-30,2025-10-29
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,,,0.35,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,,,,,,,0.0,,,,0.0,,,,-0.192,,,,-0.035,,,,,,,,,,,,0.0,,,,0.018,,,
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate / pure,,,,,,,0.0,,,,0.026,,,,0.029,,,,0.054,,,,-0.012,,,,0.009,,,,-0.001,,,,0.003,,,
EffectiveIncomeTaxRateReconciliationDispositionOfBusiness / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,-0.059,,,,-0.046,,,,-0.054,,,,-0.053,,,,-0.008,,,,-0.017,,,,-0.005,,,,-0.044,,,,0.001,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,,0.0,,,,0.0,,,,-0.023,,,,,,,,,,,,,,,,,,,,,,,,-0.015,,,
EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,,0.015,,,,0.018,,,,0.017,,,,0.007,,,,0.002,,,,-0.033,,,,0.004,,,,0.009,,,,-0.018,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized / USD,,96500000.0,85600000.0,115000000.0,103200000.0,90000000.0,79900000.0,128400000.0,115600000.0,104500000.0,91000000.0,147600000.0,137700000.0,129000000.0,116600000.0,204200000.0,185500000.0,162100000.0,123500000.0,172700000.0,154600000.0,144800000.0,132000000.0,197200000.0,171700000.0,159300000.0,135000000.0,206800000.0,174800000.0,144700000.0,124400000.0,226900000.0,189000000.0,166500000.0,140000000.0,222200000.0,207800000.0,127100000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,5400000.0,8300000.0,9900000.0,3800000.0,7600000.0,11500000.0,11800000.0,4100000.0,9000000.0,13000000.0,13500000.0,2300000.0,5100000.0,7900000.0,14400000.0,2800000.0,6100000.0,9600000.0,8700000.0,2100000.0,4700000.0,7200000.0,9400000.0,3100000.0,6300000.0,9700000.0,9700000.0,2700000.0,7100000.0,11100000.0,12900000.0,3800000.0,7800000.0,12200000.0,13800000.0,3700000.0,7800000.0,9700000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromExerciseOfStockOptions / USD,,,,,,,,,,,24000000.0,,,,,,,,,,,,,,,,13000000.0,,,,10000000.0,,,,1000000.0,,,
EntityCommonStockSharesOutstanding / shares,345577078.0,345738553.0,346006504.0,346584395.0,347101526.0,347558977.0,348031654.0,348560770.0,349152355.0,333962913.0,334631235.0,335099399.0,335533242.0,335804183.0,336415264.0,336856117.0,337071495.0,337195814.0,338072765.0,338525535.0,358390903.0,358577652.0,359066396.0,358447899.0,355697032.0,353808253.0,353198783.0,353549934.0,352024375.0,351433569.0,351379735.0,352028662.0,350341685.0,346949274.0,340290131.0,339882279.0,338336345.0,317611636.0
EntityPublicFloat / USD,,,17600000000.0,,,,19400000000.0,,,,23800000000.0,,,,24100000000.0,,,,17100000000.0,,,,25300000000.0,,,,19500000000.0,,,,26300000000.0,,,,25900000000.0,,,
EquitySecuritiesWithoutReadilyDeterminableFairValueImpairmentLossAnnualAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,8100000.0,8100000.0,,,8100000.0,8100000.0,0.0,0.0,0.0,8100000.0,0.0,0.0,0.0
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,,,607800000.0,,,,678200000.0,,,,747900000.0,,870700000.0,870700000.0,870700000.0,,,,979900000.0,,,1299300000.0,1299300000.0,,,,1544400000.0,,,,1910100000.0,-2280100000.0,2280100000.0,2280100000.0,2280100000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,60000000.0,,,,97000000.0,,,,201000000.0,,,,336000000.0,,,,309000000.0,,,,381000000.0,,,,371000000.0,,,,373000000.0,,,,447000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,,41000000.0,,,,81000000.0,,,,166000000.0,,,,306000000.0,,,,287000000.0,,,,362000000.0,,,,347000000.0,,,,314000000.0,,,,268000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,,45000000.0,,,,85000000.0,,,,181000000.0,,,,308000000.0,,,,290000000.0,,,,364000000.0,,,,360000000.0,,,,326000000.0,,,,372000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,,52000000.0,,,,88000000.0,,,,191000000.0,,,,315000000.0,,,,292000000.0,,,,367000000.0,,,,367000000.0,,,,353000000.0,,,,398000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,,55000000.0,,,,93000000.0,,,,194000000.0,,,,330000000.0,,,,304000000.0,,,,369000000.0,,,,370000000.0,,,,369000000.0,,,,429000000.0,,,
FiniteLivedIntangibleAssetsGross / USD,,,988000000.0,,,,1035900000.0,,,,1588600000.0,,2818200000.0,2818200000.0,2818200000.0,,,,3924900000.0,,,3959600000.0,3959600000.0,,,,4812400000.0,,,,4781000000.0,4825300000.0,4825300000.0,4825300000.0,4825300000.0,,,
ForeignCurrencyTransactionGainLossBeforeTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,-5500000.0,,,,-18200000.0,,,
ForeignEarningsRepatriated / USD,,,,,,,275000000.0,,,,275000000.0,,,,275000000.0,,,,310000000.0,,,,542000000.0,,,,284000000.0,,,,179000000.0,,,,52000000.0,,,
GainLossOnSaleOfBusiness / USD,,,,,,,,,,,,,,0.0,15300000.0,,,41200000.0,0.0,,,,40800000.0,,,,,,,,,,0.0,0.0,0.0,,-25600000.0,
GainLossOnSaleOfPropertyPlantEquipment / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,63100000.0,63100000.0,
Goodwill / USD,3949000000.0,3949000000.0,3995100000.0,3979000000.0,3979000000.0,3979000000.0,3949000000.0,5098500000.0,5098500000.0,5098500000.0,3445100000.0,6133100000.0,6133100000.0,6133100000.0,4560300000.0,8399300000.0,8399300000.0,8399300000.0,4993600000.0,7359200000.0,7359200000.0,7359200000.0,7241500000.0,9152000000.0,9152000000.0,9152000000.0,7359200000.0,9048500000.0,9048500000.0,9048500000.0,9152000000.0,9121700000.0,9121700000.0,9121700000.0,9048500000.0,10156000000.0,10156000000.0,7216000000.0
GoodwillAcquiredDuringPeriod / USD,9000000.0,113900000.0,21200000.0,,,576300000.0,113200000.0,1800000.0,1800000.0,1661800000.0,1035200000.0,,1565700000.0,1839800000.0,1601200000.0,,,,2192900000.0,,,897300000.0,30900000.0,,,,1843000000.0,,,36200000.0,2300000.0,1167000000.0,1172600000.0,1172600000.0,56700000.0,,,
GoodwillForeignCurrencyTranslationGainLoss / USD,4400000.0,-14900000.0,-67300000.0,20200000.0,53100000.0,77000000.0,-83200000.0,25900000.0,-18400000.0,-17000000.0,80000000.0,35900000.0,11700000.0,-9200000.0,-28400000.0,-56100000.0,-39000000.0,-4600000.0,19300000.0,-15000000.0,-9200000.0,-31500000.0,51900000.0,-27800000.0,-104200000.0,-175100000.0,-47900000.0,8600000.0,3400000.0,-26000000.0,-99000000.0,-53200000.0,-76700000.0,27400000.0,16500000.0,88700000.0,247700000.0,
GoodwillImpairmentLoss / USD,,,0.0,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
GoodwillPurchaseAccountingAdjustments / USD,,,,,,,,,,,,31800000.0,40400000.0,72000000.0,74700000.0,13200000.0,22700000.0,31600000.0,75900000.0,-3800000.0,-2700000.0,-3500000.0,34900000.0,8700000.0,10400000.0,2500000.0,-2300000.0,,,,-2200000.0,-900000.0,-1100000.0,600000.0,600000.0,,,
GrossProfit / USD,1495500000.0,2242700000.0,3049200000.0,695200000.0,1463300000.0,2236200000.0,3000000000.0,744000000.0,1549100000.0,2388500000.0,2685500000.0,766300000.0,1597100000.0,2423000000.0,2921400000.0,812700000.0,1716700000.0,2644400000.0,2186200000.0,612000000.0,1194800000.0,1846400000.0,2483200000.0,711900000.0,1467400000.0,2213100000.0,2608500000.0,792000000.0,1625500000.0,2470900000.0,3007100000.0,848200000.0,1753600000.0,2646600000.0,3363400000.0,904200000.0,1832500000.0,1923600000.0
GuaranteeObligationsCurrentCarryingValue / USD,,,82000000.0,,,,111000000.0,,,,143000000.0,,,,138000000.0,,,,75000000.0,,,,68000000.0,,,,64000000.0,,,,58000000.0,,,,57000000.0,,,
IncomeLossFromContinuingOperations / USD,,,,,,,,,,,740200000.0,214000000.0,464200000.0,678200000.0,884300000.0,164000000.0,339300000.0,546600000.0,490200000.0,54800000.0,114600000.0,200600000.0,268100000.0,111700000.0,293700000.0,446300000.0,1452200000.0,165100000.0,338100000.0,528000000.0,614200000.0,173600000.0,382600000.0,600600000.0,755200000.0,207400000.0,402500000.0,289300000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,,,752000000.0,,,,913800000.0,,,,681000000.0,,,,679600000.0,,,,214300000.0,,,,91300000.0,,,,1213300000.0,,,,367400000.0,,,,587700000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,629800000.0,931600000.0,1279200000.0,263000000.0,582400000.0,882200000.0,1269700000.0,272300000.0,597900000.0,946200000.0,1010500000.0,253900000.0,553300000.0,811000000.0,1073600000.0,192400000.0,396700000.0,631800000.0,565800000.0,72300000.0,144300000.0,243600000.0,336700000.0,118700000.0,326200000.0,501800000.0,1507700000.0,190800000.0,399000000.0,616500000.0,677500000.0,205800000.0,456200000.0,713300000.0,873500000.0,234000000.0,462700000.0,326100000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,,,527200000.0,,,,355900000.0,,,,329500000.0,,,,394000000.0,,,,351500000.0,,,,245400000.0,,,,294400000.0,,,,310100000.0,,,,285800000.0,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest / USD,,,,,,,,,,,740200000.0,214000000.0,464200000.0,678200000.0,884300000.0,164000000.0,339300000.0,546600000.0,490200000.0,54800000.0,114600000.0,200600000.0,268100000.0,111700000.0,293700000.0,446300000.0,1452200000.0,165100000.0,338100000.0,528000000.0,614200000.0,173600000.0,382600000.0,600600000.0,755200000.0,207400000.0,402500000.0,
IncomeLossFromContinuingOperationsPerBasicShare / USD/shares,,,,,,,,,,,2.14,0.61,1.33,1.89,2.54,0.44,0.91,1.47,1.32,0.11,0.24,0.44,0.59,0.28,0.76,1.19,4.1,0.46,0.94,1.48,1.66,0.49,1.08,1.7,2.12,0.59,1.15,0.82
IncomeLossFromContinuingOperationsPerDilutedShare / USD/shares,,,,,,,,,,,2.13,0.61,1.31,1.86,2.51,0.43,0.9,1.46,1.3,0.11,0.24,0.44,0.59,0.28,0.76,1.18,4.05,0.45,0.93,1.46,1.65,0.49,1.07,1.69,2.1,0.58,1.13,0.82
IncomeLossFromEquityMethodInvestments / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12900000.0,-17300000.0,,,-39400000.0
IncomeTaxExpenseBenefit / USD,198700000.0,303900000.0,395800000.0,81000000.0,161500000.0,234400000.0,405900000.0,72600000.0,158100000.0,238600000.0,270300000.0,39900000.0,89100000.0,132800000.0,189300000.0,28400000.0,57400000.0,85200000.0,75600000.0,17500000.0,29700000.0,43000000.0,68600000.0,7000000.0,32500000.0,55500000.0,55500000.0,25700000.0,60900000.0,88500000.0,63300000.0,32200000.0,73600000.0,112700000.0,118300000.0,26600000.0,60200000.0,36800000.0
IncomeTaxesPaid / USD,,,149000000.0,,,,149000000.0,,,,110000000.0,,,,196000000.0,,,,69000000.0,,,,79000000.0,,,,95000000.0,,,,103000000.0,,,,148000000.0,,,
IncreaseDecreaseInAccountsPayable / USD,13400000.0,500000.0,28800000.0,-39000000.0,-12000000.0,-37400000.0,53600000.0,-47500000.0,-28800000.0,-51200000.0,12300000.0,-28600000.0,30500000.0,27600000.0,17700000.0,-40600000.0,-11700000.0,-7900000.0,60000000.0,12700000.0,3400000.0,-24700000.0,52400000.0,-13000000.0,9100000.0,14800000.0,18100000.0,19200000.0,40100000.0,46600000.0,73400000.0,-32300000.0,-36400000.0,-45700000.0,81300000.0,56100000.0,30700000.0,5000000.0
IncreaseDecreaseInAccountsReceivable / USD,13200000.0,36200000.0,74000000.0,-61000000.0,-29900000.0,-9900000.0,51800000.0,-10000000.0,20700000.0,30800000.0,-33800000.0,3800000.0,35600000.0,71800000.0,55400000.0,-49900000.0,102300000.0,133500000.0,36000000.0,-6000000.0,-133400000.0,-102900000.0,204900000.0,26900000.0,11800000.0,20400000.0,-82400000.0,1400000.0,37700000.0,21400000.0,84100000.0,-21500000.0,-26000000.0,-25000000.0,52100000.0,-8800000.0,-24600000.0,-52100000.0
IncreaseDecreaseInAccruedLiabilities / USD,-70500000.0,-23500000.0,-5600000.0,-63000000.0,-20600000.0,75500000.0,300000.0,-37800000.0,-79200000.0,-38500000.0,53000000.0,-82600000.0,-66800000.0,37600000.0,136000000.0,-13200000.0,-3600000.0,127500000.0,31500000.0,-72100000.0,-52700000.0,22200000.0,219500000.0,-80600000.0,-53300000.0,4900000.0,59900000.0,-31200000.0,-29600000.0,-11700000.0,28300000.0,-78000000.0,-118300000.0,-44800000.0,41900000.0,-103300000.0,-157600000.0,-38600000.0
IncreaseDecreaseInDeferredIncomeTaxes / USD,,,10800000.0,,,,-8000000.0,,,,15300000.0,,,,61000000.0,,,,25900000.0,,,,8500000.0,,,,97600000.0,,,,41000000.0,,,,62100000.0,,,
IncreaseDecreaseInInventories / USD,41900000.0,52800000.0,22200000.0,24600000.0,36300000.0,34900000.0,27700000.0,24200000.0,7900000.0,-8200000.0,31300000.0,29800000.0,62800000.0,73400000.0,-17500000.0,33300000.0,-45800000.0,-69400000.0,34100000.0,5200000.0,26000000.0,14200000.0,-93500000.0,3800000.0,24000000.0,46100000.0,7300000.0,43200000.0,50700000.0,73200000.0,53600000.0,33600000.0,27400000.0,21700000.0,40300000.0,13100000.0,12000000.0,9200000.0
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets / USD,38500000.0,63100000.0,27800000.0,-5400000.0,5300000.0,13300000.0,61300000.0,600000.0,8300000.0,17900000.0,16700000.0,5300000.0,40900000.0,29200000.0,100500000.0,60400000.0,67200000.0,115100000.0,17000000.0,-14300000.0,-30500000.0,-23200000.0,71300000.0,-3800000.0,21400000.0,61500000.0,-147900000.0,31400000.0,39200000.0,55400000.0,34500000.0,16300000.0,13100000.0,45800000.0,6600000.0,1800000.0,11500000.0,27100000.0
IncrementalCommonSharesAttributableToConversionOfDebtSecurities / shares,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,6400000.0,3200000.0,2100000.0,0.0,,,,1600000.0,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements / shares,0.0,0.0,1600000.0,4500000.0,4700000.0,1100000.0,1600000.0,4500000.0,,,,,,,,,,,5200000.0,,,,4200000.0,3100000.0,3100000.0,3200000.0,1700000.0,2700000.0,2700000.0,2600000.0,3300000.0,2900000.0,2700000.0,3100000.0,2800000.0,4300000.0,3900000.0,3700000.0
IntangibleAssetsGrossExcludingGoodwill / USD,,,1366800000.0,,,,1425500000.0,,,,2004300000.0,,3347000000.0,3347000000.0,3347000000.0,,,,4550600000.0,,,4589900000.0,4589900000.0,,,,5434600000.0,,,,5397500000.0,5439900000.0,5439900000.0,5439900000.0,5439900000.0,,,
IntangibleAssetsNetExcludingGoodwill / USD,759000000.0,759000000.0,759000000.0,747300000.0,747300000.0,747300000.0,747300000.0,1276000000.0,1276000000.0,1276000000.0,1256400000.0,2476300000.0,2476300000.0,2476300000.0,2476300000.0,3845000000.0,3845000000.0,3845000000.0,3570700000.0,3290600000.0,3290600000.0,3290600000.0,3290600000.0,3890200000.0,3890200000.0,3890200000.0,3890200000.0,3487400000.0,3487400000.0,3487400000.0,3487400000.0,3159800000.0,3159800000.0,3159800000.0,3159800000.0,3340000000.0,3340000000.0,2530500000.0
InterestExpense / USD,0.0,0.0,0.0,0.0,2700000.0,26100000.0,,22600000.0,45300000.0,68200000.0,46400000.0,23300000.0,47200000.0,70300000.0,88700000.0,25300000.0,69700000.0,116700000.0,77200000.0,38600000.0,74800000.0,111700000.0,142600000.0,27700000.0,52900000.0,78000000.0,148500000.0,18800000.0,39800000.0,66200000.0,103200000.0,32100000.0,,,-98300000.0,-44000000.0,-82700000.0,-119800000.0
InterestExpenseNonoperating / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65200000.0,95000000.0,98300000.0,44000000.0,82700000.0,119800000.0
InterestOnConvertibleDebtNetOfTax / USD,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1800000.0,1800000.0,1800000.0,0.0,,,,1800000.0,,,
InventoryFinishedGoodsNetOfReserves / USD,184100000.0,184100000.0,184100000.0,198300000.0,198300000.0,198300000.0,198300000.0,217200000.0,217200000.0,217200000.0,201300000.0,219500000.0,219500000.0,219500000.0,219500000.0,285600000.0,285600000.0,285600000.0,189800000.0,227900000.0,227900000.0,227900000.0,227900000.0,215400000.0,215400000.0,215400000.0,215400000.0,215300000.0,215300000.0,215300000.0,215300000.0,214100000.0,214100000.0,214100000.0,214100000.0,220100000.0,220100000.0,151900000.0
InventoryNet / USD,522900000.0,522900000.0,522900000.0,544600000.0,544600000.0,544600000.0,544600000.0,580600000.0,580600000.0,580600000.0,506700000.0,574500000.0,574500000.0,574500000.0,574500000.0,640300000.0,640300000.0,640300000.0,416200000.0,455500000.0,455500000.0,455500000.0,455500000.0,512700000.0,512700000.0,512700000.0,512700000.0,536700000.0,536700000.0,536700000.0,536700000.0,536900000.0,536900000.0,536900000.0,536900000.0,544800000.0,544800000.0,269800000.0
InventoryRawMaterialsNetOfReserves / USD,261700000.0,261700000.0,261700000.0,267000000.0,267000000.0,267000000.0,267000000.0,284500000.0,284500000.0,284500000.0,232300000.0,251900000.0,251900000.0,251900000.0,251900000.0,254300000.0,254300000.0,254300000.0,151200000.0,152400000.0,152400000.0,152400000.0,152400000.0,203300000.0,203300000.0,203300000.0,203300000.0,225000000.0,225000000.0,225000000.0,225000000.0,213900000.0,213900000.0,213900000.0,213900000.0,219300000.0,219300000.0,102600000.0
InventoryWorkInProcessNetOfReserves / USD,77100000.0,77100000.0,77100000.0,79300000.0,79300000.0,79300000.0,79300000.0,78900000.0,78900000.0,78900000.0,73100000.0,103100000.0,103100000.0,103100000.0,103100000.0,100400000.0,100400000.0,100400000.0,75200000.0,75200000.0,75200000.0,75200000.0,75200000.0,94000000.0,94000000.0,94000000.0,94000000.0,96400000.0,96400000.0,96400000.0,96400000.0,108900000.0,108900000.0,108900000.0,108900000.0,105400000.0,105400000.0,15300000.0
LesseeOperatingLeaseLiabilityPaymentsDue / USD,,,,,,,,,,,,188900000.0,232300000.0,247800000.0,239500000.0,,,,221700000.0,,,,203300000.0,,,,187200000.0,,,,183700000.0,,,,197300000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,,,,,,,,40700000.0,70400000.0,85200000.0,63200000.0,,,,62700000.0,,,,58300000.0,,,,52900000.0,,,,41100000.0,,,,51800000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,,,,,,,,,,,57400000.0,,,,49900000.0,,,,45600000.0,,,,36200000.0,,,,42200000.0,,,,38400000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,,,,,,,,,,,11700000.0,17600000.0,20400000.0,16200000.0,,,,15100000.0,,,,15600000.0,,,,15400000.0,,,,13500000.0,,,,17300000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,,,,,,,,,,,,21900000.0,25900000.0,29900000.0,22800000.0,,,,22200000.0,,,,19500000.0,,,,21700000.0,,,,22100000.0,,,,22400000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,,,,,,,,,,,,31700000.0,36000000.0,39700000.0,34100000.0,,,,29800000.0,,,,27600000.0,,,,26400000.0,,,,28900000.0,,,,30100000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,,,,,,,,,,,,41100000.0,49100000.0,51900000.0,45800000.0,,,,42000000.0,,,,36700000.0,,,,34600000.0,,,,35900000.0,,,,37300000.0,,,
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,,,,,,20500000.0,30000000.0,30300000.0,25600000.0,,,,20400000.0,,,,18800000.0,,,,17800000.0,,,,19800000.0,,,,27700000.0,,,
LiabilitiesAndStockholdersEquity / USD,7210600000.0,7210600000.0,7210600000.0,8189800000.0,8189800000.0,8189800000.0,8189800000.0,10500600000.0,10500600000.0,10500600000.0,10500600000.0,12905600000.0,12905600000.0,12905600000.0,12905600000.0,17439000000.0,17439000000.0,17439000000.0,17439000000.0,16051500000.0,16051500000.0,16051500000.0,16051500000.0,16465500000.0,16465500000.0,16465500000.0,16465500000.0,15890600000.0,15890600000.0,15890600000.0,15890600000.0,16911800000.0,16911800000.0,16911800000.0,16911800000.0,17016100000.0,17016100000.0,17016100000.0
LiabilitiesCurrent / USD,1323500000.0,1323500000.0,1323500000.0,1466500000.0,1466500000.0,1466500000.0,1466500000.0,1602300000.0,1602300000.0,1602300000.0,1602300000.0,2192100000.0,2192100000.0,2192100000.0,2192100000.0,3467200000.0,3467200000.0,3467200000.0,3467200000.0,2860800000.0,2860800000.0,2860800000.0,2860800000.0,3714900000.0,3714900000.0,3714900000.0,3714900000.0,2727100000.0,2727100000.0,2727100000.0,2727100000.0,1791300000.0,1791300000.0,1791300000.0,1791300000.0,2238400000.0,2238400000.0,2238400000.0
LongTermDebt / USD,3374800000.0,3509100000.0,0.0,3358000000.0,3358000000.0,3358000000.0,3358000000.0,4056200000.0,4056200000.0,4056200000.0,4056200000.0,3430300000.0,3430300000.0,3430300000.0,3430300000.0,6328400000.0,6328400000.0,6328400000.0,6326200000.0,4230100000.0,4230100000.0,4230100000.0,4230100000.0,3959000000.0,3959000000.0,3959000000.0,3959000000.0,3251300000.0,3251300000.0,3251300000.0,3251300000.0,3646200000.0,3646200000.0,3646200000.0,3646200000.0,3707300000.0,3707300000.0,3707300000.0
LongTermDebtCurrent / USD,,,,,,,,,0.0,0.0,0.0,455600000.0,455600000.0,455600000.0,455600000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1399800000.0,1399800000.0,1399800000.0,1399800000.0,2151700000.0,2151700000.0,2151700000.0,2151700000.0,999700000.0,999700000.0,999700000.0,999700000.0,,0.0,0.0,0.0,376200000.0,376200000.0,376200000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive / USD,,,,,,,,,,,1450000000.0,,,,1450000000.0,,,,1450000000.0,,,,550000000.0,,,,550000000.0,,,,550000000.0,,,,550000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths / USD,,,,,,,0.0,,,,455300000.0,,,,1500000000.0,,,,1400000000.0,,,,2156500000.0,,,,1000000000.0,,,,550000000.0,,,,376300000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive / USD,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,900000000.0,,,,0.0,,,,0.0,,,,724800000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour / USD,,,,,,,750000000.0,,,,125700000.0,,,,0.0,,,,0.0,,,,0.0,,,,900000000.0,,,,0.0,,,,0.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree / USD,,,,,,,0.0,,,,750000000.0,,,,1564600000.0,,,,0.0,,,,0.0,,,,404200000.0,,,,900000000.0,,,,0.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo / USD,,,,,,,800000000.0,,,,0.0,,,,750000000.0,,,,1437500000.0,,,,0.0,,,,0.0,,,,405700000.0,,,,1417700000.0,,,
LongTermDebtNoncurrent / USD,0.0,0.0,0.0,3358000000.0,3358000000.0,3358000000.0,3358000000.0,,4056200000.0,4056200000.0,4056200000.0,2974700000.0,2974700000.0,2974700000.0,2974700000.0,4828400000.0,4828400000.0,4828400000.0,4826200000.0,2830300000.0,2830300000.0,2830300000.0,2830300000.0,1807300000.0,1807300000.0,1807300000.0,1807300000.0,2251600000.0,2251600000.0,2251600000.0,2251600000.0,3646200000.0,3646200000.0,3646200000.0,3646200000.0,3331100000.0,3331100000.0,3331100000.0
MinorityInterest / USD,3000000.0,3000000.0,3000000.0,3100000.0,3100000.0,3100000.0,3100000.0,17900000.0,17900000.0,17900000.0,17900000.0,17400000.0,17400000.0,17400000.0,17400000.0,13200000.0,13200000.0,13200000.0,13200000.0,8500000.0,8500000.0,8500000.0,8500000.0,4800000.0,4800000.0,4800000.0,4800000.0,5200000.0,5200000.0,5200000.0,5200000.0,6400000.0,6400000.0,6400000.0,6400000.0,7000000.0,7000000.0,7000000.0
MinorityInterestPeriodIncreaseDecrease / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,400000.0,,,,400000.0,,,,,-100000.0,,
NetCashProvidedByUsedInFinancingActivities / USD,-335100000.0,-537200000.0,-655600000.0,-138000000.0,69200000.0,180800000.0,-834900000.0,-119400000.0,-200100000.0,240800000.0,3800000.0,-94200000.0,978800000.0,2234500000.0,599700000.0,2411200000.0,2776400000.0,2565000000.0,879100000.0,-283200000.0,-728500000.0,-760200000.0,2802900000.0,-654900000.0,-667800000.0,-485100000.0,-696100000.0,-332600000.0,-582900000.0,-838400000.0,652000000.0,-187100000.0,-441400000.0,-766300000.0,-1273000000.0,306900000.0,-15100000.0,-296700000.0
NetCashProvidedByUsedInInvestingActivities / USD,-49700000.0,-83900000.0,-291100000.0,-39200000.0,-69800000.0,-276300000.0,-174100000.0,-27400000.0,-58600000.0,-888300000.0,-310800000.0,-39000000.0,-64200000.0,-2914800000.0,-1669700000.0,-24000000.0,-3285600000.0,-3467300000.0,-1966600000.0,-44200000.0,-65300000.0,-105100000.0,-4054600000.0,-8600000.0,-15100000.0,-1183600000.0,-148400000.0,-17900000.0,-38700000.0,-68300000.0,-2615600000.0,-24800000.0,-40900000.0,-124200000.0,-102500000.0,-1737400000.0,-1782200000.0,-1799800000.0
