fact_unit,2016-08-02,2016-10-27,2017-02-28,2017-04-27,2017-07-27,2017-10-26,2018-02-28,2018-04-26,2018-07-26,2018-10-25,2019-02-28,2019-04-25,2019-07-25,2019-10-25,2020-02-27,2020-04-30,2020-07-28,2020-10-27,2021-02-26,2021-04-29,2021-07-29,2021-10-28,2022-03-01,2022-04-28,2022-07-28,2022-10-26,2023-02-28,2023-04-26,2023-07-26,2023-10-25,2024-02-27,2024-04-24,2024-07-24,2024-10-30,2025-02-25,2025-05-01,2025-07-30,2025-10-29
AssetsCurrent / USD,1594100000.0,1594100000.0,1594100000.0,2488700000.0,2488700000.0,2488700000.0,2488700000.0,2936800000.0,2936800000.0,2936800000.0,2936800000.0,3171200000.0,3171200000.0,3171200000.0,3171200000.0,3688800000.0,3688800000.0,3688800000.0,3688800000.0,4446900000.0,4446900000.0,4446900000.0,4446900000.0,2514900000.0,2514900000.0,2514900000.0,2514900000.0,2477000000.0,2477000000.0,2477000000.0,2477000000.0,3671600000.0,3671600000.0,3671600000.0,3671600000.0,2592300000.0,2592300000.0,2592300000.0
CapitalizedContractCostNet / USD,,,,,,,,,,,,144400000.0,144400000.0,144400000.0,144000000.0,147000000.0,147000000.0,147000000.0,52000000.0,31000000.0,31000000.0,31000000.0,31000000.0,27000000.0,27000000.0,27000000.0,27000000.0,42000000.0,42000000.0,42000000.0,42000000.0,51000000.0,51000000.0,51000000.0,51000000.0,59000000.0,59000000.0,59000000.0
CashAndCashEquivalentsAtCarryingValue / USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803200000.0,803200000.0,803200000.0,0.0,1178400000.0,1178400000.0,1178400000.0,1178400000.0,1205200000.0,1205200000.0,1205200000.0,1205200000.0,1824800000.0,1824800000.0,1824800000.0,1824800000.0,819300000.0,819300000.0,819300000.0,819300000.0,709200000.0,709200000.0,709200000.0,709200000.0,1888800000.0,1888800000.0,1888800000.0,1888800000.0,813300000.0,813300000.0,813300000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,962100000.0,962100000.0,962100000.0,803200000.0,1178400000.0,1178400000.0,1178400000.0,962100000.0,1205200000.0,1205200000.0,1205200000.0,1178400000.0,1824800000.0,1824800000.0,1824800000.0,1205200000.0,819300000.0,819300000.0,819300000.0,1824800000.0,709200000.0,709200000.0,709200000.0,819300000.0,1888800000.0,1888800000.0,1888800000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,53600000.0,1406100000.0,183000000.0,158900000.0,2550500000.0,-86300000.0,-117900000.0,216300000.0,-164700000.0,-142200000.0,284000000.0,26800000.0,-525200000.0,-259000000.0,-986400000.0,619600000.0,-135000000.0,-136400000.0,-114000000.0,-1005500000.0,-36400000.0,3600000.0,4900000.0,-110100000.0,-1184200000.0,-1244700000.0,-1077500000.0
CommonStockCapitalSharesReservedForFutureIssuance / shares,,,9000000.0,7000000.0,7000000.0,7000000.0,8000000.0,6000000.0,22000000.0,22000000.0,22000000.0,20000000.0,20000000.0,20000000.0,20000000.0,17000000.0,17000000.0,17000000.0,20700000.0,19000000.0,19000000.0,19000000.0,18600000.0,17000000.0,16000000.0,16000000.0,16200000.0,14000000.0,14000000.0,14000000.0,,12000000.0,12000000.0,12000000.0,,11000000.0,10000000.0,12000000.0
CommonStockDividendsPerShareCashPaid / USD/shares,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,,,0.06
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,100.0,100.0,100.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0
CommonStockSharesIssued / shares,100.0,100.0,100.0,346000000.0,346000000.0,346000000.0,346000000.0,348200000.0,348200000.0,348200000.0,348200000.0,335100000.0,335100000.0,335100000.0,335100000.0,336900000.0,336900000.0,336900000.0,336900000.0,339000000.0,339000000.0,339000000.0,339000000.0,360400000.0,360400000.0,360400000.0,360400000.0,361500000.0,361500000.0,361500000.0,361500000.0,363700000.0,363700000.0,363700000.0,363700000.0,366600000.0,366600000.0,366600000.0
CommonStockSharesOutstanding / shares,100.0,345200000.0,0.0,0.0,0.0,0.0,0.0,347800000.0,347800000.0,347800000.0,347800000.0,334500000.0,334500000.0,334500000.0,334500000.0,336000000.0,336000000.0,336000000.0,336000000.0,337900000.0,337900000.0,337900000.0,337900000.0,359100000.0,359100000.0,359100000.0,359100000.0,352900000.0,352900000.0,352900000.0,352900000.0,350700000.0,350700000.0,350700000.0,350700000.0,341200000.0,341200000.0,341200000.0
CommonStockValue / USD,0.0,0.0,0.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3700000.0,3700000.0,3700000.0
ComprehensiveIncomeNetOfTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560500000.0,,131000000.0,305000000.0,616000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,353200000.0,535600000.0,710100000.0,205100000.0,434500000.0,636700000.0,749900000.0,244100000.0,530300000.0,837100000.0,740900000.0,298300000.0,494200000.0,716300000.0,1182700000.0,181600000.0,358000000.0,513100000.0,2790100000.0,-95400000.0,71600000.0,362300000.0,769200000.0,76500000.0,274900000.0,392400000.0,1664100000.0,126200000.0,181000000.0,259300000.0,564500000.0,187000000.0,388400000.0,,614500000.0,,,
ContractWithCustomerAssetNetCurrent / USD,,,,,,,,,,,,,71100000.0,81900000.0,32000000.0,79000000.0,79000000.0,79000000.0,66000000.0,56000000.0,56000000.0,56000000.0,56000000.0,71000000.0,71000000.0,71000000.0,71000000.0,82000000.0,82000000.0,82000000.0,82000000.0,108000000.0,108000000.0,108000000.0,108000000.0,118000000.0,118000000.0,116000000.0
ContractWithCustomerLiability / USD,,,,,,,,,300300000.0,300300000.0,298100000.0,380700000.0,380700000.0,380700000.0,380700000.0,509300000.0,509300000.0,509300000.0,359000000.0,410600000.0,410600000.0,410600000.0,410600000.0,491400000.0,491400000.0,491400000.0,491400000.0,547600000.0,547600000.0,547600000.0,547600000.0,590400000.0,590400000.0,590400000.0,590400000.0,612100000.0,612100000.0,433200000.0
ContractWithCustomerLiabilityCurrent / USD,,,,,,,,,213400000.0,213400000.0,211400000.0,288100000.0,288100000.0,288100000.0,288100000.0,410100000.0,410100000.0,410100000.0,323000000.0,376400000.0,376400000.0,376400000.0,376400000.0,457600000.0,457600000.0,457600000.0,457600000.0,509600000.0,509600000.0,509600000.0,509600000.0,544600000.0,544600000.0,544600000.0,544600000.0,553200000.0,553200000.0,410100000.0
