fact_unit,2013-05-08,2013-07-30,2013-10-31,2014-02-21,2014-05-01,2014-07-31,2014-10-31,2015-02-27,2015-05-08,2015-08-07,2015-11-04,2016-02-29,2016-05-10,2016-08-09,2016-11-09,2017-02-27,2017-05-10,2017-08-09,2017-11-09,2018-02-27,2018-05-07,2018-08-09,2018-11-09,2019-02-27,2019-05-10,2019-08-08,2019-11-08,2020-02-27,2020-05-05,2020-05-15,2020-07-08,2020-08-10,2020-11-09,2021-02-26,2021-05-10,2021-08-09,2021-11-09,2022-02-08,2022-03-01,2022-05-10,2022-08-09,2022-11-08,2023-02-28,2023-05-05,2023-08-08,2023-11-08,2024-02-28,2024-05-07,2024-08-08,2024-11-07,2025-02-27,2025-05-05,2025-08-04,2025-11-04
AmortizationOfFinancingCosts / USD,,,,26100000.0,,,,28200000.0,,,,64900000.0,,,,32300000.0,,11427000.0,11537000.0,36700000.0,,,,34700000.0,,,,32500000.0,32500000.0,,32500000.0,,,31400000.0,2893000.0,5209000.0,7802000.0,,27500000.0,2893000.0,5209000.0,7802000.0,42200000.0,2275000.0,5140000.0,8145000.0,54400000.0,2643000.0,5499000.0,8571000.0,59300000.0,2903000.0,5612000.0,8339000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,5794079.0,6325138.0,,,6174132.0,6325138.0,,,4745812.0,,,,4745812.0,,,3200000.0,7600000.0,6900000.0,7400000.0,2800000.0,7500000.0,6400000.0,5900000.0,7100000.0,3400000.0,4600000.0,4800000.0,5600000.0,5600000.0,5500000.0,5600000.0,4500000.0,4200000.0,4700000.0,7000000.0,33100000.0,63400000.0,,4000000.0,120800000.0,110000000.0,106300000.0,80000000.0,86400000.0,92100000.0,93500000.0,102100000.0,89400000.0,89600000.0,54400000.0,92600000.0,91100000.0,53300000.0,6100000.0
Assets / USD,5938427000.0,5938427000.0,5938427000.0,5938427000.0,6650978000.0,6650978000.0,6650978000.0,6650978000.0,11573077000.0,11573077000.0,11573077000.0,11468996000.0,12264757000.0,12264757000.0,12264757000.0,12264757000.0,12973911000.0,12973911000.0,12973911000.0,12973911000.0,14094869000.0,14094869000.0,14094869000.0,14094869000.0,15205970000.0,15205970000.0,15205970000.0,15205970000.0,15205970000.0,16684599000.0,15205970000.0,16684599000.0,16684599000.0,16684599000.0,18399317000.0,18399317000.0,18399317000.0,,18399317000.0,18729837000.0,18729837000.0,18729837000.0,18729837000.0,18557694000.0,18557694000.0,18557694000.0,18557694000.0,19492990000.0,19492990000.0,19492990000.0,19492990000.0,19969811000.0,19969811000.0,19969811000.0
AssetsCurrent / USD,164929000.0,164929000.0,164929000.0,164929000.0,182924000.0,182924000.0,182924000.0,182924000.0,283735000.0,283735000.0,283735000.0,283735000.0,340411000.0,340411000.0,340411000.0,340411000.0,411093000.0,411093000.0,411093000.0,411093000.0,518337000.0,518337000.0,518337000.0,518337000.0,550313000.0,550313000.0,550313000.0,550313000.0,550313000.0,730145000.0,550313000.0,730145000.0,730145000.0,730145000.0,3557544000.0,3557544000.0,3557544000.0,,3557544000.0,3301568000.0,3301568000.0,3301568000.0,3301568000.0,1872869000.0,1872869000.0,1872869000.0,1872869000.0,1313148000.0,1313148000.0,1313148000.0,1313148000.0,1010104000.0,1010104000.0,1010104000.0
CapitalExpendituresIncurredButNotYetPaid / USD,,,,,,,,,,,6500000.0,13000000.0,,,6500000.0,13000000.0,,,,41100000.0,,,,,,,,,,,,,17400000.0,17700000.0,12000000.0,7200000.0,29100000.0,,8200000.0,20800000.0,49100000.0,64600000.0,17700000.0,17400000.0,145500000.0,101700000.0,109300000.0,53400000.0,49400000.0,57000000.0,51700000.0,11300000.0,36300000.0,6600000.0
CashAndCashEquivalentsAtCarryingValue / USD,58926000.0,58926000.0,58926000.0,55047000.0,45500000.0,45500000.0,45500000.0,58926000.0,56467000.0,56467000.0,56467000.0,45500000.0,84824000.0,84824000.0,84824000.0,56467000.0,115937000.0,115937000.0,115937000.0,84824000.0,128347000.0,128347000.0,128347000.0,115937000.0,176190000.0,176190000.0,176190000.0,128347000.0,128347000.0,163851000.0,128347000.0,252876000.0,252876000.0,252876000.0,3300482000.0,3300482000.0,3300482000.0,3303033000.0,3300482000.0,3303033000.0,2365140000.0,1369816000.0,1506647000.0,946987000.0,946987000.0,946987000.0,946987000.0,402415000.0,402415000.0,402415000.0,402415000.0,190765000.0,190765000.0,190765000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163851000.0,163851000.0,176190000.0,252876000.0,252876000.0,252876000.0,,163851000.0,3300482000.0,3300482000.0,3300482000.0,252876000.0,1506647000.0,1506647000.0,1506647000.0,3300482000.0,946987000.0,946987000.0,946987000.0,1506647000.0,402415000.0,402415000.0,402415000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,28817000.0,110271000.0,47843000.0,47843000.0,140857000.0,47843000.0,256074000.0,243407000.0,-12339000.0,1107385000.0,2007073000.0,2103335000.0,2551000.0,89025000.0,2551000.0,-935342000.0,-1930666000.0,3047606000.0,630193000.0,396591000.0,-319933000.0,-1793835000.0,-246387000.0,-47852000.0,-265429000.0,-559660000.0,157399000.0,191683000.0,-69894000.0
CommonStockParOrStatedValuePerShare / USD/shares,0.0012,0.0012,0.0012,0.0012,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.01,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized / shares,40000000.0,40000000.0,40000000.0,40000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,,490000000.0,980000000.0,980000000.0,980000000.0,980000000.0,980000000.0,980000000.0,980000000.0,980000000.0,980000000.0,980000000.0,980000000.0,980000000.0,980000000.0,980000000.0,980000000.0
CommonStockSharesIssued / shares,21000000.0,21000000.0,21000000.0,21000000.0,205160340.0,205160340.0,205160340.0,205160340.0,229719240.0,230116780.0,230116780.0,230116780.0,232179786.0,232179786.0,232179786.0,232179786.0,232555937.0,232555937.0,232555937.0,232555937.0,233840523.0,233840523.0,233840523.0,233840523.0,235484613.0,235484613.0,235484613.0,235484613.0,235484613.0,237533270.0,235484613.0,237533270.0,237533270.0,237533270.0,315636032.0,315636032.0,315636032.0,,315636032.0,416891915.0,416891915.0,416891915.0,416891915.0,421413565.0,421413565.0,421413565.0,421413565.0,425546570.0,425546570.0,425546570.0,425546570.0,439861281.0,439861281.0,439861281.0
