fact_unit,2011-11-07,2012-02-06,2012-05-07,2012-09-13,2012-11-07,2013-02-06,2013-05-10,2013-09-11,2013-11-07,2014-02-07,2014-05-07,2014-09-15,2014-11-06,2015-02-09,2015-05-07,2015-09-10,2015-11-16,2016-02-04,2016-05-06,2016-08-26,2016-11-07,2017-02-07,2017-05-10,2019-05-17,2019-12-19,2019-12-20,2020-02-07,2020-05-11,2020-08-31,2020-11-06,2021-02-05,2021-05-07,2021-08-27,2021-11-05,2022-02-04,2022-05-06,2022-08-29,2022-11-04,2023-02-03,2023-05-05,2023-08-28,2023-11-03,2024-02-02,2024-05-06,2025-02-25,2025-05-12,2025-08-28,2025-11-07
AccountsPayableCurrent / USD,113340000.0,113340000.0,113340000.0,113340000.0,173991000.0,173991000.0,173991000.0,173991000.0,172855000.0,172855000.0,172855000.0,172855000.0,219354000.0,219354000.0,219354000.0,219354000.0,219354000.0,299774000.0,299774000.0,299774000.0,249239000.0,249239000.0,249239000.0,267391000.0,527158000.0,360470000.0,360470000.0,360470000.0,360470000.0,417673000.0,417673000.0,417673000.0,417673000.0,612336000.0,612336000.0,612336000.0,612336000.0,655403000.0,655403000.0,655403000.0,655403000.0,776831000.0,776831000.0,776831000.0,776831000.0,1472381000.0,1472381000.0,1281977000.0
AccountsReceivableExcludingAccruedInterestAfterAllowanceForCreditLossNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,166405000.0
AccountsReceivableNetCurrent / USD,85005000.0,85005000.0,85005000.0,85005000.0,102014000.0,102014000.0,102014000.0,102014000.0,149340000.0,149340000.0,149340000.0,149340000.0,212738000.0,212738000.0,212738000.0,212738000.0,212738000.0,322594000.0,322594000.0,322594000.0,288941000.0,288941000.0,288941000.0,174933000.0,451393000.0,393624000.0,393624000.0,393624000.0,393624000.0,403745000.0,403745000.0,403745000.0,403745000.0,463834000.0,463834000.0,463834000.0,463834000.0,834513000.0,834513000.0,834513000.0,834513000.0,1148259000.0,1148259000.0,1148259000.0,1148259000.0,2737331000.0,2737331000.0,2203942000.0
AccruedIncomeTaxesCurrent / USD,936000.0,936000.0,936000.0,936000.0,2754000.0,2754000.0,2754000.0,2754000.0,6049000.0,6049000.0,6049000.0,6049000.0,11414000.0,11414000.0,11414000.0,11414000.0,11414000.0,14111000.0,14111000.0,14111000.0,5172000.0,5172000.0,5172000.0,5054000.0,7191000.0,13021000.0,13021000.0,13021000.0,13021000.0,4700000.0,4700000.0,4700000.0,4700000.0,12741000.0,12741000.0,12741000.0,12741000.0,41743000.0,41743000.0,41743000.0,41743000.0,129166000.0,129166000.0,129166000.0,129166000.0,18268000.0,18268000.0,53381000.0
AccruedLiabilitiesCurrent / USD,25816000.0,25816000.0,25816000.0,25816000.0,30401000.0,30401000.0,30401000.0,30401000.0,34122000.0,34122000.0,34122000.0,34122000.0,37564000.0,37564000.0,37564000.0,37564000.0,37564000.0,46743000.0,46743000.0,46743000.0,55618000.0,55618000.0,55618000.0,83596000.0,102478000.0,114678000.0,114678000.0,114678000.0,114678000.0,155401000.0,155401000.0,155401000.0,155401000.0,178850000.0,178850000.0,178850000.0,178850000.0,212419000.0,212419000.0,212419000.0,212419000.0,163865000.0,163865000.0,163865000.0,163865000.0,259674000.0,259674000.0,565637000.0
AccruedMarketingCostsCurrent / USD,,,,,,,,4647000.0,4016000.0,4016000.0,4016000.0,4016000.0,4387000.0,4387000.0,4387000.0,4387000.0,4387000.0,5690000.0,5690000.0,5690000.0,7300000.0,7300000.0,7300000.0,7308000.0,6413000.0,5830000.0,5830000.0,5830000.0,5830000.0,5925000.0,5925000.0,5925000.0,5925000.0,5652000.0,5652000.0,5652000.0,5652000.0,8757000.0,8757000.0,8757000.0,,9744000.0,9744000.0,9744000.0,15967000.0,15967000.0,15967000.0,26775000.0
AccruedProfessionalFeesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,6626000.0,11756000.0,11756000.0,11756000.0,11756000.0,5661000.0,5661000.0,5661000.0,5661000.0,2737000.0,2737000.0,2737000.0,2737000.0,4281000.0,4281000.0,4281000.0,,2363000.0,2363000.0,,1699000.0,1699000.0,1699000.0,8098000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,20280000.0,26925000.0,26925000.0,26925000.0,26925000.0,34376000.0,34376000.0,34376000.0,34376000.0,39990000.0,39990000.0,39990000.0,39990000.0,39990000.0,46798000.0,46798000.0,46798000.0,59012000.0,59012000.0,59012000.0,59012000.0,92594000.0,108775000.0,108775000.0,108775000.0,108775000.0,126746000.0,126746000.0,126746000.0,126746000.0,145822000.0,145822000.0,145822000.0,145822000.0,167758000.0,167758000.0,167758000.0,167758000.0,189387000.0,189387000.0,189387000.0,189387000.0,213896000.0,213896000.0,118245000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-204000.0,-204000.0,-204000.0,-204000.0,-76000.0,-76000.0,-76000.0,-76000.0,-69000.0,-69000.0,-69000.0,-69000.0,-63000.0,-63000.0,-63000.0,-63000.0,-63000.0,-80000.0,-80000.0,-80000.0,-85000.0,-85000.0,-85000.0,-85000.0,165000.0,-80000.0,-80000.0,-80000.0,-80000.0,-152000.0,-152000.0,-152000.0,-152000.0,453000.0,453000.0,453000.0,453000.0,911000.0,911000.0,911000.0,911000.0,639000.0,639000.0,639000.0,639000.0,706000.0,706000.0,705000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,6347000.0,,,,8056000.0,,,,10252000.0,,,,11361000.0,11361000.0,,,11062000.0,,,,14436000.0,19665000.0,5874000.0,11121000.0,16081000.0,24656000.0,5054000.0,10018000.0,14823000.0,21184000.0,7170000.0,13623000.0,21117000.0,20189000.0,7015000.0,16191000.0,23932000.0,28549000.0,11014000.0,27995000.0,41647000.0,32816000.0,156547000.0,54433000.0,64137000.0
