fact_unit,2021-06-09,2021-08-27,2021-12-03,2022-03-10,2022-05-27,2022-08-26,2022-12-02,2023-03-09,2023-05-26,2023-08-25,2023-12-01,2024-03-13,2024-05-31,2024-08-30,2024-12-04,2025-03-12,2025-05-30,2025-08-29,2025-12-03
AdditionalPaidInCapitalCommonStock / USD,6331013000.0,6331013000.0,6331013000.0,6331013000.0,14209000000.0,14209000000.0,14209000000.0,14209000000.0,14512000000.0,14512000000.0,14512000000.0,14512000000.0,14845300000.0,14845300000.0,14845300000.0,14845300000.0,14534100000.0,14534100000.0,14534100000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,31498000.0,31498000.0,31498000.0,98293000.0,68300000.0,68300000.0,68300000.0,108100000.0,137600000.0,137600000.0,137600000.0,299900000.0,72600000.0,72600000.0,72600000.0,227600000.0,74100000.0,74100000.0,74100000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,60199000.0,60199000.0,60199000.0,243937000.0,92700000.0,92700000.0,92700000.0,241700000.0,129700000.0,129700000.0,129700000.0,473500000.0,142200000.0,142200000.0,142200000.0,554300000.0,137300000.0,137300000.0,137300000.0
AdjustmentsToAdditionalPaidInCapitalWarrantIssued / USD,,,,3407000.0,,,,,,,,,,,,5400000.0,6800000.0,6800000.0,6800000.0
AllocatedShareBasedCompensationExpense / USD,59687000.0,,182060000.0,242809000.0,,,,241600000.0,,,,477500000.0,,,,552400000.0,,,
AllowanceForDoubtfulAccountsReceivable / USD,,,,2071000.0,,,,3000000.0,,,,2100000.0,,,,2000000.0,,,
AmortizationOfIntangibleAssets / USD,112922000.0,224501000.0,333934000.0,,128600000.0,405300000.0,684600000.0,,272500000.0,544300000.0,814200000.0,979400000.0,270000000.0,541800000.0,811600000.0,1087400000.0,264900000.0,540600000.0,805500000.0
Assets / USD,10764924000.0,10764924000.0,10764924000.0,10764924000.0,22108600000.0,22108600000.0,22108600000.0,22108600000.0,22522100000.0,22522100000.0,22522100000.0,22522100000.0,21228500000.0,21228500000.0,21228500000.0,21228500000.0,20204500000.0,20204500000.0,20204500000.0
AssetsCurrent / USD,1617145000.0,1617145000.0,1617145000.0,1617145000.0,2493400000.0,2493400000.0,2493400000.0,2493400000.0,3281100000.0,3281100000.0,3281100000.0,3281100000.0,3062700000.0,3062700000.0,3062700000.0,3062700000.0,3120300000.0,3120300000.0,3120300000.0
AssetsFairValueDisclosure / USD,115268000.0,115268000.0,115268000.0,115268000.0,179500000.0,179500000.0,179500000.0,179500000.0,154600000.0,154600000.0,154600000.0,154600000.0,13600000.0,13600000.0,13600000.0,13600000.0,73900000.0,73900000.0,73900000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent / USD,,,,,,,,,,,,,,,,,0.0,0.0,
