fact_unit,2011-07-29,2011-10-28,2012-03-02,2012-05-04,2012-08-01,2012-10-31,2013-03-01,2013-05-03,2013-08-02,2013-11-01,2014-02-28,2014-05-02,2014-08-01,2014-11-05,2015-03-03,2015-05-11,2015-08-07,2015-11-09,2015-11-19,2016-03-11,2016-05-06,2016-08-05,2016-11-04,2017-03-01,2017-05-09,2017-08-04,2017-11-09,2018-03-01,2018-05-10,2018-08-08,2018-11-02,2019-03-01,2019-05-03,2019-08-02,2019-11-01,2020-02-21,2020-05-01,2020-07-31,2020-10-30,2021-02-26,2021-05-06,2021-07-21,2021-08-05,2021-11-04,2022-03-01,2022-05-10,2022-08-01,2022-11-08,2023-02-28,2023-05-03,2023-08-02,2023-11-01,2024-02-22,2024-05-07,2024-08-06,2024-11-05,2025-02-20,2025-05-01,2025-07-31,2025-10-30
AccountsPayableCurrent / USD,44866000.0,44866000.0,44866000.0,48618000.0,48618000.0,48618000.0,48618000.0,79397000.0,79397000.0,79397000.0,79397000.0,81046000.0,81046000.0,81046000.0,81046000.0,75868000.0,75868000.0,74427000.0,81046000.0,74427000.0,365347000.0,365347000.0,365347000.0,365347000.0,409759000.0,409759000.0,409759000.0,409759000.0,514282000.0,514282000.0,514282000.0,514282000.0,423168000.0,423168000.0,423168000.0,423168000.0,436823000.0,436823000.0,436823000.0,436823000.0,600357000.0,,600357000.0,600357000.0,600357000.0,1093370000.0,1093370000.0,1093370000.0,1093370000.0,803479000.0,803479000.0,803479000.0,803479000.0,881384000.0,881384000.0,881384000.0,881384000.0,868054000.0,868054000.0,868054000.0
AccountsReceivableNetCurrent / USD,55631000.0,55631000.0,59691000.0,76429000.0,76429000.0,76429000.0,76429000.0,117405000.0,117405000.0,117405000.0,117405000.0,143036000.0,143036000.0,143036000.0,143036000.0,148352000.0,148352000.0,140064000.0,143036000.0,140064000.0,528544000.0,528544000.0,528544000.0,528544000.0,569208000.0,569208000.0,569208000.0,569208000.0,631992000.0,631992000.0,631992000.0,631992000.0,654170000.0,654170000.0,654170000.0,654170000.0,614946000.0,614946000.0,614946000.0,614946000.0,880018000.0,,880018000.0,880018000.0,822753000.0,1708796000.0,1708796000.0,1708796000.0,1708796000.0,1448139000.0,1448139000.0,1448139000.0,1448139000.0,1436917000.0,1436917000.0,1436917000.0,1436917000.0,1163147000.0,1163147000.0,1163147000.0
AccruedLiabilitiesCurrent / USD,26284000.0,26284000.0,26284000.0,25183000.0,25183000.0,25183000.0,27459000.0,37778000.0,37778000.0,37778000.0,37778000.0,45310000.0,45310000.0,45310000.0,45310000.0,66225000.0,66225000.0,67666000.0,45310000.0,67666000.0,293905000.0,293905000.0,293905000.0,293905000.0,293115000.0,293115000.0,293115000.0,293115000.0,271597000.0,271597000.0,271597000.0,271597000.0,292526000.0,292526000.0,292526000.0,292526000.0,308950000.0,308950000.0,308950000.0,308950000.0,385536000.0,,385536000.0,385536000.0,327081000.0,718904000.0,718904000.0,718904000.0,718904000.0,739009000.0,739009000.0,739009000.0,739009000.0,717528000.0,717528000.0,717528000.0,717528000.0,634045000.0,634045000.0,634045000.0
AccruedProfessionalFeesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20460000.0,,,,16406000.0,16406000.0,16406000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,138254000.0,,,,141334000.0,,,,146840000.0,,,,146840000.0,152317000.0,,,,188269000.0,,,,269332000.0,,,,324851000.0,390125000.0,390125000.0,390125000.0,390125000.0,,,,449016000.0,523789000.0,,523789000.0,523789000.0,523789000.0,,,,671776000.0,,,,837746000.0,,,,1011989000.0,,,
AdditionalPaidInCapitalCommonStock / USD,355194000.0,355194000.0,355194000.0,359750000.0,359750000.0,359750000.0,359750000.0,363471000.0,363471000.0,363471000.0,363471000.0,373418000.0,373418000.0,373418000.0,373418000.0,380091000.0,380091000.0,380091000.0,373418000.0,380091000.0,511802000.0,511802000.0,511802000.0,511802000.0,527868000.0,527868000.0,527868000.0,527868000.0,546766000.0,546766000.0,546766000.0,546766000.0,560221000.0,560221000.0,560221000.0,560221000.0,574955000.0,574955000.0,574955000.0,574955000.0,589241000.0,,589241000.0,589241000.0,589241000.0,4260670000.0,4260670000.0,4260670000.0,4260670000.0,4257667000.0,4257667000.0,4257667000.0,4257667000.0,4270948000.0,4270948000.0,4270948000.0,4270948000.0,4271269000.0,4271269000.0,4271269000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4855000.0,2644000.0,2450000.0,2450000.0,2450000.0,4895000.0,3834000.0,,3834000.0,3834000.0,2450000.0,10417000.0,10417000.0,10417000.0,4153000.0,29384000.0,29384000.0,29384000.0,18255000.0,22853000.0,22853000.0,22853000.0,34920000.0,31876000.0,31876000.0,31876000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,6379000.0,9916000.0,6848000.0,2890000.0,6428000.0,9929000.0,10549000.0,2890000.0,2890000.0,2890000.0,13508000.0,2659000.0,2659000.0,2659000.0,14420000.0,3254000.0,,3254000.0,3254000.0,12239000.0,10402000.0,10402000.0,10402000.0,17022000.0,8840000.0,8840000.0,8840000.0,31486000.0,11026000.0,11026000.0,11026000.0,31337000.0,16900000.0,16900000.0,16900000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,4300000.0,,,,4600000.0,,,,3600000.0,,,,3600000.0,4200000.0,,,,6200000.0,,,,6900000.0,,,,10500000.0,,,,13500000.0,,,,14400000.0,,,,,12200000.0,,,,17000000.0,,,,31500000.0,,,,31300000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,2444000.0,2444000.0,2444000.0,2138000.0,2138000.0,2138000.0,2138000.0,2831000.0,2831000.0,2831000.0,2831000.0,3605000.0,3605000.0,3605000.0,1441000.0,,,,1441000.0,1864000.0,,,,2413000.0,,,,1734000.0,,,,4245000.0,,,,5922000.0,,,,4973000.0,,,,,6195000.0,,,,5936000.0,,,,5774000.0,,,,21761000.0,,,
AmortizationOfFinancingCostsAndDiscounts / USD,4773000.0,5055000.0,3763000.0,209000.0,419000.0,,,,,,,,,,,,,,,,,,,,,4084000.0,5940000.0,18929000.0,2435000.0,3790000.0,5163000.0,7502000.0,1149000.0,2308000.0,3479000.0,6092000.0,1149000.0,2132000.0,3060000.0,4642000.0,,,,,3880000.0,,,,3508000.0,,,,3869000.0,,,,4837000.0,,,
AmortizationOfIntangibleAssets / USD,,,,,,,500000.0,,,,500000.0,,,300000.0,400000.0,,,500000.0,400000.0,400000.0,,,,1100000.0,,,,11900000.0,,,,22600000.0,,,17500000.0,21900000.0,3900000.0,7700000.0,11800000.0,23500000.0,5700000.0,,11300000.0,16700000.0,16100000.0,,169300000.0,261600000.0,22100000.0,65700000.0,135800000.0,212500000.0,358100000.0,84600000.0,169400000.0,252900000.0,302600000.0,79900000.0,160900000.0,237200000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186000.0,345000.0,578000.0,215000.0,1451000.0,659000.0,488000.0,682000.0,217000.0,,434000.0,389000.0,402000.0,78000.0,252000.0,241000.0,291000.0,71000.0,191000.0,129000.0,225000.0,1000.0,2000.0,3000.0,99000.0,36000.0,158000.0,196000.0
AssetAcquisitionConsiderationTransferredContingentConsideration / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8900000.0,9522000.0,14364000.0,14364000.0,8900000.0,9522000.0,14364000.0
Assets / USD,412804000.0,412804000.0,412804000.0,488803000.0,488803000.0,488803000.0,493794000.0,550841000.0,550841000.0,550841000.0,550841000.0,515839000.0,515839000.0,515839000.0,515839000.0,583065000.0,583065000.0,574065000.0,515839000.0,574065000.0,2882038000.0,2882038000.0,2882038000.0,2882038000.0,2909887000.0,2909887000.0,2909887000.0,2909887000.0,3006124000.0,3006124000.0,3006124000.0,3006124000.0,2932309000.0,2932309000.0,2932309000.0,2932309000.0,3249490000.0,3249490000.0,3249490000.0,3249490000.0,4173671000.0,,4173671000.0,4173671000.0,4173671000.0,10714343000.0,10714343000.0,10714343000.0,10714343000.0,10595160000.0,10595160000.0,10595160000.0,10595160000.0,10499452000.0,10499452000.0,10499452000.0,10499452000.0,10583086000.0,10583086000.0,10583086000.0
AssetsCurrent / USD,235349000.0,235349000.0,235349000.0,319661000.0,319661000.0,319661000.0,321937000.0,379872000.0,379872000.0,379872000.0,379872000.0,331161000.0,331161000.0,331161000.0,331161000.0,331540000.0,331540000.0,331540000.0,331161000.0,331540000.0,1194329000.0,1194329000.0,1194329000.0,1194329000.0,1215981000.0,1215981000.0,1215981000.0,1215981000.0,1395868000.0,1395868000.0,1395868000.0,1395868000.0,1373751000.0,1373751000.0,1373751000.0,1373751000.0,1306867000.0,1306867000.0,1306867000.0,1306867000.0,2223682000.0,,2223682000.0,2223682000.0,2223682000.0,3968269000.0,3968269000.0,3968269000.0,3968269000.0,3497647000.0,3497647000.0,3497647000.0,3497647000.0,3300728000.0,3300728000.0,3300728000.0,3300728000.0,3141239000.0,3141239000.0,3141239000.0
CapitalExpendituresIncurredButNotYetPaid / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000.0,200000.0,1000000.0,1800000.0,3200000.0,3700000.0,2500000.0,3900000.0,1900000.0,4030000.0,2127000.0,2350000.0,5238000.0,,1900000.0,1336000.0,3378000.0,6734000.0,9616000.0,13164000.0,1962000.0,6024000.0,10392000.0,12711000.0,8052000.0,3991000.0,7420000.0,7455000.0,10797000.0,6395000.0,11437000.0,19680000.0
CashAndCashEquivalentsAtCarryingValue / USD,84098000.0,84098000.0,106891000.0,103234000.0,103234000.0,103234000.0,84098000.0,146833000.0,146833000.0,146833000.0,103234000.0,131432000.0,131432000.0,131432000.0,146833000.0,54696000.0,54696000.0,54696000.0,146833000.0,131432000.0,17773000.0,17773000.0,17773000.0,54696000.0,65063000.0,65063000.0,65063000.0,17773000.0,14449000.0,57533000.0,57533000.0,57533000.0,10127000.0,10127000.0,10127000.0,10127000.0,14096000.0,14096000.0,14096000.0,14096000.0,423806000.0,,423806000.0,423806000.0,423806000.0,42603000.0,42603000.0,42603000.0,42603000.0,80445000.0,80445000.0,80445000.0,80445000.0,66156000.0,66156000.0,66156000.0,66156000.0,153624000.0,153624000.0,153624000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14449000.0,14449000.0,65063000.0,57533000.0,57533000.0,57533000.0,14449000.0,10127000.0,10127000.0,10127000.0,57533000.0,14096000.0,,14096000.0,14096000.0,10127000.0,423806000.0,423806000.0,423806000.0,14096000.0,42603000.0,42603000.0,42603000.0,423806000.0,80445000.0,80445000.0,80445000.0,42603000.0,66156000.0,66156000.0,66156000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7518000.0,-5112000.0,-50614000.0,-47464000.0,-44337000.0,-23087000.0,43084000.0,1597000.0,425000.0,33144000.0,-47406000.0,149776000.0,,371365000.0,326831000.0,3969000.0,-404688000.0,-333540000.0,-199071000.0,409710000.0,239199000.0,123582000.0,42379000.0,-381203000.0,63962000.0,8871000.0,7651000.0,37842000.0,631319000.0,9413000.0,261947000.0
