fact_unit,2009-08-10,2009-11-09,2010-03-01,2010-05-10,2010-07-30,2010-08-09,2010-11-09,2011-03-01,2011-05-10,2011-08-09,2011-11-09,2012-02-29,2012-05-11,2012-08-09,2012-11-09,2013-03-01,2013-05-10,2013-08-06,2013-11-06,2014-02-27,2014-05-07,2014-08-06,2014-11-06,2015-02-27,2015-05-06,2015-08-05,2015-11-04,2016-02-25,2016-05-05,2016-08-04,2016-11-03,2017-03-03,2017-05-04,2017-08-03,2017-11-02,2018-02-22,2018-05-02,2018-08-01,2018-10-30,2019-02-27,2019-05-09,2019-08-06,2019-11-05,2020-02-27,2020-04-29,2020-05-11,2020-08-10,2020-11-09,2021-02-02,2021-03-01,2021-04-30,2021-05-13,2021-08-10,2021-11-02,2022-02-24,2022-05-06,2022-08-02,2022-11-01,2023-02-22,2023-05-02,2023-08-01,2023-10-31,2024-02-21,2024-04-30,2024-07-29,2024-10-29,2025-02-26,2025-04-29,2025-07-29,2025-10-28
AccountsPayableCurrent / USD,,1611000000.0,1611000000.0,957000000.0,957000000.0,957000000.0,957000000.0,957000000.0,2069000000.0,2069000000.0,2069000000.0,2069000000.0,3311000000.0,3311000000.0,3311000000.0,3311000000.0,1710000000.0,1710000000.0,1710000000.0,1710000000.0,1596000000.0,1596000000.0,1596000000.0,1596000000.0,2049000000.0,2049000000.0,2049000000.0,2049000000.0,944000000.0,944000000.0,944000000.0,944000000.0,672000000.0,672000000.0,672000000.0,672000000.0,654000000.0,654000000.0,654000000.0,654000000.0,654000000.0,763000000.0,763000000.0,763000000.0,,498000000.0,498000000.0,498000000.0,763000000.0,498000000.0,,346000000.0,346000000.0,346000000.0,346000000.0,415000000.0,415000000.0,415000000.0,415000000.0,603000000.0,603000000.0,603000000.0,415000000.0,425000000.0,425000000.0,425000000.0,425000000.0,777000000.0,777000000.0,777000000.0
AccountsPayableOtherCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23000000.0,,,,150000000.0,,,,64000000.0,,,
AccountsReceivableNetCurrent / USD,1324000000.0,1324000000.0,1324000000.0,1325000000.0,1325000000.0,1325000000.0,1325000000.0,1325000000.0,1974000000.0,1974000000.0,1974000000.0,1974000000.0,2505000000.0,2505000000.0,2505000000.0,2505000000.0,2245000000.0,2245000000.0,2245000000.0,2245000000.0,2222000000.0,2222000000.0,2222000000.0,2222000000.0,2236000000.0,2236000000.0,2236000000.0,2236000000.0,1129000000.0,1129000000.0,1129000000.0,1129000000.0,1057000000.0,1057000000.0,1057000000.0,1057000000.0,1322000000.0,1322000000.0,1322000000.0,1322000000.0,1322000000.0,1247000000.0,1247000000.0,1247000000.0,,990000000.0,990000000.0,990000000.0,1247000000.0,990000000.0,,746000000.0,746000000.0,746000000.0,746000000.0,1115000000.0,1115000000.0,1115000000.0,1115000000.0,1438000000.0,1438000000.0,1438000000.0,1438000000.0,593000000.0,593000000.0,593000000.0,593000000.0,1226000000.0,1226000000.0,1226000000.0
AccruedLiabilitiesCurrent / USD,,880000000.0,880000000.0,920000000.0,920000000.0,920000000.0,920000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,169000000.0,169000000.0,216000000.0,216000000.0,216000000.0,216000000.0,216000000.0,258000000.0,258000000.0,258000000.0,,326000000.0,326000000.0,326000000.0,258000000.0,326000000.0,,104000000.0,104000000.0,104000000.0,104000000.0,142000000.0,142000000.0,142000000.0,142000000.0,253000000.0,253000000.0,253000000.0,253000000.0,211000000.0,211000000.0,211000000.0,211000000.0,296000000.0,296000000.0,296000000.0
AccruedRoyaltiesCurrent / USD,,431000000.0,431000000.0,565000000.0,565000000.0,565000000.0,565000000.0,565000000.0,,,,732000000.0,,,,1090000000.0,1337000000.0,1337000000.0,1337000000.0,1337000000.0,1409000000.0,1409000000.0,1409000000.0,1409000000.0,1176000000.0,1176000000.0,1176000000.0,1176000000.0,500000000.0,500000000.0,500000000.0,500000000.0,543000000.0,543000000.0,543000000.0,543000000.0,612000000.0,612000000.0,612000000.0,612000000.0,612000000.0,687000000.0,687000000.0,687000000.0,,516000000.0,516000000.0,516000000.0,687000000.0,516000000.0,,236000000.0,236000000.0,236000000.0,236000000.0,617000000.0,617000000.0,617000000.0,617000000.0,734000000.0,734000000.0,734000000.0,734000000.0,360000000.0,360000000.0,360000000.0,360000000.0,734000000.0,734000000.0,734000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,496000000.0,496000000.0,496000000.0,833000000.0,833000000.0,833000000.0,833000000.0,,,,,26314000000.0,28290000000.0,28290000000.0,28290000000.0,28290000000.0,34302000000.0,34302000000.0,34302000000.0,34302000000.0,37161000000.0,37161000000.0,37161000000.0,37161000000.0,39043000000.0,39043000000.0,39043000000.0,39043000000.0,59365000000.0,59365000000.0,59365000000.0,59365000000.0,62726000000.0,62726000000.0,62726000000.0,62726000000.0,63664000000.0,63664000000.0,63664000000.0,63664000000.0,18907000000.0,17886000000.0,17886000000.0,17886000000.0,,20002000000.0,20002000000.0,20002000000.0,17886000000.0,20002000000.0,,23806000000.0,23806000000.0,23806000000.0,23806000000.0,0.0,0.0,0.0,0.0,2431000000.0,2431000000.0,2431000000.0,0.0,3674000000.0,3674000000.0,3674000000.0,3674000000.0,5362000000.0,5362000000.0,5362000000.0
AdditionalPaidInCapital / USD,11680000000.0,11680000000.0,11680000000.0,12146000000.0,12146000000.0,12146000000.0,12146000000.0,12146000000.0,12194000000.0,12194000000.0,12194000000.0,12194000000.0,12146000000.0,12146000000.0,12146000000.0,12146000000.0,12293000000.0,12293000000.0,12293000000.0,12293000000.0,12446000000.0,12446000000.0,12446000000.0,12446000000.0,12531000000.0,12531000000.0,12531000000.0,12531000000.0,12403000000.0,12403000000.0,12403000000.0,12403000000.0,14486000000.0,14486000000.0,14486000000.0,14486000000.0,14437000000.0,14437000000.0,14437000000.0,14437000000.0,14437000000.0,14378000000.0,14378000000.0,14378000000.0,,16973000000.0,16973000000.0,16973000000.0,14387000000.0,16973000000.0,,16937000000.0,16937000000.0,16937000000.0,16937000000.0,4845000000.0,4845000000.0,4845000000.0,4845000000.0,5724000000.0,5724000000.0,5724000000.0,0.0,5754000000.0,5754000000.0,5754000000.0,5754000000.0,13687000000.0,13687000000.0,13687000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,126000000.0,198000000.0,241000000.0,75000000.0,139000000.0,205000000.0,253000000.0,71000000.0,139000000.0,209000000.0,266000000.0,52000000.0,101000000.0,148000000.0,0.0,11000000.0,88000000.0,123000000.0,191000000.0,27000000.0,56000000.0,81000000.0,150000000.0,24000000.0,52000000.0,,,,,,,,,,,,,,,,,18000000.0,18000000.0,,18000000.0,,,10000000.0,17000000.0,32000000.0,3000000.0,3000000.0,3000000.0,22000000.0,4000000.0,12000000.0,19000000.0,3000000.0,8000000.0,19000000.0,29000000.0,26000000.0,11000000.0,32000000.0,43000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,17000000.0,17000000.0,17000000.0,,21000000.0,21000000.0,21000000.0,17000000.0,21000000.0,,30000000.0,30000000.0,30000000.0,30000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,1000000.0,1000000.0,1000000.0,1000000.0,11000000.0,11000000.0,11000000.0
AssetRetirementObligation / USD,,,,,,,,269000000.0,,,,282000000.0,,,,301000000.0,,,,323000000.0,,,,375000000.0,,,,405000000.0,,,,465000000.0,,,,473000000.0,,,,261000000.0,261000000.0,,,177000000.0,,,,,177000000.0,166000000.0,,,,,211000000.0,,,,144000000.0,,,,360000000.0,,,,335000000.0,,,
