fact_unit,2010-07-28,2010-10-22,2011-02-17,2011-04-21,2011-07-21,2011-10-20,2012-02-16,2012-04-19,2012-07-19,2012-10-18,2013-02-14,2013-04-18,2013-07-18,2013-10-17,2014-02-14,2014-04-17,2014-07-17,2014-10-16,2015-02-12,2015-04-23,2015-07-23,2015-10-22,2016-02-11,2016-04-21,2016-07-21,2016-10-20,2017-02-09,2017-04-20,2017-07-20,2017-10-19,2018-02-15,2018-04-19,2018-07-19,2018-10-18,2019-02-14,2019-04-18,2019-07-18,2019-10-17,2020-02-13,2020-04-21,2020-07-31,2020-10-22,2021-02-11,2021-04-22,2021-07-22,2021-10-21,2022-02-11,2022-04-21,2022-07-21,2022-10-20,2023-02-09,2023-04-20,2023-07-20,2023-10-19,2024-02-16,2024-04-18,2024-07-18,2024-10-17,2025-02-13,2025-04-17,2025-07-17,2025-10-16
AccountsPayableCurrent / USD,119800000.0,119800000.0,119800000.0,146100000.0,146100000.0,146100000.0,146100000.0,124600000.0,124600000.0,124600000.0,124600000.0,142500000.0,142500000.0,142500000.0,142500000.0,155600000.0,155600000.0,155600000.0,155600000.0,145000000.0,145000000.0,145000000.0,145000000.0,148300000.0,148300000.0,148300000.0,148300000.0,170900000.0,170900000.0,170900000.0,170900000.0,178200000.0,178200000.0,178200000.0,178200000.0,201100000.0,201100000.0,201100000.0,201100000.0,198500000.0,198500000.0,198500000.0,198500000.0,222900000.0,222900000.0,222900000.0,222900000.0,277600000.0,277600000.0,277600000.0,277600000.0,287000000.0,287000000.0,287000000.0,287000000.0,238000000.0,238000000.0,238000000.0,238000000.0,265900000.0,265900000.0,265900000.0
AccountsReceivableGrossCurrent / USD,,,,,470300000.0,470300000.0,470300000.0,485500000.0,485500000.0,485500000.0,485500000.0,516900000.0,516900000.0,516900000.0,516900000.0,546500000.0,546500000.0,546500000.0,546500000.0,567000000.0,567000000.0,567000000.0,567000000.0,579200000.0,579200000.0,579200000.0,579200000.0,612800000.0,612800000.0,612800000.0,612800000.0,690200000.0,690200000.0,690200000.0,690200000.0,710100000.0,710100000.0,710100000.0,710100000.0,715500000.0,715500000.0,715500000.0,715500000.0,667000000.0,667000000.0,667000000.0,667000000.0,709600000.0,709600000.0,709600000.0,709600000.0,792800000.0,792800000.0,792800000.0,792800000.0,826200000.0,826200000.0,826200000.0,826200000.0,852700000.0,852700000.0,852700000.0
AccountsReceivableNetCurrent / USD,414400000.0,414400000.0,414400000.0,443300000.0,443300000.0,443300000.0,443300000.0,463500000.0,463500000.0,463500000.0,463500000.0,497900000.0,497900000.0,497900000.0,497900000.0,531600000.0,531600000.0,531600000.0,531600000.0,550800000.0,550800000.0,550800000.0,550800000.0,562500000.0,562500000.0,562500000.0,562500000.0,598800000.0,598800000.0,598800000.0,598800000.0,675600000.0,675600000.0,675600000.0,675600000.0,692600000.0,692600000.0,692600000.0,692600000.0,694600000.0,694600000.0,694600000.0,694600000.0,640700000.0,640700000.0,640700000.0,640700000.0,682300000.0,682300000.0,682300000.0,682300000.0,761700000.0,761700000.0,761700000.0,761700000.0,791300000.0,791300000.0,791300000.0,791300000.0,815600000.0,815600000.0,815600000.0
AccruedEmployeeBenefitsCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53300000.0,53300000.0,53300000.0,59700000.0,59700000.0,59700000.0,59700000.0,67400000.0,67400000.0,67400000.0,67400000.0,58600000.0,58600000.0,58600000.0,58600000.0,64400000.0,64400000.0,64400000.0,64400000.0,67200000.0,67200000.0,67200000.0
AccruedIncomeTaxesCurrent / USD,,,,,,,12500000.0,,,,11700000.0,,,,19600000.0,,,,7700000.0,,,,15200000.0,,,,28500000.0,,,,21400000.0,,,,41600000.0,,,,34400000.0,,,,23900000.0,,,,32800000.0,,,,18900000.0,,,,33400000.0,,,,35300000.0,,,
AccruedMarketingCostsCurrent / USD,,,,,,,32400000.0,,,,29100000.0,,,,26600000.0,,,,24500000.0,,,,24500000.0,,,,23300000.0,,,,24700000.0,,,,28600000.0,,,,28700000.0,,,,28300000.0,,,,33200000.0,,,,41000000.0,,,,37700000.0,,,,37200000.0,,,
AccruedSalariesCurrent / USD,,,,,,,,,,,,,,,,,,,95500000.0,99200000.0,99200000.0,99200000.0,99200000.0,91000000.0,91000000.0,91000000.0,91000000.0,89800000.0,89800000.0,89800000.0,89800000.0,71500000.0,71500000.0,71500000.0,71500000.0,71500000.0,71500000.0,71500000.0,71500000.0,53900000.0,53900000.0,53900000.0,53900000.0,89900000.0,89900000.0,89900000.0,89900000.0,114800000.0,114800000.0,114800000.0,114800000.0,98600000.0,98600000.0,98600000.0,98600000.0,102900000.0,102900000.0,102900000.0,102900000.0,86100000.0,86100000.0,86100000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-68400000.0,-68400000.0,-68400000.0,-104800000.0,-104800000.0,-104800000.0,-104800000.0,-174600000.0,-174600000.0,-174600000.0,-174600000.0,-124200000.0,-124200000.0,-124200000.0,-124200000.0,-124200000.0,-124200000.0,-124200000.0,-124200000.0,-44800000.0,-44800000.0,-44800000.0,-44800000.0,-248200000.0,-248200000.0,-248200000.0,-248200000.0,-364200000.0,-364200000.0,-364200000.0,-364200000.0,-329000000.0,-329000000.0,-329000000.0,-329000000.0,-462200000.0,-462200000.0,-462200000.0,-462200000.0,-507900000.0,-507900000.0,-507900000.0,-507900000.0,-365800000.0,-365800000.0,-365800000.0,-365800000.0,-343900000.0,-343900000.0,-343900000.0,-343900000.0,-528300000.0,-528300000.0,-528300000.0,-528300000.0,-449500000.0,-449500000.0,-449500000.0,-449500000.0,-575000000.0,-575000000.0,-575000000.0
AdditionalPaidInCapital / USD,154400000.0,154400000.0,154400000.0,169200000.0,169200000.0,169200000.0,169200000.0,181400000.0,181400000.0,181400000.0,181400000.0,204600000.0,204600000.0,204600000.0,204600000.0,225100000.0,225100000.0,225100000.0,225100000.0,254700000.0,254700000.0,254700000.0,254700000.0,296300000.0,296300000.0,296300000.0,296300000.0,317300000.0,317300000.0,317300000.0,317300000.0,343200000.0,343200000.0,343200000.0,343200000.0,359400000.0,359400000.0,359400000.0,359400000.0,379100000.0,379100000.0,379100000.0,379100000.0,391700000.0,391700000.0,391700000.0,391700000.0,472700000.0,472700000.0,472700000.0,472700000.0,499900000.0,499900000.0,499900000.0,499900000.0,545500000.0,545500000.0,545500000.0,545500000.0,557700000.0,557700000.0,557700000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,,27000000.0,27000000.0,27000000.0,22000000.0,22000000.0,22000000.0,22000000.0,19000000.0,19000000.0,19000000.0,19000000.0,14900000.0,14900000.0,14900000.0,14900000.0,16200000.0,16200000.0,16200000.0,16200000.0,16700000.0,16700000.0,16700000.0,16700000.0,14000000.0,14000000.0,14000000.0,14000000.0,14600000.0,14600000.0,14600000.0,14600000.0,17500000.0,17500000.0,17500000.0,17500000.0,20900000.0,20900000.0,20900000.0,20900000.0,20900000.0,20900000.0,20900000.0,20900000.0,26300000.0,26300000.0,26300000.0,26300000.0,27300000.0,27300000.0,27300000.0,27300000.0,31100000.0,31100000.0,31100000.0,31100000.0,34900000.0,34900000.0,34900000.0
