fact_unit,2018-06-14,2018-09-13,2018-12-21,2019-03-15,2019-06-14,2019-09-13,2019-12-20,2020-03-13,2020-06-12,2020-06-26,2020-09-11,2020-12-18,2021-03-12,2021-06-11,2021-09-09,2021-12-17,2022-03-10,2022-06-09,2022-09-08,2022-12-16,2023-03-08,2023-06-07,2023-09-06,2023-12-14,2024-03-14,2024-06-13,2024-09-11,2024-12-20,2025-03-12,2025-06-11,2025-09-10
AccountsPayableCurrent / USD,1105000000.0,1105000000.0,1105000000.0,811000000.0,811000000.0,811000000.0,811000000.0,855000000.0,855000000.0,811000000.0,855000000.0,855000000.0,836000000.0,836000000.0,836000000.0,836000000.0,1086000000.0,1086000000.0,1086000000.0,1086000000.0,998000000.0,998000000.0,998000000.0,998000000.0,1210000000.0,1210000000.0,1210000000.0,1210000000.0,1662000000.0,1662000000.0,1662000000.0
AccountsReceivableNetCurrent / USD,2448000000.0,2448000000.0,2448000000.0,3325000000.0,3325000000.0,3325000000.0,3325000000.0,3259000000.0,3259000000.0,3325000000.0,3259000000.0,3259000000.0,2297000000.0,2297000000.0,2297000000.0,2297000000.0,2071000000.0,2071000000.0,2071000000.0,2071000000.0,2958000000.0,2958000000.0,2958000000.0,2958000000.0,3154000000.0,3154000000.0,3154000000.0,3154000000.0,4416000000.0,4416000000.0,4416000000.0
AccountsReceivableSale / USD,,,,,,,,,,,,,901000000.0,1827000000.0,2754000000.0,,927000000.0,1827000000.0,2827000000.0,,1200000000.0,2100000000.0,3000000000.0,,1025000000.0,1925000000.0,2825000000.0,,1250000000.0,2500000000.0,3950000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,1493000000.0,,,,1894000000.0,,,1894000000.0,,2331000000.0,,,,2822000000.0,,,,3196000000.0,,,,3604000000.0,,,,4024000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-91000000.0,-91000000.0,-91000000.0,-115000000.0,-115000000.0,-115000000.0,-115000000.0,-140000000.0,-140000000.0,-115000000.0,-140000000.0,-140000000.0,-108000000.0,-108000000.0,-108000000.0,-108000000.0,-116000000.0,-116000000.0,-116000000.0,-116000000.0,-54000000.0,-54000000.0,-54000000.0,-54000000.0,207000000.0,207000000.0,207000000.0,207000000.0,207000000.0,207000000.0,207000000.0
AdditionalPaidInCapital / USD,,,,,,,23285000000.0,25081000000.0,25081000000.0,23285000000.0,25081000000.0,25081000000.0,23982000000.0,23982000000.0,23982000000.0,23982000000.0,24330000000.0,24330000000.0,24330000000.0,24330000000.0,21159000000.0,21159000000.0,21159000000.0,21159000000.0,21099000000.0,21099000000.0,21095000000.0,21095000000.0,67466000000.0,67466000000.0,67466000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,77000000.0,2000000.0,2000000.0,56000000.0,77000000.0,77000000.0,56000000.0,77000000.0,56000000.0,168000000.0,168000000.0,168000000.0,983000000.0,217000000.0,217000000.0,217000000.0,770000000.0,368000000.0,368000000.0,368000000.0,1302000000.0,324000000.0,324000000.0,324000000.0,1456000000.0,1119000000.0,1119000000.0,1119000000.0
AdjustmentsToAdditionalPaidInCapitalOther / USD,,,,,,,,,,,,,,,,,,,,,,,,,,-26000000.0,26000000.0,,,-26000000.0,-26000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,299000000.0,910000000.0,690000000.0,299000000.0,299000000.0,299000000.0,921000000.0,540000000.0,540000000.0,921000000.0,540000000.0,1227000000.0,545000000.0,545000000.0,545000000.0,2260000000.0,444000000.0,444000000.0,444000000.0,1976000000.0,387000000.0,387000000.0,387000000.0,1704000000.0,391000000.0,391000000.0,391000000.0,1533000000.0,1582000000.0,1582000000.0,1582000000.0
AllocatedShareBasedCompensationExpense / USD,417000000.0,668000000.0,664000000.0,299000000.0,595000000.0,910000000.0,920000000.0,465000000.0,1009000000.0,920000000.0,1641000000.0,1227000000.0,545000000.0,1062000000.0,1527000000.0,2185000000.0,444000000.0,869000000.0,1290000000.0,1976000000.0,387000000.0,773000000.0,1146000000.0,1704000000.0,391000000.0,904000000.0,1533000000.0,1533000000.0,1572000000.0,2975000000.0,4356000000.0
AmortizationOfFinancingCostsAndDiscounts / USD,14000000.0,19000000.0,36000000.0,6000000.0,12000000.0,18000000.0,24000000.0,13000000.0,27000000.0,24000000.0,50000000.0,24000000.0,30000000.0,61000000.0,83000000.0,69000000.0,22000000.0,43000000.0,67000000.0,108000000.0,32000000.0,65000000.0,97000000.0,96000000.0,32000000.0,65000000.0,98000000.0,129000000.0,102000000.0,221000000.0,336000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,12000000.0,12000000.0,22000000.0,,12000000.0,,0.0,0.0,,12000000.0,,12000000.0,13000000.0,12000000.0,,12000000.0,12000000.0,12000000.0,,12000000.0,12000000.0,,,,,159000000.0,,,,159000000.0
Assets / USD,54418000000.0,54418000000.0,54418000000.0,50124000000.0,50124000000.0,50124000000.0,50124000000.0,67493000000.0,67493000000.0,50124000000.0,67493000000.0,67493000000.0,75933000000.0,75933000000.0,75933000000.0,75933000000.0,75570000000.0,75570000000.0,75570000000.0,75570000000.0,73249000000.0,73249000000.0,73249000000.0,73249000000.0,72861000000.0,72861000000.0,72861000000.0,72861000000.0,165645000000.0,165645000000.0,165645000000.0
AssetsCurrent / USD,15823000000.0,15823000000.0,15823000000.0,9107000000.0,9107000000.0,9107000000.0,9107000000.0,9917000000.0,9917000000.0,9107000000.0,9917000000.0,9917000000.0,11895000000.0,11895000000.0,11895000000.0,11895000000.0,16586000000.0,16586000000.0,16586000000.0,16586000000.0,18504000000.0,18504000000.0,18504000000.0,18504000000.0,20847000000.0,20847000000.0,20847000000.0,20847000000.0,19595000000.0,19595000000.0,19595000000.0
BuildingsAndImprovementsGross / USD,,,579000000.0,,,,1016000000.0,,,1016000000.0,,1078000000.0,,,,1133000000.0,,,,1150000000.0,,,,1156000000.0,,,,1181000000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,3097000000.0,3097000000.0,1822000000.0,11204000000.0,11204000000.0,11204000000.0,3097000000.0,4292000000.0,4292000000.0,3097000000.0,4292000000.0,11204000000.0,5055000000.0,5055000000.0,5055000000.0,4292000000.0,7618000000.0,7618000000.0,7618000000.0,12163000000.0,12416000000.0,12416000000.0,12416000000.0,12416000000.0,14189000000.0,14189000000.0,14189000000.0,14189000000.0,9348000000.0,9348000000.0,9348000000.0
