fact_unit,2024-11-06,2025-02-25,2025-05-07,2025-08-06,2025-11-05
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent / USD,1240000000.0,1240000000.0,1536000000.0,1536000000.0,1536000000.0
AccountsReceivableNet / USD,3916000000.0,3916000000.0,4304000000.0,4304000000.0,4304000000.0
AccruedIncomeTaxes / USD,,85000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,1439000000.0,1439000000.0,1553000000.0,1553000000.0,1553000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-840000000.0,-840000000.0,-1178000000.0,-1178000000.0,-1178000000.0
AdditionalPaidInCapitalCommonStock / USD,19833000000.0,19833000000.0,13446000000.0,13446000000.0,13446000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,369000000.0,457000000.0,259000000.0,278000000.0,294000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,469000000.0,708000000.0,176000000.0,355000000.0,511000000.0
AmortizationOfIntangibleAssets / USD,116000000.0,,38000000.0,77000000.0,507000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,0.0,0.0,338300.0,372282.0,0.0
AssetAcquisitionContingentConsiderationLiability / USD,,0.0,,,
Assets / USD,123211000000.0,123211000000.0,138615000000.0,138615000000.0,138615000000.0
BusinessCombinationContingentConsiderationLiabilityCurrent / USD,,99000000.0,4302000000.0,4302000000.0,4302000000.0
Capital / USD,,775000000.0,,,
CapitalRequiredForCapitalAdequacy / USD,,43000000.0,,,
CapitalRequiredForCapitalAdequacyToRiskWeightedAssets / pure,,0.08,,,
CapitalRequiredToBeWellCapitalized / USD,,53000000.0,,,
CapitalRequiredToBeWellCapitalizedToRiskWeightedAssets / pure,,0.1,,,
CapitalToRiskWeightedAssets / pure,,1.458,,,
CashAndCashEquivalentsAtCarryingValue / USD,8736000000.0,8736000000.0,12762000000.0,12762000000.0,12762000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,7433000000.0,9340000000.0,8753000000.0,8753000000.0,8753000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,-100000000.0,-1907000000.0,638000000.0,1492000000.0,5301000000.0
CommonStockDividendsPerShareDeclared / USD/shares,15.0,19.52,5.1,10.2,15.3
