fact_unit,2009-11-03,2010-02-02,2010-05-04,2010-08-31,2010-11-09,2011-02-08,2011-05-10,2011-08-30,2011-11-08,2012-02-07,2012-05-08,2012-08-28,2012-11-06,2013-02-05,2013-05-07,2013-08-27,2013-11-05,2014-02-04,2014-05-06,2014-08-26,2014-11-04,2015-02-03,2015-05-05,2015-08-25,2015-11-03,2016-02-02,2016-05-03,2016-08-30,2016-11-08,2017-02-07,2017-05-09,2017-08-30,2017-11-09,2018-02-06,2018-05-08,2018-08-27,2018-11-06,2019-02-05,2019-05-07,2019-08-26,2019-11-05,2020-02-05,2020-05-06,2020-08-26,2020-11-04,2021-02-03,2021-05-05,2021-08-30,2021-11-09,2022-02-09,2022-05-11,2022-08-26,2022-11-02,2023-02-01,2023-05-02,2023-08-25,2023-11-01,2024-01-31,2024-05-01,2024-08-28,2024-10-30,2025-01-29,2025-04-30,2025-08-22,2025-10-29
AccountsNotesAndLoansReceivableNetCurrent / USD,,,,,,,,,,,,,3061145000.0,2882730000.0,3094175000.0,2966624000.0,3193389000.0,3168120000.0,3396850000.0,3183114000.0,3423152000.0,3289930000.0,3510518000.0,3398713000.0,3646817000.0,3529997000.0,3496254000.0,3353381000.0,3531105000.0,3353453000.0,3509438000.0,3380971000.0,4191460000.0,3963458000.0,4282038000.0,4012393000.0,4333704000.0,3953643000.0,4227743000.0,4073723000.0,4181696000.0,4181696000.0,4181696000.0,4181696000.0,2893551000.0,2893551000.0,2893551000.0,2893551000.0,3781510000.0,3781510000.0,3781510000.0,3781510000.0,4838912000.0,4838912000.0,4838912000.0,4838912000.0,5091970000.0,5091970000.0,5091970000.0,5092000000.0,5324000000.0,5324000000.0,5324000000.0,5324000000.0,5502000000.0
AccountsPayableCurrent / USD,2051112000.0,1707331000.0,1830432000.0,1788454000.0,1883088000.0,1834024000.0,1972984000.0,1953092000.0,1953092000.0,1804690000.0,2143219000.0,2183417000.0,2164695000.0,2074396000.0,2285744000.0,2209469000.0,2308181000.0,2249968000.0,2432309000.0,2428215000.0,2475589000.0,2443704000.0,2726427000.0,2831028000.0,2924417000.0,2797947000.0,2836430000.0,2881953000.0,2887863000.0,2710469000.0,2906651000.0,2935982000.0,3716517000.0,3549554000.0,3849670000.0,3971112000.0,3951205000.0,3745817000.0,4235856000.0,4136482000.0,4314620000.0,4314620000.0,4314620000.0,4314620000.0,3447065000.0,3447065000.0,3447065000.0,3447065000.0,4884781000.0,4884781000.0,4884781000.0,4884781000.0,5752958000.0,5752958000.0,5752958000.0,5752958000.0,6025757000.0,6025757000.0,6025757000.0,6025000000.0,6290000000.0,6290000000.0,6290000000.0,6290000000.0,6512000000.0
AccountsReceivableSale / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000000.0,2400000000.0,3600000000.0,,1900000000.0
AccruedIncomeTaxesCurrent / USD,584608000.0,538790000.0,98179000.0,323983000.0,345420000.0,56775000.0,0.0,,337001000.0,47738000.0,84838000.0,0.0,384613000.0,123420000.0,88112000.0,50316000.0,159014000.0,,,,139286000.0,204157000.0,0.0,,94437000.0,,,0.0,0.0,0.0,0.0,110690000.0,252681000.0,0.0,0.0,14540000.0,148902000.0,128446000.0,0.0,56793000.0,17343000.0,17343000.0,17343000.0,17343000.0,2938000.0,2938000.0,2938000.0,2938000.0,22644000.0,22644000.0,22644000.0,22644000.0,40042000.0,40042000.0,40042000.0,40042000.0,101894000.0,101894000.0,101894000.0,102000000.0,131000000.0,131000000.0,131000000.0,131000000.0,51000000.0
AccruedLiabilitiesCurrent / USD,757455000.0,806055000.0,776767000.0,797756000.0,767742000.0,793303000.0,794235000.0,870114000.0,870114000.0,761954000.0,800155000.0,856569000.0,817703000.0,857538000.0,870674000.0,909144000.0,881417000.0,941525000.0,983758000.0,985476000.0,930800000.0,931150000.0,1026631000.0,1160850000.0,1132069000.0,1100239000.0,1109887000.0,1467610000.0,999337000.0,1071632000.0,1118410000.0,1289312000.0,1381300000.0,1471195000.0,1328773000.0,1576221000.0,1502021000.0,1567362000.0,1515682000.0,1608966000.0,1729941000.0,1729941000.0,1729941000.0,1729941000.0,1616289000.0,1616289000.0,1616289000.0,1616289000.0,1814837000.0,1814837000.0,1814837000.0,1814837000.0,2270753000.0,2270753000.0,2270753000.0,2270753000.0,2251181000.0,2251181000.0,2251181000.0,2251000000.0,2226000000.0,2226000000.0,2226000000.0,2226000000.0,2268000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-98308000.0,-197287000.0,-200413000.0,-277986000.0,-233932000.0,-180095000.0,-167827000.0,-480251000.0,-480251000.0,-387421000.0,-330060000.0,-259958000.0,-352107000.0,-323565000.0,-286623000.0,-662866000.0,-613975000.0,-605709000.0,-620720000.0,-446937000.0,-411801000.0,-446417000.0,-516922000.0,-642663000.0,-743172000.0,-828656000.0,-920140000.0,-923197000.0,-1007539000.0,-1045177000.0,-988101000.0,-1358118000.0,-1434940000.0,-1582596000.0,-1505437000.0,-1262737000.0,-1142578000.0,-1116028000.0,-1075484000.0,-1409269000.0,-1599729000.0,-1599729000.0,-1599729000.0,-1599729000.0,-1710881000.0,-1710881000.0,-1710881000.0,-1710881000.0,-1148764000.0,-1148764000.0,-1148764000.0,-1148764000.0,-1482054000.0,-1482054000.0,-1482054000.0,-1482054000.0,-1252590000.0,-1252590000.0,-1252590000.0,-1253000000.0,-1339000000.0,-1339000000.0,-1339000000.0,-1339000000.0,-1098000000.0
AdditionalPaidInCapitalCommonStock / USD,727558000.0,750843000.0,755408000.0,760352000.0,764902000.0,788138000.0,799278000.0,816833000.0,816833000.0,848612000.0,861835000.0,887754000.0,891645000.0,907991000.0,923189000.0,939179000.0,939249000.0,954988000.0,1029443000.0,1059624000.0,1086716000.0,1105382000.0,1119784000.0,1139218000.0,1155838000.0,1181918000.0,1185012000.0,1213999000.0,1231506000.0,1022816000.0,1039236000.0,1281140000.0,1313245000.0,1320068000.0,1307914000.0,1327366000.0,1348349000.0,1361471000.0,1357399000.0,1383619000.0,1457419000.0,1457419000.0,1457419000.0,1457419000.0,1506901000.0,1506901000.0,1506901000.0,1506901000.0,1619995000.0,1619995000.0,1619995000.0,1619995000.0,1766305000.0,1766305000.0,1766305000.0,1766305000.0,1814681000.0,1814681000.0,1814681000.0,1815000000.0,1908000000.0,1908000000.0,1908000000.0,1908000000.0,1986000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,46493000.0,67400000.0,99535000.0,31841000.0,51089000.0,67035000.0,83069000.0,31730000.0,31730000.0,67237000.0,86668000.0,36078000.0,53796000.0,71180000.0,82762000.0,36573000.0,55153000.0,67926000.0,82895000.0,42436000.0,61324000.0,69078000.0,80254000.0,42919000.0,60879000.0,68427000.0,75969000.0,47345000.0,46470000.0,57631000.0,66066000.0,49902000.0,41246000.0,48612000.0,56525000.0,41720000.0,41184000.0,52588000.0,65647000.0,37880000.0,28176000.0,28176000.0,28176000.0,31059000.0,334810000.0,334810000.0,334810000.0,25768000.0,334810000.0,117695000.0,117695000.0,28176000.0,70790000.0,70790000.0,70790000.0,334810000.0,45599000.0,45599000.0,45599000.0,118000000.0,54000000.0,54000000.0,54000000.0,71000000.0,17000000.0
AmortizationOfFinancingCosts / USD,,,,,,,,,,,,,,,,,,,,,,,,2487000.0,3803000.0,20144000.0,24057000.0,8286000.0,6161000.0,13637000.0,36088000.0,27943000.0,6560000.0,13143000.0,25156000.0,45137000.0,7192000.0,14395000.0,21095000.0,31852000.0,6170000.0,10814000.0,16244000.0,28474000.0,4920000.0,9889000.0,15247000.0,21382000.0,6554000.0,12946000.0,19485000.0,22663000.0,5577000.0,11014000.0,16160000.0,26115000.0,5435000.0,10315000.0,15019000.0,22000000.0,5000000.0,9000000.0,14000000.0,20000000.0,4000000.0
Assets / USD,10285055000.0,9811422000.0,10137052000.0,10010615000.0,10352439000.0,10204245000.0,10402289000.0,10148186000.0,10148186000.0,10328283000.0,10949934000.0,10313701000.0,11446863000.0,11454027000.0,11933348000.0,11427190000.0,12530068000.0,12471302000.0,12657210000.0,12137207000.0,13039656000.0,13031412000.0,13156651000.0,12665766000.0,13594033000.0,17929809000.0,17944145000.0,13141113000.0,13371551000.0,13089468000.0,13351094000.0,17989281000.0,18024810000.0,17630066000.0,17920900000.0,16721804000.0,18418590000.0,18219370000.0,18629142000.0,17756655000.0,17966522000.0,17966522000.0,17966522000.0,18070404000.0,22628266000.0,22628266000.0,22628266000.0,17966522000.0,21413539000.0,21413539000.0,21413539000.0,22628266000.0,22085688000.0,22085688000.0,22085688000.0,21413539000.0,22821145000.0,22821145000.0,22821145000.0,22086000000.0,24917000000.0,24917000000.0,24917000000.0,22821000000.0,26774000000.0
