fact_unit,2010-08-06,2010-11-05,2011-02-25,2011-05-06,2011-08-09,2011-11-04,2012-02-28,2012-05-09,2012-08-03,2012-11-05,2013-02-28,2013-05-07,2013-08-07,2013-11-08,2014-03-03,2014-05-09,2014-08-11,2014-11-03,2015-02-27,2015-05-07,2015-08-06,2015-11-05,2016-02-26,2016-05-06,2016-08-05,2016-11-04,2017-02-24,2017-05-05,2017-08-04,2017-11-03,2018-02-23,2018-05-10,2018-08-09,2018-11-02,2019-02-28,2019-05-03,2019-08-08,2019-11-01,2020-02-14,2020-05-06,2020-08-10,2020-11-05,2020-12-23,2021-03-01,2021-05-06,2021-08-05,2021-11-05,2022-02-23,2022-05-06,2022-08-04,2022-11-04,2023-02-24,2023-05-04,2023-08-03,2023-11-02,2024-02-23,2024-05-03,2024-08-02,2024-11-07,2025-02-21,2025-05-08,2025-08-05,2025-10-30
AccountsPayableAndAccruedLiabilitiesCurrent / USD,11599634.0,11599634.0,11599634.0,17232103.0,17232103.0,17232103.0,17232103.0,20251313.0,20251313.0,20251313.0,20251313.0,23976613.0,23976613.0,23976613.0,23976613.0,34405333.0,34405333.0,34405333.0,34405333.0,58006000.0,58006000.0,58006000.0,58006000.0,62038000.0,62038000.0,62038000.0,62038000.0,105106000.0,105106000.0,105106000.0,105106000.0,221095000.0,221095000.0,221095000.0,221095000.0,266759000.0,266759000.0,266759000.0,266759000.0,372309000.0,372309000.0,372309000.0,266759000.0,372309000.0,767336000.0,767336000.0,767336000.0,767336000.0,1036000000.0,1036000000.0,1036000000.0,1036000000.0,1393000000.0,1393000000.0,1393000000.0,1393000000.0,2117000000.0,2117000000.0,2117000000.0,2117000000.0,3196000000.0,3196000000.0,3196000000.0
AccountsReceivableGrossCurrent / USD,,,,,,,24178741.0,,,,32766584.0,,,,32783099.0,,,,44879064.0,,,,62837000.0,,,,39714000.0,,,,35871000.0,,,,37989000.0,,,,43855000.0,,,,43855000.0,41771000.0,,,,56985000.0,,,,106000000.0,,,,144000000.0,,,,177000000.0,,,
AccountsReceivableNetCurrent / USD,4868377.0,4868377.0,4868377.0,12618173.0,12618173.0,12618173.0,12618173.0,16815087.0,16815087.0,16815087.0,16815087.0,19837022.0,19837022.0,19837022.0,19837022.0,25884260.0,25884260.0,25884260.0,25884260.0,46672000.0,46672000.0,46672000.0,46672000.0,28428000.0,28428000.0,28428000.0,28428000.0,25435000.0,25435000.0,25435000.0,25435000.0,28168000.0,28168000.0,28168000.0,28168000.0,35153000.0,35153000.0,35153000.0,35153000.0,35446000.0,35446000.0,35446000.0,35153000.0,35446000.0,49691000.0,49691000.0,49691000.0,49691000.0,98000000.0,98000000.0,98000000.0,98000000.0,130000000.0,130000000.0,130000000.0,130000000.0,156000000.0,156000000.0,156000000.0,156000000.0,255000000.0,255000000.0,255000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,,,,,,,,,22316019.0,,,,30679220.0,,,,41607000.0,,,,52814000.0,,,,76590000.0,,,,102905000.0,,,,131862000.0,,,,131862000.0,187999000.0,,,,253222000.0,,,,391000000.0,,,,683000000.0,,,,823000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-23765418.0,-23765418.0,-23765418.0,-22399039.0,-22399039.0,-22399039.0,-23765418.0,-37043346.0,-37043346.0,-37043346.0,-22399039.0,-48783128.0,-48783128.0,-48783128.0,-37043346.0,-87455970.0,-87455970.0,-87455970.0,-48783128.0,-135074000.0,-135074000.0,-135074000.0,-87456000.0,-239279000.0,-239279000.0,-239279000.0,-135074000.0,-259813000.0,-259813000.0,-259813000.0,-239279000.0,-282851000.0,-282851000.0,-282851000.0,-259813000.0,-391577000.0,-391577000.0,-391577000.0,-282851000.0,-406671000.0,-406671000.0,-406671000.0,-282851000.0,-391577000.0,-468284000.0,-468284000.0,-468284000.0,-406671000.0,-515000000.0,-515000000.0,-515000000.0,-515000000.0,-464000000.0,-464000000.0,-464000000.0,-464000000.0,-290000000.0,-290000000.0,-290000000.0,-290000000.0,-920000000.0,-920000000.0,-920000000.0
AdditionalPaidInCapital / USD,120257998.0,120257998.0,120257998.0,120391622.0,120391622.0,120391622.0,120391622.0,120452032.0,120452032.0,120452032.0,120452032.0,120468759.0,120468759.0,120468759.0,120468759.0,121562193.0,121562193.0,121562193.0,,137645000.0,137645000.0,137645000.0,137645000.0,137923000.0,137923000.0,137923000.0,137923000.0,137982000.0,137982000.0,137982000.0,137982000.0,70661000.0,70661000.0,70661000.0,70661000.0,224800000.0,224800000.0,224800000.0,224800000.0,2067869000.0,2067869000.0,2067869000.0,224800000.0,2067869000.0,1860502000.0,1860502000.0,1860502000.0,1860502000.0,2439000000.0,2439000000.0,2439000000.0,2439000000.0,2309000000.0,2309000000.0,2309000000.0,2309000000.0,1770000000.0,1770000000.0,1770000000.0,1770000000.0,1770000000.0,1770000000.0,1770000000.0
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition / USD,,,,,,37696.0,74382.0,,,,37696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000000.0,1000000.0,,,,0.0,,,1000000.0
AdvertisingExpense / USD,,,,,,,21967844.0,,,,20173078.0,,,,19914755.0,,,,18764629.0,,,,31595000.0,,,,42052000.0,,,,46862000.0,,,,,,,,,,,,,,,,,,,,,356000000.0,,,,531000000.0,,,,593000000.0,,,
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112000000.0,1112000000.0,1112000000.0,1102000000.0,1102000000.0,1102000000.0,1102000000.0,1708000000.0,1708000000.0,1708000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,,,,11560568.0,,,,15951497.0,,,,12946077.0,,,,18994804.0,,,,16165000.0,,,,11286000.0,,,,10436000.0,,,,9821000.0,,,,8702000.0,,,,8702000.0,6325000.0,,,,7294000.0,,,,8000000.0,,,,14000000.0,,,,21000000.0,,,
