fact_unit,2010-08-17,2010-11-04,2011-02-24,2011-05-05,2011-08-30,2011-11-03,2012-02-27,2012-05-03,2012-08-02,2012-11-01,2013-02-26,2013-04-29,2013-08-01,2013-10-31,2014-02-27,2014-05-01,2014-07-31,2014-10-30,2015-02-26,2015-04-30,2015-07-30,2015-10-29,2016-02-25,2016-04-28,2016-07-28,2016-10-27,2017-02-23,2017-05-01,2017-07-27,2017-10-26,2018-02-22,2018-04-26,2018-07-26,2018-10-25,2019-02-21,2019-05-02,2019-07-25,2019-10-24,2020-02-27,2020-05-07,2020-07-30,2020-10-29,2021-02-25,2021-04-29,2021-07-29,2021-10-28,2022-02-24,2022-04-28,2022-07-28,2022-10-27,2023-03-01,2023-04-27,2023-07-27,2023-10-26,2024-02-26,2024-04-25,2024-07-25,2024-10-31,2025-02-27,2025-04-24,2025-08-07,2025-10-30
AccountsPayableAndAccruedLiabilitiesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,88532000.0,88532000.0,88532000.0,88532000.0,88153000.0,88153000.0,88153000.0,88153000.0,104533000.0,104533000.0,104533000.0,104533000.0,111291000.0,111291000.0,111291000.0,111291000.0,134957000.0,134957000.0,134957000.0,134957000.0,150706000.0,150706000.0,150706000.0,150706000.0,138317000.0,138317000.0,138317000.0,138317000.0,165915000.0,165915000.0,165915000.0,165915000.0,175622000.0,175622000.0,175622000.0,175622000.0,190028000.0,190028000.0,190028000.0
AccountsReceivableNetCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468636000.0,468636000.0,468636000.0,468636000.0,494637000.0,494637000.0,494637000.0,494637000.0,479123000.0,479123000.0,479123000.0,479123000.0,524937000.0,524937000.0,524937000.0,524937000.0,625338000.0,625338000.0,625338000.0,625338000.0,707060000.0,707060000.0,707060000.0
AccruedInvestmentIncomeReceivable / USD,,,,,,,,,,,,,,,,,,,,,,,5538000.0,5491000.0,5491000.0,5491000.0,5491000.0,6337000.0,6337000.0,6337000.0,6337000.0,6853000.0,6853000.0,6853000.0,6853000.0,5263000.0,5263000.0,5263000.0,5263000.0,5433000.0,5433000.0,5433000.0,5433000.0,6146000.0,6146000.0,6146000.0,6146000.0,6303000.0,6303000.0,6303000.0,6303000.0,8301000.0,8301000.0,8301000.0,8301000.0,9458000.0,9458000.0,9458000.0,9458000.0,11069000.0,11069000.0,11069000.0
AccruedSalesCommissionCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,189918000.0,195542000.0,195542000.0,195542000.0,195542000.0,210559000.0,210559000.0,210559000.0,210559000.0,228124000.0,228124000.0,228124000.0,228124000.0,241573000.0,241573000.0,241573000.0,241573000.0,262963000.0,262963000.0,262963000.0,262963000.0,262338000.0,262338000.0,262338000.0,262338000.0,270746000.0,270746000.0,270746000.0,270746000.0,300028000.0,300028000.0,300028000.0,300028000.0,353709000.0,353709000.0,353709000.0,353709000.0,408309000.0,408309000.0,408309000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,,,,,,,,,,,,,,,,,,,,,,-133191000.0,-117701000.0,-117701000.0,-117701000.0,-96864000.0,-121381000.0,-121381000.0,-121381000.0,-121381000.0,-156059000.0,-156059000.0,-156059000.0,-156059000.0,-130284000.0,-130284000.0,-130284000.0,-130284000.0,-116868000.0,-116868000.0,-116868000.0,-116868000.0,-78143000.0,-78143000.0,-78143000.0,-78143000.0,-25288000.0,-25288000.0,-25288000.0,-25288000.0,-7414000.0,-7414000.0,-7414000.0,-7414000.0,-13400000.0,-13400000.0,-13400000.0,-13400000.0,-47591000.0,-47591000.0,-47591000.0
AdditionalPaidInCapitalCommonStock / USD,,,,,,,,,,,,,,,,,,,,,,,16317000.0,16311000.0,16311000.0,16311000.0,16311000.0,16300000.0,16300000.0,16300000.0,16300000.0,16470000.0,16470000.0,16470000.0,16470000.0,16459000.0,16459000.0,16459000.0,16459000.0,16483000.0,16483000.0,16483000.0,16483000.0,16487000.0,16487000.0,16487000.0,16487000.0,16496000.0,16496000.0,16496000.0,16496000.0,16481000.0,16481000.0,16481000.0,16481000.0,16466000.0,16466000.0,16466000.0,16466000.0,16466000.0,16466000.0,16466000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000.0,,,500000.0,500000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,700000.0,700000.0,700000.0
Assets / USD,13287000000.0,13287000000.0,13287000000.0,14344000000.0,14344000000.0,14344000000.0,14344000000.0,14348000000.0,14348000000.0,14348000000.0,14348000000.0,15441000000.0,15441000000.0,15441000000.0,15441000000.0,16676000000.0,16676000000.0,16676000000.0,16676000000.0,17758000000.0,17758000000.0,17758000000.0,1319198000.0,1407296000.0,1407296000.0,1407296000.0,1407296000.0,1548955000.0,1548955000.0,1548955000.0,1548955000.0,1665859000.0,1665859000.0,1665859000.0,1665859000.0,1778327000.0,1778327000.0,1778327000.0,1778327000.0,2016240000.0,2016240000.0,2016240000.0,2016240000.0,2117122000.0,2117122000.0,2117122000.0,2117122000.0,2242057000.0,2242057000.0,2242057000.0,2242057000.0,2239456000.0,2239456000.0,2239456000.0,2239456000.0,2471964000.0,2471964000.0,2471964000.0,2471964000.0,2888614000.0,2888614000.0,2888614000.0
AssetsCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,533251000.0,635146000.0,635146000.0,635146000.0,635146000.0,665516000.0,665516000.0,665516000.0,665516000.0,801882000.0,801882000.0,801882000.0,801882000.0,1168946000.0,1168946000.0,1168946000.0,1168946000.0,891404000.0,891404000.0,891404000.0,891404000.0,732300000.0,732300000.0,732300000.0,732300000.0,763730000.0,763730000.0,763730000.0,763730000.0,778796000.0,778796000.0,778796000.0,778796000.0,930189000.0,930189000.0,930189000.0,930189000.0,1145032000.0,1145032000.0,1145032000.0
AvailableForSaleDebtSecuritiesAmortizedCostBasis / USD,,,,,,,,,,,,,,,,,,8986000000.0,9095000000.0,9499000000.0,9593000000.0,9687000000.0,581972000.0,596255000.0,629945000.0,681123000.0,702403000.0,706654000.0,735993000.0,740809000.0,741799000.0,732618000.0,708895000.0,708282000.0,741799000.0,676847000.0,687780000.0,676336000.0,724950000.0,779318000.0,792470000.0,887936000.0,724950000.0,898790000.0,898790000.0,898790000.0,938279000.0,938279000.0,947605000.0,954297000.0,961135000.0,968861000.0,976358000.0,978108000.0,992553000.0,1001906000.0,1030693000.0,1061705000.0,1065956000.0,1127741000.0,1133258000.0,1065216000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost / USD,,,,,,,,,,,,,,,,,,,,,,,163827000.0,174612000.0,188270000.0,195967000.0,203880000.0,216377000.0,223344000.0,239042000.0,240614000.0,258775000.0,249068000.0,247101000.0,217659000.0,133675000.0,127215000.0,128109000.0,120716000.0,134580000.0,129547000.0,160245000.0,185849000.0,187492000.0,194317000.0,183979000.0,195937000.0,204733000.0,193835000.0,217387000.0,198287000.0,189051000.0,174031000.0,171654000.0,175670000.0,194162000.0,189349000.0,186695000.0,186208000.0,187422000.0,177290000.0,136215000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue / USD,,,,,,,,,,,,,,,,,,,,,,,168918000.0,181441000.0,195896000.0,203310000.0,207358000.0,220453000.0,227888000.0,242425000.0,242739000.0,257096000.0,246058000.0,244336000.0,212692000.0,132586000.0,127364000.0,129071000.0,122068000.0,125505000.0,128334000.0,161148000.0,189711000.0,189327000.0,197441000.0,186450000.0,197733000.0,200244000.0,180451000.0,200110000.0,186693000.0,181638000.0,167272000.0,164848000.0,173800000.0,192549000.0,188453000.0,188732000.0,185333000.0,187375000.0,178639000.0,138111000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost / USD,,,,,,,,,,,,,,,,,,,,,,,267468000.0,275900000.0,296550000.0,314652000.0,329377000.0,305334000.0,330763000.0,332904000.0,313305000.0,254866000.0,241546000.0,230247000.0,163276000.0,320044000.0,358056000.0,307299000.0,336377000.0,344995000.0,362607000.0,419336000.0,419019000.0,421401000.0,429579000.0,420007000.0,409379000.0,401680000.0,408070000.0,424086000.0,427919000.0,428383000.0,435531000.0,431382000.0,426547000.0,418035000.0,441071000.0,453677000.0,454563000.0,479358000.0,478964000.0,460087000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue / USD,,,,,,,,,,,,,,,,,,,,,,,265917000.0,277046000.0,300336000.0,319198000.0,331617000.0,308833000.0,334532000.0,337986000.0,315436000.0,255157000.0,242016000.0,230234000.0,160504000.0,319564000.0,358508000.0,308682000.0,339033000.0,333389000.0,372299000.0,431758000.0,435504000.0,433929000.0,442409000.0,430590000.0,414588000.0,392696000.0,389070000.0,396166000.0,403985000.0,408641000.0,414012000.0,409557000.0,417509000.0,408886000.0,433520000.0,456863000.0,451762000.0,479252000.0,482703000.0,465927000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost / USD,,,,,,,,,,,,,,,,,,,,,,,88564000.0,91748000.0,99440000.0,118838000.0,113842000.0,108724000.0,110706000.0,103778000.0,116771000.0,122321000.0,123814000.0,125801000.0,112503000.0,99794000.0,139547000.0,208053000.0,235244000.0,272635000.0,276162000.0,295198000.0,276529000.0,274424000.0,270558000.0,286158000.0,294902000.0,297158000.0,288199000.0,286933000.0,310349000.0,304678000.0,309921000.0,312016000.0,309140000.0,317457000.0,352802000.0,372256000.0,380133000.0,407384000.0,419663000.0,404962000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue / USD,,,,,,,,,,,,,,,,,,,,,,,90307000.0,93832000.0,102490000.0,121026000.0,112972000.0,108237000.0,110979000.0,103647000.0,116596000.0,120977000.0,122946000.0,124594000.0,111490000.0,99569000.0,140205000.0,210038000.0,236945000.0,265995000.0,279959000.0,301919000.0,285468000.0,278253000.0,276092000.0,289837000.0,295368000.0,284276000.0,263099000.0,252853000.0,279894000.0,279654000.0,283954000.0,278875000.0,289902000.0,297138000.0,331643000.0,362950000.0,362090000.0,393220000.0,407986000.0,398085000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost / USD,,,,,,,,,,,,,,,,,,,,,,,62113000.0,53995000.0,45685000.0,51666000.0,55304000.0,76219000.0,71180000.0,65085000.0,71109000.0,96656000.0,94467000.0,105133000.0,263957000.0,123334000.0,62962000.0,32875000.0,32613000.0,27108000.0,24154000.0,13157000.0,17393000.0,16625000.0,20580000.0,30255000.0,38061000.0,46013000.0,57501000.0,25891000.0,24580000.0,46749000.0,56875000.0,63056000.0,81196000.0,72252000.0,47471000.0,49077000.0,45052000.0,53577000.0,57341000.0,63952000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue / USD,,,,,,,,,,,,,,,,,,,,,,,62067000.0,53962000.0,45799000.0,51821000.0,55394000.0,76354000.0,71283000.0,65208000.0,71190000.0,96574000.0,94408000.0,105031000.0,263837000.0,123200000.0,63031000.0,32842000.0,32655000.0,26764000.0,24233000.0,13229000.0,17553000.0,16813000.0,20856000.0,30627000.0,38396000.0,46104000.0,57107000.0,25558000.0,24089000.0,45733000.0,55714000.0,61957000.0,80030000.0,71072000.0,46768000.0,48447000.0,44430000.0,52860000.0,56820000.0,63710000.0
AvailableForSaleSecuritiesDebtSecurities / USD,,,,,7543000000.0,7543000000.0,7543000000.0,7840000000.0,7840000000.0,7840000000.0,7840000000.0,8159000000.0,8159000000.0,8159000000.0,8159000000.0,8688000000.0,8688000000.0,8688000000.0,8688000000.0,9571000000.0,9571000000.0,9571000000.0,587209000.0,606281000.0,644521000.0,695355000.0,707341000.0,713877000.0,744682000.0,749266000.0,745961000.0,729804000.0,705428000.0,704195000.0,745961000.0,674919000.0,689108000.0,680633000.0,730701000.0,751653000.0,804825000.0,908054000.0,730701000.0,928236000.0,928236000.0,928236000.0,946085000.0,946085000.0,889727000.0,874687000.0,894661000.0,915666000.0,920952000.0,915237000.0,961241000.0,969645000.0,1000384000.0,1056992000.0,1043615000.0,1112707000.0,1126148000.0,1065833000.0
AvailableForSaleSecuritiesDebtSecuritiesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96574000.0,107369000.0,105031000.0,402339000.0,402339000.0,402339000.0,402339000.0,402339000.0,32810000.0,32810000.0,32810000.0,32810000.0,17697000.0,17697000.0,17697000.0,17697000.0,38396000.0,38396000.0,38396000.0,38396000.0,24267000.0,24267000.0,24267000.0,24267000.0,82017000.0,82017000.0,82017000.0,82017000.0,44604000.0,44604000.0,44604000.0
AvailableForSaleSecuritiesDebtSecuritiesNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633230000.0,598059000.0,599164000.0,346184000.0,346184000.0,346184000.0,346184000.0,346184000.0,697891000.0,697891000.0,697891000.0,697891000.0,910539000.0,910539000.0,910539000.0,910539000.0,907689000.0,907689000.0,907689000.0,907689000.0,870394000.0,870394000.0,870394000.0,870394000.0,879224000.0,879224000.0,879224000.0,879224000.0,991726000.0,991726000.0,991726000.0
