fact_unit,2009-09-01,2009-12-01,2010-03-30,2010-06-02,2010-08-31,2010-12-01,2011-03-29,2011-05-31,2011-08-30,2011-12-01,2012-04-02,2012-04-10,2012-06-06,2012-09-04,2012-12-04,2013-04-02,2013-06-04,2013-09-03,2013-12-03,2014-03-31,2014-06-03,2014-09-02,2014-12-02,2015-03-31,2015-06-02,2015-09-01,2015-12-02,2016-03-29,2016-05-31,2016-09-02,2016-11-29,2017-04-04,2017-06-06,2017-09-05,2017-12-05,2018-04-02,2018-06-05,2018-09-04,2018-12-06,2019-04-02,2019-06-03,2019-09-03,2019-12-04,2020-03-23,2020-05-28,2020-08-26,2020-11-25,2021-03-22,2021-05-27,2021-08-26,2021-11-24,2022-03-21,2022-05-26,2022-08-25,2022-11-23,2023-03-27,2023-06-01,2023-08-30,2023-11-29,2024-03-25,2024-05-30,2024-08-29,2024-11-27,2025-03-24,2025-05-29,2025-08-28,2025-11-26
AccountsPayableCurrent / USD,4786000000.0,4831000000.0,4109000000.0,5843000000.0,4970000000.0,5046000000.0,4287000000.0,7062000000.0,4888000000.0,4959000000.0,4351000000.0,4351000000.0,6694000000.0,5378000000.0,5242000000.0,4352000000.0,6977000000.0,5084000000.0,5416000000.0,4657000000.0,7041000000.0,5664000000.0,5776000000.0,5008000000.0,7051000000.0,6191000000.0,6459000000.0,5124000000.0,8023000000.0,7123000000.0,7338000000.0,5633000000.0,8821000000.0,7696000000.0,7836000000.0,6651000000.0,9905000000.0,8649000000.0,8903000000.0,6590000000.0,10104000000.0,8984000000.0,9283000000.0,8279000000.0,11485000000.0,9499000000.0,8822000000.0,7659000000.0,10841000000.0,12916000000.0,12759000000.0,10884000000.0,13964000000.0,12011000000.0,11334000000.0,11354000000.0,13831000000.0,12631000000.0,12249000000.0,10524000000.0,11885000000.0,10333000000.0,9914000000.0,8704000000.0,11737000000.0,10336000000.0,10602000000.0
AccrualForTaxesOtherThanIncomeTaxesCurrent / USD,,,,,,,103000000.0,,,,113000000.0,113000000.0,,,,102000000.0,,,,112000000.0,,,,121000000.0,,,,124000000.0,,,,111000000.0,,,,108000000.0,,,,109000000.0,,,,108000000.0,,,,104000000.0,,,,120000000.0,,,,124000000.0,,,,119000000.0,,,,130000000.0,,,
AccruedIncomeTaxesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000000.0,,,,168000000.0,,,,128000000.0,741000000.0,330000000.0,913000000.0,1181000000.0,,,,33000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,8000000.0,-4000000.0,-6000000.0,5000000.0,46000000.0,46000000.0,27000000.0,45000000.0,39000000.0,45000000.0,53000000.0,53000000.0,85000000.0,82000000.0,46000000.0,46000000.0,52000000.0,47000000.0,53000000.0,52000000.0,52000000.0,26000000.0,23000000.0,-17000000.0,-9000000.0,-5000000.0,-28000000.0,-103000000.0,-81000000.0,-310000000.0,-379000000.0,-394000000.0,-309000000.0,-366000000.0,-214000000.0,-240000000.0,-241000000.0,-136000000.0,38000000.0,11000000.0,-71000000.0,-142000000.0,-165000000.0,-209000000.0,-256000000.0,-187000000.0,-164000000.0,-136000000.0,-393000000.0,-285000000.0,-245000000.0,-136000000.0,-11000000.0,-65000000.0,-6000000.0,-36000000.0,164000000.0,137000000.0,140000000.0,307000000.0,304000000.0,306000000.0,302000000.0,300000000.0,296000000.0,295000000.0,292000000.0
AdditionalPaidInCapitalCommonStock / USD,118000000.0,215000000.0,277000000.0,296000000.0,367000000.0,398000000.0,6000000.0,6000000.0,9000000.0,6000000.0,11000000.0,11000000.0,0.0,7000000.0,24000000.0,14000000.0,0.0,2000000.0,9000000.0,26000000.0,38000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,129000000.0,0.0,90000000.0,0.0,0.0,0.0,,,0.0,0.0,,,12000000.0,7000000.0,,0.0,0.0,0.0
AdjustmentsToAdditionalPaidInCapitalDividendsInExcessOfRetainedEarnings / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898000000.0,2466000000.0,629000000.0,1283000000.0,1933000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,99000000.0,,,,95000000.0,,,,102000000.0,102000000.0,,,,115000000.0,,,,106000000.0,,,,97000000.0,,,,102000000.0,,,,111000000.0,,,,112000000.0,,,,104000000.0,,,77000000.0,99000000.0,39000000.0,52000000.0,72000000.0,74000000.0,23000000.0,64000000.0,103000000.0,98000000.0,50000000.0,113000000.0,163000000.0,155000000.0,46000000.0,110000000.0,161000000.0,228000000.0,55000000.0,113000000.0,155000000.0,225000000.0,50000000.0,110000000.0,159000000.0
AdvertisingExpense / USD,,,,,,,789000000.0,,,,750000000.0,750000000.0,,,,790000000.0,,,,803000000.0,,,,809000000.0,,,,811000000.0,,,,819000000.0,,,,769000000.0,,,,893000000.0,,,,968000000.0,,,,963000000.0,,,,871000000.0,,,,798000000.0,,,,877000000.0,,,,869000000.0,,,
AllocatedShareBasedCompensationExpense / USD,,,,,,,95000000.0,,,,102000000.0,102000000.0,,,,115000000.0,,,,107000000.0,,,,100000000.0,,,,100000000.0,,,,119000000.0,,,,117000000.0,,,,90000000.0,,,,99000000.0,,,,74000000.0,,,,98000000.0,,,,155000000.0,,,,230000000.0,,,,224000000.0,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,24700000.0,21500000.0,19100000.0,17200000.0,19700000.0,19900000.0,21400000.0,21400000.0,14800000.0,14600000.0,18400000.0,19800000.0,7900000.0,8600000.0,8400000.0,18200000.0,1500000.0,1800000.0,2100000.0,7500000.0,0.0,0.0,500000.0,1900000.0,0.0,0.0,100000.0,600000.0,800000.0,800000.0,900000.0,300000.0,800000.0,900000.0,1000000.0,1000000.0,600000.0,700000.0,400000.0,500000.0,600000.0,800000.0,900000.0,500000.0,1000000.0,700000.0,100000.0,900000.0,400000.0,300000.0,200000.0,300000.0,400000.0,500000.0,500000.0,300000.0,600000.0,500000.0,500000.0,500000.0,400000.0,400000.0,200000.0
