fact_unit,2011-06-07,2011-09-08,2011-12-01,2012-03-28,2012-06-05,2012-09-06,2012-11-29,2013-04-03,2013-06-11,2013-09-12,2013-12-05,2014-04-02,2014-06-10,2014-09-11,2014-12-04,2015-04-01,2015-06-04,2015-09-03,2015-12-03,2016-03-30,2016-06-02,2016-08-25,2016-12-01,2017-03-28,2017-06-01,2017-08-31,2017-11-30,2018-04-03,2018-06-01,2018-08-30,2018-12-06,2019-04-02,2019-05-30,2019-08-29,2019-12-05,2020-03-27,2020-05-28,2020-08-27,2020-12-03,2021-03-26,2021-05-27,2021-08-25,2021-12-02,2022-03-25,2022-05-26,2022-08-25,2022-12-01,2023-03-24,2023-05-25,2023-08-24,2023-11-30,2024-03-26,2024-05-30,2024-08-29,2024-12-05,2025-03-27,2025-05-29,2025-08-28,2025-12-04
AccountsPayableCurrent / USD,60693000.0,61316000.0,120245000.0,87093000.0,81510000.0,81380000.0,134043000.0,86442000.0,111889000.0,88881000.0,185177000.0,118886000.0,148488000.0,130738000.0,190193000.0,148282000.0,184148000.0,163459000.0,236329000.0,190778000.0,209509000.0,215720000.0,291269000.0,196174000.0,266278000.0,285238000.0,425071000.0,259518000.0,319352000.0,313483000.0,447293000.0,325758000.0,372664000.0,409849000.0,574480000.0,404016000.0,407345000.0,450117000.0,594993000.0,414009000.0,466043000.0,398011000.0,478501000.0,477052000.0,552837000.0,535257000.0,747451000.0,552730000.0,585500000.0,586851000.0,647117000.0,559527000.0,621272000.0,521315000.0,597373000.0,544001000.0,463777000.0,566904000.0,593219000.0
AccountsReceivableNetCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193109000.0,,,,233682000.0,,,,199422000.0,,,,207939000.0,,,
AccrualForTaxesOtherThanIncomeTaxesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,24883000.0,,,,28306000.0,,,,32085000.0,,,,39051000.0,,,,36787000.0,,,,43464000.0,,,,58850000.0,,,,56790000.0,,,
AccruedAdvertisingCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23543000.0,,,,49477000.0,,,,40580000.0,,,,33875000.0,,,
AccruedIncomeTaxesCurrent / USD,6740000.0,0.0,,0.0,4002000.0,483000.0,4002000.0,4002000.0,5764000.0,10054000.0,10054000.0,10054000.0,20732000.0,15349000.0,15349000.0,15349000.0,27928000.0,9890000.0,4917000.0,19404000.0,34871000.0,12702000.0,12702000.0,12702000.0,50156000.0,1089000.0,8971000.0,8971000.0,54521000.0,14101000.0,984000.0,14101000.0,52005000.0,,,,16679000.0,,6499000.0,42529000.0,42529000.0,42529000.0,6499000.0,42529000.0,113960000.0,12786000.0,12786000.0,12786000.0,108113000.0,,,11310000.0,58695000.0,11310000.0,11310000.0,11310000.0,92711000.0,46777000.0,46777000.0
AccruedLiabilitiesCurrent / USD,54789000.0,68833000.0,83808000.0,76264000.0,66488000.0,73745000.0,81116000.0,74411000.0,77375000.0,80507000.0,90354000.0,92127000.0,78847000.0,102007000.0,97421000.0,103180000.0,90343000.0,126792000.0,128465000.0,149412000.0,139284000.0,154494000.0,166707000.0,187351000.0,179300000.0,205918000.0,229569000.0,260854000.0,210379000.0,256794000.0,266435000.0,189171000.0,179659000.0,202999000.0,255156000.0,220666000.0,227156000.0,224202000.0,249112000.0,246088000.0,173310000.0,201754000.0,268310000.0,296334000.0,322676000.0,313372000.0,329672000.0,364797000.0,305000000.0,323939000.0,462773000.0,444278000.0,308583000.0,328247000.0,405443000.0,382468000.0,332692000.0,348042000.0,333463000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,253700000.0,,,,296369000.0,,,,355331000.0,,,,426920000.0,,,,526090000.0,,,,654355000.0,,,,798759000.0,,,,959208000.0,,,,1149107000.0,,,,1360316000.0,,,,1572021000.0,,,,1718535000.0,,,,1853906000.0,,,,2011694000.0,,,
AdditionalPaidInCapitalCommonStock / USD,304965000.0,309273000.0,316694000.0,339576000.0,363103000.0,367863000.0,387489000.0,404698000.0,432444000.0,452335000.0,481522000.0,496930000.0,509292000.0,521170000.0,544101000.0,548194000.0,556154000.0,561727000.0,573118000.0,576982000.0,594479000.0,607375000.0,614589000.0,621715000.0,595148000.0,635582000.0,653036000.0,658330000.0,675650000.0,683156000.0,691075000.0,698917000.0,711597000.0,720535000.0,731890000.0,738671000.0,786753000.0,794368000.0,800986000.0,807492000.0,813924000.0,822664000.0,831817000.0,847303000.0,861312000.0,889206000.0,915814000.0,934945000.0,951802000.0,982339000.0,998816000.0,1023997000.0,1040378000.0,1049679000.0,1058969000.0,1075104000.0,1091822000.0,1099197000.0,1104952000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,2808000.0,5196000.0,8223000.0,5949000.0,2893000.0,6346000.0,9721000.0,11155000.0,3048000.0,7539000.0,11936000.0,11605000.0,4063000.0,7603000.0,11436000.0,13375000.0,3342000.0,7578000.0,11126000.0,16003000.0,4022000.0,8862000.0,14203000.0,14923000.0,5491000.0,11649000.0,17898000.0,15594000.0,6170000.0,13172000.0,20308000.0,19340000.0,6170000.0,6170000.0,6170000.0,24399000.0,6030000.0,6030000.0,6030000.0,26636000.0,6182000.0,6182000.0,6182000.0,25045000.0,8978000.0,8978000.0,8978000.0,27583000.0,10356000.0,10356000.0,10356000.0,47259000.0,9721000.0,9721000.0,9721000.0,43044000.0,10082000.0,10082000.0,10082000.0
AdvertisingExpense / USD,,,,76811000.0,,,,84796000.0,,,,99446000.0,,,,118365000.0,,,,140774000.0,,,,157847000.0,,,,187158000.0,,,,212714000.0,,,,259423000.0,,,,294489000.0,,,,317865000.0,,,,281573000.0,,,,387794000.0,,,,374730000.0,,160304000.0,268004000.0
