fact_unit,2010-11-24,2011-01-28,2011-04-29,2011-08-05,2011-10-28,2012-01-27,2012-04-27,2012-08-06,2012-10-26,2013-01-25,2013-04-26,2013-08-08,2013-10-25,2014-01-24,2014-04-25,2014-08-08,2014-10-24,2015-01-23,2015-04-24,2015-08-07,2015-10-22,2016-01-28,2016-04-26,2016-08-05,2016-10-20,2017-01-27,2017-04-28,2017-08-04,2017-10-27,2018-01-26,2018-04-27,2018-08-06,2018-10-31,2019-01-29,2019-05-08,2019-08-16,2019-10-31,2020-02-05,2020-05-06,2020-08-10,2020-10-30,2021-02-04,2021-04-30,2021-08-06,2021-10-28,2022-01-28,2022-04-29,2022-08-05,2022-10-28,2023-01-27,2023-04-28,2023-08-04,2023-10-27,2024-01-26,2024-04-26,2024-08-05,2024-10-31,2025-01-31,2025-05-01,2025-08-08,2025-10-31
AcceleratedShareRepurchasesSettlementPaymentOrReceipt / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,,,,3000000000.0,,,,3000000000.0,
AccountsPayableCurrent / USD,107938000.0,107938000.0,107938000.0,107938000.0,142945000.0,142945000.0,142945000.0,142945000.0,139183000.0,139183000.0,139183000.0,139183000.0,115680000.0,115680000.0,115680000.0,115680000.0,103422000.0,103422000.0,103422000.0,103422000.0,103342000.0,103342000.0,103342000.0,103342000.0,106517000.0,106517000.0,106517000.0,106517000.0,147380000.0,147380000.0,147380000.0,147380000.0,169354000.0,169354000.0,169354000.0,169354000.0,202416000.0,202416000.0,202416000.0,202416000.0,264280000.0,264280000.0,264280000.0,264280000.0,342083000.0,342083000.0,342083000.0,342083000.0,443338000.0,443338000.0,443338000.0,443338000.0,371026000.0,371026000.0,371026000.0,371026000.0,359487000.0,359487000.0,359487000.0,359487000.0,458509000.0
AccountsReceivableGrossCurrent / USD,471999000.0,471999000.0,471999000.0,471999000.0,605376000.0,605376000.0,605376000.0,605376000.0,723607000.0,723607000.0,723607000.0,723607000.0,546745000.0,546745000.0,546745000.0,546745000.0,514690000.0,514690000.0,514690000.0,514690000.0,607157000.0,607157000.0,607157000.0,607157000.0,634905000.0,634905000.0,634905000.0,634905000.0,592753000.0,592753000.0,592753000.0,592753000.0,663317000.0,663317000.0,663317000.0,663317000.0,1002114000.0,1002114000.0,1002114000.0,1002114000.0,1119235000.0,1119235000.0,1119235000.0,1119235000.0,1323515000.0,1323515000.0,1323515000.0,1323515000.0,1832508000.0,1832508000.0,1832508000.0,1832508000.0,1786993000.0,1786993000.0,1786993000.0,1786993000.0,1865823000.0,1865823000.0,1865823000.0,1865823000.0,2297930000.0
AccountsReceivableNetCurrent / USD,440125000.0,440125000.0,440125000.0,440125000.0,583270000.0,583270000.0,583270000.0,583270000.0,701280000.0,701280000.0,701280000.0,701280000.0,524610000.0,524610000.0,524610000.0,524610000.0,492863000.0,492863000.0,492863000.0,492863000.0,585494000.0,585494000.0,585494000.0,585494000.0,613233000.0,613233000.0,613233000.0,613233000.0,571117000.0,571117000.0,571117000.0,571117000.0,651678000.0,651678000.0,651678000.0,651678000.0,990113000.0,990113000.0,990113000.0,635878000.0,1107413000.0,1107413000.0,1107413000.0,990113000.0,1305479000.0,1305479000.0,1305479000.0,1107413000.0,1811877000.0,1811877000.0,1811877000.0,1305479000.0,1753361000.0,1753361000.0,1753361000.0,1811877000.0,1833041000.0,1833041000.0,1833041000.0,1753361000.0,2263915000.0
AccruedIncomeTaxesNoncurrent / USD,53492000.0,53492000.0,53492000.0,53492000.0,78337000.0,78337000.0,78337000.0,78337000.0,50839000.0,50839000.0,50839000.0,50839000.0,59494000.0,59494000.0,59494000.0,59494000.0,59575000.0,59575000.0,59575000.0,59575000.0,69018000.0,69018000.0,69018000.0,69018000.0,50365000.0,50365000.0,50365000.0,50365000.0,68439000.0,68439000.0,68439000.0,68439000.0,371665000.0,371665000.0,371665000.0,371665000.0,392266000.0,392266000.0,392266000.0,392266000.0,383447000.0,383447000.0,383447000.0,383447000.0,333866000.0,333866000.0,333866000.0,333866000.0,367052000.0,367052000.0,367052000.0,367052000.0,322113000.0,322113000.0,322113000.0,322113000.0,291106000.0,291106000.0,291106000.0,291106000.0,221808000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,498757000.0,498757000.0,498757000.0,498757000.0,493167000.0,493167000.0,493167000.0,493167000.0,483444000.0,483444000.0,483444000.0,483444000.0,523541000.0,523541000.0,523541000.0,523541000.0,535179000.0,535179000.0,535179000.0,535179000.0,577577000.0,577577000.0,577577000.0,577577000.0,610229000.0,610229000.0,610229000.0,610229000.0,653150000.0,653150000.0,653150000.0,653150000.0,698368000.0,698368000.0,698368000.0,698368000.0,745389000.0,745389000.0,745389000.0,745389000.0,754599000.0,754599000.0,754599000.0,754599000.0,822326000.0,822326000.0,822326000.0,822326000.0,904895000.0,904895000.0,904895000.0,904895000.0,1109987000.0,1109987000.0,1109987000.0,1109987000.0,1284490000.0,1284490000.0,1284490000.0,1284490000.0,1486477000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-31303000.0,-31303000.0,-31303000.0,-31303000.0,-2399000.0,-2399000.0,-2399000.0,-2399000.0,-21143000.0,-21143000.0,-21143000.0,-21143000.0,-36646000.0,-36646000.0,-36646000.0,-36646000.0,-30271000.0,-30271000.0,-30271000.0,-30271000.0,-40573000.0,-40573000.0,-40573000.0,-40573000.0,-48685000.0,-48685000.0,-48685000.0,-48685000.0,-51323000.0,-51323000.0,-51323000.0,-51323000.0,-53933000.0,-53933000.0,-53933000.0,-53933000.0,-73029000.0,-73029000.0,-73029000.0,-73029000.0,-79774000.0,-79774000.0,-79774000.0,-79774000.0,-75557000.0,-75557000.0,-75557000.0,-75557000.0,-27471000.0,-27471000.0,-27471000.0,-27471000.0,-36341000.0,-36341000.0,-36341000.0,-36341000.0,-49075000.0,-49075000.0,-49075000.0,-49075000.0,1201000.0
AdditionalPaidInCapitalCommonStock / USD,,,,921292000.0,,,,1010492000.0,,,,1089313000.0,,,,1159400000.0,,,,1220339000.0,,,,474216000.0,,,,452818000.0,,,,529126000.0,,,,617843000.0,,,,2017153000.0,,,,2090113000.0,,,,2175835000.0,,,,1061798000.0,,,,2107526000.0,,,,2279999000.0,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,105535000.0,,,,85982000.0,,,,81430000.0,,,,78835000.0,,,,70084000.0,,,,60940000.0,,,,55302000.0,,,,45050000.0,,,16138000.0,50943000.0,16138000.0,16138000.0,16138000.0,62784000.0,26944000.0,26944000.0,26944000.0,94194000.0,26992000.0,26992000.0,26992000.0,111381000.0,25216000.0,25216000.0,25216000.0,111836000.0,34982000.0,34982000.0,34982000.0,126918000.0,48772000.0,48772000.0,48772000.0,171424000.0,61700000.0
AllocatedShareBasedCompensationExpense / USD,,,62523000.0,105535000.0,24213000.0,43644000.0,62491000.0,85982000.0,20496000.0,40142000.0,61056000.0,81430000.0,18984000.0,33942000.0,52478000.0,78835000.0,19219000.0,34089000.0,46812000.0,70084000.0,15483000.0,30331000.0,43098000.0,60940000.0,12248000.0,23573000.0,32758000.0,55302000.0,11478000.0,23922000.0,36458000.0,45050000.0,14031000.0,27770000.0,43980000.0,50943000.0,16138000.0,31833000.0,66026000.0,62784000.0,26944000.0,53733000.0,85003000.0,94194000.0,26992000.0,53819000.0,84146000.0,111381000.0,25216000.0,52982000.0,90069000.0,111836000.0,34982000.0,73387000.0,121517000.0,126918000.0,48772000.0,97392000.0,154074000.0,171424000.0,61700000.0
