fact_unit,2009-07-29,2009-10-27,2010-02-17,2010-04-28,2010-07-23,2010-10-21,2011-01-28,2011-04-29,2011-07-22,2011-10-21,2012-01-31,2012-04-20,2012-07-19,2012-10-19,2013-02-01,2013-04-19,2013-07-19,2013-10-18,2014-01-31,2014-05-01,2014-07-18,2014-10-16,2015-02-06,2015-04-23,2015-07-21,2015-10-28,2016-02-01,2016-04-27,2016-07-21,2016-10-20,2017-02-06,2017-04-20,2017-07-21,2017-10-20,2018-02-05,2018-04-26,2018-07-19,2018-10-31,2019-01-30,2019-04-24,2019-07-18,2019-10-24,2020-01-31,2020-04-29,2020-04-30,2020-07-29,2020-10-29,2021-02-04,2021-04-29,2021-08-12,2021-10-28,2022-02-24,2022-05-05,2022-05-10,2022-08-04,2022-11-03,2023-02-23,2023-04-27,2023-05-12,2023-07-27,2023-11-08,2024-02-28,2024-05-02,2024-05-29,2024-08-01,2024-10-31,2025-02-27,2025-05-01,2025-05-09,2025-05-30,2025-07-31,2025-10-30
AociTaxAttributableToParent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,360000000,360000000,360000000,360000000,310000000,310000000,310000000,310000000,-1000000,-1000000,-1000000,-1000000,-41000000,-41000000,-41000000,-41000000,,-24000000,-24000000,-24000000,-24000000,-25000000,-25000000,-25000000,-25000000,-42000000,,-42000000,-42000000,-42000000,-12000000,,-12000000,-12000000,-12000000,-21000000,,-21000000,-21000000,-21000000,-37000000,-37000000,,-37000000,-37000000
Assets / USD,15592439000,15592439000,15592439000,18408320000,18408320000,18408320000,18408320000,22003762000,22003762000,22003762000,22003762000,27320000000,27320000000,27320000000,27320000000,37074000000,37074000000,37074000000,37074000000,41488000000,37074000000,41488000000,41488000000,45132000000,45132000000,45132000000,45132000000,17755000000,17755000000,17755000000,17755000000,23847000000,23847000000,23847000000,23847000000,25986000000,25986000000,25986000000,25986000000,22819000000,22819000000,22819000000,22819000000,,18174000000,18174000000,18174000000,18174000000,19310000000,19310000000,19310000000,19310000000,26626000000,,26626000000,26626000000,26626000000,20850000000,,20850000000,20850000000,20850000000,21620000000,,21620000000,21620000000,21620000000,19365000000,19365000000,,19365000000,19365000000
AssetsCurrent / USD,6286590000,6286590000,6286590000,8460208000,8460208000,8460208000,8460208000,11065338000,11065338000,11065338000,11065338000,12661000000,12661000000,12661000000,12661000000,21398000000,21398000000,21398000000,21398000000,23283000000,21398000000,23283000000,23283000000,26531000000,26531000000,26531000000,26531000000,7904000000,7904000000,7904000000,7904000000,8875000000,8875000000,8875000000,8875000000,7744000000,7744000000,7744000000,7744000000,7126000000,7126000000,7126000000,7126000000,,4706000000,4706000000,4706000000,4706000000,7190000000,7190000000,7190000000,7190000000,9111000000,,9111000000,9111000000,9111000000,9290000000,,9290000000,9290000000,9290000000,11016000000,,11016000000,11016000000,11016000000,7567000000,7567000000,,7567000000,7567000000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue / USD,,,,,,,1045403000,,,,1238301000,,,,2591000000,,,,3638000000,,3638000000,,2732000000,3210000000,4432000000,2174000000,3370000000,4369000000,4942000000,4790000000,5333000000,4775000000,6381000000,4270000000,3743000000,2279000000,2388000000,2752000000,2713000000,2746000000,2969000000,2189000000,1850000000,,3550000000,4297000000,2697000000,2398000000,1700000000,4738000000,3245000000,4199000000,2967000000,,1261000000,1381000000,2521000000,1821000000,,2111000000,2051000000,2556000000,1743000000,,3203000000,3302000000,3457000000,1790000000,1790000000,,1706000000,955000000
AvailableForSaleSecuritiesDebtSecurities / USD,,,,,,,,,,,,,,,,,,,,,,,8284000000,8642000000,10147000000,5623000000,6636000000,7610000000,8366000000,8600000000,9184000000,9196000000,11005000000,9687000000,9189000000,7296000000,6938000000,6884000000,6348000000,5561000000,4752000000,3325000000,2811000000,,4294000000,4831000000,3088000000,2684000000,2224000000,5483000000,3902000000,5926000000,4521000000,,2794000000,2773000000,3737000000,2897000000,,3055000000,2886000000,3159000000,2764000000,,4382000000,4258000000,4766000000,3248000000,3248000000,,3314000000,2900000000
CashAndCashEquivalentsAtCarryingValue / USD,4221191000,4221191000,2662792000,3188928000,3188928000,3188928000,4221191000,3999818000,3999818000,3999818000,3188928000,5577000000,5577000000,5577000000,4000000000,4691000000,4691000000,4691000000,5577000000,6817000000,5577000000,6817000000,4691000000,4494000000,3797000000,2507000000,2848000000,3106000000,2409000000,2387000000,4105000000,1816000000,2001000000,1816000000,1816000000,2120000000,2120000000,2120000000,2120000000,2202000000,2202000000,2202000000,2202000000,,923000000,923000000,901000000,901000000,1428000000,1101000000,1101000000,1101000000,1379000000,,1379000000,1379000000,1379000000,2154000000,,2154000000,2037000000,1379000000,2082000000,,2268000000,2550000000,2154000000,2130000000,2130000000,,1963000000,1589000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1835000000,1835000000,1835000000,1860000000,2140000000,2140000000,2140000000,1835000000,,1681000000,1501000000,845000000,2084000000,883000000,849000000,811000000,659000000,1522000000,,2144000000,1269000000,1238000000,1821000000,,2272000000,2106000000,1406000000,2431000000,,2674000000,3009000000,2272000000,2661000000,2661000000,,2555000000,2372000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219000000,2219000000,2219000000,2140000000,996000000,996000000,996000000,2219000000,1594000000,,1594000000,1594000000,996000000,1406000000,,1406000000,1406000000,1594000000,2272000000,,2272000000,2272000000,1406000000,2493000000,2493000000,,2493000000,2493000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164000000,822000000,-53000000,-25000000,406000000,-504000000,-39000000,305000000,,-507000000,-698000000,-1310000000,79000000,-97000000,29000000,123000000,-1223000000,127000000,,712000000,27000000,598000000,415000000,,366000000,700000000,-188000000,159000000,,402000000,737000000,866000000,168000000,168000000,,62000000,-121000000
CommonStockParOrStatedValuePerShare / USD/shares,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,,0.001,0.001
