fact_unit,2009-08-03,2009-11-02,2010-02-22,2010-05-03,2010-07-30,2010-11-02,2011-02-18,2011-05-09,2011-08-08,2011-11-04,2012-02-23,2012-05-04,2012-08-01,2012-10-31,2013-02-19,2013-04-29,2013-07-29,2013-10-28,2014-02-14,2014-04-25,2014-07-25,2014-10-29,2015-02-13,2015-04-27,2015-06-05,2015-07-27,2015-10-28,2016-02-12,2016-05-02,2016-08-01,2016-10-31,2017-02-17,2017-04-27,2017-07-27,2017-10-26,2018-02-16,2018-04-27,2018-07-27,2018-10-26,2019-02-01,2019-04-26,2019-07-26,2019-10-25,2020-01-24,2020-04-24,2020-07-24,2020-10-23,2021-01-22,2021-04-23,2021-07-23,2021-10-22,2022-01-27,2022-04-29,2022-07-29,2022-10-28,2023-01-27,2023-04-28,2023-07-28,2023-10-27,2024-01-26,2024-04-26,2024-08-02,2024-11-01,2025-01-31,2025-04-25,2025-07-24,2025-11-06
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities / USD,1999000000.0,3272000000.0,5649000000.0,-251000000.0,3531000000.0,5678000000.0,5634000000.0,1637000000.0,2236000000.0,2858000000.0,6801000000.0,853000000.0,1870000000.0,4751000000.0,5228000000.0,234000000.0,2146000000.0,4321000000.0,8021000000.0,2240000000.0,4962000000.0,7743000000.0,7879000000.0,1571000000.0,7879000000.0,4228000000.0,6604000000.0,11156000000.0,2423000000.0,3157000000.0,5783000000.0,8714000000.0,2009000000.0,4524000000.0,6904000000.0,7598000000.0,934000000.0,2833000000.0,4581000000.0,11492000000.0,1830000000.0,4237000000.0,6674000000.0,12509000000.0,985000000.0,4393000000.0,9114000000.0,8379000000.0,497000000.0,6549000000.0,10452000000.0,12097000000.0,1987000000.0,5727000000.0,8808000000.0,14965000000.0,-2222000000.0,-959000000.0,-948000000.0,9588000000.0,983000000.0,2318000000.0,7832000000.0,7416000000.0,-786000000.0,3160000000.0,24203000000.0
AdvertisingExpense / USD,,,,,,,1900000000.0,,,,1400000000.0,,,,1800000000.0,,,,2100000000.0,,,,2000000000.0,,2000000000.0,,,1900000000.0,,,,1800000000.0,,,,1800000000.0,,,,1800000000.0,,,,1400000000.0,,,,1200000000.0,,,,832000000.0,,,,763000000.0,,,,1100000000.0,,,,1200000000.0,,,
AmortizationOfIntangibleAssets / USD,126000000.0,,,62000000.0,137000000.0,219000000.0,256000000.0,61000000.0,124000000.0,180000000.0,308000000.0,155000000.0,411000000.0,667000000.0,240000000.0,266000000.0,533000000.0,801000000.0,923000000.0,382000000.0,661000000.0,953000000.0,1165000000.0,287000000.0,1165000000.0,577000000.0,884000000.0,1242000000.0,251000000.0,465000000.0,680000000.0,1169000000.0,396000000.0,791000000.0,1176000000.0,890000000.0,321000000.0,634000000.0,999000000.0,1524000000.0,390000000.0,782000000.0,1172000000.0,1377000000.0,396000000.0,800000000.0,1211000000.0,1565000000.0,427000000.0,865000000.0,1311000000.0,1622000000.0,448000000.0,897000000.0,1361000000.0,1757000000.0,501000000.0,968000000.0,1439000000.0,1839000000.0,465000000.0,909000000.0,1336000000.0,1907000000.0,351000000.0,717000000.0,1081000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,,,,,,,,,,,,,,18000000.0,90000000.0,62000000.0,56000000.0,56000000.0,29000000.0,33000000.0,29000000.0,21000000.0,14000000.0,55000000.0,3000000.0,2000000.0,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,70000000.0,,,,70000000.0,,,0.0,70000000.0,,158000000.0,
AssetImpairmentCharges / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,2000000.0,7000000.0,,282000000.0,287000000.0,7000000.0,0.0,36000000.0,89000000.0,287000000.0,26000000.0,35000000.0,35000000.0,151000000.0,219000000.0,219000000.0,3612000000.0
Assets / USD,50472000000.0,50472000000.0,50472000000.0,53095000000.0,53095000000.0,53095000000.0,53095000000.0,63186000000.0,63186000000.0,63186000000.0,63186000000.0,71119000000.0,71119000000.0,71119000000.0,71119000000.0,84351000000.0,84351000000.0,84351000000.0,84351000000.0,92358000000.0,92358000000.0,92358000000.0,92358000000.0,91956000000.0,92358000000.0,91956000000.0,91900000000.0,91900000000.0,101459000000.0,101459000000.0,101459000000.0,101459000000.0,113327000000.0,113327000000.0,113327000000.0,113327000000.0,123249000000.0,123249000000.0,123249000000.0,123249000000.0,127963000000.0,127963000000.0,127963000000.0,127963000000.0,136524000000.0,136524000000.0,136524000000.0,136524000000.0,153091000000.0,153091000000.0,153091000000.0,153091000000.0,168406000000.0,168406000000.0,168406000000.0,168406000000.0,182103000000.0,182103000000.0,182103000000.0,182103000000.0,191572000000.0,191572000000.0,191572000000.0,191572000000.0,196485000000.0,196485000000.0,196485000000.0
AssetsCurrent / USD,19871000000.0,19871000000.0,19871000000.0,21157000000.0,21157000000.0,21157000000.0,21157000000.0,31611000000.0,31611000000.0,31611000000.0,31611000000.0,25872000000.0,25872000000.0,25872000000.0,25872000000.0,31358000000.0,31358000000.0,31358000000.0,31358000000.0,32084000000.0,32084000000.0,32084000000.0,32084000000.0,27730000000.0,32084000000.0,27730000000.0,27730000000.0,27730000000.0,38320000000.0,38320000000.0,38320000000.0,38320000000.0,35508000000.0,35508000000.0,35508000000.0,35508000000.0,29500000000.0,29500000000.0,29500000000.0,29500000000.0,28787000000.0,28787000000.0,28787000000.0,28787000000.0,31239000000.0,31239000000.0,31239000000.0,31239000000.0,47249000000.0,47249000000.0,47249000000.0,47249000000.0,58558000000.0,58558000000.0,58558000000.0,58558000000.0,50407000000.0,50407000000.0,50407000000.0,50407000000.0,43269000000.0,43269000000.0,43269000000.0,43269000000.0,47324000000.0,47324000000.0,47324000000.0
AvailableForSaleDebtSecuritiesAmortizedCostBasis / USD,,,,,,,,,,,,,,,,,,,,,,7884000000.0,5935000000.0,6720000000.0,5935000000.0,7565000000.0,14602000000.0,,,,,,,,,,,,6642000000.0,6642000000.0,7213000000.0,7213000000.0,7213000000.0,7213000000.0,6481000000.0,6481000000.0,6481000000.0,6500000000.0,7800000000.0,7800000000.0,7800000000.0,7800000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,4700000000.0,4700000000.0,4700000000.0,4700000000.0,5200000000.0,5200000000.0,5200000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000000.0,71000000.0,71000000.0,71000000.0,69000000.0,69000000.0,118000000.0,208000000.0,102000000.0,122000000.0,125000000.0,40000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613000000.0,714000000.0,720000000.0,665000000.0,734000000.0,725000000.0,417000000.0,442000000.0,433000000.0,241000000.0,215000000.0,168000000.0,225000000.0,234000000.0,188000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue / USD,,,,,,,,,,,,,,84000000.0,68000000.0,182000000.0,413000000.0,372000000.0,421000000.0,751000000.0,885000000.0,923000000.0,962000000.0,778000000.0,962000000.0,789000000.0,660000000.0,620000000.0,1264000000.0,1493000000.0,2095000000.0,2760000000.0,3357000000.0,2976000000.0,2200000000.0,1866000000.0,1651000000.0,1887000000.0,2662000000.0,2776000000.0,2934000000.0,2722000000.0,2509000000.0,2171000000.0,1354000000.0,1359000000.0,1270000000.0,1099000000.0,1068000000.0,1015000000.0,322000000.0,281000000.0,4275000000.0,5033000000.0,4962000000.0,,4850000000.0,5352000000.0,6220000000.0,,6915000000.0,6141000000.0,6537000000.0,,6063000000.0,5314000000.0,6926000000.0
AvailableForSaleSecuritiesDebtMaturitiesRemainderOfFiscalYearFairValue / USD,,,,,,,,,,,,,,4619000000.0,7999000000.0,7680000000.0,9251000000.0,9137000000.0,9188000000.0,8722000000.0,6313000000.0,5350000000.0,3500000000.0,4707000000.0,3500000000.0,5732000000.0,12651000000.0,5893000000.0,4229000000.0,5954000000.0,4217000000.0,4866000000.0,4287000000.0,8408000000.0,3314000000.0,2573000000.0,2823000000.0,3011000000.0,3138000000.0,3233000000.0,3210000000.0,3174000000.0,2638000000.0,2203000000.0,3443000000.0,7763000000.0,3504000000.0,,3596000000.0,4826000000.0,7823000000.0,,26683000000.0,14673000000.0,11457000000.0,,15874000000.0,10441000000.0,11487000000.0,,5579000000.0,11498000000.0,7508000000.0,,4146000000.0,5580000000.0,7452000000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue / USD,,,,,11829000000.0,14634000000.0,16225000000.0,6642000000.0,6724000000.0,9483000000.0,9034000000.0,8194000000.0,8430000000.0,372000000.0,413000000.0,1116000000.0,1220000000.0,1137000000.0,978000000.0,1006000000.0,1265000000.0,1198000000.0,1004000000.0,865000000.0,1004000000.0,933000000.0,1164000000.0,1268000000.0,1834000000.0,2073000000.0,2095000000.0,1956000000.0,1647000000.0,1434000000.0,1573000000.0,1776000000.0,1715000000.0,1115000000.0,782000000.0,404000000.0,427000000.0,733000000.0,794000000.0,1065000000.0,1589000000.0,1525000000.0,1450000000.0,2978000000.0,341000000.0,247000000.0,631000000.0,2931000000.0,4103000000.0,3315000000.0,2208000000.0,12680000000.0,1805000000.0,1958000000.0,2249000000.0,9575000000.0,2457000000.0,1987000000.0,2322000000.0,5690000000.0,3056000000.0,2979000000.0,7233000000.0
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue / USD,,,,,275000000.0,131000000.0,101000000.0,411000000.0,609000000.0,513000000.0,582000000.0,486000000.0,108000000.0,447000000.0,1097000000.0,432000000.0,108000000.0,1047000000.0,1278000000.0,590000000.0,365000000.0,432000000.0,475000000.0,379000000.0,475000000.0,123000000.0,129000000.0,8266000000.0,465000000.0,207000000.0,1910000000.0,1920000000.0,1074000000.0,3020000000.0,4147000000.0,335000000.0,390000000.0,146000000.0,478000000.0,550000000.0,482000000.0,410000000.0,1101000000.0,1064000000.0,7557000000.0,3870000000.0,1012000000.0,2781000000.0,2130000000.0,829000000.0,2035000000.0,1216000000.0,859000000.0,713000000.0,861000000.0,7095000000.0,1947000000.0,3142000000.0,1814000000.0,2274000000.0,2460000000.0,5396000000.0,3544000000.0,4316000000.0,3848000000.0,3165000000.0,4099000000.0
AvailableForSaleSecuritiesDebtSecurities / USD,,,,,,,,,,10803000000.0,10469000000.0,9164000000.0,9093000000.0,5522000000.0,9577000000.0,9410000000.0,10992000000.0,11693000000.0,11865000000.0,11069000000.0,8828000000.0,7903000000.0,5941000000.0,6729000000.0,5941000000.0,7577000000.0,14604000000.0,16047000000.0,7792000000.0,9727000000.0,10317000000.0,11502000000.0,10510000000.0,15909000000.0,11305000000.0,6621000000.0,6648000000.0,6228000000.0,6621000000.0,6621000000.0,7171000000.0,7171000000.0,7171000000.0,7171000000.0,6543000000.0,6543000000.0,6543000000.0,7951000000.0,7135000000.0,6917000000.0,10811000000.0,4987000000.0,36533000000.0,24448000000.0,20208000000.0,26423000000.0,25210000000.0,21618000000.0,22187000000.0,21800000000.0,17844000000.0,25263000000.0,20126000000.0,18677000000.0,17338000000.0,17272000000.0,25898000000.0
